Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,58.02,58.42,57.68,58.39,1359100,58.39
2013-07-11,57.08,58.15,57.08,58.10,2337200,58.10
2013-07-10,55.95,56.60,55.91,56.55,1551500,56.55
2013-07-09,56.47,56.84,55.81,55.91,2101000,55.91
2013-07-08,55.83,56.30,55.59,56.28,1481200,56.28
2013-07-05,55.51,55.66,54.90,55.56,1629300,55.56
2013-07-03,54.50,55.24,54.40,55.09,1157000,55.09
2013-07-02,55.04,55.32,54.66,54.83,2008500,54.83
2013-07-01,56.11,56.23,54.97,55.01,2845300,55.01
2013-06-28,55.50,56.33,55.03,55.83,3350300,55.83
2013-06-27,55.37,55.76,55.10,55.31,2446300,55.31
2013-06-26,53.78,55.29,53.78,55.04,2503200,55.04
2013-06-25,53.74,53.77,53.06,53.55,2846600,53.55
2013-06-24,54.02,54.31,53.25,53.61,2936800,53.61
2013-06-21,54.24,54.93,54.15,54.34,2668500,54.34
2013-06-20,55.47,55.61,54.01,54.14,3015200,54.14
2013-06-19,55.78,56.39,55.39,55.56,2227200,55.56
2013-06-18,55.68,55.98,55.39,55.86,1805600,55.86
2013-06-17,55.13,55.68,55.05,55.66,2929400,55.66
2013-06-14,54.44,55.21,54.40,54.93,1985300,54.93
2013-06-13,54.61,54.69,54.04,54.56,2551400,54.56
2013-06-12,55.02,55.35,54.72,54.75,3673500,54.75
2013-06-11,53.96,55.18,53.94,54.81,3596200,54.81
2013-06-10,53.13,53.84,52.97,53.71,2497500,53.71
2013-06-07,52.70,53.25,52.70,52.94,3489200,52.94
2013-06-06,52.81,53.08,52.44,52.55,3420300,52.55
2013-06-05,53.04,53.37,52.84,52.90,3433100,52.90
2013-06-04,52.73,53.40,52.69,53.26,2779700,53.26
2013-06-03,54.01,54.14,52.38,52.68,3582100,52.68
2013-05-31,54.49,54.72,54.08,54.08,2534700,54.08
2013-05-30,54.00,55.02,53.90,54.72,1743800,54.72
2013-05-29,54.17,54.50,53.22,53.90,2679200,53.90
2013-05-28,54.77,55.20,54.04,54.37,2759300,54.37
2013-05-24,54.36,54.56,54.04,54.44,1935100,54.44
2013-05-23,54.32,54.80,54.05,54.58,1816000,54.58
2013-05-22,54.72,55.11,54.37,54.46,2471600,54.46
2013-05-21,54.77,54.94,54.40,54.65,1698200,54.65
2013-05-20,55.01,55.23,54.71,54.82,1712700,54.82
2013-05-17,54.44,55.07,54.18,54.99,2180100,54.99
2013-05-16,54.64,55.06,54.29,54.40,1766600,54.40
2013-05-15,55.00,55.48,54.65,55.01,2859300,54.80
2013-05-14,54.47,54.99,54.25,54.96,2369200,54.75
2013-05-13,54.68,54.88,54.45,54.48,2022800,54.27
2013-05-10,54.98,55.00,54.63,54.84,1324800,54.63
2013-05-09,54.91,55.09,54.49,54.81,1708200,54.60
2013-05-08,55.03,55.21,54.62,55.10,2598700,54.89
2013-05-07,54.59,55.04,54.37,54.98,2142100,54.77
2013-05-06,54.49,54.71,54.34,54.40,1401200,54.19
2013-05-03,55.01,55.08,54.42,54.57,1850800,54.36
2013-05-02,53.85,54.86,53.77,54.85,2157900,54.64
2013-05-01,54.06,54.40,53.76,53.84,2418000,53.63
2013-04-30,54.07,54.13,53.60,54.12,2064900,53.91
2013-04-29,53.33,54.28,53.25,54.06,3329100,53.85
2013-04-26,53.00,53.60,52.78,53.26,5365100,53.06
2013-04-25,55.82,56.00,53.13,53.41,7988800,53.21
2013-04-24,56.33,56.60,55.63,55.82,3091300,55.61
2013-04-23,56.39,56.91,55.94,56.30,2419400,56.09
2013-04-22,56.42,56.44,55.65,56.20,2571100,55.99
2013-04-19,55.61,55.99,55.24,55.92,2023400,55.71
2013-04-18,55.06,56.07,55.02,55.44,4273900,55.23
2013-04-17,54.78,55.19,54.45,55.06,3176700,54.85
2013-04-16,54.48,54.99,54.12,54.95,2050600,54.74
2013-04-15,54.14,54.35,53.84,54.04,2243200,53.83
2013-04-12,53.78,54.33,53.68,54.18,1269300,53.97
2013-04-11,53.28,54.16,53.25,53.81,2354400,53.60
2013-04-10,53.93,54.00,53.08,53.30,3148400,53.10
2013-04-09,52.75,53.15,52.49,52.92,3118200,52.72
2013-04-08,52.18,52.70,51.69,52.63,2294600,52.43
2013-04-05,51.43,52.12,51.41,52.08,1596400,51.88
2013-04-04,51.69,52.83,51.67,51.82,2840100,51.62
2013-04-03,52.57,52.83,51.31,51.69,4837400,51.49
2013-04-02,51.92,53.36,51.85,52.41,4047700,52.21
2013-04-01,51.38,51.66,51.29,51.64,1429400,51.44
2013-03-28,50.96,51.57,50.79,51.45,2835600,51.25
2013-03-27,50.51,50.90,50.33,50.71,2027900,50.52
2013-03-26,50.86,51.21,50.47,50.72,2428300,50.53
2013-03-25,49.95,50.95,49.84,50.59,3248100,50.40
2013-03-22,49.80,49.92,49.60,49.82,2917300,49.63
2013-03-21,50.11,50.54,49.56,49.79,2285000,49.60
2013-03-20,50.31,50.45,49.72,50.24,3203700,50.05
2013-03-19,51.39,52.15,49.92,50.06,17071100,49.87
2013-03-18,48.32,48.67,48.16,48.30,2602100,48.12
2013-03-15,49.14,49.24,48.82,48.89,2025400,48.70
2013-03-14,49.00,49.39,48.91,49.29,1810900,49.10
2013-03-13,48.71,48.90,48.57,48.86,859200,48.67
2013-03-12,48.52,48.85,48.44,48.65,1222600,48.46
2013-03-11,48.36,48.74,48.29,48.55,1495100,48.36
2013-03-08,48.27,48.51,47.97,48.48,1426400,48.29
2013-03-07,48.44,48.65,47.68,48.08,1785900,47.90
2013-03-06,48.44,48.80,48.27,48.48,1494700,48.29
2013-03-05,48.04,48.40,47.96,48.27,1646800,48.09
2013-03-04,47.83,48.25,47.66,48.25,2132800,48.07
2013-03-01,47.22,48.14,46.89,47.98,2135900,47.80
2013-02-28,46.96,47.51,46.81,47.20,2253700,47.02
2013-02-27,46.66,47.21,46.58,47.03,855100,46.85
2013-02-26,46.38,46.62,46.08,46.57,1373600,46.39
2013-02-25,47.10,47.25,46.18,46.18,1794900,46.00
2013-02-22,46.48,47.03,46.38,46.95,1003700,46.77
2013-02-21,46.48,46.62,46.16,46.48,1432400,46.30
2013-02-20,47.22,47.39,46.59,46.61,1970300,46.43
2013-02-19,46.67,47.24,46.62,47.22,1831500,47.04
2013-02-15,46.77,47.09,46.51,46.60,2962100,46.42
2013-02-14,46.67,46.99,46.60,46.77,1941900,46.59
2013-02-13,46.74,46.90,46.60,46.64,2645300,46.46
2013-02-12,46.70,47.05,46.60,46.96,1318800,46.57
2013-02-11,46.85,47.00,46.50,46.76,1115900,46.37
2013-02-08,46.52,46.90,46.46,46.89,1232800,46.50
2013-02-07,46.48,46.62,45.99,46.40,2420000,46.02
2013-02-06,46.18,46.47,46.17,46.47,3034800,46.09
2013-02-05,46.19,46.46,46.03,46.28,1950900,45.90
2013-02-04,46.35,46.61,45.99,46.04,2611500,45.66
2013-02-01,45.40,46.77,45.40,46.53,3978600,46.15
2013-01-31,45.52,45.56,45.17,45.37,2837600,44.99
2013-01-30,45.62,45.98,45.50,45.58,2208300,45.20
2013-01-29,45.13,45.77,45.02,45.54,2363500,45.16
2013-01-28,45.06,45.21,44.87,45.11,2041900,44.74
2013-01-25,45.78,45.84,44.87,45.03,2906200,44.66
2013-01-24,45.92,46.15,44.73,45.72,3580300,45.34
2013-01-23,45.67,46.59,45.60,46.18,3324400,45.80
2013-01-22,45.90,45.91,45.31,45.62,1467800,45.24
2013-01-18,45.47,45.85,45.28,45.85,1809700,45.47
2013-01-17,45.27,45.68,45.21,45.52,1419900,45.14
2013-01-16,45.11,45.31,44.89,45.02,1780300,44.65
2013-01-15,44.28,45.17,44.20,45.07,2429500,44.70
2013-01-14,43.99,44.37,43.80,44.29,1367400,43.92
2013-01-11,43.92,44.00,43.51,43.84,1414800,43.48
2013-01-10,43.95,43.99,43.69,43.89,1579900,43.53
2013-01-09,43.81,43.99,43.58,43.77,1513300,43.41
2013-01-08,43.76,44.10,43.73,43.77,1533000,43.41
2013-01-07,43.70,43.89,43.50,43.83,1803600,43.47
2013-01-04,43.22,43.72,43.01,43.69,2461500,43.33
2013-01-03,43.54,43.55,43.20,43.40,2026700,43.04
2013-01-02,43.59,43.74,43.22,43.49,1972400,43.13
2012-12-31,42.74,43.22,42.63,43.18,1295200,42.82
2012-12-28,43.12,43.34,42.80,42.82,1039500,42.47
2012-12-27,43.18,43.34,42.76,43.23,1554200,42.87
2012-12-26,43.50,43.61,42.95,43.12,1276800,42.76
2012-12-24,43.52,43.68,43.21,43.46,643200,43.10
2012-12-21,43.44,43.93,43.44,43.64,4012300,43.28
2012-12-20,43.75,43.81,43.47,43.80,2320400,43.44
2012-12-19,43.90,43.96,43.46,43.65,2288500,43.29
2012-12-18,43.76,44.02,43.55,43.91,1986200,43.55
2012-12-17,43.36,43.78,43.27,43.78,3104700,43.42
2012-12-14,42.71,43.38,42.62,43.36,2732300,43.00
2012-12-13,42.78,43.15,42.55,42.85,2750300,42.50
2012-12-12,43.20,43.25,42.32,42.71,6062300,42.36
2012-12-11,42.46,43.18,42.39,43.12,4727000,42.76
2012-12-10,42.31,42.50,42.14,42.23,2517700,41.88
2012-12-07,42.78,42.79,42.15,42.27,2496800,41.92
2012-12-06,42.33,42.72,42.20,42.56,3122200,42.21
2012-12-05,42.75,42.75,42.02,42.26,2845600,41.91
2012-12-04,42.33,42.85,42.33,42.75,3092100,42.40
2012-12-03,42.26,42.59,42.19,42.41,2844200,42.06
2012-11-30,41.56,42.24,41.47,42.22,3277300,41.87
2012-11-29,41.49,41.78,41.34,41.52,2530000,41.18
2012-11-28,41.16,41.29,40.84,41.20,2302100,40.86
2012-11-27,41.18,41.51,41.08,41.22,2337700,40.88
2012-11-26,41.35,41.49,41.15,41.45,2611200,41.11
2012-11-23,40.85,41.49,40.82,41.38,1370500,41.04
2012-11-21,40.78,40.91,40.69,40.85,1650100,40.51
2012-11-20,40.62,40.80,40.40,40.80,1960700,40.46
2012-11-19,40.48,40.79,40.37,40.69,1414800,40.35
2012-11-16,40.23,40.46,39.94,40.26,2304800,39.93
2012-11-15,40.15,40.36,39.90,40.16,2237500,39.83
2012-11-14,40.34,40.94,40.12,40.21,2114000,39.67
2012-11-13,40.00,40.99,39.90,40.71,2856100,40.16
2012-11-12,40.60,40.60,39.92,40.06,1815100,39.52
2012-11-09,40.25,40.82,40.03,40.47,2405500,39.93
2012-11-08,40.65,40.85,39.93,40.33,2930400,39.79
2012-11-07,40.13,40.97,39.65,40.76,3220200,40.21
2012-11-06,40.25,40.62,40.00,40.36,1893000,39.82
2012-11-05,40.28,40.58,40.12,40.26,1598100,39.72
2012-11-02,41.00,41.23,40.48,40.50,2077400,39.96
2012-11-01,39.55,41.12,39.51,40.92,4492300,40.37
2012-10-31,39.62,39.89,39.28,39.44,3317600,38.91
2012-10-26,39.79,39.90,39.22,39.34,2596300,38.81
2012-10-25,39.98,40.36,39.41,39.76,2351900,39.23
2012-10-24,39.97,40.16,39.63,39.66,1661800,39.13
2012-10-23,40.00,40.13,39.76,39.93,2957000,39.39
2012-10-22,40.19,40.56,39.90,40.43,1544400,39.89
2012-10-19,40.61,40.64,40.11,40.28,2335900,39.74
2012-10-18,40.43,40.85,40.38,40.68,1552200,40.13
2012-10-17,40.83,40.95,40.37,40.53,2506500,39.98
2012-10-16,40.00,40.85,39.91,40.75,3565300,40.20
2012-10-15,39.50,39.93,39.37,39.91,1963900,39.37
2012-10-12,39.51,39.72,39.38,39.50,1762200,38.97
2012-10-11,39.51,39.70,39.34,39.47,1702700,38.94
2012-10-10,39.56,39.61,39.15,39.39,1753300,38.86
2012-10-09,39.72,39.88,39.23,39.68,2042900,39.15
2012-10-08,39.47,39.87,39.35,39.78,1206000,39.24
2012-10-05,39.44,39.85,39.29,39.52,3017100,38.99
2012-10-04,39.23,39.70,39.14,39.36,2978700,38.83
2012-10-03,39.05,39.22,38.86,39.06,2072400,38.53
2012-10-02,39.03,39.30,38.76,39.03,2337400,38.50
2012-10-01,38.79,39.07,38.69,38.99,2001500,38.47
2012-09-28,38.95,39.05,38.64,38.71,2983700,38.19
2012-09-27,38.70,39.06,38.49,39.02,2086100,38.50
2012-09-26,38.90,39.15,38.59,38.65,2684900,38.13
2012-09-25,39.36,39.38,38.70,38.85,3363500,38.33
2012-09-24,38.86,39.45,38.66,39.36,3135000,38.83
2012-09-21,38.46,39.04,38.44,38.97,3339100,38.45
2012-09-20,38.00,38.37,37.65,38.33,2258900,37.81
