Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,35.45,35.57,35.11,35.32,6218100,35.32
2013-07-11,35.02,35.54,34.77,35.37,9019200,35.37
2013-07-10,34.80,35.21,34.71,34.74,9108500,34.60
2013-07-09,35.46,35.56,34.73,34.74,10291400,34.60
2013-07-08,34.95,35.47,34.94,35.41,7545600,35.27
2013-07-05,34.58,34.93,34.49,34.92,4664300,34.78
2013-07-03,34.72,34.72,33.72,34.25,8381100,34.11
2013-07-02,34.97,35.31,34.65,34.86,5793200,34.72
2013-07-01,34.97,35.47,34.90,35.03,6346900,34.89
2013-06-28,35.30,35.82,34.87,34.88,20356100,34.74
2013-06-27,35.77,35.78,35.22,35.36,5625400,35.22
2013-06-26,35.41,35.79,35.14,35.60,6877400,35.46
2013-06-25,35.28,35.38,34.87,35.11,6003700,34.97
2013-06-24,35.29,35.38,34.69,34.97,7535800,34.83
2013-06-21,35.40,35.86,35.31,35.58,10122700,35.44
2013-06-20,36.07,36.09,35.07,35.17,8336800,35.03
2013-06-19,37.27,37.27,36.21,36.21,6741400,36.06
2013-06-18,36.98,37.64,36.87,37.51,5541500,37.36
2013-06-17,37.07,37.33,36.72,36.89,6356000,36.74
2013-06-14,36.68,37.10,36.59,36.81,4817800,36.66
2013-06-13,36.33,36.80,36.12,36.70,6472000,36.55
2013-06-12,37.08,37.20,36.42,36.44,5271200,36.29
2013-06-11,37.14,37.31,36.82,36.83,5128500,36.68
2013-06-10,37.47,37.58,37.09,37.49,5029900,37.34
2013-06-07,36.95,37.55,36.90,37.51,5996500,37.36
2013-06-06,36.24,36.64,36.03,36.64,6912400,36.49
2013-06-05,36.72,37.16,36.26,36.30,7084800,36.15
2013-06-04,37.06,37.21,36.53,36.80,6066400,36.65
2013-06-03,36.63,37.18,36.13,37.16,10555000,37.01
2013-05-31,37.49,37.65,36.62,36.67,11796200,36.52
2013-05-30,37.72,37.85,37.47,37.68,7569500,37.53
2013-05-29,38.26,38.46,37.33,37.72,8678100,37.57
2013-05-28,37.98,38.64,37.95,38.56,8425100,38.40
2013-05-24,37.17,37.84,37.11,37.76,5429900,37.61
2013-05-23,37.49,37.86,37.30,37.48,7067600,37.33
2013-05-22,37.76,38.77,37.60,37.72,9982400,37.57
2013-05-21,37.85,38.00,37.57,37.72,6986600,37.57
2013-05-20,36.95,37.93,36.87,37.81,8885200,37.66
2013-05-17,36.82,36.94,36.29,36.59,7049800,36.44
2013-05-16,37.45,37.47,36.82,36.83,6137600,36.68
2013-05-15,37.13,37.70,37.09,37.66,7853100,37.51
2013-05-14,36.42,37.10,36.22,37.05,6309000,36.90
2013-05-13,36.05,36.57,36.04,36.35,6217100,36.20
2013-05-10,36.25,36.41,35.96,36.17,6667100,36.02
2013-05-09,36.19,36.36,36.00,36.18,4861500,36.03
2013-05-08,36.01,36.29,35.88,36.29,6767500,36.14
2013-05-07,35.74,36.08,35.58,36.06,8347700,35.91
2013-05-06,36.75,36.78,35.80,35.85,8604900,35.71
2013-05-03,37.25,37.25,36.61,36.80,5363500,36.65
2013-05-02,36.95,37.15,36.83,37.06,4202800,36.91
2013-05-01,36.77,37.20,36.62,36.89,5458500,36.74
2013-04-30,36.70,36.98,36.48,36.92,6425500,36.77
2013-04-29,36.49,36.79,36.40,36.73,3111800,36.58
2013-04-26,36.36,36.70,36.25,36.46,6126800,36.31
2013-04-25,36.62,36.82,36.45,36.49,5321400,36.34
2013-04-24,37.27,37.35,36.39,36.52,5434100,36.37
2013-04-23,37.11,37.34,36.86,37.21,5291200,37.06
2013-04-22,37.00,37.22,36.56,36.89,5354200,36.74
2013-04-19,37.05,37.30,36.91,37.20,6665900,37.05
2013-04-18,37.45,37.47,36.61,36.88,7750800,36.73
2013-04-17,36.84,37.48,36.46,37.28,14361800,37.13
2013-04-16,36.28,36.48,35.90,36.40,7866000,36.25
2013-04-15,36.84,37.09,36.11,36.13,8227700,35.98
2013-04-12,37.11,37.25,36.93,37.13,5373100,36.98
2013-04-11,37.02,37.55,37.00,37.27,6812200,37.12
2013-04-10,36.73,37.14,36.66,37.10,6689200,36.81
2013-04-09,36.56,36.75,36.40,36.66,5444700,36.37
2013-04-08,36.31,36.55,35.93,36.55,5584300,36.27
2013-04-05,36.37,36.55,36.19,36.31,8250200,36.03
2013-04-04,36.52,36.89,36.45,36.65,7713000,36.36
2013-04-03,36.13,36.39,35.90,36.32,10143200,36.04
2013-04-02,35.45,36.15,35.34,36.12,10956900,35.84
2013-04-01,35.18,35.31,34.95,35.31,6024900,35.03
2013-03-28,34.60,35.34,34.53,35.32,11468200,35.04
2013-03-27,34.13,34.64,34.06,34.61,8637100,34.34
2013-03-26,33.85,34.35,33.85,34.35,5855400,34.08
2013-03-25,33.76,34.08,33.57,33.80,7022200,33.54
