Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,125.40,126.52,124.79,126.18,1218600,126.18
2013-07-11,125.42,125.56,123.35,125.00,1135800,125.00
2013-07-10,126.04,126.30,123.30,124.07,1155000,124.07
2013-07-09,127.45,127.45,125.40,125.71,897700,125.71
2013-07-08,127.00,127.04,124.41,126.49,884300,126.49
2013-07-05,125.26,126.51,123.99,126.37,764200,126.37
2013-07-03,123.83,124.05,122.01,123.99,699300,123.99
2013-07-02,125.53,127.21,123.75,123.83,1030500,123.83
2013-07-01,126.63,127.62,125.13,125.44,1406200,125.44
2013-06-28,124.98,127.56,124.98,126.22,1918800,126.22
2013-06-27,123.92,126.47,123.70,125.86,1633500,125.86
2013-06-26,122.41,124.57,122.23,123.29,1102000,123.29
2013-06-25,121.25,122.38,120.65,121.54,905900,121.54
2013-06-24,120.78,121.89,118.92,120.22,1201800,120.22
2013-06-21,121.54,122.61,119.59,121.52,1723200,121.52
2013-06-20,122.70,123.23,119.69,120.22,1624200,120.22
2013-06-19,125.42,125.69,123.21,123.71,869000,123.71
2013-06-18,125.22,126.27,124.44,125.67,621500,125.67
2013-06-17,127.33,127.57,123.76,124.94,1260100,124.94
2013-06-14,126.21,127.50,125.64,126.45,795200,126.45
2013-06-13,123.51,126.65,122.64,126.46,1230700,126.46
2013-06-12,125.46,126.02,123.53,123.79,812500,123.79
2013-06-11,125.11,126.07,123.50,125.09,1204900,125.09
2013-06-10,124.43,125.12,123.16,125.04,1014800,125.04
2013-06-07,122.36,124.12,121.69,124.12,848800,124.12
2013-06-06,119.98,122.12,119.13,122.00,1199000,122.00
2013-06-05,119.39,121.45,118.68,120.34,2060000,120.34
2013-06-04,123.79,123.84,119.91,119.91,1789000,119.91
2013-06-03,123.73,125.25,121.85,123.57,1364400,123.57
2013-05-31,124.20,125.50,123.23,123.29,1040600,123.29
2013-05-30,122.95,125.47,122.95,124.23,1056300,124.23
2013-05-29,123.92,124.31,121.71,122.62,1459400,122.62
2013-05-28,127.44,128.64,124.07,124.77,2308300,124.77
2013-05-24,127.90,128.12,125.95,127.23,1839000,127.23
2013-05-23,129.11,129.77,127.50,128.08,1786800,128.08
2013-05-22,129.75,133.00,128.72,130.04,3040500,130.04
2013-05-21,127.02,131.14,125.49,130.20,2762900,130.20
2013-05-20,127.80,131.24,126.63,127.15,7425100,127.15
2013-05-17,123.37,125.93,123.01,125.50,1414900,125.50
2013-05-16,124.25,126.53,123.44,123.61,2657600,123.61
2013-05-15,121.65,125.51,121.45,123.88,1824800,123.88
2013-05-14,120.31,125.00,119.53,121.68,3720300,121.68
2013-05-13,119.00,121.56,117.64,120.52,3887800,120.52
2013-05-10,107.58,121.13,105.56,119.86,8052200,119.86
2013-05-09,104.86,107.66,104.86,106.81,863200,106.81
2013-05-08,107.07,108.31,107.07,107.29,877000,107.29
2013-05-07,107.66,108.14,106.52,107.22,1168700,107.22
2013-05-06,106.63,108.02,105.60,107.20,1018100,107.20
2013-05-03,106.64,107.08,105.98,106.46,1153000,106.46
2013-05-02,107.06,110.50,104.97,106.49,2466100,106.49
2013-05-01,105.24,105.68,103.75,104.39,2313200,104.39
2013-04-30,105.52,106.04,104.78,105.73,2061700,105.73
2013-04-29,105.24,107.76,104.29,105.58,5715500,105.58
2013-04-26,99.03,101.46,99.03,100.94,1431400,100.94
2013-04-25,98.70,99.52,98.48,98.89,599100,98.89
2013-04-24,99.06,99.35,98.09,98.28,624000,98.28
2013-04-23,98.48,99.55,98.08,98.77,925100,98.77
2013-04-22,98.40,98.95,97.81,97.85,636500,97.85
2013-04-19,96.95,98.63,96.72,98.48,706100,98.48
2013-04-18,97.61,98.25,96.52,96.68,611200,96.68
2013-04-17,96.51,97.96,96.26,97.73,960400,97.73
