Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,48.08,48.43,47.61,48.35,1969300,48.35
2013-07-11,47.26,48.05,47.20,48.00,3064600,48.00
2013-07-10,46.28,46.76,46.14,46.73,1358500,46.73
2013-07-09,46.11,46.42,45.89,46.26,1318400,46.26
2013-07-08,46.27,46.53,45.54,45.76,1588800,45.76
2013-07-05,45.99,46.26,45.68,46.21,936200,46.21
2013-07-03,45.17,45.95,44.90,45.68,666700,45.68
2013-07-02,45.28,45.74,44.99,45.31,1680700,45.31
2013-07-01,45.00,45.60,45.00,45.37,1489400,45.37
2013-06-28,45.14,45.31,44.62,45.06,3925900,45.06
2013-06-27,45.42,45.51,45.12,45.37,1627800,45.37
2013-06-26,45.01,45.18,44.38,45.07,1725300,45.07
2013-06-25,44.62,44.62,43.91,44.52,2382500,44.52
2013-06-24,44.68,45.03,43.95,44.03,2495900,44.03
2013-06-21,44.91,45.26,44.58,45.16,3840000,45.16
2013-06-20,45.60,45.62,44.59,44.67,2047700,44.67
2013-06-19,46.44,46.70,45.99,46.04,1683200,46.04
2013-06-18,46.02,46.74,45.92,46.66,2244100,46.66
2013-06-17,45.11,46.04,45.04,45.95,2558600,45.95
2013-06-14,45.14,45.42,44.82,44.95,1413100,44.95
2013-06-13,44.12,45.22,43.86,45.10,1527400,45.10
2013-06-12,45.43,45.52,44.15,44.15,2172500,44.15
2013-06-11,45.47,45.68,44.99,45.02,1300800,45.02
2013-06-10,46.21,46.21,45.74,45.95,1804800,45.95
2013-06-07,45.73,46.26,45.29,46.21,2423500,46.21
2013-06-06,45.58,45.76,45.00,45.47,1837700,45.47
2013-06-05,45.92,46.04,45.35,45.39,1871900,45.39
2013-06-04,46.22,46.82,45.92,46.13,2243100,46.13
2013-06-03,45.94,46.19,45.37,45.82,2991400,45.82
2013-05-31,45.92,46.19,45.72,45.93,3349100,45.93
2013-05-30,45.66,46.65,45.65,46.24,2269800,46.24
2013-05-29,45.70,45.93,45.26,45.62,2322200,45.62
2013-05-28,45.62,46.04,45.38,45.48,1664400,45.14
2013-05-24,45.20,45.41,44.89,45.37,1113100,45.03
2013-05-23,45.22,45.53,44.49,45.49,2427300,45.15
2013-05-22,45.65,46.48,45.27,45.55,4085600,45.21
2013-05-21,46.68,46.88,46.11,46.56,2491000,46.21
2013-05-20,46.82,47.20,46.74,46.87,1720300,46.52
2013-05-17,46.84,47.02,46.52,47.02,1816100,46.67
2013-05-16,46.69,47.06,46.47,46.50,1745200,46.15
2013-05-15,46.29,46.73,46.20,46.69,1443600,46.34
2013-05-14,46.22,46.53,46.19,46.34,1844600,45.99
2013-05-13,46.53,46.66,46.15,46.25,1373800,45.90
2013-05-10,46.56,46.83,46.36,46.79,1671000,46.44
2013-05-09,45.95,46.61,45.95,46.38,2240500,46.03
2013-05-08,45.81,46.13,45.50,46.08,1441000,45.74
2013-05-07,45.81,45.91,45.55,45.78,1658400,45.44
2013-05-06,45.28,45.96,45.02,45.82,3211200,45.48
2013-05-03,44.71,45.11,44.50,45.00,2395300,44.66
2013-05-02,43.96,44.45,43.58,44.21,2883700,43.88
2013-05-01,44.12,44.35,43.76,43.88,1876200,43.55
2013-04-30,43.56,44.04,43.36,43.99,2572500,43.66
2013-04-29,43.60,43.77,43.39,43.66,1548100,43.33
2013-04-26,43.51,43.70,43.21,43.30,2081200,42.98
2013-04-25,43.97,43.97,43.57,43.65,6025300,43.32
2013-04-24,43.66,43.81,43.44,43.46,2926900,43.14
2013-04-23,42.98,43.63,42.85,43.43,2371400,43.11
2013-04-22,42.62,42.92,41.88,42.66,2253700,42.34
2013-04-19,42.20,42.69,41.81,42.36,2746300,42.04
2013-04-18,43.35,43.35,42.16,42.34,2803000,42.02
2013-04-17,43.57,43.86,42.24,42.85,4737000,42.53
2013-04-16,44.09,44.78,43.90,44.74,2382100,44.41
2013-04-15,44.41,44.70,43.84,43.84,2781000,43.51
2013-04-12,44.71,44.83,44.08,44.59,2311900,44.26
2013-04-11,45.14,45.40,44.74,44.90,2459300,44.56
2013-04-10,44.28,45.12,44.04,45.10,2386200,44.76
2013-04-09,44.03,44.27,43.53,44.07,2574900,43.74
2013-04-08,43.64,44.00,43.35,44.00,2301900,43.67
2013-04-05,43.01,43.68,42.45,43.61,3381400,43.28
2013-04-04,44.13,44.19,43.62,43.74,3513900,43.41
2013-04-03,45.09,45.19,43.89,44.06,2431100,43.73
2013-04-02,45.72,45.74,44.94,45.20,2177100,44.86
2013-04-01,46.28,46.36,45.31,45.41,2542600,45.07
2013-03-28,45.63,46.53,45.61,46.49,2095900,46.14
2013-03-27,45.30,45.87,45.02,45.75,1471200,45.41
2013-03-26,44.90,45.78,44.77,45.75,1623400,45.41
2013-03-25,45.04,45.06,44.37,44.64,1900100,44.31
2013-03-22,44.82,45.16,44.70,44.90,2071600,44.56
2013-03-21,45.22,45.40,44.52,44.55,1645400,44.22
2013-03-20,45.29,45.75,45.13,45.66,1811300,45.32
2013-03-19,44.98,45.16,44.33,44.91,1778100,44.57
2013-03-18,45.25,45.35,44.73,44.85,2326900,44.51
2013-03-15,46.33,46.53,45.39,45.53,4695300,45.19
2013-03-14,46.65,46.99,46.47,46.51,1902600,46.16
2013-03-13,46.41,46.63,46.21,46.48,1864300,46.13
2013-03-12,46.40,46.64,46.15,46.48,1967400,46.13
2013-03-11,45.96,46.45,45.79,46.44,1731700,46.09
2013-03-08,45.96,46.27,45.53,46.05,1663200,45.71
2013-03-07,46.25,46.26,45.59,45.71,1975200,45.37
2013-03-06,45.83,46.19,45.80,46.12,1908600,45.78
2013-03-05,45.50,45.93,45.50,45.77,1425100,45.43
2013-03-04,45.29,45.35,44.89,45.30,1971700,44.96
2013-03-01,45.00,45.44,44.41,45.23,2392800,44.89
2013-02-28,45.28,45.82,43.68,45.22,2627200,44.88
2013-02-27,44.58,45.62,44.31,45.38,2095000,45.04
2013-02-26,45.08,45.31,44.65,45.00,4383900,44.33
2013-02-25,46.11,46.27,44.75,44.77,2626700,44.10
2013-02-22,45.19,45.89,45.19,45.52,2320100,44.84
2013-02-21,45.70,45.77,44.84,45.12,2923100,44.44
2013-02-20,46.90,47.27,45.76,45.79,3472900,45.10
2013-02-19,46.40,47.04,46.20,47.01,2734400,46.31
2013-02-15,46.39,46.63,45.86,46.18,3187400,45.49
2013-02-14,46.02,46.70,45.98,46.54,1991400,45.84
2013-02-13,46.29,46.63,46.06,46.26,2376100,45.57
2013-02-12,46.15,46.35,45.96,46.27,2313600,45.58
2013-02-11,45.99,46.14,45.77,46.08,2383000,45.39
2013-02-08,44.72,45.90,44.45,45.70,2962900,45.02
2013-02-07,44.62,44.67,44.06,44.39,1817600,43.73
2013-02-06,44.36,44.92,44.35,44.74,1962700,44.07
2013-02-05,44.32,44.86,44.14,44.68,2057700,44.01
2013-02-04,44.57,44.82,44.05,44.05,2324200,43.39
2013-02-01,44.06,44.74,44.00,44.67,2684600,44.00
2013-01-31,44.25,44.25,43.53,43.64,2649300,42.99
2013-01-30,44.02,44.33,43.87,44.17,1894800,43.51
2013-01-29,43.99,44.31,43.60,44.15,1781200,43.49
2013-01-28,43.90,44.17,43.82,44.03,1842500,43.37
2013-01-25,43.64,43.98,43.55,43.80,2142400,43.14
2013-01-24,43.38,43.76,43.14,43.43,2379700,42.78
2013-01-23,43.31,43.45,43.03,43.35,2265300,42.70
2013-01-22,42.94,43.16,42.74,43.15,1852900,42.50
2013-01-18,42.85,43.09,42.63,43.06,1916700,42.42
2013-01-17,42.25,43.19,42.21,43.06,2567800,42.42
2013-01-16,41.92,42.30,41.71,42.08,2620700,41.45
2013-01-15,42.01,42.29,41.82,42.02,2272600,41.39
2013-01-14,42.81,42.96,42.09,42.24,2768400,41.61
2013-01-11,42.40,42.60,42.17,42.26,1952700,41.63
2013-01-10,42.25,42.63,42.19,42.61,2275800,41.97
2013-01-09,42.19,42.41,41.81,42.10,3117500,41.47
2013-01-08,42.61,42.75,42.14,42.21,1797800,41.58
2013-01-07,42.01,42.81,42.00,42.65,2377000,42.01
2013-01-04,43.23,43.29,42.43,42.52,3502800,41.88
2013-01-03,43.60,43.71,42.64,43.29,2953000,42.64
2013-01-02,42.80,44.01,42.80,44.00,3761100,43.34
2012-12-31,41.47,42.09,41.19,42.06,2366100,41.43
2012-12-28,41.64,41.99,41.44,41.47,1439700,40.85
2012-12-27,41.87,42.02,41.41,41.89,2134700,41.26
2012-12-26,42.18,42.41,41.73,41.79,1419300,41.16
2012-12-24,42.03,42.28,41.70,42.11,945400,41.48
2012-12-21,41.94,42.24,41.34,42.19,11347400,41.56
2012-12-20,42.39,42.46,41.98,42.35,2324000,41.72
2012-12-19,42.39,42.73,42.15,42.31,2965200,41.68
2012-12-18,41.75,42.31,41.75,42.16,2128500,41.53
2012-12-17,41.42,41.78,41.29,41.55,2518200,40.93
2012-12-14,41.37,41.60,41.11,41.35,2243900,40.73
2012-12-13,41.70,41.99,41.36,41.52,1539900,40.90
2012-12-12,42.26,42.45,41.95,42.02,1742500,41.39
2012-12-11,41.63,42.36,41.41,42.25,2715300,41.62
2012-12-10,41.07,41.59,41.07,41.43,2282300,40.81
2012-12-07,40.92,41.35,40.73,41.28,2193600,40.66
2012-12-06,40.57,41.04,40.53,40.73,1877800,40.12
2012-12-05,40.54,40.77,40.22,40.57,1572200,39.96
2012-12-04,40.52,40.81,40.25,40.65,1368500,39.75
2012-12-03,40.84,40.98,40.37,40.44,2223200,39.54
2012-11-30,40.28,40.79,40.16,40.60,2547600,39.70
2012-11-29,40.51,40.86,39.90,40.60,2170400,39.70
2012-11-28,38.89,40.49,38.82,40.40,4887200,39.50
