Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,36.17,36.35,36.05,36.31,2038500,36.31
2013-07-11,36.14,36.27,35.91,36.19,3390400,36.19
2013-07-10,35.74,35.99,35.56,35.90,2168500,35.90
2013-07-09,35.47,35.94,35.47,35.72,4771500,35.72
2013-07-08,34.88,35.40,34.78,35.36,2850500,35.36
2013-07-05,34.90,35.00,34.54,34.88,2012600,34.88
2013-07-03,34.57,34.81,34.50,34.81,1516200,34.81
2013-07-02,34.37,35.16,34.32,34.87,3928700,34.87
2013-07-01,34.11,34.69,34.11,34.35,3644300,34.35
2013-06-28,33.57,34.22,33.50,33.91,4589000,33.91
2013-06-27,33.79,34.03,33.65,33.71,2144700,33.71
2013-06-26,33.42,33.73,33.29,33.58,4000000,33.58
2013-06-25,33.32,33.32,32.85,33.17,3167000,33.17
2013-06-24,32.75,33.33,32.60,32.93,3022700,32.93
2013-06-21,33.01,33.49,32.77,33.09,6273000,33.09
2013-06-20,32.99,33.13,32.60,32.61,3802400,32.61
2013-06-19,33.86,34.11,33.24,33.26,4253300,33.26
2013-06-18,33.23,33.87,33.23,33.83,2767200,33.83
2013-06-17,33.23,33.50,33.03,33.27,2386300,33.27
2013-06-14,33.31,33.69,33.02,33.08,2263300,33.08
2013-06-13,32.86,33.47,32.60,33.39,2912000,33.39
2013-06-12,33.34,33.49,32.72,32.89,3774300,32.89
2013-06-11,32.80,33.27,32.66,33.12,3364400,33.12
2013-06-10,33.03,33.24,32.76,33.10,2865400,33.10
2013-06-07,32.98,33.27,32.71,32.91,2991300,32.91
2013-06-06,32.71,32.73,32.22,32.65,2514400,32.65
2013-06-05,32.91,32.94,32.47,32.60,3527600,32.60
2013-06-04,32.69,33.15,32.62,33.00,3409200,33.00
2013-06-03,32.31,32.71,31.90,32.65,3802200,32.65
2013-05-31,33.13,33.14,32.23,32.23,5417900,32.23
2013-05-30,33.53,33.61,33.27,33.31,2616200,33.31
2013-05-29,33.99,34.00,33.28,33.43,4338600,33.43
2013-05-28,34.17,34.31,33.98,34.14,3162500,34.14
2013-05-24,34.06,34.12,33.77,33.88,2112800,33.88
2013-05-23,33.70,34.27,33.58,34.16,3128300,34.16
2013-05-22,34.68,35.01,34.04,34.14,5340100,34.14
2013-05-21,34.30,34.81,34.19,34.71,3629400,34.71
2013-05-20,34.95,35.00,34.34,34.40,4734200,34.40
2013-05-17,34.20,35.04,34.02,35.00,6264700,35.00
2013-05-16,34.38,34.58,34.02,34.16,5008500,34.16
2013-05-15,33.97,34.85,33.88,34.71,5330700,34.71
2013-05-14,33.74,34.09,33.14,34.06,3793000,34.06
2013-05-13,34.05,34.11,33.74,33.99,3472800,33.80
2013-05-10,33.86,34.18,33.81,34.06,3583100,33.87
2013-05-09,34.34,34.49,33.86,33.91,3798600,33.72
2013-05-08,34.23,34.40,33.91,34.40,3440500,34.21
2013-05-07,34.01,34.34,33.79,34.34,3360900,34.15
2013-05-06,34.11,34.16,33.70,33.88,2848200,33.69
2013-05-03,33.83,34.24,33.65,34.20,4003600,34.01
2013-05-02,32.85,33.91,32.73,33.60,6101200,33.41
2013-05-01,33.79,33.99,33.51,33.58,5317000,33.39
2013-04-30,34.00,34.03,33.65,33.94,4525200,33.75
2013-04-29,33.55,34.19,33.51,34.03,5169900,33.84
2013-04-26,33.40,33.87,33.24,33.47,5770800,33.28
2013-04-25,32.62,33.23,32.36,33.18,4985400,32.99
2013-04-24,32.61,32.83,32.35,32.39,3087300,32.21
2013-04-23,32.33,32.56,32.03,32.55,3805400,32.37
2013-04-22,32.16,32.31,31.90,32.22,3328600,32.04
2013-04-19,32.01,32.27,31.95,32.18,6101900,32.00
2013-04-18,32.07,32.17,31.69,31.91,4427700,31.73
2013-04-17,31.90,32.16,31.52,32.07,5081900,31.89
2013-04-16,31.62,32.27,31.51,32.18,4225800,32.00
2013-04-15,32.48,32.60,31.50,31.52,6941700,31.34
2013-04-12,32.89,33.10,32.45,32.64,5495400,32.46
2013-04-11,33.11,33.20,32.87,32.98,3258400,32.80
2013-04-10,32.79,33.22,32.62,33.17,4021300,32.98
2013-04-09,33.25,33.25,32.37,32.73,6125100,32.55
2013-04-08,33.09,33.32,32.98,33.32,2741300,33.13
2013-04-05,33.20,33.25,32.84,33.17,3286100,32.98
2013-04-04,33.22,33.59,33.10,33.59,4015600,33.40
2013-04-03,34.05,34.10,33.07,33.23,6548600,33.04
2013-04-02,33.75,34.28,33.61,34.11,6904500,33.92
2013-04-01,33.73,33.80,33.26,33.69,3459100,33.50
2013-03-28,32.93,33.77,32.87,33.73,5931400,33.54
2013-03-27,32.65,32.98,32.57,32.97,3384400,32.79
2013-03-26,32.71,32.95,32.68,32.83,2210400,32.65
2013-03-25,32.92,33.00,32.50,32.57,2736500,32.39
2013-03-22,32.65,32.82,32.62,32.78,2102800,32.60
2013-03-21,32.86,32.97,32.49,32.61,2467600,32.43
2013-03-20,32.87,33.13,32.82,33.01,2792900,32.83
2013-03-19,32.75,32.90,32.52,32.70,3608600,32.52
2013-03-18,32.72,33.00,32.55,32.69,3063800,32.51
2013-03-15,32.80,33.01,32.60,33.00,6440700,32.82
2013-03-14,32.99,32.99,32.78,32.91,3648400,32.73
2013-03-13,32.55,32.95,32.43,32.93,4842700,32.75
2013-03-12,32.41,32.69,32.30,32.56,3665200,32.38
2013-03-11,32.41,32.66,32.23,32.46,2967300,32.28
2013-03-08,32.48,32.77,32.38,32.54,4465000,32.36
2013-03-07,32.45,32.62,32.32,32.57,3024900,32.39
2013-03-06,32.24,32.41,32.16,32.32,3860000,32.14
2013-03-05,32.14,32.37,32.06,32.21,4107800,32.03
2013-03-04,31.91,32.12,31.71,32.02,3913500,31.84
2013-03-01,31.70,31.99,31.39,31.97,3819700,31.79
2013-02-28,32.05,32.16,31.86,31.86,5557100,31.68
2013-02-27,31.82,32.10,31.62,32.00,4741000,31.82
2013-02-26,31.66,31.88,31.21,31.83,4872100,31.65
2013-02-25,32.28,32.43,31.70,31.70,5623500,31.52
2013-02-22,32.40,32.46,32.04,32.10,4840700,31.92
