Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,71.99,73.44,71.93,73.41,2809000,73.41
2013-07-11,72.22,72.59,71.75,71.85,2252800,71.85
2013-07-10,70.86,71.87,70.84,71.75,1689300,71.75
2013-07-09,71.00,71.34,70.89,71.04,1486100,71.04
2013-07-08,70.88,71.27,70.77,70.97,1357700,70.97
2013-07-05,70.64,71.17,70.00,70.75,1534700,70.75
2013-07-03,69.69,70.59,69.56,70.24,1053900,70.24
2013-07-02,69.79,70.49,69.20,70.08,2356000,70.08
2013-07-01,68.83,69.92,68.75,69.45,1950200,69.45
2013-06-28,68.91,69.37,68.50,68.86,3112800,68.86
2013-06-27,69.68,69.92,69.19,69.37,1379800,69.37
2013-06-26,69.50,69.75,69.15,69.35,1709500,69.35
2013-06-25,69.16,69.16,68.16,68.84,1316700,68.84
2013-06-24,68.42,68.93,68.11,68.38,1812300,68.38
2013-06-21,68.68,68.98,67.99,68.68,3197300,68.68
2013-06-20,68.44,68.66,68.08,68.20,2492900,68.20
2013-06-19,69.08,69.98,68.92,69.04,1904300,69.04
2013-06-18,68.67,69.68,68.61,69.60,1280200,69.60
2013-06-17,68.56,69.09,68.39,68.70,1695700,68.70
2013-06-14,68.05,68.54,67.85,68.01,1422700,68.01
2013-06-13,67.33,68.49,67.16,68.28,1547300,68.28
2013-06-12,68.25,68.34,67.26,67.33,1445400,67.33
2013-06-11,68.33,68.69,67.98,68.11,1595000,67.67
2013-06-10,68.96,69.10,68.58,68.78,1139300,68.34
2013-06-07,68.51,69.05,68.18,68.91,2050600,68.47
2013-06-06,67.68,68.03,67.28,67.94,2233600,67.51
2013-06-05,68.63,68.90,67.79,67.86,1735000,67.43
2013-06-04,69.45,69.87,68.62,68.97,1776400,68.53
2013-06-03,68.66,69.61,68.66,69.55,2161800,69.11
2013-05-31,69.43,70.16,68.59,68.72,3119200,68.28
2013-05-30,70.01,70.20,69.81,69.81,1493200,69.36
2013-05-29,70.00,70.20,69.50,69.77,1488900,69.32
2013-05-28,70.50,71.06,70.22,70.49,1838300,70.04
2013-05-24,69.67,69.85,69.29,69.85,1569900,69.40
2013-05-23,69.91,70.21,69.72,69.93,1938200,69.48
2013-05-22,71.09,71.18,70.02,70.26,2787200,69.81
2013-05-21,71.03,71.43,70.81,71.03,1959300,70.58
2013-05-20,72.00,72.00,70.82,71.05,2152900,70.60
2013-05-17,71.46,72.00,71.00,71.99,2555000,71.53
2013-05-16,71.52,71.91,70.88,70.98,1924900,70.53
2013-05-15,70.85,71.75,70.75,71.74,2246300,71.28
2013-05-14,70.20,70.91,70.19,70.81,1820900,70.36
2013-05-13,69.78,70.17,69.74,70.08,1357300,69.63
2013-05-10,70.12,70.27,69.58,70.03,1653000,69.58
2013-05-09,68.89,70.25,68.80,70.00,3063700,69.55
2013-05-08,68.64,68.80,68.41,68.56,2448000,68.12
2013-05-07,68.82,69.09,68.53,68.65,1955700,68.21
2013-05-06,69.16,69.16,68.53,68.68,1339000,68.24
2013-05-03,68.52,69.28,68.02,69.23,1879800,68.79
2013-05-02,66.83,67.74,66.60,67.39,1679500,66.96
2013-05-01,67.39,67.39,66.70,66.82,1541200,66.39
2013-04-30,66.99,67.35,66.87,67.34,1641700,66.91
2013-04-29,66.55,67.25,66.40,67.14,949500,66.71
2013-04-26,66.76,66.77,66.20,66.59,862200,66.16
2013-04-25,66.93,66.98,66.49,66.77,1526300,66.34
2013-04-24,66.70,66.95,66.45,66.67,1282100,66.24
2013-04-23,65.94,66.39,65.41,66.36,1268500,65.94
2013-04-22,65.21,65.68,64.71,65.50,1382900,65.08
2013-04-19,64.37,65.43,64.37,65.23,2144800,64.81
2013-04-18,65.83,65.87,64.38,64.63,1454600,64.22
2013-04-17,64.82,65.42,63.98,65.35,2980300,64.93
2013-04-16,64.71,65.47,64.52,65.41,1539400,64.99
2013-04-15,65.80,65.90,64.44,64.46,1822000,64.05
2013-04-12,66.13,66.13,65.51,65.91,1511900,65.49
2013-04-11,65.64,66.21,65.47,66.11,1196500,65.69
2013-04-10,64.44,65.70,64.29,65.66,1392800,65.24
2013-04-09,64.35,64.72,63.84,64.46,1505000,64.05
2013-04-08,63.69,64.26,63.54,64.26,1087100,63.85
2013-04-05,64.10,64.11,63.30,63.77,1689700,63.36
2013-04-04,64.85,65.06,64.32,64.72,1206900,64.31
2013-04-03,65.26,65.49,64.56,64.75,1600100,64.34
2013-04-02,65.15,65.68,64.85,65.28,1929200,64.86
2013-04-01,64.66,65.18,64.50,64.68,1498900,64.27
2013-03-28,64.50,65.12,64.33,65.03,2213600,64.61
2013-03-27,64.40,64.73,64.10,64.66,1511400,64.25
2013-03-26,64.04,64.80,64.04,64.79,1919200,64.38
2013-03-25,64.45,64.55,63.56,63.93,1712100,63.52
2013-03-22,64.00,64.22,63.65,64.08,1597700,63.67
2013-03-21,63.98,64.39,63.43,63.73,2220000,63.32
2013-03-20,64.65,64.82,64.16,64.43,1643100,64.02
2013-03-19,64.31,64.46,63.66,64.31,1573600,63.90
2013-03-18,63.87,64.47,63.80,64.22,1639800,63.81
2013-03-15,64.67,65.05,64.37,64.48,3560900,64.07
2013-03-14,64.20,65.03,64.20,65.02,2501800,64.60
2013-03-13,64.00,64.21,63.85,64.18,1425400,63.77
2013-03-12,63.90,63.98,63.75,63.97,1956500,63.56
2013-03-11,63.38,63.89,63.34,63.87,1799000,63.46
2013-03-08,63.26,63.71,63.16,63.35,2093800,62.95
2013-03-07,62.48,63.57,62.30,63.34,3539500,62.94
2013-03-06,62.54,62.56,62.03,62.30,1552300,61.90
2013-03-05,62.00,62.70,61.92,62.66,1810000,61.83
2013-03-04,61.32,61.89,61.10,61.84,1763800,61.02
2013-03-01,61.29,61.75,60.69,61.65,1703400,60.83
2013-02-28,61.70,61.72,61.36,61.36,1942000,60.54
2013-02-27,60.86,61.83,60.66,61.59,1659800,60.77
2013-02-26,61.12,61.37,60.72,61.08,1954800,60.27
2013-02-25,61.48,61.74,60.76,60.77,2578200,59.96
2013-02-22,60.71,61.02,60.34,61.01,1570100,60.20
2013-02-21,61.16,61.16,60.07,60.27,2305200,59.47
2013-02-20,61.43,61.76,61.13,61.21,2000800,60.40
2013-02-19,61.22,61.49,61.09,61.46,1661900,60.64
2013-02-15,61.26,61.26,60.75,61.22,2192800,60.41
2013-02-14,60.25,60.78,60.03,60.74,1704900,59.93
2013-02-13,60.56,60.79,60.05,60.45,1806100,59.65
2013-02-12,60.24,60.57,60.00,60.36,1342400,59.56
2013-02-11,60.79,60.98,60.28,60.34,1366400,59.54
2013-02-08,60.71,61.00,60.51,60.93,1813200,60.12
2013-02-07,60.63,60.74,59.83,60.50,2097900,59.70
2013-02-06,60.97,61.20,60.19,60.77,1957200,59.96
2013-02-05,59.84,61.25,59.56,61.23,3086200,60.42
2013-02-04,60.50,60.75,59.48,59.55,2815500,58.76
2013-02-01,59.88,60.72,59.78,60.65,2512100,59.84
2013-01-31,59.33,59.77,59.26,59.29,2600300,58.50
2013-01-30,60.16,60.25,59.34,59.47,1912000,58.68
2013-01-29,59.52,60.34,59.33,60.27,2338200,59.47
2013-01-28,60.00,60.00,59.62,59.64,1385700,58.85
2013-01-25,59.98,60.00,59.54,59.89,1452000,59.09
2013-01-24,59.79,59.97,59.44,59.71,1814300,58.92
2013-01-23,59.97,59.97,59.41,59.56,1772700,58.77
2013-01-22,59.65,59.97,59.27,59.96,2175500,59.16
2013-01-18,59.18,59.73,59.08,59.72,2515700,58.93
2013-01-17,59.16,59.35,58.91,59.17,1215100,58.38
2013-01-16,59.28,59.36,58.79,58.83,1660900,58.05
2013-01-15,59.30,59.31,58.91,59.14,1846900,58.35
2013-01-14,59.42,59.55,59.17,59.41,1770500,58.62
2013-01-11,59.93,60.00,59.19,59.42,1336000,58.63
2013-01-10,59.48,59.49,58.97,59.32,1818600,58.53
2013-01-09,59.40,59.42,58.87,59.10,1940700,58.31
2013-01-08,58.79,59.32,58.60,59.25,1689500,58.46
2013-01-07,58.82,59.09,58.43,58.91,1503800,58.13
2013-01-04,58.82,59.29,58.56,59.14,1855400,58.35
2013-01-03,58.61,58.83,57.75,58.62,2251500,57.84
2013-01-02,58.06,58.55,57.75,58.39,2824900,57.61
2012-12-31,55.99,57.01,55.99,56.93,2086800,56.17
2012-12-28,56.44,57.01,56.29,56.33,1517500,55.58
2012-12-27,57.11,57.20,56.26,56.89,1757900,56.13
2012-12-26,57.48,57.67,56.87,57.10,990400,56.34
2012-12-24,57.42,57.66,57.18,57.48,820200,56.72
2012-12-21,57.48,58.22,57.23,57.58,4359200,56.82
2012-12-20,58.25,58.38,57.73,58.37,1734700,57.59
2012-12-19,58.41,58.56,57.95,58.12,2634800,57.35
2012-12-18,58.04,58.48,57.41,58.26,2401300,57.49
2012-12-17,57.32,58.12,57.06,57.95,1983600,57.18
2012-12-14,57.39,57.67,57.34,57.40,1360600,56.64
2012-12-13,57.45,57.89,57.29,57.58,1735400,56.82
2012-12-12,57.98,58.25,57.28,57.40,1370500,56.64
2012-12-11,57.56,58.38,57.41,58.03,2098700,56.83
