Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,42.63,43.06,42.47,43.02,2068300,43.02
2013-07-11,42.23,42.89,42.22,42.69,2651200,42.69
2013-07-10,42.13,42.34,41.21,41.88,4244100,41.88
2013-07-09,40.20,42.75,40.12,42.02,6988200,42.02
2013-07-08,39.84,40.22,39.70,39.95,4096000,39.95
2013-07-05,39.49,39.62,39.28,39.61,1778700,39.61
2013-07-03,39.43,39.53,39.20,39.24,1821900,39.24
2013-07-02,40.35,40.61,39.49,39.59,3925200,39.59
2013-07-01,39.99,40.76,39.99,40.43,2547400,40.43
2013-06-28,40.33,40.63,39.80,39.85,4006800,39.85
2013-06-27,41.17,41.28,40.16,40.35,2368900,40.35
2013-06-26,40.47,41.08,40.41,40.95,2833000,40.95
2013-06-25,39.46,40.18,39.38,40.03,2636700,40.03
2013-06-24,39.09,39.31,38.63,39.14,2706900,39.14
2013-06-21,39.74,39.77,39.06,39.37,3805000,39.37
2013-06-20,40.30,40.30,39.23,39.42,3818800,39.42
2013-06-19,40.85,41.40,40.48,40.55,3077600,40.55
2013-06-18,39.84,40.79,39.69,40.77,2668600,40.77
2013-06-17,39.54,40.07,39.24,39.62,3908600,39.62
2013-06-14,38.83,39.49,38.73,39.41,4755000,39.41
2013-06-13,39.06,39.30,38.09,38.77,8204700,38.77
2013-06-12,40.11,40.15,39.03,39.15,3174500,39.15
2013-06-11,39.67,40.11,39.63,39.92,3273300,39.92
2013-06-10,40.18,40.23,39.84,40.01,4273700,40.01
2013-06-07,40.18,40.67,40.01,40.21,3439600,40.21
2013-06-06,39.76,40.25,39.43,40.00,3988000,40.00
2013-06-05,40.11,40.19,39.66,39.74,4412800,39.74
2013-06-04,40.89,41.19,39.93,40.40,4389200,40.40
2013-06-03,40.98,41.70,40.05,41.05,3896700,41.05
2013-05-31,41.18,41.51,40.56,40.59,3041300,40.59
2013-05-30,41.94,42.05,41.17,41.21,3086200,41.21
2013-05-29,41.93,42.11,41.62,42.00,3533000,42.00
2013-05-28,42.73,42.80,42.24,42.32,2184300,42.32
2013-05-24,41.78,42.65,41.74,42.33,2219000,42.33
2013-05-23,40.95,42.18,40.76,42.10,2675400,42.10
2013-05-22,42.27,42.44,41.07,41.17,3118600,41.17
2013-05-21,41.84,42.67,41.84,42.35,2441900,42.35
2013-05-20,42.75,43.00,41.86,41.88,4689600,41.88
2013-05-17,41.83,43.43,41.83,43.30,2700600,43.30
2013-05-16,42.39,42.54,41.78,41.83,2255800,41.83
2013-05-15,42.92,42.92,42.04,42.40,2929600,42.40
2013-05-14,43.01,43.31,42.52,42.88,2290500,42.88
2013-05-13,44.01,44.11,42.65,42.81,3298800,42.81
2013-05-10,44.87,44.92,44.04,44.13,1855200,44.13
2013-05-09,44.48,45.04,44.43,44.70,1596400,44.70
2013-05-08,44.40,44.99,43.93,44.47,2576500,44.47
2013-05-07,44.44,44.88,44.15,44.40,2737100,44.40
2013-05-06,43.76,44.46,43.36,44.36,3038000,44.36
2013-05-03,42.83,43.95,42.75,43.50,4355900,43.50
2013-05-02,40.96,42.50,40.94,42.45,3901100,42.45
2013-05-01,41.30,42.64,40.19,40.64,9157600,40.64
2013-04-30,43.65,43.98,42.95,43.64,3230800,43.64
2013-04-29,44.07,44.80,43.53,43.64,2003800,43.64
2013-04-26,43.99,44.22,43.06,43.91,2674700,43.91
2013-04-25,43.58,44.46,43.46,44.04,1022400,44.04
2013-04-24,43.89,44.12,43.22,43.43,1636300,43.43
2013-04-23,43.88,44.61,43.59,43.76,1416000,43.76
2013-04-22,43.78,44.12,43.06,43.84,1421900,43.84
2013-04-19,43.47,44.00,43.11,43.84,1355300,43.72
2013-04-18,43.90,43.96,43.18,43.66,1520000,43.54
2013-04-17,43.25,44.06,42.92,43.93,2953400,43.80
2013-04-16,44.32,44.58,42.75,43.39,5261200,43.27
2013-04-15,45.94,45.96,44.02,44.02,3515700,43.89
2013-04-12,45.00,46.05,44.99,45.98,4546800,45.85
2013-04-11,45.75,45.78,44.97,45.07,2470600,44.94
2013-04-10,45.35,45.77,43.86,45.61,6183900,45.48
2013-04-09,46.60,46.71,44.94,45.01,3354000,44.88
2013-04-08,46.13,46.60,45.64,46.58,2375800,46.45
2013-04-05,44.21,46.64,43.26,46.32,4863900,46.19
2013-04-04,46.10,46.20,44.52,44.83,6295100,44.70
2013-04-03,45.00,46.24,44.57,45.95,11209700,45.82
2013-04-02,47.24,47.72,46.28,46.47,9261300,46.34
2013-04-01,48.85,48.86,47.54,48.00,3179500,47.86
2013-03-28,48.70,48.99,48.33,48.94,2289900,48.80
2013-03-27,48.23,49.25,48.23,48.59,1464000,48.45
2013-03-26,48.72,48.95,48.24,48.35,1448100,48.21
2013-03-25,49.16,49.38,48.32,48.47,1284500,48.33
2013-03-22,48.95,49.48,48.27,48.83,2031700,48.69
2013-03-21,48.87,50.35,48.80,48.88,2613500,48.74
2013-03-20,49.39,49.61,48.90,49.02,1173000,48.88
2013-03-19,49.17,49.68,48.85,49.10,1075700,48.96
2013-03-18,49.05,49.57,48.50,49.16,991400,49.02
2013-03-15,48.94,49.55,48.76,49.41,1408400,49.27
2013-03-14,49.73,50.37,49.08,49.23,1612300,49.09
2013-03-13,48.67,50.20,48.67,49.73,1725600,49.59
2013-03-12,48.52,48.96,48.52,48.74,1716500,48.60
2013-03-11,47.81,49.29,47.76,48.45,1244000,48.31
2013-03-08,48.24,48.85,47.76,47.88,1339200,47.74
2013-03-07,48.29,48.66,47.92,48.04,1419900,47.90
2013-03-06,49.27,49.36,48.31,48.35,1268100,48.21
2013-03-05,48.83,49.66,48.80,48.98,1689800,48.84
2013-03-04,47.95,48.73,47.94,48.71,1533200,48.57
2013-03-01,47.50,48.20,47.30,47.93,1444200,47.79
2013-02-28,47.93,48.40,47.30,47.89,2128100,47.75
2013-02-27,46.31,48.30,46.31,47.99,3015600,47.85
2013-02-26,46.35,46.72,46.35,46.57,1396600,46.44
2013-02-25,47.47,47.95,46.13,46.24,1926500,46.11
2013-02-22,46.58,47.34,46.41,46.98,1480400,46.85
2013-02-21,47.20,47.31,45.92,46.39,2271700,46.26
2013-02-20,47.75,47.89,47.11,47.36,2823200,47.22
2013-02-19,46.40,47.51,46.35,47.27,2831300,47.14
2013-02-15,46.96,47.27,46.10,46.40,1908300,46.27
2013-02-14,47.47,47.57,46.65,46.73,1771600,46.60
2013-02-13,47.51,47.69,47.20,47.40,1261700,47.26
2013-02-12,47.70,47.88,47.03,47.29,1520900,47.16
2013-02-11,47.75,47.96,47.59,47.63,965300,47.49
2013-02-08,48.05,48.25,47.45,47.67,1368300,47.53
2013-02-07,48.12,48.47,47.93,48.15,2067000,48.01
2013-02-06,47.63,48.39,47.60,47.92,1735900,47.78
2013-02-05,47.49,48.05,47.01,48.01,2436000,47.87
2013-02-04,47.31,47.52,47.15,47.15,2189800,47.02
2013-02-01,47.89,47.89,47.09,47.59,2978600,47.45
2013-01-31,47.76,48.31,47.41,47.50,2835400,47.36
2013-01-30,49.00,49.10,47.40,48.00,5990300,47.86
2013-01-29,46.97,47.00,46.45,46.51,1960600,46.38
2013-01-28,47.25,47.47,46.47,46.97,952900,46.84
2013-01-25,47.04,47.30,46.63,47.18,1443200,46.92
2013-01-24,47.42,47.81,46.60,46.81,1848200,46.55
2013-01-23,47.86,48.18,47.19,47.36,1543300,47.10
2013-01-22,48.23,48.25,47.25,47.98,1319000,47.72
2013-01-18,48.54,48.91,47.67,47.98,2667700,47.72
2013-01-17,47.99,48.16,47.71,47.99,1620700,47.73
2013-01-16,47.18,47.90,46.96,47.79,2200800,47.53
2013-01-15,47.01,47.50,46.55,47.25,1729400,46.99
2013-01-14,46.97,47.50,46.50,47.38,1701900,47.12
2013-01-11,46.66,46.95,46.13,46.84,1180000,46.58
2013-01-10,46.34,46.66,45.69,46.50,2739700,46.24
2013-01-09,46.59,46.69,45.63,46.00,2016600,45.75
2013-01-08,47.01,47.50,45.83,46.47,2234200,46.21
2013-01-07,46.26,47.17,46.25,46.66,1597300,46.40
2013-01-04,46.23,46.80,45.86,46.75,1671900,46.49
2013-01-03,46.04,46.65,45.53,46.11,1998700,45.86
2013-01-02,47.06,47.31,45.93,46.02,2444500,45.77
2012-12-31,45.00,46.65,44.60,46.49,1980000,46.23
2012-12-28,45.74,46.28,45.25,45.35,1599400,45.10
2012-12-27,45.33,46.48,45.12,46.23,2266200,45.98
2012-12-26,45.23,45.23,44.28,45.06,1354100,44.81
2012-12-24,44.61,45.42,44.42,45.12,474200,44.87
2012-12-21,44.86,45.10,44.35,44.73,2796800,44.48
2012-12-20,44.99,45.72,44.71,45.37,1821000,45.12
2012-12-19,45.62,45.62,44.84,44.96,1314900,44.71
2012-12-18,46.33,47.00,45.32,45.73,3918900,45.48
2012-12-17,46.06,46.74,45.36,46.33,2063600,46.08
2012-12-14,45.00,46.09,44.70,45.90,2476600,45.65
2012-12-13,45.02,45.53,44.60,45.00,1064900,44.75
2012-12-12,45.27,45.64,44.85,45.22,1218200,44.97
2012-12-11,45.49,45.59,44.85,45.03,1050800,44.78
2012-12-10,45.56,45.88,45.07,45.25,1026300,45.00
2012-12-07,44.00,45.97,43.98,45.55,4140200,45.30
2012-12-06,43.83,44.19,43.25,43.88,2269300,43.64
2012-12-05,44.04,44.32,43.75,44.07,1065400,43.70
2012-12-04,44.31,45.00,43.95,44.00,1392800,43.63
2012-12-03,45.81,45.88,44.28,44.72,2737400,44.35
2012-11-30,44.83,45.98,44.73,45.90,2852600,45.52
2012-11-29,44.30,45.21,44.16,44.79,1909000,44.42
2012-11-28,42.38,44.27,42.38,44.15,3446300,43.78
2012-11-27,45.00,45.00,43.45,43.57,6803800,43.21
2012-11-26,42.65,43.27,42.61,43.10,1697200,42.74
2012-11-23,42.73,42.91,42.43,42.86,364900,42.50
2012-11-21,42.30,42.70,42.11,42.66,796400,42.31
2012-11-20,41.79,42.34,41.70,42.25,1526200,41.90
2012-11-19,41.46,42.28,41.20,41.74,1741100,41.39
2012-11-16,41.50,41.64,40.94,41.03,2192300,40.69
2012-11-15,41.50,41.97,40.99,41.40,2118000,41.06
2012-11-14,42.77,42.77,41.39,41.51,1523400,41.16
2012-11-13,42.41,43.19,42.20,42.83,1392100,42.47
2012-11-12,43.06,44.97,42.70,42.85,1072700,42.49
2012-11-09,42.09,43.35,41.87,43.06,3040300,42.70
2012-11-08,40.98,42.34,40.39,41.76,1589400,41.41
2012-11-07,41.60,41.83,40.85,40.98,2292200,40.64
2012-11-06,42.52,42.79,41.66,41.72,2102000,41.37
2012-11-05,41.50,42.51,41.17,41.88,1663900,41.53
2012-11-02,42.19,43.00,41.35,41.50,1864100,41.15
2012-11-01,41.51,41.83,40.97,41.28,2295400,40.94
2012-10-31,41.76,42.00,40.77,41.51,2729900,41.16
2012-10-26,40.98,42.58,40.92,41.86,3076600,41.51
2012-10-25,39.75,42.45,39.75,41.16,7659600,40.82
2012-10-24,38.15,38.57,37.55,38.32,2251600,38.00
2012-10-23,38.16,38.61,37.93,38.09,1848600,37.77
2012-10-22,38.60,38.97,38.35,38.90,1435300,38.58
2012-10-19,38.76,39.10,38.22,38.80,1514300,38.48
2012-10-18,37.26,39.00,36.91,38.56,3614600,38.24
2012-10-17,37.91,39.00,37.82,38.82,3869800,38.50
2012-10-16,36.99,38.00,36.55,37.84,3530900,37.53
2012-10-15,35.78,36.58,35.38,36.55,2831300,36.25
2012-10-12,36.23,36.50,35.98,36.48,2703100,36.18
2012-10-11,37.15,37.21,35.75,36.45,5293000,36.15
2012-10-10,36.97,37.64,36.73,37.06,4325900,36.75
2012-10-09,38.09,38.58,37.24,37.50,3872400,37.19
2012-10-08,36.64,38.54,36.56,38.23,3698600,37.91
2012-10-05,38.70,38.99,36.97,38.24,7520000,37.92
2012-10-04,39.09,39.38,38.39,38.57,3147300,38.25
2012-10-03,38.56,40.35,38.56,39.09,6480600,38.77
2012-10-02,37.18,38.55,36.30,38.33,9899000,38.01
