Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,12.50,12.62,12.45,12.60,3330800,12.60
2013-07-11,12.41,12.54,12.39,12.53,4191200,12.53
2013-07-10,12.01,12.28,11.98,12.26,6342200,12.26
2013-07-09,11.98,12.11,11.97,12.03,5249200,12.03
2013-07-08,11.89,12.01,11.88,11.92,4803900,11.92
2013-07-05,11.87,11.91,11.72,11.86,3694300,11.86
2013-07-03,11.70,11.97,11.62,11.83,2864900,11.83
2013-07-02,11.90,12.04,11.77,11.81,5972000,11.81
2013-07-01,12.11,12.11,11.85,11.90,5311800,11.90
2013-06-28,11.98,12.11,11.87,11.99,7134900,11.99
2013-06-27,11.97,12.10,11.90,11.96,7370700,11.96
2013-06-26,11.75,11.97,11.71,11.91,5247600,11.91
2013-06-25,11.51,11.78,11.40,11.67,6100000,11.67
2013-06-24,11.38,11.59,11.24,11.41,5858200,11.41
2013-06-21,11.51,11.61,11.17,11.48,7723500,11.48
2013-06-20,11.63,11.74,11.38,11.43,7258000,11.43
2013-06-19,12.13,12.17,11.68,11.68,7135400,11.68
2013-06-18,12.28,12.30,12.14,12.17,7075900,12.17
2013-06-17,12.42,12.48,12.18,12.25,4514300,12.25
2013-06-14,12.41,12.50,12.29,12.36,2304400,12.36
2013-06-13,12.17,12.41,12.12,12.39,3163100,12.39
2013-06-12,12.40,12.43,12.10,12.18,3640800,12.18
2013-06-11,12.16,12.39,12.06,12.31,4736500,12.31
2013-06-10,12.51,12.55,12.24,12.26,3919100,12.26
2013-06-07,12.32,12.61,12.28,12.51,4139200,12.51
2013-06-06,12.06,12.33,12.02,12.28,5945900,12.28
2013-06-05,12.21,12.25,12.02,12.07,4877000,12.07
2013-06-04,12.31,12.38,12.18,12.28,6288900,12.28
2013-06-03,12.21,12.39,12.04,12.29,7857800,12.29
2013-05-31,12.28,12.51,12.20,12.20,5623100,12.20
2013-05-30,12.40,12.66,12.30,12.31,4496400,12.31
2013-05-29,12.33,12.43,12.07,12.37,6643300,12.37
2013-05-28,12.75,12.77,12.27,12.42,7682500,12.42
2013-05-24,12.80,12.83,12.60,12.66,2892400,12.66
2013-05-23,12.75,12.98,12.55,12.90,5943900,12.90
2013-05-22,13.01,13.24,12.75,12.84,7910800,12.84
2013-05-21,12.93,13.05,12.84,13.00,8428200,13.00
2013-05-20,12.98,13.02,12.85,12.93,4060700,12.93
2013-05-17,12.88,13.00,12.86,12.99,4908300,12.99
2013-05-16,13.01,13.06,12.78,12.86,8298400,12.86
2013-05-15,13.14,13.27,12.98,13.08,10861600,13.08
2013-05-14,13.02,13.28,12.98,13.13,5578600,13.13
2013-05-13,13.24,13.24,12.96,13.01,5855100,13.01
2013-05-10,13.00,13.32,12.72,13.31,12089500,13.31
2013-05-09,13.79,13.80,13.18,13.22,7820500,13.22
2013-05-08,13.92,14.00,13.78,13.90,4829200,13.90
2013-05-07,13.83,13.98,13.76,13.96,5013500,13.96
2013-05-06,13.81,13.86,13.70,13.83,2747200,13.83
2013-05-03,13.91,13.98,13.79,13.82,4678400,13.82
2013-05-02,13.86,13.88,13.70,13.83,3763500,13.83
2013-05-01,13.86,13.94,13.74,13.80,3918100,13.80
2013-04-30,13.69,13.94,13.62,13.86,10961000,13.86
2013-04-29,13.50,13.74,13.45,13.66,6864000,13.66
2013-04-26,13.49,13.58,13.37,13.47,8188000,13.43
2013-04-25,13.26,13.60,13.16,13.46,7344100,13.42
2013-04-24,13.18,13.28,13.07,13.24,3718100,13.20
2013-04-23,13.00,13.20,12.90,13.15,4965100,13.11
2013-04-22,12.88,13.01,12.70,12.92,3847500,12.88
2013-04-19,12.53,12.88,12.53,12.87,5083200,12.83
2013-04-18,12.64,12.68,12.53,12.62,6448900,12.58
2013-04-17,12.78,12.80,12.47,12.64,9794700,12.60
2013-04-16,12.75,12.90,12.71,12.87,3786200,12.83
2013-04-15,13.07,13.20,12.66,12.69,5645000,12.65
2013-04-12,12.87,13.10,12.85,13.10,4166000,13.06
2013-04-11,12.87,12.98,12.85,12.93,4612400,12.89
2013-04-10,12.73,12.93,12.67,12.85,5271900,12.81
2013-04-09,12.64,12.72,12.51,12.64,6840400,12.60
2013-04-08,12.40,12.61,12.36,12.59,8949000,12.55
2013-04-05,12.37,12.58,12.36,12.43,6562800,12.39
2013-04-04,12.47,12.62,12.45,12.53,3259000,12.49
2013-04-03,12.52,12.57,12.41,12.46,4900500,12.42
2013-04-02,12.54,12.55,12.43,12.51,3064000,12.47
2013-04-01,12.57,12.61,12.39,12.51,3016500,12.47
2013-03-28,12.57,12.61,12.47,12.57,4020600,12.53
2013-03-27,12.33,12.55,12.26,12.54,4543500,12.50
2013-03-26,12.39,12.51,12.34,12.39,5049500,12.35
2013-03-25,12.49,12.54,12.25,12.30,6163200,12.26
2013-03-22,12.47,12.51,12.37,12.41,5071800,12.37
2013-03-21,12.63,12.69,12.42,12.42,4838200,12.38
2013-03-20,12.50,12.72,12.50,12.68,7344200,12.64
2013-03-19,12.46,12.49,12.29,12.45,4869100,12.41
2013-03-18,12.40,12.53,12.27,12.39,8102800,12.35
2013-03-15,12.52,12.61,12.38,12.50,8931000,12.46
2013-03-14,12.63,12.73,12.53,12.57,8850200,12.53
2013-03-13,12.52,12.71,12.46,12.64,4768400,12.60
2013-03-12,12.48,12.63,12.46,12.55,4151100,12.51
2013-03-11,12.30,12.53,12.30,12.51,4885000,12.47
2013-03-08,12.39,12.39,12.21,12.33,4384200,12.29
2013-03-07,12.35,12.38,12.25,12.32,5004600,12.28
2013-03-06,12.28,12.42,12.25,12.36,6689300,12.32
2013-03-05,12.04,12.23,12.01,12.18,6471600,12.14
2013-03-04,11.92,12.07,11.82,12.02,9989100,11.98
2013-03-01,11.56,11.94,11.52,11.93,7874700,11.89
2013-02-28,11.67,11.79,11.61,11.62,8716800,11.59
2013-02-27,11.07,11.80,11.01,11.64,11982300,11.61
2013-02-26,10.91,11.01,10.80,10.95,5059800,10.92
2013-02-25,11.27,11.32,10.89,10.90,7176700,10.87
2013-02-22,11.12,11.23,11.08,11.23,3545700,11.20
2013-02-21,11.35,11.36,11.04,11.06,4101600,11.03
2013-02-20,11.36,11.42,11.31,11.37,8649500,11.34
2013-02-19,11.17,11.37,11.17,11.37,4541800,11.34
2013-02-15,11.22,11.24,11.11,11.17,4121200,11.14
2013-02-14,11.31,11.38,11.21,11.21,4892100,11.18
2013-02-13,11.31,11.43,11.31,11.34,4463800,11.31
2013-02-12,11.23,11.33,11.17,11.31,5019900,11.28
2013-02-11,11.06,11.22,11.02,11.20,5735400,11.17
2013-02-08,11.12,11.14,10.99,11.07,6413900,11.04
2013-02-07,11.06,11.14,10.99,11.11,5463600,11.08
2013-02-06,10.95,11.09,10.93,11.06,4023200,11.03
2013-02-05,10.96,11.07,10.91,10.99,5720100,10.96
2013-02-04,11.09,11.11,10.90,10.92,4402400,10.89
2013-02-01,10.93,11.13,10.86,11.05,6578600,11.02
2013-01-31,10.89,10.95,10.78,10.84,7138500,10.81
2013-01-30,10.69,10.95,10.66,10.88,18373200,10.85
2013-01-29,10.85,10.86,10.67,10.70,20323400,10.63
2013-01-28,11.06,11.08,10.84,10.85,9922600,10.78
2013-01-25,11.10,11.18,11.00,11.09,5543800,11.02
2013-01-24,11.22,11.30,11.04,11.09,7951700,11.02
2013-01-23,11.28,11.31,11.10,11.21,4565400,11.13
2013-01-22,11.10,11.36,11.09,11.31,3983300,11.23
2013-01-18,11.10,11.14,11.00,11.14,2706700,11.07
2013-01-17,11.00,11.14,10.99,11.07,2677900,11.00
2013-01-16,10.94,11.02,10.89,10.95,3127200,10.88
2013-01-15,11.00,11.04,10.80,11.00,2746700,10.93
2013-01-14,11.10,11.18,10.99,11.03,4126900,10.96
2013-01-11,11.08,11.16,11.00,11.11,3671800,11.04
2013-01-10,10.95,11.11,10.88,11.09,3716300,11.02
2013-01-09,10.84,10.95,10.79,10.90,3836900,10.83
2013-01-08,10.81,10.93,10.69,10.85,3683000,10.78
2013-01-07,11.33,11.33,10.81,10.85,6791100,10.78
2013-01-04,10.99,11.25,10.93,11.20,6218700,11.12
2013-01-03,10.95,11.05,10.88,10.94,8415000,10.87
2013-01-02,10.89,11.03,10.81,11.00,5166900,10.93
2012-12-31,10.50,10.74,10.41,10.70,3652800,10.63
2012-12-28,10.56,10.64,10.48,10.51,2737400,10.44
2012-12-27,10.74,10.78,10.44,10.64,3612600,10.57
2012-12-26,10.82,10.87,10.74,10.77,2388900,10.70
2012-12-24,10.88,10.90,10.73,10.80,1203300,10.73
2012-12-21,10.94,10.99,10.77,10.90,5069900,10.83
2012-12-20,10.96,11.03,10.88,11.02,2636200,10.95
2012-12-19,11.08,11.08,10.89,10.91,5674100,10.84
2012-12-18,10.88,11.07,10.86,11.05,3788100,10.98
2012-12-17,10.76,10.92,10.74,10.90,5048900,10.83
2012-12-14,10.73,10.79,10.68,10.74,3670200,10.67
2012-12-13,10.72,10.78,10.61,10.77,4566700,10.70
2012-12-12,10.73,10.79,10.71,10.74,3855800,10.67
2012-12-11,10.73,10.87,10.69,10.72,4892800,10.65
2012-12-10,10.83,10.86,10.70,10.72,5272900,10.65
2012-12-07,10.84,10.98,10.77,10.86,5116700,10.79
2012-12-06,10.87,10.96,10.79,10.84,6648300,10.77
2012-12-05,10.70,10.92,10.62,10.86,8289900,10.79
2012-12-04,10.55,10.78,10.52,10.72,6784200,10.65
2012-12-03,10.76,10.76,10.53,10.57,4482800,10.50
2012-11-30,10.42,10.68,10.41,10.67,20870500,10.60
2012-11-29,10.44,10.46,10.28,10.42,4427100,10.35
2012-11-28,10.15,10.40,10.12,10.40,4244900,10.33
2012-11-27,10.22,10.34,10.12,10.17,7278600,10.10
2012-11-26,10.07,10.28,10.06,10.20,5643900,10.13
2012-11-23,10.14,10.18,10.02,10.10,2904400,10.03
2012-11-21,9.92,10.03,9.87,9.97,4155800,9.90
2012-11-20,9.94,9.99,9.81,9.92,5458900,9.85
2012-11-19,10.01,10.10,9.84,9.97,8651400,9.90
2012-11-16,9.74,9.93,9.64,9.89,7068500,9.82
2012-11-15,9.79,9.93,9.58,9.72,6977100,9.65
2012-11-14,9.76,9.82,9.52,9.78,9619400,9.71
2012-11-13,9.87,9.99,9.73,9.74,6580800,9.67
2012-11-12,10.13,10.34,9.83,9.91,3304200,9.84
2012-11-09,10.14,10.18,9.93,9.96,7646800,9.89
2012-11-08,10.08,10.18,10.01,10.15,6118200,10.08
2012-11-07,10.55,10.77,10.06,10.07,5944700,10.00
2012-11-06,10.37,10.63,10.33,10.48,5596400,10.41
2012-11-05,10.62,10.65,10.37,10.37,3400800,10.30
2012-11-02,10.57,10.70,10.55,10.66,5592400,10.59
2012-11-01,10.49,10.80,10.42,10.54,8865900,10.47
2012-10-31,10.51,10.61,10.37,10.45,3903900,10.38
2012-10-26,10.39,10.53,10.34,10.45,4931800,10.38
2012-10-25,10.55,10.62,10.36,10.45,4479800,10.34
2012-10-24,10.74,10.79,10.49,10.49,4397500,10.38
2012-10-23,10.70,10.78,10.58,10.73,6490000,10.62
2012-10-22,10.89,11.00,10.74,10.81,4915200,10.70
2012-10-19,11.10,11.16,10.97,11.04,2923600,10.92
2012-10-18,11.10,11.25,11.03,11.15,4747000,11.03
2012-10-17,10.92,11.12,10.79,11.10,8446500,10.98
2012-10-16,10.79,10.99,10.75,10.96,5478600,10.84
2012-10-15,10.60,10.74,10.54,10.74,4649200,10.63
2012-10-12,10.74,10.78,10.53,10.61,5396900,10.50
2012-10-11,10.69,10.86,10.67,10.70,4124700,10.59
2012-10-10,10.82,10.82,10.59,10.64,3092700,10.53
2012-10-09,10.83,10.88,10.73,10.78,3608200,10.67
2012-10-08,10.90,10.93,10.82,10.83,2507900,10.72
2012-10-05,11.02,11.10,10.87,10.92,3507900,10.81
2012-10-04,10.96,11.09,10.90,11.00,4994600,10.88
2012-10-03,10.92,10.99,10.85,10.91,4493600,10.80
2012-10-02,10.83,10.93,10.80,10.88,7147700,10.77
2012-10-01,10.96,11.10,10.75,10.80,5627900,10.69
2012-09-28,10.85,11.02,10.83,10.97,5213100,10.85
2012-09-27,10.97,11.06,10.86,10.89,5544000,10.78
2012-09-26,11.06,11.12,10.85,10.89,7175300,10.78
2012-09-25,11.25,11.36,11.05,11.05,5850000,10.93
2012-09-24,11.13,11.38,11.10,11.24,8053300,11.12
2012-09-21,11.22,11.22,11.08,11.12,7058500,11.00
2012-09-20,11.09,11.21,11.02,11.20,6313100,11.08
2012-09-19,11.18,11.25,11.12,11.14,5768600,11.02
2012-09-18,11.41,11.43,11.11,11.17,6259600,11.05
2012-09-17,11.53,11.60,11.37,11.40,5310600,11.28
2012-09-14,11.49,11.60,11.47,11.57,7927300,11.45
2012-09-13,11.31,11.51,11.21,11.50,6149600,11.38
2012-09-12,11.48,11.54,11.23,11.26,9175300,11.14
2012-09-11,11.45,11.53,11.41,11.50,4635300,11.38
2012-09-10,11.41,11.51,11.36,11.46,7676800,11.34
2012-09-07,11.39,11.46,11.29,11.39,6796400,11.27
2012-09-06,11.36,11.43,11.17,11.37,8654500,11.25
2012-09-05,11.29,11.35,11.11,11.29,6631200,11.17
2012-09-04,11.36,11.43,11.25,11.29,5721100,11.17
2012-08-31,11.44,11.49,11.32,11.39,3819300,11.27
2012-08-30,11.48,11.50,11.37,11.39,2436200,11.27
2012-08-29,11.45,11.57,11.44,11.52,4616300,11.40
2012-08-28,11.51,11.59,11.41,11.42,4348400,11.30
2012-08-27,11.51,11.59,11.49,11.56,3147500,11.44
2012-08-24,11.38,11.57,11.34,11.51,4209000,11.39
2012-08-23,11.65,11.66,11.36,11.38,4300200,11.26
2012-08-22,11.57,11.69,11.55,11.67,3586300,11.55
2012-08-21,11.66,11.72,11.58,11.61,3518800,11.49
2012-08-20,11.68,11.69,11.58,11.67,3228100,11.55
2012-08-17,11.79,11.81,11.60,11.67,3725600,11.55
2012-08-16,11.71,11.88,11.64,11.79,5805000,11.67
2012-08-15,11.72,11.77,11.63,11.66,5436300,11.54
2012-08-14,11.91,11.92,11.68,11.70,4403400,11.58
2012-08-13,11.73,11.88,11.71,11.86,4196900,11.74
2012-08-10,11.72,11.83,11.68,11.78,4069700,11.66
2012-08-09,11.70,11.80,11.64,11.76,5944500,11.64
2012-08-08,11.53,11.77,11.46,11.72,6764400,11.60
2012-08-07,11.68,11.78,11.50,11.53,6639800,11.41
2012-08-06,11.98,12.11,11.60,11.71,13522000,11.59
2012-08-03,12.24,12.34,12.19,12.25,5405000,12.12
2012-08-02,11.92,12.11,11.81,12.11,7263800,11.98
2012-08-01,12.12,12.22,11.98,12.00,5581400,11.87
2012-07-31,12.09,12.16,12.04,12.06,6151300,11.93
2012-07-30,12.02,12.25,12.01,12.11,9262100,11.98
2012-07-27,12.01,12.07,11.90,11.98,10385200,11.85
2012-07-26,11.97,12.14,11.89,11.97,7507400,11.84
2012-07-25,12.16,12.24,11.65,11.79,11321200,11.67
2012-07-24,12.39,12.43,12.01,12.10,8626700,11.97
2012-07-23,12.64,12.71,12.37,12.45,4270200,12.32
