Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,64.23,64.54,62.95,63.50,2990700,63.50
2013-07-11,64.79,65.17,63.98,64.04,3583300,64.04
2013-07-10,63.44,64.39,63.34,64.05,2867300,64.05
2013-07-09,63.55,63.93,63.23,63.29,2141200,63.29
2013-07-08,63.00,63.50,62.82,63.26,2403400,63.06
2013-07-05,62.61,62.89,61.95,62.58,1650800,62.38
2013-07-03,62.10,62.51,61.59,62.13,1826300,61.93
2013-07-02,63.30,63.33,62.15,62.43,3649300,62.23
2013-07-01,64.18,64.22,63.29,63.35,2285500,63.15
2013-06-28,63.65,64.13,63.30,63.54,2761600,63.34
2013-06-27,63.21,63.82,63.08,63.59,2518200,63.39
2013-06-26,62.75,63.47,62.03,62.96,3157000,62.76
2013-06-25,62.59,62.90,61.85,62.16,2829600,61.96
2013-06-24,61.50,62.79,61.35,62.16,5216700,61.96
2013-06-21,61.30,62.25,61.10,61.79,4112700,61.59
2013-06-20,61.54,61.91,60.68,60.82,2721100,60.63
2013-06-19,62.71,62.90,61.82,61.82,2935300,61.62
2013-06-18,61.48,62.74,61.32,62.65,2941800,62.45
2013-06-17,61.03,61.97,60.86,61.49,2592600,61.30
2013-06-14,61.51,61.92,60.35,60.53,3076900,60.34
2013-06-13,61.30,61.89,60.75,61.59,2630100,61.40
2013-06-12,62.00,62.24,61.36,61.37,3081600,61.18
2013-06-11,60.36,62.06,60.17,61.78,3767700,61.58
2013-06-10,60.28,61.11,60.21,60.97,2197500,60.78
2013-06-07,59.54,60.29,59.43,60.27,2418500,60.08
2013-06-06,58.42,59.37,57.96,59.37,3287300,59.18
2013-06-05,59.21,59.43,57.72,58.22,2830600,58.04
2013-06-04,59.63,60.33,58.90,59.36,2818200,59.17
2013-06-03,60.46,60.66,59.26,59.68,3137900,59.49
2013-05-31,62.23,62.23,60.34,60.38,4054800,60.19
2013-05-30,60.46,62.76,60.30,62.45,3850300,62.25
2013-05-29,60.64,60.95,60.22,60.29,2175200,60.10
2013-05-28,59.81,61.21,59.81,60.89,2754100,60.70
2013-05-24,60.08,60.19,58.88,59.31,2374800,59.12
2013-05-23,59.10,60.56,59.03,60.39,2139200,60.20
2013-05-22,60.25,61.19,59.31,59.53,2332300,59.34
2013-05-21,59.35,60.55,59.26,60.27,2506300,60.08
2013-05-20,59.85,59.93,58.97,59.14,2109800,58.95
2013-05-17,59.56,60.15,59.51,60.04,2612100,59.85
2013-05-16,59.62,60.03,59.52,59.53,2296300,59.34
2013-05-15,59.42,60.26,59.11,59.83,3232800,59.64
2013-05-14,59.13,59.68,59.13,59.39,2963500,59.20
2013-05-13,59.11,59.58,59.00,59.25,3436500,59.06
2013-05-10,59.43,59.71,58.88,59.10,3443200,58.91
2013-05-09,59.14,59.51,58.54,59.49,2331500,59.30
2013-05-08,59.16,59.50,58.81,59.35,3359400,59.16
2013-05-07,58.85,59.08,58.30,59.07,3905200,58.88
2013-05-06,58.92,59.47,58.52,58.69,2972700,58.50
2013-05-03,58.54,59.09,58.29,59.00,2401800,58.81
2013-05-02,58.48,59.18,58.13,58.35,2824900,58.17
2013-05-01,57.53,59.38,57.45,58.25,3910000,58.07
2013-04-30,57.10,58.64,56.57,57.44,5665200,57.26
2013-04-29,57.35,57.54,56.05,56.16,3753100,55.98
2013-04-26,56.83,57.41,56.65,57.01,2118800,56.83
2013-04-25,57.22,57.39,56.24,56.88,3731300,56.70
2013-04-24,57.19,57.36,56.40,56.99,3488100,56.81
2013-04-23,55.30,55.81,54.82,55.55,2097900,55.37
2013-04-22,55.88,55.88,54.88,55.02,1933000,54.85
2013-04-19,54.58,55.96,54.50,55.87,2930600,55.69
2013-04-18,54.01,55.18,53.51,54.18,4556000,54.01
2013-04-17,56.33,56.35,54.61,55.29,3591900,55.12
2013-04-16,55.89,56.69,55.14,56.64,3676000,56.46
2013-04-15,56.54,56.76,55.23,55.26,2357100,55.09
2013-04-12,56.60,56.93,56.46,56.78,2955300,56.60
2013-04-11,56.14,56.72,55.82,56.70,2561700,56.52
2013-04-10,55.76,56.47,55.56,56.09,2519500,55.91
2013-04-09,54.51,55.89,54.37,55.53,3797800,55.35
2013-04-08,53.96,54.59,53.36,54.49,2294600,54.12
2013-04-05,54.27,54.47,53.63,54.00,2291400,53.63
2013-04-04,54.45,55.08,54.25,54.60,3142500,54.23
2013-04-03,54.34,55.62,53.93,54.43,5519900,54.06
2013-04-02,55.02,55.37,54.06,54.30,9969100,53.93
2013-04-01,51.03,54.05,50.40,52.38,5603600,52.02
2013-03-28,50.89,51.19,50.48,51.13,2108000,50.78
2013-03-27,50.45,50.92,50.39,50.87,1884100,50.52
