Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,89.97,90.56,89.48,90.51,2122500,90.51
2013-07-11,91.29,91.83,89.11,89.43,3281100,89.43
2013-07-10,87.90,89.42,87.75,89.32,3191100,89.32
2013-07-09,86.09,87.62,85.83,87.25,3095200,87.25
2013-07-08,84.84,87.45,84.84,85.65,2556600,85.65
2013-07-05,84.31,85.30,83.95,84.35,1947500,84.35
2013-07-03,83.57,84.83,83.23,84.24,2174400,84.24
2013-07-02,83.68,84.84,82.56,84.64,2853600,84.64
2013-07-01,85.33,85.33,83.76,83.90,2463600,83.90
2013-06-28,85.43,85.63,84.04,84.24,3694700,84.24
2013-06-27,87.06,87.71,85.11,85.43,4101300,85.43
2013-06-26,85.76,87.71,85.40,86.81,5143800,86.81
2013-06-25,83.39,86.70,83.16,85.25,8935300,85.25
2013-06-24,87.57,88.24,81.33,81.99,15498900,81.99
2013-06-21,95.04,95.51,90.85,92.70,11773400,92.70
2013-06-20,98.88,99.13,95.90,96.24,2357800,96.24
2013-06-19,101.56,101.59,99.25,99.28,2141900,99.28
2013-06-18,101.80,102.17,100.66,101.49,1873400,101.49
2013-06-17,101.48,102.94,101.00,101.48,2387800,101.48
2013-06-14,101.50,101.85,100.67,101.14,1135900,101.14
2013-06-13,100.19,101.58,99.64,101.53,1934100,101.53
2013-06-12,101.02,102.10,100.23,100.24,1335500,100.24
2013-06-11,99.11,101.39,98.62,100.39,1634300,100.39
2013-06-10,99.85,100.39,99.15,100.19,1522600,100.19
2013-06-07,99.47,100.74,99.17,99.75,1934100,99.75
2013-06-06,97.45,99.35,96.81,99.35,2125900,99.35
2013-06-05,98.44,98.88,96.95,97.25,1285900,97.25
2013-06-04,99.11,99.73,98.00,98.47,1462300,98.47
2013-06-03,99.50,99.97,97.50,98.94,2687000,98.94
2013-05-31,100.65,101.47,99.44,99.49,2236900,99.49
2013-05-30,100.32,102.33,100.32,101.07,2226600,101.07
2013-05-29,99.66,101.50,99.13,100.02,2660100,100.02
2013-05-28,99.51,100.53,98.55,99.71,2773600,99.71
2013-05-24,97.58,98.57,96.88,98.02,1833800,98.02
2013-05-23,96.93,98.62,96.76,97.96,4355500,97.96
2013-05-22,98.52,99.33,97.46,97.73,2802700,97.73
2013-05-21,98.83,99.65,97.86,98.54,3800000,98.54
2013-05-20,101.40,101.40,98.17,98.50,2585800,98.45
2013-05-17,100.56,101.43,99.62,101.41,2566600,101.36
2013-05-16,102.50,102.50,100.09,100.42,2663000,100.37
2013-05-15,103.40,104.07,102.72,102.82,2621500,102.77
2013-05-14,103.72,104.80,103.14,103.78,1909600,103.73
2013-05-13,103.91,104.21,103.36,103.86,1300000,103.81
2013-05-10,103.88,104.46,103.06,104.18,1511700,104.13
2013-05-09,103.46,104.30,102.83,103.15,1482600,103.10
2013-05-08,104.78,105.22,103.15,103.31,2135800,103.26
2013-05-07,104.93,104.93,104.18,104.74,1967000,104.69
2013-05-06,105.11,105.30,103.61,104.29,2328800,104.24
2013-05-03,104.34,105.16,102.03,104.77,3893400,104.72
2013-05-02,100.00,104.00,100.00,101.31,5603200,101.26
2013-05-01,111.98,112.85,96.77,98.67,18209900,98.62
2013-04-30,113.45,114.91,113.23,113.55,1670000,113.49
2013-04-29,112.48,113.76,112.23,113.68,899100,113.62
2013-04-26,111.10,112.49,111.06,111.98,1057800,111.92
2013-04-25,111.58,111.71,110.60,111.41,1374700,111.35
2013-04-24,114.11,114.39,111.01,111.11,1730300,111.05
2013-04-23,114.50,115.25,113.18,114.09,1081100,114.03
2013-04-22,113.90,114.29,112.96,114.08,867400,114.02
2013-04-19,112.54,113.83,112.29,113.74,920300,113.68
2013-04-18,113.22,113.34,111.92,112.27,1022800,112.21
2013-04-17,112.25,113.21,111.83,112.98,1065300,112.92
2013-04-16,112.99,113.93,111.94,113.12,1707200,113.06
2013-04-15,115.74,116.04,114.01,114.03,1026400,113.97
2013-04-12,115.82,116.12,114.93,116.02,666700,115.96
2013-04-11,114.99,116.45,114.70,116.17,975500,116.11
2013-04-10,114.13,114.83,113.57,114.78,621900,114.72
2013-04-09,112.88,113.87,112.69,113.70,1025000,113.64
2013-04-08,112.27,112.70,111.84,112.70,979600,112.64
2013-04-05,113.20,113.64,112.29,112.51,1829200,112.45
2013-04-04,114.08,114.75,113.65,114.42,881700,114.36
2013-04-03,115.00,115.00,113.39,113.85,1260300,113.79
2013-04-02,113.24,114.95,112.18,114.79,1761100,114.73
2013-04-01,111.98,112.60,111.28,112.58,1173200,112.52
2013-03-28,111.83,112.30,111.47,111.63,1670200,111.57
2013-03-27,111.08,111.79,110.58,111.63,675000,111.57
2013-03-26,111.27,112.25,111.24,111.76,869400,111.70
2013-03-25,112.00,112.00,110.44,110.80,1076100,110.74
2013-03-22,110.56,111.95,110.33,111.89,1225100,111.83
2013-03-21,110.08,112.00,109.91,110.42,1546300,110.36
2013-03-20,109.42,110.86,109.39,110.72,1611500,110.66
2013-03-19,108.76,109.15,108.01,108.62,1157000,108.56
2013-03-18,108.25,108.83,107.93,108.50,954900,108.44
2013-03-15,108.95,109.68,108.63,108.98,1645300,108.92
2013-03-14,109.91,110.18,108.97,109.35,1499100,109.29
2013-03-13,109.84,110.26,109.23,109.66,1218800,109.60
2013-03-12,110.54,110.82,109.56,110.08,1301600,110.02
2013-03-11,109.50,110.93,109.21,110.49,999200,110.43
2013-03-08,110.05,110.19,108.70,109.45,1518200,109.39
2013-03-07,111.00,111.23,109.36,109.59,1521000,109.53
2013-03-06,111.40,111.84,110.84,111.47,809900,111.41
2013-03-05,109.94,111.46,109.64,111.35,1535700,111.29
2013-03-04,108.26,109.74,108.07,109.74,1088400,109.68
2013-03-01,108.32,108.97,107.74,108.60,1103600,108.54
2013-02-28,108.00,109.20,107.90,108.42,1643600,108.36
2013-02-27,107.08,108.77,106.90,108.49,1049000,108.43
2013-02-26,106.78,107.57,106.29,107.05,1041700,107.00
2013-02-25,108.00,108.34,106.42,106.42,1341800,106.32
2013-02-22,106.19,107.98,105.98,107.92,1272900,107.81
2013-02-21,107.89,108.06,105.75,105.87,2113100,105.77
2013-02-20,108.31,109.10,108.01,108.08,1290900,107.97
2013-02-19,107.97,109.31,107.64,109.08,1350800,108.97
2013-02-15,107.76,108.22,107.27,108.02,1954200,107.91
2013-02-14,106.50,107.75,106.50,107.66,1168700,107.55
2013-02-13,107.50,107.53,106.10,107.02,1335000,106.92
2013-02-12,107.35,107.71,106.96,107.14,862100,107.04
2013-02-11,107.50,107.50,106.50,107.42,1000800,107.32
2013-02-08,106.28,107.65,106.20,107.63,1417500,107.52
2013-02-07,108.10,108.31,105.38,106.18,2203400,106.08
2013-02-06,107.13,108.73,106.37,108.53,1748700,108.42
2013-02-05,105.17,107.59,104.96,106.70,1822700,106.60
2013-02-04,106.25,106.25,104.94,105.07,1685700,104.97
2013-02-01,105.59,107.06,105.26,106.85,1347800,106.75
2013-01-31,105.20,105.79,104.94,105.01,1479200,104.91
2013-01-30,106.07,106.84,105.38,105.60,1457600,105.50
2013-01-29,106.39,106.90,106.00,106.04,1117000,105.94
2013-01-28,107.50,107.69,106.16,106.29,1352300,106.19
2013-01-25,106.75,107.25,106.07,107.21,1630500,107.11
2013-01-24,104.90,107.49,104.16,106.69,3186300,106.59
2013-01-23,105.52,106.40,104.13,104.65,2469500,104.55
2013-01-22,105.19,106.04,104.52,105.75,1850900,105.65
2013-01-18,104.89,105.13,104.10,104.98,1795900,104.88
2013-01-17,105.15,105.68,104.67,104.92,1626600,104.82
2013-01-16,104.00,104.97,103.41,104.71,1568400,104.61
2013-01-15,103.32,104.80,102.90,104.49,1631000,104.39
2013-01-14,103.46,104.12,102.12,103.89,1703000,103.79
2013-01-11,103.75,104.13,102.72,103.19,3894500,103.09
2013-01-10,101.06,103.62,100.80,103.38,3282900,103.28
2013-01-09,98.91,100.74,98.91,100.70,2061600,100.60
2013-01-08,97.99,99.07,97.85,98.86,1376400,98.76
2013-01-07,97.55,98.63,97.34,98.34,1764600,98.24
2013-01-04,96.52,98.08,96.39,97.87,2268600,97.77
