Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,45.99,46.83,45.80,46.74,13022500,46.74
2013-07-11,46.26,46.36,45.76,45.92,15967000,45.92
2013-07-10,45.76,46.03,45.50,45.72,10186900,45.72
2013-07-09,45.85,46.04,45.61,45.78,15044300,45.78
2013-07-08,45.47,45.73,45.31,45.52,9459900,45.52
2013-07-05,44.70,45.34,44.58,45.19,9687000,45.19
2013-07-03,44.61,44.71,44.17,44.22,7433200,44.22
2013-07-02,44.95,45.56,44.87,44.89,17234200,44.89
2013-07-01,44.82,45.42,44.73,45.09,12675600,45.09
2013-06-28,44.38,45.11,44.07,44.70,39987400,44.70
2013-06-27,43.95,44.73,43.83,44.48,16681200,44.48
2013-06-26,43.84,44.11,43.21,43.62,14282300,43.62
2013-06-25,42.85,43.80,42.78,43.35,16197500,43.35
2013-06-24,43.01,43.04,41.53,42.32,27345600,42.32
2013-06-21,44.60,44.61,43.33,43.69,25687200,43.69
2013-06-20,44.57,45.00,44.02,44.27,21068600,44.27
2013-06-19,45.10,45.85,44.78,44.81,17730100,44.81
2013-06-18,44.57,45.23,44.38,45.14,14905300,45.14
2013-06-17,45.51,45.60,44.59,45.15,14222400,45.15
2013-06-14,45.90,46.45,45.26,45.38,12433200,45.38
2013-06-13,44.49,45.97,44.23,45.94,15254500,45.94
2013-06-12,45.27,45.73,44.31,44.66,17980100,44.66
2013-06-11,45.35,45.43,44.71,44.92,14954900,44.92
2013-06-10,45.43,46.02,44.90,45.95,13077500,45.95
2013-06-07,45.06,45.44,44.42,45.28,13346200,45.28
2013-06-06,43.71,44.87,43.31,44.86,18795700,44.86
2013-06-05,45.43,45.50,43.31,43.90,24360000,43.90
2013-06-04,44.96,45.47,43.69,44.10,15159600,44.10
2013-06-03,44.68,45.08,43.23,44.75,18624100,44.75
2013-05-31,44.77,46.00,44.45,44.46,34718800,44.46
2013-05-30,45.49,46.46,45.33,46.21,13256700,46.21
2013-05-29,44.51,45.66,44.46,45.52,14798200,45.52
2013-05-28,45.60,45.85,44.97,45.17,14721600,45.17
2013-05-24,44.15,44.72,43.92,44.69,11933900,44.69
2013-05-23,43.33,44.78,43.25,44.53,17464900,44.53
2013-05-22,44.78,45.74,43.98,44.31,17679600,44.31
2013-05-21,45.04,45.40,44.52,44.96,10859000,44.96
2013-05-20,45.17,45.40,44.75,44.89,11032900,44.89
2013-05-17,44.87,45.47,44.85,45.23,9880600,45.23
2013-05-16,45.40,45.90,44.68,44.91,14297800,44.91
2013-05-15,46.37,46.45,45.19,45.58,19061500,45.58
2013-05-14,44.83,46.19,44.83,46.08,16798600,46.08
2013-05-13,44.81,44.95,44.15,44.64,13206100,44.64
2013-05-10,44.11,44.36,43.66,44.18,12153100,44.18
2013-05-09,44.37,44.50,43.91,44.07,12838500,44.07
2013-05-08,44.24,44.64,44.06,44.35,14656700,44.35
2013-05-07,44.57,44.95,44.04,44.60,21882600,44.60
2013-05-06,44.65,45.85,44.04,45.48,21720200,45.48
2013-05-03,43.63,44.90,43.53,44.52,40420100,44.52
2013-05-02,41.64,42.47,41.44,42.13,22015300,42.13
2013-05-01,42.00,42.21,41.12,41.19,17502400,41.19
2013-04-30,41.34,42.38,41.08,41.42,17196600,41.42
2013-04-29,41.29,41.49,40.37,41.31,14002300,41.31
2013-04-26,41.59,41.96,40.64,40.87,25541400,40.87
2013-04-25,41.74,42.66,41.53,42.28,27502600,42.28
2013-04-24,40.66,41.88,40.66,41.60,23650300,41.60
2013-04-23,39.29,40.74,39.21,40.62,26587400,40.62
