Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,52.51,53.09,52.26,53.09,303100,53.09
2013-07-11,52.99,52.99,52.24,52.51,511100,52.51
2013-07-10,52.24,52.51,51.95,52.30,456900,52.30
2013-07-09,52.21,52.75,52.18,52.41,459500,52.41
2013-07-08,51.29,51.97,51.29,51.78,596900,51.78
2013-07-05,50.88,51.16,50.71,50.95,472400,50.95
2013-07-03,50.28,50.86,50.20,50.43,309700,50.43
2013-07-02,51.47,51.65,51.20,51.31,452900,51.31
2013-07-01,51.17,51.60,50.97,51.51,832100,51.51
2013-06-28,50.85,51.42,50.49,50.91,746000,50.91
2013-06-27,50.56,51.09,50.51,50.91,519900,50.91
2013-06-26,50.20,50.60,50.03,50.26,612600,50.26
2013-06-25,49.88,50.12,49.44,49.82,476900,49.82
2013-06-24,49.76,49.92,49.03,49.40,599100,49.40
2013-06-21,50.68,50.96,49.64,50.24,902200,50.24
2013-06-20,50.61,51.12,50.08,50.22,525300,50.22
2013-06-19,51.87,51.92,51.02,51.03,375700,51.03
2013-06-18,51.42,51.91,51.19,51.82,421200,51.82
2013-06-17,50.82,51.49,50.71,51.35,326100,51.35
2013-06-14,50.86,51.10,50.38,50.56,522900,50.56
2013-06-13,50.08,51.05,49.92,50.86,435800,50.86
2013-06-12,50.39,50.70,50.02,50.08,357000,50.08
2013-06-11,50.21,50.59,49.94,50.05,299200,50.05
2013-06-10,50.03,50.79,50.03,50.70,446900,50.70
2013-06-07,49.74,50.04,49.35,49.97,481300,49.97
2013-06-06,48.69,49.42,48.41,49.42,557600,49.42
2013-06-05,48.85,49.06,48.44,48.62,494700,48.62
2013-06-04,49.54,49.67,48.56,48.98,617400,48.98
2013-06-03,49.84,50.26,49.02,49.58,538600,49.58
2013-05-31,50.26,50.78,49.74,49.74,679900,49.74
2013-05-30,49.75,50.80,49.73,50.58,410300,50.58
2013-05-29,49.63,49.98,49.41,49.64,868800,49.64
2013-05-28,50.33,51.03,49.93,49.97,720600,49.97
2013-05-24,49.72,49.88,49.49,49.71,569800,49.71
2013-05-23,49.25,50.25,49.13,50.05,578200,50.05
2013-05-22,50.61,51.19,49.86,49.94,713600,49.69
2013-05-21,50.21,50.80,50.11,50.60,614800,50.35
2013-05-20,49.44,50.31,49.44,50.29,578700,50.04
2013-05-17,49.39,49.94,49.39,49.84,410700,49.59
2013-05-16,49.48,49.70,49.21,49.30,407600,49.05
2013-05-15,48.58,49.59,48.52,49.57,664100,49.32
2013-05-14,48.06,48.69,47.94,48.64,415100,48.40
2013-05-13,47.39,48.03,47.39,47.95,792200,47.71
2013-05-10,47.62,47.71,47.29,47.38,626000,47.14
2013-05-09,47.93,48.05,47.38,47.52,688400,47.28
2013-05-08,48.12,48.31,47.85,47.87,1113300,47.63
2013-05-07,48.05,48.16,47.86,48.06,1012500,47.82
2013-05-06,47.54,48.10,47.54,47.92,676800,47.68
2013-05-03,48.23,48.50,47.34,47.45,908600,47.21
2013-05-02,47.58,47.88,47.23,47.81,542100,47.57
2013-05-01,47.69,47.91,47.34,47.34,573700,47.10
2013-04-30,47.13,47.58,47.13,47.54,641900,47.30
2013-04-29,46.73,47.25,46.72,47.15,841800,46.91
2013-04-26,46.49,46.85,46.44,46.52,539200,46.29
2013-04-25,45.03,46.71,45.03,46.60,985400,46.37
2013-04-24,47.43,47.75,47.30,47.69,938300,47.45
2013-04-23,47.03,47.52,46.91,47.28,645500,47.04
2013-04-22,46.61,46.97,45.93,46.81,512300,46.58
2013-04-19,46.47,46.73,46.27,46.66,857100,46.43
2013-04-18,46.86,46.96,45.96,46.11,1093000,45.88
2013-04-17,47.16,47.41,46.67,46.72,904600,46.49
2013-04-16,46.87,47.56,46.81,47.51,660600,47.27
2013-04-15,47.24,47.57,46.53,46.53,688600,46.30
2013-04-12,47.31,47.60,47.31,47.49,369100,47.25
2013-04-11,47.34,47.86,47.06,47.50,1080700,47.26
2013-04-10,46.59,47.23,46.49,47.16,1187700,46.92
2013-04-09,45.77,45.94,45.44,45.64,734500,45.41
2013-04-08,45.09,45.78,45.01,45.77,584900,45.54
2013-04-05,44.80,45.09,44.74,45.01,675700,44.78
2013-04-04,45.14,45.46,45.01,45.37,974000,45.14
2013-04-03,45.39,45.57,45.00,45.01,874500,44.78
2013-04-02,45.24,45.46,45.02,45.30,662400,45.07
2013-04-01,45.01,45.11,44.79,44.98,506100,44.75
2013-03-28,44.37,45.05,44.23,45.01,803000,44.78
2013-03-27,43.86,44.54,43.72,44.40,1013100,44.18
2013-03-26,42.90,44.52,42.90,44.06,2193700,43.84
2013-03-25,44.30,44.40,43.95,44.00,1121300,43.78
2013-03-22,44.09,44.20,43.58,44.02,1372400,43.80
2013-03-21,44.37,44.69,43.07,43.85,1575600,43.63
2013-03-20,44.66,44.79,44.34,44.54,496700,44.32
2013-03-19,44.07,44.52,43.92,44.38,608900,44.16
2013-03-18,43.55,44.33,43.55,43.97,597400,43.75
2013-03-15,44.08,44.45,43.94,44.04,1119100,43.82
2013-03-14,43.79,44.47,43.72,44.21,439700,43.99
2013-03-13,43.83,44.04,43.68,43.72,837500,43.50
2013-03-12,43.62,43.90,43.41,43.82,652800,43.60
2013-03-11,42.71,43.65,42.71,43.57,559000,43.35
2013-03-08,42.78,42.94,42.60,42.84,437000,42.63
2013-03-07,42.37,42.62,42.16,42.58,602700,42.37
2013-03-06,42.85,43.11,42.13,42.34,1125700,42.13
2013-03-05,42.13,42.76,42.00,42.60,985900,42.39
2013-03-04,41.63,41.93,41.29,41.92,759900,41.71
2013-03-01,41.74,41.90,41.32,41.82,893700,41.61
2013-02-28,40.97,42.27,40.78,41.99,1366200,41.78
2013-02-27,40.63,41.13,40.24,41.04,867200,40.83
2013-02-26,40.68,41.01,40.17,40.65,896100,40.45
2013-02-25,41.83,41.83,40.47,40.47,851900,40.27
2013-02-22,41.17,41.79,41.17,41.64,844000,41.43
2013-02-21,41.19,41.19,40.72,41.01,1011200,40.80
2013-02-20,42.03,42.05,41.26,41.29,1058000,40.87
2013-02-19,41.81,42.38,41.67,42.21,1372300,41.79
2013-02-15,41.92,42.13,41.57,41.84,1198100,41.42
2013-02-14,41.15,42.18,41.06,42.01,1435500,41.59
2013-02-13,41.06,41.39,40.83,41.39,1100800,40.97
2013-02-12,39.15,41.35,39.05,41.05,2462300,40.64
2013-02-11,38.50,38.79,38.36,38.48,452900,38.09
2013-02-08,38.55,38.74,38.09,38.56,651900,38.17
2013-02-07,39.82,40.33,38.13,38.39,2148800,38.00
2013-02-06,38.28,38.91,38.20,38.81,945900,38.42
2013-02-05,38.36,38.72,38.00,38.58,1024500,38.19
2013-02-04,38.86,38.86,37.94,38.16,1063000,37.78
2013-02-01,38.51,39.25,38.31,39.00,1069400,38.61
2013-01-31,38.26,38.41,37.87,38.24,802300,37.86
2013-01-30,38.76,38.78,38.15,38.47,762000,38.08
2013-01-29,38.78,38.98,38.42,38.83,997000,38.44
