Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,34.78,35.19,34.72,35.05,2399800,35.05
2013-07-11,34.13,34.60,34.10,34.50,2835300,34.50
2013-07-10,33.50,33.88,33.41,33.84,1697300,33.84
2013-07-09,33.30,33.65,33.21,33.58,2117600,33.58
2013-07-08,33.81,33.91,32.82,33.03,1978000,33.03
2013-07-05,33.33,33.78,33.18,33.69,1448200,33.69
2013-07-03,32.82,33.40,32.74,33.26,909900,33.26
2013-07-02,33.03,33.46,32.65,32.96,2483300,32.96
2013-07-01,33.14,33.58,32.93,33.16,1982200,33.16
2013-06-28,32.79,33.37,32.75,32.99,5432500,32.99
2013-06-27,32.88,33.31,32.65,33.03,3807700,33.03
2013-06-26,32.82,32.96,32.39,32.72,2588500,32.72
2013-06-25,32.19,32.69,31.95,32.61,3599000,32.61
2013-06-24,31.80,32.01,31.47,31.80,3092100,31.80
2013-06-21,31.79,32.21,31.68,31.99,4791900,31.99
2013-06-20,32.19,32.19,31.57,31.79,4020500,31.79
2013-06-19,32.85,33.05,32.44,32.50,2259500,32.50
2013-06-18,32.83,33.15,32.83,32.93,2375000,32.93
2013-06-17,32.60,33.13,32.55,32.86,2307900,32.86
2013-06-14,32.55,32.88,32.17,32.29,3114100,32.29
2013-06-13,31.52,32.57,31.42,32.49,3255800,32.49
2013-06-12,32.30,32.52,31.42,31.50,2748900,31.50
2013-06-11,32.33,32.64,32.03,32.15,2367900,32.15
2013-06-10,32.65,32.75,32.24,32.63,2353800,32.63
2013-06-07,32.10,32.67,31.68,32.61,3890100,32.61
2013-06-06,33.16,33.26,31.97,32.00,7903300,32.00
2013-06-05,33.45,33.65,32.87,33.04,3818100,33.04
2013-06-04,33.90,34.15,33.59,33.67,4698200,33.67
2013-06-03,33.37,33.63,32.82,33.13,3177100,33.13
2013-05-31,33.31,33.73,33.19,33.22,2494000,33.22
2013-05-30,33.34,33.77,33.27,33.58,3290000,33.58
2013-05-29,33.03,33.43,32.78,33.32,4248600,33.32
2013-05-28,33.30,33.49,32.98,33.06,2736100,33.06
2013-05-24,32.50,32.94,32.34,32.94,1825900,32.94
2013-05-23,32.65,32.81,32.29,32.71,3356300,32.71
2013-05-22,33.82,33.91,32.52,32.80,4831200,32.80
2013-05-21,33.89,34.02,33.70,33.91,1993300,33.91
2013-05-20,33.88,34.22,33.83,33.90,2639500,33.90
2013-05-17,33.53,34.11,33.38,34.11,3885900,34.11
2013-05-16,33.45,33.88,33.27,33.30,3505300,33.30
2013-05-15,32.75,33.40,32.71,33.20,1990100,33.20
2013-05-14,32.77,33.04,32.44,32.88,2197700,32.88
2013-05-13,33.04,33.04,32.75,32.81,2072300,32.81
2013-05-10,33.11,33.20,32.79,33.05,1750700,33.05
2013-05-09,33.00,33.21,32.80,33.01,1770200,33.01
2013-05-08,32.94,33.14,32.80,32.98,2075600,32.98
2013-05-07,33.07,33.34,32.93,33.04,1849300,32.94
