Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,16.46,16.66,16.43,16.66,10329400,16.66
2013-07-11,16.47,16.50,16.28,16.49,14302300,16.49
2013-07-10,15.60,16.47,15.60,16.30,30007600,16.30
2013-07-09,15.41,15.73,15.37,15.66,26328800,15.66
2013-07-08,15.36,15.41,15.04,15.14,10152800,15.14
2013-07-05,15.12,15.31,14.97,15.22,8382900,15.22
2013-07-03,14.75,15.05,14.67,15.00,5556600,15.00
2013-07-02,14.78,14.99,14.68,14.82,9789100,14.82
2013-07-01,15.06,15.18,14.79,14.82,8993800,14.82
2013-06-28,14.87,14.99,14.62,14.92,25016600,14.92
2013-06-27,15.13,15.14,14.88,14.91,9374800,14.91
2013-06-26,15.37,15.42,14.92,14.97,18520800,14.97
2013-06-25,15.10,15.32,15.02,15.27,12763100,15.27
2013-06-24,14.96,15.06,14.81,14.98,14138800,14.98
2013-06-21,15.07,15.19,14.79,15.08,22344300,15.08
2013-06-20,15.51,15.53,15.02,15.07,18635500,15.07
2013-06-19,15.97,16.05,15.66,15.70,19500400,15.70
2013-06-18,15.77,16.09,15.77,15.97,13865400,15.97
2013-06-17,15.56,15.90,15.56,15.78,13251000,15.78
2013-06-14,15.62,15.75,15.38,15.41,10417700,15.41
2013-06-13,15.29,15.61,15.24,15.60,11424400,15.60
2013-06-12,15.61,15.81,15.16,15.25,24026500,15.25
2013-06-11,15.34,15.44,15.17,15.19,8689400,15.19
2013-06-10,15.50,15.60,15.37,15.46,9489600,15.46
2013-06-07,15.03,15.52,15.01,15.49,12485500,15.49
2013-06-06,15.20,15.24,14.88,14.95,16828700,14.95
2013-06-05,15.52,15.54,15.12,15.15,16748800,15.15
2013-06-04,15.45,15.64,15.40,15.54,19216700,15.54
2013-06-03,15.21,15.50,15.20,15.43,21290400,15.43
2013-05-31,15.17,15.39,15.16,15.20,22089500,15.20
2013-05-30,14.85,15.43,14.84,15.25,19744900,15.25
2013-05-29,14.78,14.94,14.72,14.80,12546100,14.80
2013-05-28,14.66,14.91,14.62,14.87,12792800,14.87
2013-05-24,14.50,14.60,14.46,14.50,10009200,14.50
2013-05-23,14.43,14.63,14.34,14.60,15548800,14.60
2013-05-22,14.66,14.90,14.45,14.54,10787500,14.54
2013-05-21,14.83,14.91,14.66,14.67,13243200,14.67
2013-05-20,14.90,15.03,14.84,14.91,9654300,14.81
