Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,4.48,4.50,4.26,4.32,50254100,4.32
2013-07-11,4.22,4.45,4.16,4.45,106833900,4.45
2013-07-10,4.06,4.06,3.96,3.98,19122800,3.98
2013-07-09,4.02,4.08,4.01,4.05,9550900,4.05
2013-07-08,4.08,4.09,3.98,4.00,16896500,4.00
2013-07-05,4.08,4.10,4.03,4.07,8965400,4.07
2013-07-03,4.00,4.07,3.96,4.06,11271000,4.06
2013-07-02,4.09,4.12,3.95,3.97,17714800,3.97
2013-07-01,4.11,4.13,4.07,4.10,10696000,4.10
2013-06-28,4.08,4.12,4.02,4.08,13308000,4.08
2013-06-27,4.19,4.19,4.06,4.08,17426100,4.08
2013-06-26,4.20,4.21,4.12,4.14,19805500,4.14
2013-06-25,4.11,4.15,4.06,4.15,26605000,4.15
2013-06-24,4.07,4.09,3.99,4.05,29135600,4.05
2013-06-21,3.97,4.04,3.90,4.00,32752000,4.00
2013-06-20,4.02,4.03,3.86,3.87,26704000,3.87
2013-06-19,4.15,4.18,4.04,4.07,24193500,4.07
2013-06-18,4.10,4.11,4.05,4.09,22841700,4.09
2013-06-17,4.12,4.14,4.02,4.05,31973300,4.05
2013-06-14,3.98,4.04,3.91,3.94,14395600,3.94
2013-06-13,3.90,3.96,3.87,3.95,14192300,3.95
2013-06-12,4.00,4.03,3.90,3.90,14600100,3.90
2013-06-11,4.00,4.11,3.96,3.96,20201200,3.96
2013-06-10,3.95,4.08,3.92,4.06,32378100,4.06
2013-06-07,3.98,3.99,3.88,3.91,12026500,3.91
2013-06-06,3.87,3.94,3.81,3.94,20863700,3.94
2013-06-05,4.01,4.03,3.89,3.91,15404600,3.91
2013-06-04,3.95,4.04,3.94,4.01,19612600,4.01
2013-06-03,4.02,4.03,3.81,3.96,23938100,3.96
2013-05-31,4.07,4.11,3.99,4.00,17715000,4.00
2013-05-30,4.00,4.06,3.99,4.04,15229500,4.04
2013-05-29,4.01,4.05,3.96,3.98,16279300,3.98
2013-05-28,4.13,4.15,4.02,4.05,19603800,4.05
2013-05-24,4.03,4.06,3.97,4.05,20655600,4.05
2013-05-23,3.81,4.05,3.79,4.01,33152600,4.01
2013-05-22,4.08,4.10,3.91,3.96,28771500,3.96
2013-05-21,4.15,4.20,3.95,4.02,36560500,4.02
2013-05-20,4.18,4.20,4.07,4.10,35458600,4.10
2013-05-17,3.93,4.10,3.90,4.07,33952700,4.07
2013-05-16,3.90,3.94,3.66,3.83,80221500,3.83
2013-05-15,4.29,4.42,4.26,4.38,39347300,4.38
2013-05-14,4.31,4.32,4.18,4.26,53292800,4.26
2013-05-13,3.95,4.22,3.94,4.17,54889400,4.17
2013-05-10,3.79,3.97,3.79,3.95,30586600,3.95
2013-05-09,3.91,3.99,3.83,3.86,47232300,3.86
2013-05-08,3.54,3.85,3.47,3.83,57017200,3.83
2013-05-07,3.65,3.67,3.44,3.54,35339500,3.54
2013-05-06,3.72,3.75,3.53,3.61,51378200,3.61
2013-05-03,3.47,3.80,3.47,3.60,87328700,3.60
2013-05-02,3.16,3.48,3.14,3.41,74185900,3.41
2013-05-01,2.81,3.28,2.79,3.22,88006700,3.22
2013-04-30,2.68,2.82,2.67,2.82,32647200,2.82
2013-04-29,2.66,2.70,2.65,2.68,11220000,2.68
2013-04-26,2.66,2.68,2.60,2.64,17317200,2.64
2013-04-25,2.63,2.72,2.63,2.68,20971000,2.68
2013-04-24,2.54,2.62,2.52,2.61,16537800,2.61
2013-04-23,2.50,2.55,2.47,2.53,14550400,2.53
2013-04-22,2.47,2.51,2.43,2.46,14131700,2.46
2013-04-19,2.44,2.50,2.39,2.47,25040200,2.47
2013-04-18,2.40,2.56,2.29,2.51,27340500,2.51
2013-04-17,2.41,2.47,2.40,2.40,14829200,2.40
2013-04-16,2.43,2.44,2.40,2.44,10954300,2.44
2013-04-15,2.45,2.47,2.40,2.40,11522300,2.40
2013-04-12,2.50,2.50,2.43,2.48,10712600,2.48
2013-04-11,2.55,2.57,2.46,2.52,12946700,2.52
2013-04-10,2.65,2.66,2.57,2.61,20686300,2.61
2013-04-09,2.58,2.63,2.44,2.63,33886600,2.63
2013-04-08,2.31,2.61,2.26,2.59,44767800,2.59
2013-04-05,2.30,2.31,2.28,2.29,13725000,2.29
2013-04-04,2.34,2.37,2.32,2.33,11177500,2.33
2013-04-03,2.40,2.41,2.32,2.32,14485800,2.32
2013-04-02,2.45,2.45,2.38,2.39,11427400,2.39
2013-04-01,2.54,2.57,2.42,2.44,14464800,2.44
2013-03-28,2.55,2.57,2.52,2.55,4866900,2.55
2013-03-27,2.50,2.62,2.50,2.55,5902600,2.55
2013-03-26,2.52,2.54,2.50,2.54,6330300,2.54
2013-03-25,2.57,2.60,2.49,2.51,11266100,2.51
2013-03-22,2.66,2.67,2.53,2.54,18524100,2.54
2013-03-21,2.73,2.75,2.63,2.64,17021600,2.64
2013-03-20,2.70,2.75,2.69,2.75,13502800,2.75
2013-03-19,2.66,2.70,2.62,2.67,19316200,2.67
2013-03-18,2.59,2.68,2.55,2.65,12996000,2.65
2013-03-15,2.60,2.62,2.58,2.60,15805100,2.60
2013-03-14,2.62,2.63,2.58,2.63,9222000,2.63
2013-03-13,2.62,2.63,2.57,2.60,7482100,2.60
2013-03-12,2.59,2.63,2.57,2.61,9510100,2.61
2013-03-11,2.57,2.60,2.51,2.59,13393400,2.59
2013-03-08,2.57,2.64,2.52,2.56,11330600,2.56
2013-03-07,2.44,2.57,2.43,2.55,21089800,2.55
2013-03-06,2.45,2.46,2.40,2.43,10834600,2.43
2013-03-05,2.45,2.47,2.40,2.43,13958900,2.43
2013-03-04,2.44,2.45,2.36,2.40,14570000,2.40
2013-03-01,2.50,2.51,2.42,2.42,19689400,2.42
2013-02-28,2.56,2.57,2.48,2.49,11378900,2.49
2013-02-27,2.48,2.55,2.45,2.53,10653100,2.53
2013-02-26,2.54,2.55,2.44,2.46,17584400,2.46
2013-02-25,2.64,2.65,2.53,2.53,16946200,2.53
2013-02-22,2.64,2.67,2.55,2.61,20254200,2.61
2013-02-21,2.69,2.69,2.52,2.60,30776300,2.60
2013-02-20,2.84,2.84,2.68,2.70,21361700,2.70
2013-02-19,2.75,2.82,2.73,2.82,19819200,2.82
2013-02-15,2.77,2.79,2.70,2.71,10718400,2.71
2013-02-14,2.74,2.75,2.69,2.75,13289000,2.75
2013-02-13,2.81,2.83,2.73,2.75,11495000,2.75
2013-02-12,2.71,2.78,2.69,2.77,13675500,2.77
2013-02-11,2.59,2.70,2.59,2.67,22415300,2.67
2013-02-08,2.58,2.60,2.58,2.59,5972800,2.59
2013-02-07,2.61,2.63,2.56,2.57,6780200,2.57
2013-02-06,2.59,2.64,2.56,2.60,8831000,2.60
2013-02-05,2.55,2.60,2.49,2.60,12440400,2.60
2013-02-04,2.63,2.64,2.52,2.52,15382300,2.52
2013-02-01,2.63,2.68,2.57,2.60,18806200,2.60
2013-01-31,2.70,2.71,2.45,2.60,27846400,2.60
2013-01-30,2.75,2.78,2.63,2.65,19781200,2.65
2013-01-29,2.86,2.86,2.69,2.74,20071100,2.74
2013-01-28,2.89,2.92,2.78,2.82,23636700,2.82
2013-01-25,2.84,2.93,2.82,2.85,33639700,2.85
2013-01-24,2.70,2.84,2.67,2.79,32497200,2.79
2013-01-23,2.62,2.75,2.59,2.73,69200500,2.73
2013-01-22,2.52,2.54,2.43,2.45,35143000,2.45
2013-01-18,2.65,2.68,2.43,2.46,41786200,2.46
2013-01-17,2.76,2.78,2.71,2.74,17872200,2.74
2013-01-16,2.67,2.76,2.63,2.72,31384700,2.72
2013-01-15,2.62,2.70,2.60,2.68,23696400,2.68
2013-01-14,2.68,2.70,2.62,2.64,17300300,2.64
2013-01-11,2.63,2.68,2.55,2.67,20032100,2.67
2013-01-10,2.69,2.70,2.61,2.62,19408800,2.62
2013-01-09,2.70,2.72,2.60,2.63,16675100,2.63
2013-01-08,2.72,2.76,2.64,2.67,29140800,2.67
2013-01-07,2.61,2.70,2.60,2.67,25575200,2.67
2013-01-04,2.51,2.59,2.49,2.59,22054200,2.59
2013-01-03,2.52,2.59,2.46,2.49,24966900,2.49
2013-01-02,2.55,2.57,2.45,2.53,27214800,2.53
2012-12-31,2.29,2.42,2.28,2.40,20698200,2.40
2012-12-28,2.30,2.36,2.25,2.28,26210200,2.28
2012-12-27,2.42,2.43,2.34,2.39,18485500,2.39
2012-12-26,2.49,2.53,2.42,2.43,12798000,2.43
2012-12-24,2.54,2.57,2.47,2.48,9625400,2.48
2012-12-21,2.33,2.59,2.25,2.59,40732900,2.59
2012-12-20,2.53,2.53,2.37,2.40,24819400,2.40
2012-12-19,2.55,2.57,2.49,2.52,20586800,2.52
2012-12-18,2.50,2.53,2.47,2.52,26636300,2.52
2012-12-17,2.41,2.46,2.39,2.46,15273300,2.46
2012-12-14,2.43,2.44,2.39,2.39,16552900,2.39
2012-12-13,2.40,2.44,2.38,2.41,25069800,2.41
2012-12-12,2.37,2.44,2.36,2.37,24565900,2.37
2012-12-11,2.34,2.36,2.30,2.33,14745400,2.33
2012-12-10,2.35,2.39,2.31,2.32,10015500,2.32
2012-12-07,2.38,2.39,2.29,2.36,34202800,2.36
2012-12-06,2.33,2.39,2.27,2.34,22223500,2.34
2012-12-05,2.30,2.32,2.25,2.29,20378800,2.29
2012-12-04,2.48,2.48,2.21,2.26,52165300,2.26
2012-12-03,2.28,2.46,2.26,2.36,70160800,2.36
2012-11-30,2.16,2.22,2.11,2.20,66853900,2.20
2012-11-29,2.01,2.12,2.01,2.04,42800100,2.04
2012-11-28,1.88,1.99,1.86,1.96,27471900,1.96
2012-11-27,1.87,1.89,1.85,1.88,22732800,1.88
2012-11-26,1.96,1.97,1.84,1.87,30192600,1.87
2012-11-23,1.92,1.97,1.92,1.95,8567500,1.95
2012-11-21,1.89,1.92,1.86,1.87,7525400,1.87
2012-11-20,1.92,1.92,1.86,1.88,11637300,1.88
2012-11-19,1.90,1.95,1.89,1.92,18774000,1.92
2012-11-16,1.87,1.90,1.81,1.86,23501300,1.86
2012-11-15,1.93,1.93,1.86,1.87,20270000,1.87
2012-11-14,2.04,2.05,1.92,1.93,40052600,1.93
2012-11-13,1.98,2.35,1.97,2.09,60092100,2.09
2012-11-12,2.04,2.06,1.99,1.99,15959100,1.99
2012-11-09,2.00,2.07,1.97,2.03,39582000,2.03
2012-11-08,2.03,2.06,1.96,1.98,35841500,1.98
2012-11-07,2.07,2.10,2.01,2.01,30029200,2.01
2012-11-06,2.12,2.14,2.06,2.07,24027100,2.07
2012-11-05,2.10,2.12,2.06,2.11,21064800,2.11
2012-11-02,2.15,2.15,2.07,2.10,20725300,2.10
2012-11-01,2.07,2.14,2.05,2.14,21773300,2.14
2012-10-31,2.13,2.14,2.05,2.05,17427600,2.05
2012-10-26,2.13,2.14,2.06,2.07,16693000,2.07
2012-10-25,2.10,2.15,2.07,2.12,21980400,2.12
