Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,86.53,86.78,86.01,86.60,1218900,86.60
2013-07-11,86.17,86.58,85.63,86.46,1121200,86.46
2013-07-10,84.66,85.17,83.95,84.56,1106000,84.56
2013-07-09,84.54,85.00,83.54,84.92,889300,84.92
2013-07-08,83.87,84.38,83.40,83.58,755100,83.58
2013-07-05,82.03,83.12,81.57,83.10,533800,83.10
2013-07-03,81.00,81.33,80.49,81.12,658300,81.12
2013-07-02,81.37,82.41,81.19,81.82,1029000,81.82
2013-07-01,81.60,82.42,81.37,81.44,1051100,81.44
2013-06-28,81.40,81.42,80.43,80.88,1806900,80.88
2013-06-27,80.99,81.75,80.68,81.69,1078400,81.69
2013-06-26,80.18,80.89,79.92,80.33,1307900,80.33
2013-06-25,78.37,79.73,77.90,79.26,1137300,79.26
2013-06-24,78.25,78.40,76.77,77.45,1640500,77.45
2013-06-21,80.08,80.31,78.26,79.16,2451000,79.16
2013-06-20,80.62,81.26,78.73,79.06,2207400,79.06
2013-06-19,83.24,83.75,81.52,81.53,1659600,81.53
2013-06-18,82.96,83.80,82.85,83.39,821400,83.39
2013-06-17,82.66,83.47,82.28,82.64,1309500,82.64
2013-06-14,82.84,83.11,81.50,81.86,1501000,81.86
2013-06-13,81.09,83.21,80.85,82.99,782600,82.99
2013-06-12,83.25,83.53,81.03,81.11,934200,81.11
2013-06-11,82.08,83.70,81.62,82.52,1268100,82.52
2013-06-10,83.48,83.67,82.48,83.14,1137900,83.14
2013-06-07,81.74,83.18,81.15,83.07,1411100,83.07
2013-06-06,79.73,81.02,79.33,81.02,1113500,81.02
2013-06-05,81.81,81.92,79.64,79.73,1634800,79.73
2013-06-04,81.20,82.81,81.11,82.18,1936600,82.18
2013-06-03,81.91,82.25,80.29,81.03,2473700,81.03
2013-05-31,83.21,83.74,81.52,81.52,1553700,81.52
2013-05-30,82.15,84.29,81.90,83.94,1300000,83.94
2013-05-29,81.75,82.68,81.51,82.12,1110600,82.12
2013-05-28,81.66,82.93,81.54,82.52,1083700,82.52
2013-05-24,79.69,80.30,79.34,80.20,793400,80.20
2013-05-23,79.55,81.09,79.14,80.39,1159600,80.39
2013-05-22,81.77,82.97,80.44,80.81,1483500,80.81
2013-05-21,81.77,82.03,81.17,81.53,1466300,81.53
2013-05-20,81.49,82.03,81.43,81.71,1041500,81.71
2013-05-17,81.03,81.93,80.90,81.69,1146900,81.69
2013-05-16,81.16,81.78,80.35,80.46,1179900,80.46
2013-05-15,80.43,81.55,80.15,81.54,1171000,81.54
2013-05-14,79.05,80.95,78.91,80.86,1549300,80.86
2013-05-13,78.10,79.25,77.65,79.05,1430700,79.05
2013-05-10,76.62,78.25,76.50,78.20,1125900,78.20
2013-05-09,76.91,77.32,76.39,76.54,1165900,76.54
2013-05-08,77.20,77.24,76.60,76.99,1604600,76.99
2013-05-07,77.06,77.59,76.51,77.35,1048000,77.35
2013-05-06,75.74,76.77,75.66,76.64,1148300,76.64
2013-05-03,74.57,75.96,74.33,75.80,1790900,75.80
2013-05-02,72.89,73.72,72.30,73.56,1624300,73.56
2013-05-01,74.35,74.35,72.91,72.96,1618700,72.44
2013-04-30,74.22,74.90,73.64,74.53,1306500,74.00
2013-04-29,73.66,74.36,73.31,74.18,1025000,73.65
2013-04-26,73.74,74.15,73.27,73.48,952700,72.96
2013-04-25,73.17,74.27,72.83,73.98,1117200,73.45
2013-04-24,73.79,73.98,72.57,72.65,1712700,72.13
2013-04-23,73.00,74.57,72.83,73.64,1779400,73.12
2013-04-22,71.98,72.56,70.85,72.38,1240200,71.86
2013-04-19,70.10,72.21,69.84,72.18,1977800,71.67
2013-04-18,71.47,71.48,69.35,69.60,2156900,69.10
2013-04-17,72.40,72.46,70.82,71.30,1659300,70.79
2013-04-16,72.89,73.21,72.10,73.14,1268300,72.62
2013-04-15,74.47,74.53,71.88,71.93,1386800,71.42
2013-04-12,74.78,75.09,74.23,74.73,754100,74.20
2013-04-11,74.60,75.50,74.49,75.28,1175700,74.74
2013-04-10,72.79,74.57,72.79,74.47,1014200,73.94
2013-04-09,72.43,73.20,72.11,72.81,789900,72.29
2013-04-08,71.29,72.35,71.16,72.33,883800,71.81
2013-04-05,70.67,71.57,70.27,71.48,1076500,70.97
2013-04-04,71.96,72.47,71.70,72.00,1092300,71.49
2013-04-03,73.64,73.65,71.55,71.81,1311100,71.30
2013-04-02,73.14,73.53,72.85,73.43,1789300,72.91
2013-04-01,73.52,74.00,72.70,72.87,1205400,72.35
2013-03-28,72.97,73.82,72.85,73.65,1577400,73.13
2013-03-27,72.75,73.19,72.64,73.05,2141200,72.53
2013-03-26,73.71,74.23,73.34,73.69,1847400,73.16
2013-03-25,74.08,74.38,72.98,73.47,1160200,72.95
2013-03-22,73.87,74.10,73.50,73.65,1139400,73.13
2013-03-21,74.50,75.00,73.60,73.64,1529200,73.12
2013-03-20,74.36,75.14,74.35,74.88,1058100,74.35
2013-03-19,74.44,74.75,73.68,73.97,2203100,73.44
2013-03-18,73.36,74.71,73.27,74.17,1941900,73.64
2013-03-15,73.86,74.64,73.58,74.33,2561900,73.80
2013-03-14,73.85,74.52,73.57,74.46,1778200,73.93
2013-03-13,72.20,73.40,71.67,73.35,1267000,72.83
2013-03-12,72.09,72.35,71.83,71.92,1140400,71.41
2013-03-11,72.05,72.47,71.90,72.21,1568300,71.70
2013-03-08,71.19,72.11,71.16,72.09,1896300,71.58
2013-03-07,70.69,71.07,70.42,70.74,988200,70.24
2013-03-06,70.51,70.61,70.15,70.51,2132600,70.01
2013-03-05,69.37,70.57,69.18,70.27,1784900,69.77
2013-03-04,68.00,68.90,67.79,68.87,1460700,68.38
2013-03-01,68.04,68.38,66.94,68.08,2272600,67.59
2013-02-28,68.11,69.15,67.98,68.63,1847400,68.14
2013-02-27,66.31,68.28,66.31,68.11,1230400,67.62
2013-02-26,66.66,66.89,65.95,66.62,1675000,66.15
2013-02-25,68.31,68.73,66.25,66.25,1627300,65.78
2013-02-22,67.65,67.93,67.48,67.93,1017600,67.45
2013-02-21,67.70,67.82,67.06,67.25,1174100,66.77
2013-02-20,68.90,69.07,67.89,67.95,1537900,67.47
2013-02-19,68.83,69.15,68.83,69.03,1477500,68.54
2013-02-15,69.17,69.34,68.71,68.77,1748200,68.28
2013-02-14,67.58,69.12,67.58,69.04,1573000,68.55
2013-02-13,67.50,68.22,67.32,67.89,1173800,67.41
2013-02-12,66.71,67.54,66.60,67.49,1445900,67.01
2013-02-11,66.40,66.69,66.17,66.49,636000,66.02
2013-02-08,66.21,66.62,66.08,66.49,862400,66.02
2013-02-07,66.48,66.72,65.47,66.13,1321000,65.66
2013-02-06,65.80,66.61,65.73,66.61,1327400,65.69
2013-02-05,65.94,66.54,65.75,66.28,1494400,65.36
2013-02-04,66.67,66.76,65.14,65.31,3297200,64.41
2013-02-01,67.15,67.34,66.49,67.15,1508100,66.22
2013-01-31,66.86,67.44,65.72,66.32,2338700,65.40
2013-01-30,67.19,67.32,66.31,66.86,1763100,65.94
2013-01-29,66.55,67.41,66.25,67.39,1370200,66.46
2013-01-28,67.40,67.40,66.33,66.79,879500,65.87
2013-01-25,67.10,67.38,66.57,67.38,950700,66.45
2013-01-24,66.53,67.31,66.39,66.88,1215300,65.95
2013-01-23,66.36,66.48,65.95,66.43,678900,65.51
2013-01-22,65.69,66.53,65.62,66.53,857700,65.61
2013-01-18,65.26,65.92,64.79,65.90,1305600,64.99
2013-01-17,64.53,65.60,64.42,65.40,1283100,64.50
2013-01-16,64.63,64.71,64.10,64.25,1197000,63.36
2013-01-15,64.93,65.12,64.39,64.88,1247800,63.98
2013-01-14,65.08,65.38,64.96,65.30,1347600,64.40
2013-01-11,64.77,65.36,64.62,65.07,1116900,64.17
2013-01-10,64.80,65.00,64.49,65.00,939800,64.10
2013-01-09,64.25,64.61,64.13,64.27,957800,63.38
2013-01-08,63.90,64.68,63.59,63.98,1452200,63.09
2013-01-07,65.65,65.75,64.97,65.25,1137000,64.35
2013-01-04,65.24,66.03,65.10,65.95,827000,65.04
2013-01-03,65.21,66.01,65.06,65.17,1673200,64.27
2013-01-02,64.25,65.31,64.16,65.28,1860300,64.38
2012-12-31,62.00,62.64,61.79,62.63,1187400,61.76
2012-12-28,62.09,62.77,61.99,62.19,895200,61.33
2012-12-27,62.54,62.80,61.63,62.57,1011200,61.70
2012-12-26,62.96,63.12,62.41,62.47,700400,61.61
2012-12-24,62.54,63.01,62.40,62.89,511300,62.02
2012-12-21,62.67,63.07,62.24,62.67,2420600,61.80
2012-12-20,62.91,63.52,62.83,63.51,988000,62.63
2012-12-19,63.49,63.75,62.91,62.91,1231600,62.04
2012-12-18,62.46,63.59,62.28,63.52,1756300,62.64
2012-12-17,61.63,62.50,61.55,62.49,1090600,61.63
2012-12-14,61.21,61.59,61.09,61.22,860800,60.37
2012-12-13,61.78,61.89,61.12,61.38,1133600,60.53
2012-12-12,61.75,62.76,61.66,61.90,1667800,61.04
2012-12-11,61.68,61.93,61.39,61.51,1569500,60.66
2012-12-10,61.96,62.00,61.29,61.29,1738600,60.44
2012-12-07,61.90,62.70,61.83,62.35,1722200,61.49
2012-12-06,61.03,61.82,60.74,61.78,1152100,60.93
2012-12-05,60.61,61.36,60.48,61.12,1074400,60.27
2012-12-04,60.94,61.12,60.55,60.61,1124500,59.77
2012-12-03,60.92,61.49,60.81,61.10,1444700,60.25
2012-11-30,61.38,61.74,60.67,60.67,1900000,59.83
2012-11-29,60.95,61.74,60.75,61.46,1367200,60.61
2012-11-28,59.65,60.74,59.45,60.69,1348600,59.85
2012-11-27,60.38,60.98,60.13,60.15,1308000,59.32
2012-11-26,60.60,60.80,60.41,60.50,1832300,59.66
