Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,298.69,307.55,298.50,307.55,4539300,307.55
2013-07-11,294.99,300.69,292.10,299.66,4007300,299.66
2013-07-10,291.41,293.34,289.40,292.33,1810200,292.33
2013-07-09,291.00,292.57,288.01,291.53,2775600,291.53
2013-07-08,286.42,291.67,286.14,290.59,3046700,290.59
2013-07-05,285.00,286.38,282.07,285.88,1985400,285.88
2013-07-03,282.00,285.40,282.00,284.03,1373000,284.03
2013-07-02,281.04,286.58,280.59,283.73,3238200,283.73
2013-07-01,279.00,283.29,277.16,282.10,2888200,282.10
2013-06-28,276.19,279.83,276.19,277.69,3193300,277.69
2013-06-27,279.18,280.20,274.54,277.55,2519500,277.55
2013-06-26,273.98,277.98,273.50,277.57,3029500,277.57
2013-06-25,272.30,273.47,269.00,272.09,2449600,272.09
2013-06-24,271.29,273.16,265.00,270.61,3863800,270.61
2013-06-21,274.57,275.84,269.79,273.36,4201000,273.36
2013-06-20,275.14,278.60,272.39,273.44,2984000,273.44
2013-06-19,281.26,283.34,277.87,278.16,2827500,278.16
2013-06-18,279.08,282.91,278.11,281.76,2146100,281.76
2013-06-17,276.35,280.20,275.65,278.06,2884000,278.06
2013-06-14,275.00,277.07,273.44,273.99,2150800,273.99
2013-06-13,271.50,276.80,270.29,275.79,2649800,275.79
2013-06-12,276.60,276.80,270.45,271.67,2238900,271.67
2013-06-11,276.00,278.41,274.24,274.78,3097800,274.78
2013-06-10,276.68,282.47,275.24,281.07,3086500,281.07
2013-06-07,269.74,280.10,269.13,276.87,4632600,276.87
2013-06-06,267.75,270.50,264.21,267.83,2476300,267.83
2013-06-05,265.81,271.66,265.02,267.17,3512300,267.17
2013-06-04,267.00,268.88,263.02,265.70,2088600,265.70
2013-06-03,268.96,269.11,262.95,266.88,2543900,266.88
2013-05-31,266.00,271.91,265.94,269.20,3374300,269.20
2013-05-30,265.71,268.57,265.61,266.83,1667500,266.83
2013-05-29,265.46,268.25,264.84,265.53,1903400,265.53
2013-05-28,266.48,271.10,266.00,267.29,3471000,267.29
2013-05-24,259.85,261.93,258.34,261.74,1696300,261.74
2013-05-23,260.49,263.17,259.59,261.80,2000300,261.80
2013-05-22,267.39,267.59,260.80,262.96,3332000,262.96
2013-05-21,268.74,270.77,267.66,268.86,1741200,268.86
2013-05-20,269.00,271.79,266.50,267.63,2209000,267.63
2013-05-17,265.83,269.98,265.00,269.90,2527300,269.90
2013-05-16,265.96,268.43,263.85,264.12,1643500,264.12
2013-05-15,267.07,269.05,264.56,266.56,2720500,266.56
2013-05-14,264.50,269.40,264.03,268.33,2700000,268.33
2013-05-13,262.77,265.88,262.00,264.51,2149500,264.51
2013-05-10,260.88,263.65,260.21,263.63,3145300,263.63
