Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,97.04,97.09,96.09,96.65,1238600,96.65
2013-07-11,97.61,97.66,96.60,97.01,1629800,97.01
2013-07-10,95.70,96.70,94.86,96.53,2349800,96.53
2013-07-09,92.80,96.17,92.77,95.96,4251200,95.96
2013-07-08,91.75,92.56,91.38,92.35,1579500,92.35
2013-07-05,92.26,92.43,91.28,91.88,987900,91.88
2013-07-03,90.61,92.17,90.12,91.39,1436500,91.39
2013-07-02,92.13,93.60,90.47,90.75,4446400,90.75
2013-07-01,91.51,95.02,90.60,93.51,3382000,93.51
2013-06-28,92.67,93.17,91.31,91.57,3032700,91.57
2013-06-27,94.48,94.77,92.37,92.78,2878500,92.78
2013-06-26,95.68,96.40,95.40,96.13,1406400,95.42
2013-06-25,94.22,94.83,93.92,94.61,1862100,93.91
2013-06-24,93.64,94.04,92.61,93.55,1893900,92.86
2013-06-21,94.29,94.80,93.62,94.59,2390900,93.89
2013-06-20,95.38,95.71,94.14,94.28,1962600,93.58
2013-06-19,96.72,97.12,96.12,96.16,1321600,95.45
2013-06-18,96.55,96.74,96.14,96.58,1298400,95.87
2013-06-17,96.64,96.88,96.25,96.57,1752500,95.86
2013-06-14,95.73,96.59,95.25,96.35,2300600,95.64
2013-06-13,94.68,95.60,94.31,95.34,1392500,94.64
2013-06-12,95.36,95.50,94.71,94.79,2143600,94.09
2013-06-11,94.11,95.35,93.75,94.90,1480600,94.20
2013-06-10,95.10,95.30,94.75,94.99,1108900,94.29
2013-06-07,94.88,95.14,94.00,95.09,1415800,94.39
2013-06-06,94.19,94.66,93.76,94.55,1804600,93.85
2013-06-05,95.07,95.52,94.10,94.10,2153200,93.40
2013-06-04,94.50,95.54,94.34,95.39,1443500,94.69
2013-06-03,94.39,94.80,93.98,94.77,1422500,94.07
2013-05-31,94.51,95.27,94.21,94.41,1642100,93.71
2013-05-30,94.85,95.10,94.43,94.89,703600,94.19
2013-05-29,94.23,95.06,94.02,94.63,891600,93.93
2013-05-28,94.97,95.16,94.34,94.71,834900,94.01
2013-05-24,93.71,94.06,93.26,93.93,916900,93.24
2013-05-23,93.47,94.38,93.11,94.17,1379000,93.47
2013-05-22,94.75,96.15,94.53,95.12,1973700,94.42
2013-05-21,95.00,95.49,94.54,94.86,673100,94.16
2013-05-20,94.08,95.41,94.06,94.81,1124100,94.11
2013-05-17,93.00,94.49,92.87,94.33,1060200,93.63
2013-05-16,92.10,92.96,92.03,92.77,972000,92.08
2013-05-15,91.42,92.45,90.92,92.38,1248300,91.70
2013-05-14,90.97,91.64,90.57,91.59,890400,90.91
2013-05-13,90.97,91.21,90.50,90.84,640700,90.17
2013-05-10,91.18,91.42,90.52,91.21,956400,90.54
2013-05-09,90.91,91.38,90.68,91.01,1142600,90.34
2013-05-08,89.88,91.17,89.70,91.15,989400,90.48
2013-05-07,89.59,90.19,89.29,90.03,938800,89.37
2013-05-06,90.00,90.00,88.53,89.38,1211800,88.72
2013-05-03,89.99,90.22,89.51,89.80,1911100,89.14
2013-05-02,88.95,90.90,87.54,89.04,5213700,88.38
2013-05-01,86.69,86.77,85.63,85.69,654700,85.06
2013-04-30,86.52,86.96,86.03,86.96,768000,86.32
2013-04-29,85.93,86.67,85.59,86.54,695800,85.90
2013-04-26,86.00,86.08,85.45,85.59,581500,84.96
2013-04-25,85.62,86.69,85.33,86.01,835900,85.37
2013-04-24,85.41,86.18,85.31,85.80,1706300,85.17
2013-04-23,85.72,86.40,84.53,85.18,2129300,84.55
2013-04-22,85.71,86.51,85.64,86.29,837400,85.65
2013-04-19,85.08,85.92,85.08,85.71,1613500,85.08
2013-04-18,86.08,86.38,84.66,84.85,1060600,84.22
2013-04-17,86.06,86.46,85.48,85.78,1220200,85.15
2013-04-16,85.16,86.58,85.16,86.50,930900,85.86
2013-04-15,86.45,86.63,84.85,84.86,2013800,84.23
2013-04-12,87.02,87.20,86.43,86.93,1084500,86.29
2013-04-11,86.43,87.32,86.23,87.24,1231600,86.60
2013-04-10,86.20,86.43,85.86,86.34,1277900,85.70
2013-04-09,85.97,86.40,85.38,86.00,667600,85.36
2013-04-08,85.20,85.68,84.71,85.65,498700,85.02
2013-04-05,84.58,85.18,84.06,85.13,665700,84.50
2013-04-04,84.45,85.40,84.32,85.37,781000,84.74
2013-04-03,85.14,85.20,84.04,84.28,1104800,83.66
2013-04-02,85.96,86.07,84.70,85.01,965900,84.38
2013-04-01,86.69,86.83,85.24,85.51,1277100,84.88
2013-03-28,86.30,87.27,86.06,87.12,1339900,86.48
2013-03-27,86.54,86.55,85.65,86.28,983400,85.64
2013-03-26,87.79,88.07,87.45,87.92,748800,86.57
2013-03-25,87.99,88.14,87.15,87.47,977900,86.12
2013-03-22,87.77,88.04,87.23,87.52,836900,86.17
2013-03-21,87.88,87.95,86.58,87.10,1396900,85.76
2013-03-20,88.59,89.09,88.33,88.84,889200,87.47
2013-03-19,88.95,89.28,87.66,88.21,839600,86.85
2013-03-18,89.23,89.28,88.50,88.92,942700,87.55
2013-03-15,89.56,90.34,89.34,90.17,1904300,88.78
2013-03-14,89.20,89.90,89.00,89.90,658500,88.52
2013-03-13,88.91,89.12,88.08,89.00,681700,87.63
2013-03-12,88.83,89.31,88.44,88.91,702500,87.54
2013-03-11,88.84,89.03,88.16,88.83,888600,87.46
2013-03-08,88.27,89.23,88.11,89.10,1205500,87.73
2013-03-07,86.87,87.94,86.68,87.85,904200,86.50
2013-03-06,87.20,87.28,86.62,86.71,649600,85.37
2013-03-05,86.75,87.72,86.63,86.90,867000,85.56
2013-03-04,86.12,86.53,85.57,86.34,577800,85.01
2013-03-01,85.85,86.65,85.32,86.34,739900,85.01
2013-02-28,85.48,86.83,85.44,86.34,1195100,85.01
