Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,85.09,85.59,84.94,85.38,711800,85.38
2013-07-11,83.30,85.23,82.92,85.13,997900,85.13
2013-07-10,81.73,82.78,81.68,82.73,547500,82.73
2013-07-09,81.11,81.78,80.87,81.75,500700,81.75
2013-07-08,80.41,80.86,79.83,80.48,438300,80.48
2013-07-05,79.42,80.26,79.17,80.25,511800,80.25
2013-07-03,77.86,79.13,77.62,78.90,491000,78.90
2013-07-02,78.50,78.86,77.95,78.47,602800,78.47
2013-07-01,78.59,78.93,78.10,78.50,1568000,78.50
2013-06-28,79.39,79.39,77.94,77.94,1338300,77.94
2013-06-27,77.96,79.52,77.87,79.42,949900,79.42
2013-06-26,77.16,77.66,76.46,77.52,467500,77.52
2013-06-25,75.87,76.72,75.64,76.39,492800,76.39
2013-06-24,75.47,76.23,74.88,74.96,613800,74.96
2013-06-21,76.29,76.84,75.80,76.39,948000,76.39
2013-06-20,77.19,77.73,75.45,75.61,571000,75.61
2013-06-19,79.09,79.47,78.27,78.27,371900,78.27
2013-06-18,79.16,79.66,78.92,79.28,538700,79.28
2013-06-17,76.76,79.68,76.70,79.00,956300,79.00
2013-06-14,77.20,77.30,76.18,76.20,366800,76.20
2013-06-13,76.10,77.16,75.71,77.04,515600,77.04
2013-06-12,77.41,77.41,75.93,76.09,266200,76.09
2013-06-11,76.92,77.50,76.66,76.75,432700,76.75
2013-06-10,77.84,77.95,77.36,77.82,553700,77.82
2013-06-07,77.62,78.43,77.38,77.72,743200,77.62
2013-06-06,76.86,77.36,76.30,77.27,522200,77.17
2013-06-05,77.34,77.44,76.10,76.74,1010000,76.64
2013-06-04,78.71,79.21,77.47,77.72,917100,77.62
2013-06-03,78.18,78.70,77.54,78.70,584700,78.59
2013-05-31,78.06,78.85,77.84,77.90,702300,77.79
2013-05-30,78.40,78.64,78.13,78.45,652500,78.34
2013-05-29,78.12,78.59,77.63,78.23,624800,78.12
2013-05-28,79.23,79.49,78.29,78.65,503600,78.54
2013-05-24,77.56,78.53,77.34,78.34,549200,78.23
2013-05-23,77.03,78.25,76.80,78.00,860800,77.89
2013-05-22,79.88,80.71,77.11,77.64,1463900,77.54
2013-05-21,81.90,82.11,80.73,81.00,672600,80.89
2013-05-20,83.03,83.23,81.74,81.93,892000,81.82
2013-05-17,81.76,83.37,81.65,83.29,568300,83.18
2013-05-16,81.29,81.83,81.16,81.42,480900,81.31
2013-05-15,80.69,81.39,80.23,81.36,482100,81.25
2013-05-14,79.84,80.82,79.84,80.82,392000,80.71
2013-05-13,80.12,80.15,79.45,79.84,541500,79.73
2013-05-10,78.62,80.29,78.44,80.29,767500,80.18
2013-05-09,77.91,78.69,77.90,78.25,403800,78.14
2013-05-08,77.78,78.01,77.47,77.98,448000,77.87
2013-05-07,77.15,77.99,77.11,77.89,443400,77.78
2013-05-06,77.00,77.51,76.68,77.16,699700,77.06
2013-05-03,76.53,77.25,76.41,77.16,839600,77.06
2013-05-02,77.20,77.20,75.62,75.79,944800,75.69
2013-05-01,75.50,76.00,75.16,75.53,849000,75.43
2013-04-30,74.89,75.54,74.63,75.52,671400,75.42
2013-04-29,74.05,75.20,74.05,74.90,478100,74.80
2013-04-26,75.16,75.16,74.25,74.30,366500,74.20
2013-04-25,74.51,75.86,73.77,75.29,567700,75.19
2013-04-24,74.09,74.59,73.91,74.37,670400,74.27
2013-04-23,74.05,74.25,73.01,73.98,522500,73.88
2013-04-22,72.92,74.19,72.79,73.80,623900,73.70
2013-04-19,72.19,72.80,71.24,72.78,714000,72.68
2013-04-18,72.26,73.49,70.09,72.23,1216000,72.13
2013-04-17,72.93,72.97,71.16,72.26,1022400,72.16
2013-04-16,72.02,73.52,72.00,73.51,554100,73.41
2013-04-15,73.22,73.22,71.50,71.50,958200,71.40
2013-04-12,74.03,74.40,73.14,73.49,468100,73.39
2013-04-11,74.32,74.92,73.99,74.77,428400,74.67
2013-04-10,73.15,74.41,72.94,74.36,494800,74.26
2013-04-09,73.19,73.29,72.20,73.00,491400,72.90
2013-04-08,72.24,73.04,72.02,73.04,298600,72.94
2013-04-05,72.05,72.53,71.45,72.05,823200,71.95
2013-04-04,73.26,73.88,73.11,73.23,362400,73.13
2013-04-03,73.88,74.09,73.21,73.32,486300,73.22
2013-04-02,73.61,74.18,73.48,73.71,402000,73.61
2013-04-01,74.77,74.77,73.34,73.52,554000,73.42
2013-03-28,73.09,74.71,72.94,74.65,856400,74.55
2013-03-27,72.66,73.18,72.42,73.15,365900,73.05
2013-03-26,72.75,73.22,72.66,73.19,309500,73.09
2013-03-25,73.49,73.50,72.42,72.60,455800,72.50
2013-03-22,71.56,73.22,71.25,73.22,443900,73.12
2013-03-21,72.32,73.32,71.37,72.75,590300,72.65
2013-03-20,72.94,73.39,72.60,73.16,481800,73.06
2013-03-19,72.80,72.99,71.88,72.35,674300,72.25
2013-03-18,71.78,72.62,71.69,72.47,558300,72.37
2013-03-15,72.91,73.01,72.08,72.39,739900,72.29
2013-03-14,73.20,73.76,73.04,73.25,577500,73.15
2013-03-13,72.69,73.20,72.67,72.90,409100,72.80
2013-03-12,73.02,73.14,72.23,72.66,511700,72.56
2013-03-11,73.13,73.36,72.83,73.13,575300,73.03
2013-03-08,72.86,73.39,72.54,73.24,530700,73.04
2013-03-07,72.83,72.89,72.34,72.52,653200,72.32
2013-03-06,72.88,73.15,72.46,72.79,475900,72.59
2013-03-05,72.25,72.88,72.07,72.58,709200,72.38
2013-03-04,71.42,72.09,71.15,71.97,683800,71.77
2013-03-01,70.58,71.76,70.18,71.71,662900,71.51
2013-02-28,70.73,71.27,70.46,70.86,611300,70.66
2013-02-27,69.89,71.11,69.68,70.68,585100,70.48
2013-02-26,69.54,70.34,69.34,70.09,614700,69.89
2013-02-25,71.18,71.26,69.17,69.17,564700,68.98
2013-02-22,69.72,70.81,69.60,70.80,630000,70.60
2013-02-21,69.21,69.78,68.86,69.28,799600,69.09
2013-02-20,70.94,71.31,69.47,69.49,639900,69.30
2013-02-19,70.55,70.93,70.36,70.89,686800,70.69
