Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,18.55,18.84,18.40,18.49,3144800,18.49
2013-07-11,19.05,19.86,18.63,18.97,8204600,18.97
2013-07-10,17.64,17.92,17.45,17.89,2857400,17.89
2013-07-09,17.59,17.84,17.50,17.55,1961900,17.55
2013-07-08,18.06,18.17,17.47,17.53,2330800,17.53
2013-07-05,17.77,18.01,17.48,17.94,1529000,17.94
2013-07-03,18.05,18.07,17.47,17.67,2218600,17.67
2013-07-02,17.94,18.38,17.89,18.08,2828100,18.08
2013-07-01,17.87,18.07,17.64,18.02,3389500,18.02
2013-06-28,17.27,18.03,17.19,17.72,18646500,17.72
2013-06-27,17.41,17.94,16.89,17.28,5537900,17.28
2013-06-26,18.28,18.64,17.35,17.39,11770600,17.39
2013-06-25,19.26,19.82,19.17,19.38,3625900,19.38
2013-06-24,19.14,19.34,18.60,19.12,2429300,19.12
2013-06-21,19.78,19.78,18.88,19.24,3385500,19.24
2013-06-20,19.67,20.30,19.59,19.73,2024000,19.73
2013-06-19,20.12,20.59,19.87,19.88,1341800,19.88
2013-06-18,20.94,21.07,20.00,20.20,1866100,20.20
2013-06-17,21.15,21.56,20.65,20.87,1243600,20.87
2013-06-14,21.53,21.84,20.89,21.05,1061000,21.05
2013-06-13,21.27,21.58,21.03,21.52,1585100,21.52
2013-06-12,21.92,22.25,21.10,21.21,1659100,21.21
2013-06-11,21.98,22.52,21.37,21.69,2929700,21.69
2013-06-10,21.36,22.91,21.36,22.24,4007500,22.24
2013-06-07,20.34,21.32,20.32,21.30,3458300,21.30
2013-06-06,20.04,20.52,20.03,20.26,2136500,20.26
2013-06-05,20.35,21.08,19.97,20.10,2383400,20.10
2013-06-04,20.13,20.56,19.98,20.32,1741700,20.32
2013-06-03,20.11,20.20,19.78,20.01,2678200,20.01
2013-05-31,20.46,20.81,19.97,19.99,2058900,19.99
2013-05-30,20.31,20.70,20.18,20.62,1747500,20.62
2013-05-29,20.57,20.66,20.07,20.26,1492800,20.26
2013-05-28,21.20,21.30,20.34,20.63,1616600,20.63
2013-05-24,20.84,21.00,20.38,20.99,1288000,20.99
2013-05-23,20.55,20.99,20.12,20.85,2278300,20.85
2013-05-22,21.54,21.54,20.45,20.61,2936500,20.61
2013-05-21,21.36,21.75,21.29,21.48,2750200,21.48
2013-05-20,21.31,21.44,21.12,21.40,2111900,21.40
2013-05-17,21.21,21.53,21.11,21.35,3954300,21.35
2013-05-16,21.24,21.91,20.95,21.07,3349600,21.07
2013-05-15,20.76,21.40,20.23,21.24,4683700,21.24
2013-05-14,18.82,20.75,18.82,20.49,6292000,20.49
