Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,99.56,100.44,99.36,100.29,337300,100.29
2013-07-11,100.04,100.68,99.40,99.63,451900,99.63
2013-07-10,99.04,99.42,98.53,98.87,555700,98.87
2013-07-09,98.44,99.27,97.90,99.23,371800,99.23
2013-07-08,97.48,97.99,97.29,97.92,334700,97.92
2013-07-05,96.89,97.44,96.79,97.11,319200,97.11
2013-07-03,94.37,96.70,94.37,96.30,178300,96.30
2013-07-02,97.04,97.98,96.22,96.55,510200,96.55
2013-07-01,95.73,97.80,95.58,97.50,478800,97.50
2013-06-28,95.84,96.39,95.01,95.46,895500,95.46
2013-06-27,96.88,96.92,95.38,95.83,436500,95.83
2013-06-26,96.03,96.98,95.61,96.74,529500,96.74
2013-06-25,94.94,95.85,94.34,95.52,665200,95.52
2013-06-24,93.82,94.58,92.86,94.06,584500,94.06
2013-06-21,95.78,95.80,93.71,95.03,1146100,95.03
2013-06-20,93.90,95.91,93.90,95.27,575400,95.27
2013-06-19,96.43,97.68,96.15,96.15,689200,96.15
2013-06-18,96.03,96.28,95.39,96.09,737700,96.09
2013-06-17,96.50,96.86,95.69,95.94,743400,95.94
2013-06-14,96.50,97.18,95.27,95.94,697400,95.94
2013-06-13,96.81,96.90,96.08,96.31,926200,96.31
2013-06-12,98.79,99.30,96.79,96.82,585700,96.82
2013-06-11,99.68,101.06,98.83,98.86,495900,98.38
2013-06-10,101.25,101.35,100.55,100.69,363200,100.20
2013-06-07,100.62,101.50,100.39,101.15,354100,100.66
2013-06-06,101.04,101.44,99.75,100.76,289500,100.27
2013-06-05,103.02,103.21,101.05,101.08,304200,100.59
2013-06-04,103.32,103.89,103.05,103.52,440700,103.02
2013-06-03,102.82,103.67,102.13,103.33,242400,102.83
2013-05-31,102.90,104.32,102.58,102.89,354400,102.39
2013-05-30,103.86,104.00,102.91,103.37,192100,102.87
2013-05-29,103.50,104.16,103.02,103.77,346200,103.27
2013-05-28,103.58,104.40,103.42,103.98,499500,103.48
2013-05-24,102.03,102.96,101.71,102.71,342800,102.21
2013-05-23,101.65,102.62,100.49,102.51,289800,102.01
2013-05-22,102.79,103.79,102.39,102.80,482200,102.30
2013-05-21,102.09,103.75,101.77,102.85,435800,102.35
2013-05-20,101.51,102.58,100.99,102.20,349600,101.70
