Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,140.99,141.16,139.67,140.45,974800,140.45
2013-07-11,138.67,141.03,138.67,140.38,761700,140.38
2013-07-10,137.29,137.59,135.68,137.50,633000,137.50
2013-07-09,135.07,137.93,134.54,137.31,637300,137.31
2013-07-08,135.11,136.35,134.14,134.42,690500,134.42
2013-07-05,135.73,136.13,132.08,135.01,788800,135.01
2013-07-03,136.41,136.80,134.30,135.73,528100,135.73
2013-07-02,135.20,137.44,135.20,136.95,964900,136.95
2013-07-01,134.81,137.46,134.81,135.35,984000,135.35
2013-06-28,136.11,136.92,134.83,134.91,1675100,134.91
2013-06-27,136.36,137.38,135.80,136.47,1145200,136.47
2013-06-26,135.85,137.55,134.94,135.20,1182300,135.20
2013-06-25,134.91,136.44,133.55,135.44,1075600,134.37
2013-06-24,130.43,136.88,128.67,133.54,1358200,132.49
2013-06-21,128.64,132.79,128.64,131.69,1298400,130.65
2013-06-20,129.98,130.11,126.91,127.97,904500,126.96
2013-06-19,134.81,135.22,130.15,130.77,554000,129.74
2013-06-18,134.36,135.80,133.89,134.90,456000,133.83
2013-06-17,135.31,136.03,133.49,134.26,855400,133.20
2013-06-14,134.46,135.82,133.45,134.59,536500,133.53
2013-06-13,129.71,135.04,129.60,134.56,822200,133.50
2013-06-12,131.55,131.55,129.00,129.30,710600,128.28
2013-06-11,132.91,132.91,131.03,131.08,933000,130.04
2013-06-10,134.49,134.94,132.93,133.45,501100,132.40
2013-06-07,134.28,134.77,132.24,134.48,571900,133.42
2013-06-06,134.14,135.29,132.91,134.50,697300,133.44
2013-06-05,135.79,136.42,133.96,134.26,709300,133.20
2013-06-04,135.60,137.00,134.87,136.05,1219500,134.98
2013-06-03,132.67,136.08,131.60,135.24,1204100,134.17
2013-05-31,132.88,134.80,132.54,132.66,1733200,131.61
2013-05-30,136.66,137.00,133.14,133.36,824400,132.31
2013-05-29,135.65,136.92,132.30,136.66,2020000,135.58
2013-05-28,139.55,140.29,135.87,136.58,1198100,135.50
2013-05-24,138.37,138.79,137.29,138.58,808300,137.49
2013-05-23,137.00,138.99,136.09,138.99,5081300,137.89
2013-05-22,141.67,141.83,138.04,138.56,1483300,137.47
2013-05-21,141.00,141.95,140.49,141.46,509500,140.34
2013-05-20,138.65,141.04,138.57,140.64,923600,139.53
2013-05-17,138.10,139.01,138.01,138.69,892200,137.59
2013-05-16,136.61,139.31,136.61,138.02,1082700,136.93
2013-05-15,136.76,137.22,135.70,137.18,1063600,136.10
2013-05-14,134.57,136.65,134.57,136.64,1020200,135.56
2013-05-13,133.20,135.00,132.81,134.79,643400,133.73
2013-05-10,132.84,133.54,132.02,133.29,531100,132.24
2013-05-09,132.46,133.09,132.09,132.57,576800,131.52
2013-05-08,132.73,133.37,131.92,132.77,566900,131.72
2013-05-07,130.78,133.20,130.54,133.00,594700,131.95
2013-05-06,130.21,130.99,129.54,130.76,680800,129.73
2013-05-03,131.52,131.85,129.24,129.79,968700,128.76
2013-05-02,132.50,133.26,130.11,130.70,874200,129.67
2013-05-01,133.50,135.73,131.80,132.24,1024400,131.20
2013-04-30,131.03,133.04,130.77,133.04,735700,131.99
2013-04-29,130.58,131.26,129.84,131.05,440900,130.01
2013-04-26,131.23,131.55,129.72,130.22,509600,129.19
2013-04-25,131.96,132.01,130.55,131.13,574300,130.09
2013-04-24,132.13,133.02,131.81,132.08,673100,131.04
2013-04-23,132.39,132.39,131.10,131.89,713400,130.85
2013-04-22,133.16,133.16,131.54,132.06,691200,131.02
2013-04-19,132.50,133.42,131.85,133.07,590900,132.02
2013-04-18,131.59,132.34,130.46,132.01,519800,130.97
2013-04-17,133.59,133.59,131.12,131.19,1265600,130.15
2013-04-16,133.37,134.31,132.35,133.90,669900,132.84
2013-04-15,134.72,135.36,132.46,132.47,724600,131.42
2013-04-12,134.55,135.60,134.36,135.57,680800,134.50
2013-04-11,133.63,135.37,133.51,134.70,735100,133.64
2013-04-10,134.24,134.24,133.03,133.48,530200,132.43
2013-04-09,132.91,133.99,131.63,133.50,696000,132.45
2013-04-08,133.38,133.68,132.56,133.03,726400,131.98
2013-04-05,131.15,133.54,130.96,133.44,996000,132.39
2013-04-04,128.30,132.23,128.19,132.22,1109500,131.18
2013-04-03,128.23,128.50,127.51,128.00,717300,126.99
2013-04-02,128.88,129.20,127.90,128.14,598800,127.13
2013-04-01,127.18,128.12,126.67,128.09,580400,127.08
2013-03-28,126.86,127.09,126.12,126.67,989900,125.67
2013-03-27,126.49,127.02,125.98,126.64,654900,125.64
2013-03-26,126.00,127.58,126.00,127.09,790000,126.09
2013-03-25,127.23,127.55,126.35,126.52,795600,124.46
2013-03-22,125.56,127.52,125.47,126.83,842900,124.76
2013-03-21,125.84,126.94,125.40,125.45,603300,123.41
2013-03-20,126.61,127.13,125.86,126.53,567600,124.47
2013-03-19,127.14,127.68,125.28,126.19,652100,124.13
2013-03-18,127.96,128.79,126.61,126.75,818700,124.69
2013-03-15,128.71,128.96,127.59,128.37,1171800,126.28
2013-03-14,126.60,129.40,126.42,129.21,1557700,127.11
2013-03-13,125.42,126.99,124.85,126.78,1013300,124.71
