Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,22.36,22.59,22.34,22.54,2444600,22.54
2013-07-11,22.18,22.50,22.18,22.42,3785900,22.42
2013-07-10,22.11,22.29,21.66,21.86,3912300,21.86
2013-07-09,21.46,22.17,21.37,21.96,4185700,21.96
2013-07-08,21.05,21.32,20.98,21.32,2666400,21.32
2013-07-05,21.11,21.11,20.74,21.00,1744200,21.00
2013-07-03,21.16,21.21,20.81,20.94,1553100,20.94
2013-07-02,21.09,21.38,21.03,21.29,4402100,21.29
2013-07-01,21.06,21.40,21.02,21.15,1934000,21.15
2013-06-28,21.10,21.30,20.85,21.03,3843800,21.03
2013-06-27,21.28,21.69,21.19,21.20,2797100,21.20
2013-06-26,21.05,21.29,20.97,21.16,2716500,21.16
2013-06-25,21.22,21.32,20.71,20.90,4869800,20.90
2013-06-24,20.48,21.21,19.95,20.97,7413900,20.97
2013-06-21,21.39,21.44,20.61,20.80,7408100,20.80
2013-06-20,22.41,22.42,21.15,21.28,9479400,21.28
2013-06-19,23.48,23.49,22.67,22.67,4901200,22.67
2013-06-18,23.44,23.46,23.15,23.45,2139900,23.45
2013-06-17,22.96,23.47,22.90,23.39,3603200,23.39
2013-06-14,22.91,23.27,22.78,22.86,2392300,22.86
2013-06-13,22.69,23.06,22.68,22.93,5420300,22.93
2013-06-12,22.97,23.59,22.70,22.73,4757100,22.73
2013-06-11,23.31,23.68,23.09,23.35,2650100,23.35
2013-06-10,23.79,23.88,23.42,23.56,2755300,23.56
2013-06-07,23.01,23.91,22.99,23.70,5438100,23.70
2013-06-06,22.65,22.93,22.41,22.90,3930300,22.90
2013-06-05,23.07,23.13,22.60,22.61,2948000,22.61
2013-06-04,23.50,23.56,22.87,23.21,3844200,23.21
2013-06-03,23.57,23.60,22.97,23.52,5419600,23.52
2013-05-31,23.43,23.93,23.33,23.57,5193700,23.57
2013-05-30,23.45,23.79,23.45,23.57,2263100,23.57
2013-05-29,23.51,23.68,23.22,23.44,3404200,23.44
2013-05-28,23.83,24.30,23.65,23.68,4568000,23.68
2013-05-24,23.48,23.75,23.35,23.59,1974200,23.59
2013-05-23,23.46,23.82,23.21,23.63,3275400,23.63
2013-05-22,23.91,24.53,23.65,23.76,3974900,23.76
2013-05-21,24.24,24.43,23.92,23.95,2783300,23.95
2013-05-20,23.99,24.43,23.93,24.20,4238800,24.20
2013-05-17,23.57,24.03,23.52,24.02,3047300,24.02
2013-05-16,23.62,23.70,23.36,23.43,2208600,23.43
2013-05-15,23.62,23.79,23.45,23.74,2997400,23.74
2013-05-14,23.26,23.65,23.26,23.65,3941000,23.65
2013-05-13,23.37,23.48,23.20,23.32,1402700,23.32
2013-05-10,23.29,23.46,23.15,23.39,2718300,23.39
2013-05-09,23.51,23.53,23.23,23.28,2435600,23.22
2013-05-08,23.27,23.51,23.24,23.51,2157400,23.45
2013-05-07,23.17,23.42,23.14,23.29,2313600,23.23
2013-05-06,23.23,23.43,23.06,23.15,2916500,23.09
2013-05-03,23.24,23.48,23.01,23.24,2776900,23.18
2013-05-02,22.82,23.27,22.66,23.07,5729200,23.01
2013-05-01,23.15,23.18,22.52,22.79,4648900,22.73
2013-04-30,24.12,24.30,22.74,23.16,11172000,23.10
2013-04-29,22.07,22.26,21.86,22.24,5710200,22.18
2013-04-26,22.16,22.29,21.85,22.05,5054300,21.99
2013-04-25,22.35,22.47,22.15,22.35,4708500,22.29
2013-04-24,22.59,22.59,22.09,22.24,5718100,22.18
2013-04-23,22.10,22.56,22.01,22.30,6707700,22.24
2013-04-22,22.00,22.10,21.68,22.01,3705900,21.95
2013-04-19,21.83,22.00,21.57,21.99,3062900,21.93
2013-04-18,21.56,21.87,21.47,21.77,5593000,21.71
2013-04-17,21.11,21.66,20.95,21.56,6930300,21.50
2013-04-16,21.05,21.28,20.88,21.25,2814900,21.20
2013-04-15,21.36,21.51,20.91,20.92,3981500,20.87
2013-04-12,21.33,21.59,21.15,21.54,3320900,21.48
2013-04-11,21.24,21.64,20.98,21.46,5321300,21.40
