Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,13.54,13.80,13.47,13.78,123596000,13.78
2013-07-11,13.54,13.58,13.33,13.51,93756500,13.51
2013-07-10,13.51,13.53,13.31,13.37,104353400,13.37
2013-07-09,13.37,13.53,13.25,13.53,106067300,13.53
2013-07-08,13.11,13.37,13.08,13.28,107441200,13.28
2013-07-05,12.99,13.08,12.91,13.06,80758500,13.06
2013-07-03,12.82,12.84,12.73,12.83,37971700,12.83
2013-07-02,12.95,13.10,12.80,12.90,83708600,12.90
2013-07-01,12.95,13.10,12.92,12.93,83146300,12.93
2013-06-28,12.97,13.00,12.84,12.86,90297100,12.86
2013-06-27,12.84,13.03,12.78,13.01,124616300,13.01
2013-06-26,12.84,12.85,12.68,12.76,105282000,12.76
2013-06-25,12.61,12.77,12.43,12.67,132844500,12.67
2013-06-24,12.40,12.45,12.13,12.30,159762500,12.30
2013-06-21,12.99,13.00,12.39,12.69,196004700,12.69
2013-06-20,13.08,13.14,12.80,12.89,185741100,12.89
2013-06-19,13.29,13.40,13.17,13.19,103850000,13.19
2013-06-18,13.22,13.34,13.20,13.27,67257600,13.27
2013-06-17,13.17,13.26,13.13,13.21,115441500,13.21
2013-06-14,13.23,13.24,13.03,13.07,101380700,13.07
2013-06-13,13.00,13.26,12.97,13.21,103636400,13.21
2013-06-12,13.24,13.25,12.97,13.06,117289400,13.06
2013-06-11,13.11,13.28,13.07,13.12,106369100,13.12
2013-06-10,13.49,13.55,13.26,13.30,104648500,13.30
2013-06-07,13.33,13.39,13.15,13.38,121057300,13.38
2013-06-06,13.08,13.24,12.85,13.20,142361900,13.20
2013-06-05,13.29,13.45,12.97,13.09,185778900,13.09
2013-06-04,13.51,13.67,13.31,13.36,130055400,13.35
2013-06-03,13.69,13.73,13.21,13.55,197168200,13.54
2013-05-31,13.91,13.99,13.65,13.66,160176100,13.65
2013-05-30,13.50,13.93,13.43,13.83,153383400,13.82
2013-05-29,13.31,13.56,13.27,13.48,126397300,13.47
2013-05-28,13.49,13.51,13.31,13.35,133553000,13.34
2013-05-24,13.17,13.26,13.12,13.24,83452600,13.23
2013-05-23,12.93,13.42,12.82,13.21,190522000,13.20
2013-05-22,13.49,13.73,13.17,13.31,174531500,13.30
2013-05-21,13.53,13.56,13.36,13.44,111810300,13.43
2013-05-20,13.39,13.60,13.39,13.51,88941700,13.50
2013-05-17,13.50,13.52,13.39,13.43,107335600,13.42
2013-05-16,13.41,13.55,13.32,13.36,117977000,13.35
2013-05-15,13.29,13.55,13.29,13.44,139728300,13.43
2013-05-14,13.04,13.36,13.02,13.34,154128100,13.33
2013-05-13,12.98,13.10,12.95,12.98,94295600,12.97
2013-05-10,12.94,13.04,12.89,13.02,87625100,13.01
2013-05-09,13.05,13.06,12.87,12.91,112952300,12.90
2013-05-08,12.85,13.18,12.84,13.02,149755400,13.01
2013-05-07,12.92,13.11,12.76,12.90,218248100,12.89
2013-05-06,12.39,12.89,12.36,12.88,265062800,12.87
2013-05-03,12.36,12.41,12.21,12.24,94322600,12.23
2013-05-02,12.17,12.21,12.05,12.19,76530500,12.18
2013-05-01,12.20,12.27,12.08,12.14,88417800,12.13
2013-04-30,12.39,12.40,12.20,12.31,89362100,12.30
2013-04-29,12.45,12.48,12.37,12.38,65432400,12.37
2013-04-26,12.34,12.46,12.29,12.42,83093200,12.41
2013-04-25,12.39,12.54,12.36,12.44,118694600,12.43
2013-04-24,12.14,12.37,12.12,12.31,120624900,12.30
2013-04-23,11.92,12.16,11.90,12.07,176816000,12.06
2013-04-22,11.68,11.75,11.57,11.72,88532300,11.71
2013-04-19,11.56,11.69,11.43,11.66,119792000,11.65
2013-04-18,11.61,11.65,11.23,11.44,220290500,11.43
2013-04-17,11.91,12.02,11.45,11.70,335408600,11.69
2013-04-16,12.21,12.36,12.08,12.28,147641900,12.27
2013-04-15,12.19,12.32,11.97,11.98,176504300,11.97
2013-04-12,12.15,12.25,12.07,12.17,88191700,12.16
2013-04-11,12.31,12.33,12.16,12.27,100241900,12.26
2013-04-10,12.31,12.40,12.26,12.32,105853900,12.31
2013-04-09,12.25,12.35,12.21,12.25,132365800,12.24
2013-04-08,12.00,12.21,11.91,12.21,101419200,12.20
2013-04-05,11.67,12.01,11.64,11.97,141061900,11.96
2013-04-04,11.81,11.99,11.72,11.94,117831400,11.93
2013-04-03,12.12,12.14,11.72,11.81,199765800,11.80
2013-04-02,12.24,12.25,12.14,12.15,102626000,12.14
2013-04-01,12.15,12.28,12.10,12.15,86281600,12.14
2013-03-28,12.24,12.28,12.11,12.18,92013900,12.17
2013-03-27,12.14,12.28,12.12,12.23,107177200,12.22
2013-03-26,12.45,12.50,12.15,12.28,135654700,12.27
2013-03-25,12.68,12.72,12.32,12.40,154320200,12.39
2013-03-22,12.62,12.67,12.48,12.56,101974400,12.55
2013-03-21,12.71,12.84,12.55,12.57,154529400,12.56
2013-03-20,12.79,12.89,12.71,12.78,219121700,12.77
2013-03-19,12.79,12.94,12.59,12.71,242939600,12.70
2013-03-18,12.29,12.68,12.26,12.56,189783300,12.55
2013-03-15,12.52,12.66,12.35,12.57,319019100,12.56
2013-03-14,12.12,12.19,12.10,12.11,115440000,12.10
2013-03-13,12.04,12.11,11.98,12.06,86216800,12.05
2013-03-12,12.11,12.18,11.91,12.01,128134700,12.00
2013-03-11,12.08,12.22,12.02,12.15,106427800,12.14
2013-03-08,12.42,12.44,12.02,12.07,209777100,12.06
2013-03-07,12.00,12.28,11.98,12.26,212403800,12.25
2013-03-06,11.77,12.02,11.76,11.92,182557500,11.91
2013-03-05,11.56,11.71,11.53,11.55,135869700,11.54
2013-03-04,11.27,11.45,11.22,11.41,116436000,11.40
2013-03-01,11.13,11.55,11.02,11.34,189050700,11.33
2013-02-28,11.33,11.37,11.20,11.23,143546700,11.22
2013-02-27,11.15,11.36,11.10,11.30,147145400,11.29
2013-02-26,11.12,11.22,11.03,11.13,173039600,11.11
2013-02-25,11.60,11.61,10.98,11.03,206893900,11.01
2013-02-22,11.62,11.64,11.26,11.44,179268200,11.42
2013-02-21,11.73,11.73,11.35,11.42,235532400,11.40
2013-02-20,12.18,12.29,11.75,11.80,193466400,11.78
2013-02-19,12.10,12.31,12.06,12.19,170783400,12.17
2013-02-15,12.21,12.21,11.97,12.03,158242700,12.01
2013-02-14,12.09,12.27,12.07,12.13,144104800,12.11
2013-02-13,12.35,12.42,12.05,12.17,192742500,12.15
2013-02-12,11.87,12.34,11.78,12.25,232173900,12.23
2013-02-11,11.73,11.90,11.67,11.86,103510800,11.84
2013-02-08,11.86,11.90,11.72,11.76,145321100,11.74
2013-02-07,11.97,11.98,11.73,11.84,173209900,11.82
2013-02-06,11.73,11.97,11.73,11.93,173626800,11.91
2013-02-05,11.59,11.98,11.56,11.88,187785900,11.86
2013-02-04,11.58,11.69,11.46,11.48,139733000,11.46
2013-02-01,11.41,11.73,11.37,11.71,161141300,11.69
2013-01-31,11.32,11.36,11.22,11.32,97024700,11.30
2013-01-30,11.49,11.54,11.35,11.38,89130200,11.36
2013-01-29,11.42,11.58,11.40,11.49,96824100,11.47
2013-01-28,11.64,11.67,11.43,11.48,91304200,11.46
2013-01-25,11.69,11.72,11.51,11.62,100171600,11.60
2013-01-24,11.45,11.67,11.42,11.53,127870800,11.51
2013-01-23,11.38,11.44,11.23,11.42,121638200,11.40
2013-01-22,11.12,11.36,11.09,11.35,137242700,11.33
2013-01-18,11.26,11.33,11.02,11.14,179971800,11.12
2013-01-17,11.69,11.70,11.17,11.28,323622200,11.26
2013-01-16,11.58,11.79,11.47,11.78,164579300,11.76
2013-01-15,11.38,11.62,11.30,11.55,126058300,11.53
2013-01-14,11.61,11.63,11.38,11.47,110032900,11.45
2013-01-11,11.70,11.72,11.51,11.63,146136700,11.61
2013-01-10,11.61,11.81,11.54,11.78,199964900,11.76
2013-01-09,11.87,12.00,11.33,11.43,335692000,11.41
2013-01-08,12.09,12.10,11.89,11.98,168461100,11.96
2013-01-07,12.15,12.20,12.00,12.09,201403500,12.07
2013-01-04,11.97,12.11,11.93,12.11,132601900,12.09
2013-01-03,12.01,12.05,11.88,11.96,157149700,11.94
2013-01-02,12.05,12.15,11.90,12.03,236021400,12.01
2012-12-31,11.37,11.65,11.30,11.61,170837500,11.59
2012-12-28,11.32,11.49,11.27,11.36,131872200,11.34
2012-12-27,11.66,11.69,11.23,11.47,210411400,11.45
2012-12-26,11.29,11.63,11.27,11.54,146097900,11.52
2012-12-24,11.27,11.29,11.21,11.25,50657100,11.23
2012-12-21,11.20,11.35,11.12,11.29,244892300,11.27
2012-12-20,11.10,11.52,11.08,11.52,184449000,11.50
2012-12-19,11.40,11.49,11.17,11.19,193013700,11.17
2012-12-18,11.24,11.36,11.05,11.36,255238400,11.34
2012-12-17,10.65,11.00,10.64,11.00,170087700,10.98
2012-12-14,10.55,10.60,10.52,10.58,91707200,10.56
2012-12-13,10.59,10.66,10.51,10.54,106232100,10.52
2012-12-12,10.59,10.70,10.51,10.61,166819300,10.59
2012-12-11,10.64,10.71,10.50,10.51,159121300,10.49
2012-12-10,10.60,10.63,10.46,10.57,148065200,10.55
2012-12-07,10.56,10.68,10.48,10.64,192055100,10.62
2012-12-06,10.51,10.58,10.29,10.46,176607900,10.44
2012-12-05,9.97,10.56,9.95,10.46,463491000,10.44
2012-12-04,9.79,9.91,9.77,9.91,144124500,9.88
2012-12-03,9.93,9.94,9.78,9.80,99872800,9.77
2012-11-30,9.78,9.87,9.76,9.86,108739700,9.83
2012-11-29,9.84,9.88,9.76,9.83,125905400,9.80
2012-11-28,9.56,9.76,9.38,9.76,152946500,9.73
2012-11-27,9.89,9.95,9.66,9.66,149684000,9.63
2012-11-26,9.82,9.87,9.75,9.84,99730900,9.81
2012-11-23,9.84,9.90,9.80,9.90,59048000,9.87
2012-11-21,9.67,9.78,9.63,9.77,132499300,9.74
2012-11-20,9.47,9.68,9.42,9.63,150696200,9.60
2012-11-19,9.36,9.53,9.32,9.49,146244000,9.46
2012-11-16,9.12,9.21,8.92,9.12,178995000,9.10
2012-11-15,9.03,9.20,9.02,9.09,144569800,9.07
2012-11-14,9.38,9.42,8.95,8.99,197392900,8.97
2012-11-13,9.31,9.55,9.28,9.33,119629700,9.31
2012-11-12,9.50,9.52,9.38,9.39,68498300,9.37
2012-11-09,9.30,9.59,9.27,9.43,141093100,9.40
2012-11-08,9.49,9.60,9.38,9.39,223927000,9.37
2012-11-07,9.63,9.67,9.22,9.23,286124300,9.21
2012-11-06,9.83,9.97,9.75,9.94,132533500,9.91
2012-11-05,9.83,9.93,9.62,9.75,121104400,9.72
2012-11-02,9.87,9.97,9.77,9.85,220993300,9.82
2012-11-01,9.34,9.75,9.27,9.74,205700000,9.71
2012-10-31,9.20,9.35,9.15,9.32,94925500,9.30
2012-10-26,9.17,9.27,9.05,9.12,124687200,9.10
2012-10-25,9.37,9.42,9.17,9.24,121778900,9.22
2012-10-24,9.45,9.49,9.30,9.31,120868300,9.29
2012-10-23,9.44,9.47,9.28,9.36,160627600,9.34
2012-10-22,9.47,9.56,9.41,9.55,132617600,9.52
2012-10-19,9.42,9.55,9.39,9.44,169451300,9.41
2012-10-18,9.38,9.57,9.37,9.47,149739000,9.44
2012-10-17,9.42,9.60,9.30,9.44,229733500,9.41
2012-10-16,9.53,9.60,9.38,9.46,172663600,9.43
2012-10-15,9.24,9.44,9.16,9.44,154458500,9.41
2012-10-12,9.16,9.28,9.05,9.12,158562500,9.10
2012-10-11,9.39,9.42,9.30,9.34,122925800,9.32
2012-10-10,9.19,9.27,9.06,9.21,110640900,9.19
2012-10-09,9.33,9.38,9.04,9.21,153036100,9.19
2012-10-08,9.16,9.38,9.13,9.28,81944200,9.26
2012-10-05,9.56,9.65,9.23,9.32,204255800,9.30
2012-10-04,9.20,9.42,9.15,9.41,160486300,9.39
2012-10-03,8.98,9.12,8.91,9.11,115670100,9.09
2012-10-02,9.10,9.11,8.88,8.93,109601600,8.91
2012-10-01,8.87,9.13,8.85,8.96,133194500,8.94
2012-09-28,8.89,8.93,8.79,8.83,119039200,8.81
2012-09-27,8.94,9.07,8.90,8.97,119023800,8.95
2012-09-26,8.86,8.91,8.70,8.82,158640100,8.80
2012-09-25,9.17,9.21,8.91,8.93,146678000,8.91
2012-09-24,8.99,9.20,8.95,9.10,113331700,9.08
2012-09-21,9.35,9.35,9.08,9.11,155865300,9.09
2012-09-20,9.14,9.25,9.08,9.19,111354300,9.17
2012-09-19,9.33,9.46,9.26,9.29,126360100,9.27
2012-09-18,9.16,9.29,9.09,9.23,150503600,9.21
2012-09-17,9.39,9.49,9.27,9.30,141409300,9.28
2012-09-14,9.60,9.79,9.45,9.55,329619800,9.52
2012-09-13,8.89,9.48,8.81,9.40,330759200,9.38
2012-09-12,9.15,9.19,8.87,8.97,204167100,8.95
2012-09-11,8.63,9.05,8.58,9.03,201630400,9.01
2012-09-10,8.84,8.92,8.53,8.58,190045600,8.56
2012-09-07,8.47,8.80,8.45,8.80,232843000,8.78
2012-09-06,8.04,8.35,8.03,8.35,200570300,8.33
2012-09-05,7.99,8.02,7.93,7.95,55769500,7.93
2012-09-04,8.00,8.11,7.95,8.00,81461800,7.97
2012-08-31,8.00,8.02,7.88,7.99,91730500,7.96
2012-08-30,7.95,7.95,7.83,7.91,91900100,7.88
2012-08-29,7.98,8.10,7.98,8.00,106910900,7.97
2012-08-28,8.04,8.11,7.95,7.96,96280400,7.93
2012-08-27,8.20,8.20,8.05,8.07,96142100,8.04
2012-08-24,8.12,8.21,8.03,8.16,88822200,8.13
2012-08-23,8.22,8.27,8.12,8.15,98866200,8.12
2012-08-22,8.14,8.32,8.12,8.22,140333800,8.19
2012-08-21,8.25,8.40,8.16,8.19,190820700,8.16
2012-08-20,7.98,8.19,7.98,8.15,100276900,8.12
2012-08-17,7.97,8.12,7.94,8.00,138307600,7.97
2012-08-16,7.89,7.96,7.83,7.93,78181200,7.90
2012-08-15,7.75,7.87,7.73,7.87,73559200,7.84
2012-08-14,7.78,7.90,7.74,7.78,104644000,7.75
2012-08-13,7.72,7.83,7.68,7.72,58341300,7.69
2012-08-10,7.66,7.76,7.63,7.74,50443800,7.71
2012-08-09,7.68,7.76,7.67,7.72,59676500,7.69
2012-08-08,7.58,7.77,7.57,7.67,73353500,7.64
2012-08-07,7.71,7.85,7.66,7.67,119572200,7.64
2012-08-06,7.45,7.68,7.44,7.64,112657000,7.61
2012-08-03,7.30,7.49,7.27,7.43,130250800,7.40
2012-08-02,7.12,7.26,7.10,7.18,112848000,7.15
2012-08-01,7.35,7.36,7.21,7.22,97187800,7.19
2012-07-31,7.28,7.34,7.21,7.34,86093200,7.31
2012-07-30,7.28,7.38,7.26,7.28,74683800,7.25
2012-07-27,7.20,7.40,7.14,7.31,146210900,7.28
2012-07-26,7.22,7.24,7.11,7.17,121121500,7.14
2012-07-25,7.11,7.16,7.01,7.07,117241300,7.04
2012-07-24,7.16,7.18,6.97,7.04,138286700,7.01
2012-07-23,6.94,7.15,6.90,7.09,168638000,7.06
2012-07-20,7.21,7.21,7.06,7.07,160463000,7.04
2012-07-19,7.56,7.65,7.12,7.26,260959200,7.23
2012-07-18,7.88,7.93,7.50,7.53,254341100,7.50
2012-07-17,7.92,7.93,7.75,7.92,127266800,7.89
2012-07-16,7.93,7.96,7.77,7.81,109439900,7.78
2012-07-13,7.56,7.83,7.55,7.82,177154500,7.79
2012-07-12,7.53,7.55,7.43,7.48,107637000,7.45
2012-07-11,7.49,7.69,7.45,7.63,128619400,7.60
2012-07-10,7.65,7.67,7.40,7.48,101758300,7.45
2012-07-09,7.63,7.70,7.53,7.56,87078300,7.53
