Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,72.60,72.79,72.28,72.50,2034800,72.50
2013-07-11,71.91,72.76,71.78,72.62,2777500,72.62
2013-07-10,71.53,71.75,71.13,71.32,2314000,71.32
2013-07-09,71.27,71.65,70.92,71.45,1915300,71.45
2013-07-08,70.29,71.25,70.27,71.07,2722700,71.07
2013-07-05,69.77,69.99,69.11,69.88,1684000,69.88
2013-07-03,69.85,69.85,69.04,69.40,1008000,69.40
2013-07-02,70.11,70.44,69.48,69.67,2132800,69.67
2013-07-01,69.64,70.50,69.40,70.06,2053100,70.06
2013-06-28,69.65,70.00,69.23,69.27,3922400,69.27
2013-06-27,70.20,70.40,69.64,69.70,2790500,69.70
2013-06-26,70.02,70.25,69.60,69.74,3776200,69.74
2013-06-25,70.08,70.16,68.95,69.50,2036500,69.50
2013-06-24,69.60,70.00,68.60,69.47,2893300,69.47
2013-06-21,68.78,70.18,68.75,69.96,4862300,69.96
2013-06-20,69.24,69.30,67.91,68.10,3137700,68.10
2013-06-19,70.69,71.04,69.66,69.66,2108100,69.66
2013-06-18,70.73,71.08,70.53,70.88,1853700,70.88
2013-06-17,71.00,71.13,70.21,70.73,2228700,70.73
2013-06-14,70.67,71.32,70.45,70.60,2152400,70.60
2013-06-13,69.65,70.92,68.82,70.75,2973400,70.75
2013-06-12,70.24,70.36,69.63,69.75,2334100,69.75
2013-06-11,69.56,70.16,68.68,69.77,2291100,69.77
2013-06-10,70.08,70.41,69.47,70.24,2498600,70.24
2013-06-07,69.78,70.45,69.51,69.97,2723000,69.97
2013-06-06,68.93,69.52,68.50,69.52,2917000,69.52
2013-06-05,69.20,69.88,68.81,68.83,3448800,68.83
2013-06-04,70.27,70.56,69.23,69.78,2859700,69.29
2013-06-03,70.42,70.47,69.63,70.44,3254900,69.95
2013-05-31,71.79,71.97,70.33,70.33,3332200,69.84
2013-05-30,71.40,72.32,71.29,72.00,1992100,71.49
2013-05-29,71.92,72.03,70.85,71.34,2366600,70.84
2013-05-28,72.09,72.81,71.85,72.31,2691000,71.80
2013-05-24,72.07,72.10,71.33,71.51,2329200,71.01
2013-05-23,71.85,72.29,71.45,72.15,3260100,71.64
2013-05-22,73.19,73.85,71.91,72.30,3420100,71.79
2013-05-21,73.09,73.67,72.62,73.04,3573300,72.53
2013-05-20,73.01,73.95,72.81,72.94,4236700,72.43
2013-05-17,72.14,73.40,71.95,72.94,7483400,72.43
2013-05-16,70.55,71.99,70.36,71.85,5876600,71.35
2013-05-15,70.59,70.89,70.17,70.55,3945600,70.05
2013-05-14,70.60,71.06,70.38,70.49,4463600,70.00
2013-05-13,70.46,70.81,70.40,70.46,3227300,69.97
2013-05-10,71.05,71.09,70.39,70.76,4306800,70.26
2013-05-09,71.09,71.45,70.79,70.99,3203500,70.49
2013-05-08,68.77,71.31,68.74,71.27,7882800,70.77
2013-05-07,67.66,68.89,67.51,68.58,20517900,68.10
2013-05-06,70.21,70.62,70.02,70.31,2580000,69.82
2013-05-03,71.15,71.43,70.18,70.25,3500400,69.76
2013-05-02,69.09,70.79,69.02,70.70,3234000,70.20
2013-05-01,69.55,69.93,68.83,68.91,2139400,68.43
2013-04-30,70.49,70.49,69.13,69.87,2832900,69.38
2013-04-29,69.84,70.72,69.53,70.56,2125900,70.06
2013-04-26,69.07,69.57,68.73,69.49,2420100,69.00
2013-04-25,69.75,69.77,68.89,69.09,4281200,68.60
2013-04-24,69.90,70.16,69.42,69.53,3652800,69.04
2013-04-23,69.45,70.17,69.25,69.85,4398200,69.36
2013-04-22,69.15,69.35,68.96,69.13,2891100,68.64
2013-04-19,69.26,69.53,68.87,69.09,3113000,68.60
2013-04-18,70.54,71.16,68.71,68.90,4277800,68.42
2013-04-17,70.49,70.70,69.89,70.23,3268700,69.74
2013-04-16,70.70,70.95,70.04,70.90,2633900,70.40
2013-04-15,71.67,71.90,70.40,70.42,3494800,69.93
2013-04-12,71.62,71.92,71.09,71.78,2389400,71.28
2013-04-11,71.45,72.07,71.33,71.87,3214300,71.37
2013-04-10,70.83,71.67,70.78,71.43,2825600,70.93
2013-04-09,70.29,71.02,70.03,70.53,2769900,70.03
2013-04-08,70.44,70.68,69.91,70.11,3158400,69.62
2013-04-05,70.36,70.74,70.28,70.50,2291300,70.00
2013-04-04,71.55,72.24,70.97,71.12,4292700,70.62
2013-04-03,72.21,72.33,71.21,71.36,3496000,70.86
2013-04-02,72.61,72.62,72.01,72.21,3026200,71.70
2013-04-01,72.47,72.85,72.12,72.30,2064500,71.79
2013-03-28,72.03,72.74,71.82,72.64,2447600,72.13
2013-03-27,71.00,72.00,70.96,71.88,2414000,71.38
2013-03-26,71.05,71.54,70.84,71.46,2698800,70.96
2013-03-25,70.90,71.34,70.45,70.80,2860600,70.30
2013-03-22,70.23,70.95,69.89,70.94,2745800,70.44
2013-03-21,69.57,70.23,69.47,70.06,2064900,69.57
2013-03-20,69.65,70.04,69.41,69.92,2594400,69.43
2013-03-19,69.12,69.40,68.58,69.37,2356900,68.88
2013-03-18,68.96,69.27,68.66,68.90,1808900,68.42
2013-03-15,69.85,69.95,68.94,69.41,3479000,68.92
2013-03-14,69.78,70.34,69.72,70.06,3217100,69.57
2013-03-13,69.25,69.77,69.14,69.63,2641100,69.14
2013-03-12,69.94,69.99,69.13,69.28,3615500,68.79
2013-03-11,69.66,70.10,69.58,69.97,1520600,69.48
2013-03-08,69.59,70.11,69.32,69.89,2163700,69.40
2013-03-07,69.88,70.09,69.18,69.29,2619000,68.80
2013-03-06,69.44,70.53,69.36,69.97,2939900,69.48
2013-03-05,68.98,70.41,68.69,70.24,3833500,69.30
2013-03-04,68.45,69.18,68.28,69.18,3702100,68.25
2013-03-01,67.41,68.99,67.21,68.90,3437400,67.98
2013-02-28,67.41,67.99,67.31,67.60,3600300,66.70
2013-02-27,66.77,67.42,66.70,67.31,4954600,66.41
2013-02-26,67.43,67.70,66.71,66.77,4267600,65.88
2013-02-25,67.32,67.91,67.09,67.10,4066800,66.20
2013-02-22,66.73,67.39,66.48,67.00,3232100,66.10
2013-02-21,67.37,67.62,66.40,66.42,3220900,65.53
2013-02-20,68.20,68.25,67.53,67.54,2232400,66.64
2013-02-19,68.20,68.38,68.01,68.32,2039000,67.41
2013-02-15,68.30,68.42,68.02,68.17,2275400,67.26
2013-02-14,68.31,69.04,67.90,68.17,3087000,67.26
2013-02-13,68.84,69.03,67.99,68.15,2618900,67.24
2013-02-12,68.79,69.30,68.64,68.68,2868800,67.76
2013-02-11,68.88,69.05,68.51,68.73,1839900,67.81
2013-02-08,68.60,69.25,68.45,69.00,1994400,68.08
2013-02-07,69.09,69.12,68.36,68.53,2662600,67.61
2013-02-06,68.68,69.34,68.55,69.27,2191200,68.34
2013-02-05,68.72,69.21,68.53,68.95,2121900,68.03
2013-02-04,68.42,68.93,68.22,68.31,2404000,67.40
2013-02-01,67.98,68.85,67.90,68.77,2728700,67.85
2013-01-31,67.96,68.15,67.39,67.84,2357400,66.93
2013-01-30,67.47,68.08,67.28,67.90,2243700,66.99
2013-01-29,67.46,67.98,67.18,67.35,4261300,66.45
2013-01-28,68.03,68.22,67.33,67.43,2112700,66.53
2013-01-25,67.92,68.48,67.59,68.00,2915800,67.09
2013-01-24,66.29,67.98,65.89,67.78,4037000,66.87
2013-01-23,66.77,67.05,66.41,66.59,2993100,65.70
2013-01-22,67.05,67.28,66.45,66.95,3065300,66.05
2013-01-18,67.30,67.50,66.87,67.05,2583200,66.15
2013-01-17,66.78,67.42,66.57,67.19,5242000,66.29
2013-01-16,66.99,67.02,66.46,66.52,4436200,65.63
2013-01-15,67.88,68.36,67.04,67.04,4291400,66.14
2013-01-14,68.95,68.95,67.92,68.03,3034900,67.12
2013-01-11,68.68,69.00,68.37,68.95,2467300,68.03
2013-01-10,68.69,68.81,68.24,68.43,2797600,67.51
2013-01-09,68.15,68.72,68.00,68.39,3497600,67.47
2013-01-08,68.58,68.96,68.00,68.43,2341100,67.51
2013-01-07,68.05,68.72,67.76,68.50,2568500,67.58
2013-01-04,67.87,68.47,67.54,68.43,2458300,67.51
2013-01-03,67.58,67.83,67.45,67.78,2528800,66.87
2013-01-02,67.36,67.66,67.06,67.65,2665900,66.74
2012-12-31,65.61,66.67,65.37,66.66,2100000,65.77
2012-12-28,66.20,66.47,65.58,65.59,1529900,64.71
2012-12-27,66.35,66.78,65.72,66.53,1782100,65.64
2012-12-26,67.03,67.04,65.88,66.19,1583700,65.30
2012-12-24,67.00,67.11,66.70,66.97,872700,66.07
2012-12-21,67.50,67.71,66.61,67.25,4355900,66.35
2012-12-20,66.53,67.80,66.53,67.80,2994700,66.89
2012-12-19,67.01,67.34,66.38,66.40,2270800,65.51
2012-12-18,66.44,67.10,66.19,66.95,2767200,66.05
2012-12-17,65.98,66.35,65.95,66.33,2058000,65.44
2012-12-14,65.29,66.24,65.29,65.95,2384400,65.07
2012-12-13,65.80,65.94,65.31,65.66,1719900,64.78
2012-12-12,65.80,66.55,65.68,65.82,2542800,64.94
2012-12-11,65.46,66.03,65.22,65.68,2184000,64.80
2012-12-10,65.06,65.74,64.81,65.49,2811100,64.61
2012-12-07,64.64,65.25,64.40,65.07,2667500,64.20
2012-12-06,64.50,64.60,63.86,64.43,3742100,63.57
2012-12-05,65.14,65.14,64.22,64.47,3388700,63.61
2012-12-04,65.60,65.89,64.84,65.22,3315900,63.90
2012-12-03,66.60,66.63,65.71,65.80,1926600,64.47
2012-11-30,66.15,66.44,65.72,66.27,3179600,64.93
2012-11-29,66.26,66.36,65.59,65.96,2366900,64.63
2012-11-28,65.67,66.01,65.20,65.99,3741100,64.66
2012-11-27,66.49,66.74,65.73,65.81,3012700,64.48
2012-11-26,68.15,68.17,66.32,66.84,5331100,65.49
2012-11-23,66.29,68.91,66.07,68.81,3527700,67.42
2012-11-21,66.35,66.40,65.88,66.12,1706800,64.78
2012-11-20,66.37,66.67,65.66,66.30,2677800,64.96
2012-11-19,66.47,66.61,65.80,66.49,3777400,65.15
2012-11-16,65.86,66.30,65.40,66.02,4763100,64.69
2012-11-15,64.99,66.00,64.83,65.90,4214900,64.57
2012-11-14,66.28,66.88,64.91,65.04,3647400,63.73
2012-11-13,64.79,66.36,64.44,65.95,4931400,64.62
2012-11-12,64.53,65.49,64.27,65.06,3715000,63.75
2012-11-09,64.26,64.70,64.15,64.27,4494400,62.97
2012-11-08,65.49,65.86,64.58,64.59,4866700,63.29
2012-11-07,65.76,65.99,64.58,65.54,4600900,64.22
2012-11-06,65.19,66.71,65.03,66.08,4697900,64.75
2012-11-05,64.22,65.29,64.20,65.24,4624800,63.92
2012-11-02,64.00,64.91,63.75,64.75,6174400,63.44
