Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,76.52,76.94,76.27,76.74,1606300,76.74
2013-07-11,76.30,76.70,75.87,76.63,1604200,76.63
2013-07-10,75.56,75.80,74.94,75.57,1515300,75.57
2013-07-09,74.25,76.03,73.96,75.58,2731200,75.58
2013-07-08,73.03,74.04,72.98,73.81,1447400,73.81
2013-07-05,72.44,72.95,71.90,72.76,825000,72.76
2013-07-03,71.00,72.07,71.00,71.94,595600,71.94
2013-07-02,71.39,72.41,71.24,71.46,1378800,71.46
2013-07-01,71.86,72.60,71.19,71.76,1546900,71.76
2013-06-28,71.38,71.59,70.47,70.95,3165600,70.95
2013-06-27,69.55,70.50,68.72,70.15,4093700,70.15
2013-06-26,69.15,70.11,69.15,70.00,2911300,70.00
2013-06-25,69.04,69.50,68.60,68.81,2024000,68.81
2013-06-24,69.84,69.94,67.58,68.40,2509500,68.40
2013-06-21,69.86,70.75,69.23,69.99,4726300,69.99
2013-06-20,70.44,70.99,69.35,69.52,1879200,69.52
2013-06-19,71.93,72.36,70.65,70.69,1674300,70.69
2013-06-18,71.45,72.00,71.03,71.99,1123200,71.99
2013-06-17,71.60,72.00,70.67,71.22,1280000,71.22
2013-06-14,71.23,72.01,70.73,71.07,1584600,71.07
2013-06-13,68.98,71.29,68.89,71.03,2220300,71.03
2013-06-12,69.42,70.20,69.13,69.15,1658100,69.15
2013-06-11,68.51,69.42,68.36,69.08,1315200,69.08
2013-06-10,69.32,69.42,68.63,69.09,1374000,69.09
2013-06-07,68.56,69.58,68.51,69.36,1669900,69.36
2013-06-06,68.54,68.67,67.32,68.24,2233500,68.24
2013-06-05,67.80,69.13,67.67,68.33,4772700,68.33
2013-06-04,68.08,69.07,66.19,66.98,2696100,66.98
2013-06-03,68.70,69.06,67.83,68.36,1727300,68.36
2013-05-31,68.57,69.75,68.25,68.25,2258000,68.25
2013-05-30,69.05,69.66,68.81,69.11,1158200,69.11
2013-05-29,69.58,69.66,68.64,68.86,1458400,68.86
2013-05-28,69.27,70.07,69.13,69.70,1560500,69.70
2013-05-24,68.49,69.20,68.15,68.72,1322900,68.72
2013-05-23,68.41,69.65,68.21,69.53,2167600,69.53
2013-05-22,68.54,69.47,68.09,68.27,2337700,68.27
2013-05-21,67.36,68.79,67.24,68.54,2048500,68.54
2013-05-20,68.00,68.77,67.24,67.35,2832500,67.35
2013-05-17,69.11,69.18,68.38,69.11,1415000,69.11
2013-05-16,69.02,69.27,68.46,68.69,1262300,68.69
2013-05-15,68.48,69.21,67.90,69.21,2348900,69.21
2013-05-14,69.25,69.27,68.39,68.56,2703300,68.56
2013-05-13,69.53,69.83,68.84,69.04,2096800,69.04
2013-05-10,69.41,70.24,69.31,69.83,1660000,69.83
2013-05-09,69.56,70.03,69.07,69.46,1715000,69.46
2013-05-08,69.22,69.80,68.86,69.26,2551300,69.26
2013-05-07,69.68,70.40,69.49,70.07,1848000,70.07
2013-05-06,68.37,69.76,68.37,69.65,1543500,69.65
2013-05-03,69.17,69.62,68.40,68.57,3225700,68.57
2013-05-02,69.00,69.84,68.82,69.72,2060900,69.72
2013-05-01,68.86,69.20,68.38,68.81,1987800,68.81
2013-04-30,68.21,69.00,68.17,68.80,1756300,68.80
2013-04-29,67.21,69.33,66.97,68.39,2765800,68.39
2013-04-26,67.76,67.83,66.92,67.09,1335500,67.09
2013-04-25,67.26,67.99,67.17,67.69,1633600,67.69
2013-04-24,66.89,67.48,66.62,66.86,1704100,66.86
2013-04-23,66.88,67.99,66.46,66.78,2517800,66.78
2013-04-22,66.86,66.99,65.81,66.46,1625900,66.46
2013-04-19,66.12,67.22,66.12,66.77,1786300,66.77
2013-04-18,66.55,66.86,66.26,66.44,3233700,66.44
2013-04-17,65.56,66.50,65.16,66.40,3873300,66.40
2013-04-16,65.73,66.00,65.08,65.95,1568300,65.95
2013-04-15,66.17,66.57,65.26,65.33,2595100,65.33
2013-04-12,64.10,66.76,63.90,66.76,4258500,66.76
2013-04-11,67.25,68.30,63.69,64.00,9737200,64.00
2013-04-10,65.02,65.62,64.66,65.50,3937200,65.50
