Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,100.32,102.06,100.06,102.01,1106900,102.01
2013-07-11,100.13,100.22,99.20,100.01,759300,100.01
2013-07-10,98.87,99.53,98.58,99.10,739200,99.10
2013-07-09,99.75,99.81,98.68,98.76,822100,98.76
2013-07-08,99.33,100.31,99.19,99.36,824900,99.36
2013-07-05,98.34,98.69,97.70,98.67,423400,98.67
2013-07-03,97.00,98.15,96.78,97.80,577900,97.80
2013-07-02,99.13,99.15,96.82,97.14,1234900,97.14
2013-07-01,99.43,99.83,98.80,99.25,1216600,99.25
2013-06-28,98.62,99.19,98.12,98.83,1380500,98.83
2013-06-27,99.64,99.66,98.71,98.75,787200,98.75
2013-06-26,98.88,99.87,98.86,99.16,834900,99.16
2013-06-25,98.60,98.60,97.43,98.00,1196000,98.00
2013-06-24,94.85,97.76,94.25,97.69,1650400,97.69
2013-06-21,96.74,97.55,95.80,96.03,1620700,96.03
2013-06-20,98.07,98.07,96.05,96.25,1127600,96.25
2013-06-19,100.31,100.42,98.74,98.79,851900,98.79
2013-06-18,100.27,100.56,99.43,100.40,478200,100.40
2013-06-17,99.58,100.66,99.10,100.17,943400,100.17
2013-06-14,98.42,99.22,98.34,98.64,677200,98.64
2013-06-13,97.26,98.83,96.82,98.60,827500,98.60
2013-06-12,98.89,98.98,97.64,97.67,725800,97.67
2013-06-11,97.43,99.00,97.21,98.31,670100,98.31
2013-06-10,98.81,98.92,97.70,98.52,687000,98.52
2013-06-07,98.16,98.85,97.74,98.69,886000,98.69
2013-06-06,97.11,97.75,95.95,97.75,809100,97.75
2013-06-05,97.47,98.17,96.75,96.92,653500,96.92
2013-06-04,99.15,99.42,97.72,98.37,945000,97.88
2013-06-03,98.96,99.23,98.25,99.20,923900,98.70
2013-05-31,100.42,100.95,98.58,98.62,1273900,98.12
2013-05-30,101.07,101.47,100.56,100.82,651500,100.31
2013-05-29,101.50,101.52,100.38,100.81,988000,100.30
2013-05-28,101.65,102.12,101.30,101.92,1119000,101.41
2013-05-24,99.57,100.85,99.02,100.83,835100,100.32
2013-05-23,99.55,100.57,99.24,100.17,627000,99.67
2013-05-22,101.05,102.72,99.74,100.02,858700,99.52
2013-05-21,101.22,101.89,100.93,101.01,742500,100.50
2013-05-20,101.61,102.02,100.96,101.12,798800,100.61
2013-05-17,100.78,101.91,100.69,101.78,926900,101.27
2013-05-16,100.98,101.21,100.39,100.50,690300,99.99
2013-05-15,101.50,101.84,101.05,101.34,1128200,100.83
2013-05-14,100.71,102.42,100.41,101.77,1677500,101.26
2013-05-13,99.21,100.36,99.20,100.33,1048100,99.83
2013-05-10,98.25,99.61,98.16,99.61,1176100,99.11
2013-05-09,97.46,97.86,97.34,97.75,932200,97.26
2013-05-08,97.30,97.64,96.97,97.58,844200,97.09
