Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,64.50,65.35,64.50,65.27,611900,65.27
2013-07-11,64.12,64.65,64.00,64.55,547200,64.55
2013-07-10,63.23,63.54,62.66,63.27,850200,63.27
2013-07-09,63.49,64.00,62.98,63.23,975200,63.23
2013-07-08,63.58,63.84,63.02,63.24,601100,63.24
2013-07-05,63.81,64.14,63.05,63.46,368000,63.46
2013-07-03,63.58,63.85,63.25,63.53,316500,63.53
2013-07-02,63.28,63.88,62.97,63.70,648000,63.70
2013-07-01,63.51,63.83,63.04,63.23,839800,63.23
2013-06-28,62.91,63.59,62.64,63.11,880600,63.11
2013-06-27,62.83,63.49,62.71,63.11,381900,63.11
2013-06-26,62.88,63.17,62.39,62.39,585300,62.39
2013-06-25,63.30,63.30,62.08,62.25,651200,62.25
2013-06-24,62.26,63.35,61.99,62.84,637500,62.84
2013-06-21,62.20,63.20,61.70,62.88,1063900,62.88
2013-06-20,63.38,63.58,61.64,61.75,827700,61.75
2013-06-19,65.04,65.32,63.86,63.86,545700,63.86
2013-06-18,65.14,65.53,64.68,65.01,641000,65.01
2013-06-17,65.75,66.00,64.84,64.99,515900,64.99
2013-06-14,65.01,65.60,64.78,65.35,558500,65.35
2013-06-13,64.36,65.43,63.93,65.22,770900,65.22
2013-06-12,65.74,65.78,64.48,64.48,455100,64.48
2013-06-11,64.75,65.84,64.20,65.34,612400,65.34
2013-06-10,65.65,65.65,65.00,65.49,815400,65.49
2013-06-07,64.41,65.51,64.41,65.18,936900,65.18
2013-06-06,64.67,64.92,63.80,64.20,785500,64.20
2013-06-05,65.09,65.47,64.39,64.79,850200,64.79
2013-06-04,65.22,65.78,64.68,65.39,696500,65.39
2013-06-03,64.95,65.13,63.43,65.08,851700,65.08
2013-05-31,66.31,66.67,64.83,64.84,938700,64.84
2013-05-30,66.51,66.96,66.45,66.63,380400,66.63
2013-05-29,66.89,67.27,66.19,66.64,551500,66.64
2013-05-28,67.92,68.51,67.18,67.30,599000,67.30
2013-05-24,66.94,67.66,66.60,67.26,545300,67.26
2013-05-23,66.82,67.65,66.64,67.39,427900,67.39
2013-05-22,68.24,69.10,67.26,67.64,495800,67.64
2013-05-21,68.32,68.66,67.44,68.37,472700,68.37
2013-05-20,68.81,68.82,68.16,68.33,299600,68.33
2013-05-17,68.73,69.05,68.35,68.94,617500,68.94
2013-05-16,69.07,69.78,68.60,68.65,1004300,68.65
2013-05-15,68.16,68.92,68.15,68.63,696300,68.63
2013-05-14,69.01,69.01,67.62,68.43,688000,68.43
2013-05-13,67.24,67.65,67.06,67.59,353900,67.59
2013-05-10,67.04,67.64,66.86,67.51,434500,67.51
2013-05-09,67.14,67.56,66.80,67.00,1064300,67.00
2013-05-08,66.71,67.97,66.67,67.20,958700,67.20
2013-05-07,66.60,67.00,66.13,66.86,577300,66.86
2013-05-06,66.50,66.94,65.91,66.74,680900,66.74
2013-05-03,67.65,68.17,65.98,66.86,1169400,66.64
2013-05-02,64.65,67.37,64.58,66.11,1613600,65.89
2013-05-01,64.23,65.11,64.19,64.29,507200,64.07
2013-04-30,64.48,64.86,63.88,64.71,517500,64.49
2013-04-29,64.80,65.12,64.24,64.63,438700,64.41
2013-04-26,64.13,64.57,63.92,64.49,449600,64.27
2013-04-25,64.91,65.05,64.05,64.20,760800,63.98
2013-04-24,65.55,65.87,64.58,64.64,698600,64.42
2013-04-23,64.79,65.58,64.40,65.55,644100,65.33
2013-04-22,64.75,64.95,64.22,64.64,531800,64.42
2013-04-19,63.76,65.03,63.67,64.87,1092200,64.65
2013-04-18,61.94,63.89,61.82,63.58,1228300,63.37
2013-04-17,62.08,62.13,61.18,61.82,853100,61.61
