Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,141.31,143.59,141.30,143.49,1140500,143.49
2013-07-11,138.83,141.00,138.33,139.93,1806200,139.93
2013-07-10,140.27,140.27,136.70,136.98,1596900,136.98
2013-07-09,138.00,139.59,136.55,139.46,1213900,139.46
2013-07-08,138.06,138.71,136.30,137.24,1360600,137.24
2013-07-05,138.51,138.99,136.32,136.95,1353000,136.95
2013-07-03,137.25,138.51,136.74,137.96,587300,137.96
2013-07-02,138.45,139.88,137.05,138.24,1123900,138.24
2013-07-01,136.90,139.47,136.89,138.56,1321500,138.56
2013-06-28,138.52,138.62,135.36,136.02,2030700,136.02
2013-06-27,138.42,139.46,137.76,138.93,939500,138.93
2013-06-26,138.50,138.79,137.02,137.39,1374200,137.39
2013-06-25,135.76,137.95,134.87,137.26,995800,137.26
2013-06-24,136.50,136.50,132.65,133.98,1675600,133.98
2013-06-21,139.69,139.69,136.51,137.02,2045400,137.02
2013-06-20,144.00,144.00,137.17,137.43,2195500,137.43
2013-06-19,150.60,150.72,145.42,145.47,1436300,145.18
2013-06-18,147.56,151.15,146.89,150.92,776100,150.62
2013-06-17,147.95,148.84,146.56,147.27,1067000,146.98
2013-06-14,147.39,148.35,146.99,147.13,1522900,146.84
2013-06-13,143.25,147.57,142.67,147.10,1548600,146.81
2013-06-12,149.89,149.89,142.80,143.30,1546900,143.01
2013-06-11,148.30,149.61,146.46,147.11,1156800,146.82
2013-06-10,151.00,151.29,150.06,150.40,968900,150.10
2013-06-07,149.91,150.67,149.04,150.46,1205800,150.16
2013-06-06,148.63,149.63,147.71,149.51,1581600,149.21
2013-06-05,154.18,154.57,148.20,148.49,1696400,148.19
2013-06-04,155.48,157.32,152.98,154.27,1160400,153.96
2013-06-03,155.00,155.75,150.50,155.48,1434300,155.17
2013-05-31,160.98,161.74,154.65,154.81,1666900,154.50
2013-05-30,162.18,164.01,161.06,161.24,839100,160.92
2013-05-29,163.66,165.12,161.04,161.96,692900,161.64
2013-05-28,164.95,167.20,164.68,164.81,618700,164.48
2013-05-24,160.62,163.08,160.03,162.94,437000,162.62
2013-05-23,160.72,162.58,159.62,162.04,739400,161.72
2013-05-22,165.65,168.71,162.77,163.65,712300,163.32
2013-05-21,166.93,167.60,165.07,165.23,1013000,164.90
2013-05-20,167.94,169.62,167.59,167.85,325800,167.52
2013-05-17,166.70,168.40,165.19,168.32,535400,167.98
2013-05-16,165.89,168.76,165.44,165.95,629600,165.62
2013-05-15,166.68,167.00,164.58,166.59,765100,166.26
2013-05-14,163.36,167.68,162.98,167.41,591000,167.08
2013-05-13,162.00,164.34,162.00,163.09,665200,162.76
