Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,71.99,72.29,71.60,72.16,375700,72.16
2013-07-11,71.56,72.18,71.00,72.05,457300,72.05
2013-07-10,69.51,70.75,69.51,70.72,441900,70.72
2013-07-09,69.50,69.85,69.17,69.66,237700,69.66
2013-07-08,67.52,69.08,67.48,69.00,398100,69.00
2013-07-05,67.74,68.09,66.84,67.48,179600,67.48
2013-07-03,67.30,67.76,66.94,67.43,134100,67.43
2013-07-02,67.45,68.06,67.19,67.74,492100,67.74
2013-07-01,67.69,68.45,67.37,67.45,394300,67.45
2013-06-28,68.30,68.75,67.52,67.55,565000,67.55
2013-06-27,68.47,69.00,68.09,68.43,186800,68.43
2013-06-26,68.16,68.77,67.88,67.93,386100,67.93
2013-06-25,68.04,68.17,67.17,67.72,258100,67.72
2013-06-24,67.94,68.53,66.97,67.61,288100,67.61
2013-06-21,67.13,69.18,67.13,68.24,621500,68.24
2013-06-20,68.53,68.61,66.44,66.50,391300,66.50
2013-06-19,70.73,71.08,68.91,69.00,243600,69.00
2013-06-18,70.57,70.89,70.19,70.64,193800,70.64
2013-06-17,70.26,71.15,70.08,70.58,242500,70.58
2013-06-14,70.23,71.07,69.77,69.94,217100,69.94
2013-06-13,69.02,70.31,68.28,70.19,277600,70.19
2013-06-12,70.33,70.74,68.95,68.97,265900,68.97
2013-06-11,69.40,70.85,69.27,69.97,271900,69.97
2013-06-10,69.88,70.45,69.22,69.87,212100,69.87
2013-06-07,69.76,70.80,69.49,69.89,428100,69.89
2013-06-06,68.08,69.20,67.88,69.13,359900,69.13
2013-06-05,69.05,69.05,68.08,68.20,274400,68.20
2013-06-04,68.46,69.21,68.35,68.48,385000,68.48
2013-06-03,68.55,69.64,67.95,68.24,539400,68.24
2013-05-31,70.60,70.78,68.82,68.82,618100,68.56
2013-05-30,70.81,71.33,70.70,70.92,218600,70.66
2013-05-29,71.11,71.49,70.45,70.64,226300,70.38
2013-05-28,71.59,72.34,71.20,71.50,154400,71.24
2013-05-24,71.06,71.51,70.59,71.03,171200,70.77
2013-05-23,70.89,71.38,70.50,71.16,212700,70.90
2013-05-22,71.74,72.93,71.03,71.14,256400,70.88
2013-05-21,72.00,72.21,71.38,71.79,245600,71.52
2013-05-20,72.79,72.94,71.93,72.15,185700,71.88
2013-05-17,72.62,72.99,72.41,72.88,281000,72.61
2013-05-16,72.78,74.29,72.50,72.76,254600,72.49
2013-05-15,71.82,73.23,71.56,72.99,284900,72.72
2013-05-14,70.42,72.00,70.42,71.95,222000,71.68
2013-05-13,70.43,70.97,70.22,70.49,315200,70.23
2013-05-10,70.54,70.97,70.21,70.58,256100,70.32
2013-05-09,71.19,71.19,70.25,70.45,203900,70.19
2013-05-08,71.08,71.49,70.64,71.22,210900,70.96
2013-05-07,70.57,71.44,70.14,71.34,243300,71.08
2013-05-06,71.40,71.59,70.15,70.55,212800,70.29
2013-05-03,71.19,71.68,70.57,71.60,277400,71.33
2013-05-02,69.99,71.18,69.69,70.92,391900,70.66
2013-05-01,70.49,70.91,69.83,69.95,186500,69.69
2013-04-30,70.32,70.61,69.35,70.50,265300,70.24
2013-04-29,70.28,70.47,69.85,70.36,162700,70.10
2013-04-26,70.25,70.37,69.87,70.20,176900,69.94
2013-04-25,70.34,70.64,69.54,70.21,198200,69.95
2013-04-24,71.53,71.53,69.86,69.95,186000,69.69
