Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,48.78,49.22,48.63,49.16,3012800,49.16
2013-07-11,49.51,49.54,48.57,48.80,3571700,48.80
2013-07-10,48.86,49.15,48.55,48.78,3221300,48.78
2013-07-09,48.96,49.11,48.80,48.96,3198900,48.96
2013-07-08,48.37,48.77,48.24,48.69,3227900,48.69
2013-07-05,47.91,48.27,47.45,48.09,1996600,48.09
2013-07-03,47.43,47.69,47.21,47.62,1130600,47.62
2013-07-02,46.63,48.01,46.61,47.58,3968900,47.58
2013-07-01,46.38,47.18,46.30,46.69,2296500,46.69
2013-06-28,45.73,46.61,45.70,46.13,4041800,46.13
2013-06-27,45.52,46.17,45.50,45.87,3061700,45.87
2013-06-26,45.36,45.42,44.82,45.31,2408900,45.31
2013-06-25,44.76,45.37,44.71,45.08,2951800,45.08
2013-06-24,44.34,44.90,43.34,44.33,4152000,44.33
2013-06-21,45.34,45.34,44.21,44.87,4449000,44.87
2013-06-20,45.26,45.53,44.75,44.92,4030500,44.92
2013-06-19,46.64,46.94,45.89,45.89,2346000,45.89
2013-06-18,46.44,47.06,46.38,46.75,2073000,46.75
2013-06-17,46.38,46.75,46.05,46.43,3113600,46.43
2013-06-14,47.01,47.06,45.78,46.03,4358100,46.03
2013-06-13,45.46,47.01,45.46,46.95,3901400,46.95
2013-06-12,45.87,46.00,45.18,45.35,3066500,45.35
2013-06-11,45.64,46.00,45.34,45.47,3350300,45.47
2013-06-10,46.89,46.95,46.16,46.23,2688800,46.23
2013-06-07,45.74,46.63,45.50,46.49,2572100,46.49
2013-06-06,45.48,45.98,45.07,45.62,4469900,45.62
2013-06-05,45.77,45.96,45.35,45.38,3616100,45.38
2013-06-04,45.58,46.00,45.04,45.42,2394700,45.42
2013-06-03,45.63,46.00,45.05,45.74,3037200,45.74
2013-05-31,46.16,46.42,45.48,45.48,3526800,45.48
2013-05-30,46.24,46.97,45.86,46.50,4810100,46.50
2013-05-29,47.28,47.60,46.95,47.41,2761200,47.41
2013-05-28,47.87,48.13,47.47,47.65,2520900,47.65
2013-05-24,46.70,47.27,46.25,47.17,1980900,47.17
2013-05-23,46.57,47.13,46.16,47.07,2756200,47.07
2013-05-22,47.81,48.63,47.04,47.40,7214200,47.40
2013-05-21,48.25,48.47,47.59,47.89,2519500,47.89
2013-05-20,47.35,48.54,47.26,48.22,2521400,48.22
2013-05-17,46.59,47.70,46.55,47.53,2859000,47.53
2013-05-16,45.78,46.69,45.78,46.25,1956900,46.25
2013-05-15,46.20,46.32,45.48,46.01,2648100,46.01
2013-05-14,46.63,47.12,46.33,46.58,2544800,46.58
2013-05-13,46.67,46.85,46.28,46.64,1871700,46.64
2013-05-10,46.72,46.89,46.12,46.84,1797400,46.84
2013-05-09,46.98,47.29,46.68,46.93,1872200,46.93
