Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,29.77,30.09,29.64,30.06,5864400,30.06
2013-07-11,29.82,29.88,29.43,29.77,5688300,29.77
2013-07-10,29.34,29.55,29.07,29.33,5102600,29.33
2013-07-09,29.46,29.46,28.91,29.34,6710000,29.34
2013-07-08,29.45,29.52,28.95,29.12,7956900,29.12
2013-07-05,28.79,29.32,28.79,29.26,5315400,29.26
2013-07-03,28.18,28.64,28.01,28.53,2845400,28.53
2013-07-02,28.48,29.09,28.19,28.42,5977700,28.42
2013-07-01,28.22,28.99,28.21,28.47,7807800,28.47
2013-06-28,28.58,28.61,27.91,28.05,10586300,28.05
2013-06-27,28.58,28.80,28.39,28.72,5526900,28.72
2013-06-26,28.52,28.64,28.29,28.33,6629700,28.33
2013-06-25,28.20,28.38,27.98,28.27,5108300,28.27
2013-06-24,28.14,28.23,27.54,27.86,10502400,27.86
2013-06-21,29.26,29.29,28.10,28.45,10809300,28.45
2013-06-20,29.38,29.38,28.86,28.97,7825000,28.97
2013-06-19,29.76,30.21,29.46,29.65,8815200,29.65
2013-06-18,29.47,29.88,29.31,29.77,5058500,29.77
2013-06-17,29.37,29.61,29.14,29.37,5411800,29.37
2013-06-14,29.48,29.59,29.06,29.13,2798600,29.13
2013-06-13,28.99,29.51,28.89,29.48,4946500,29.48
2013-06-12,29.74,29.79,29.04,29.06,3672100,29.06
2013-06-11,29.87,30.03,29.46,29.49,3858800,29.49
2013-06-10,30.02,30.46,29.81,30.16,7818400,30.16
2013-06-07,29.76,29.92,29.45,29.85,7610700,29.85
2013-06-06,29.01,29.53,28.68,29.51,6893400,29.51
2013-06-05,29.81,29.88,28.97,29.01,6283400,29.01
2013-06-04,30.21,30.49,29.79,29.90,4186700,29.90
2013-06-03,30.16,30.45,29.61,30.21,5188200,30.21
2013-05-31,30.48,30.85,30.06,30.06,6363600,30.06
2013-05-30,30.17,30.79,30.04,30.55,7036400,30.55
2013-05-29,29.86,30.44,29.84,30.09,6523700,30.09
2013-05-28,29.90,30.39,29.85,30.09,7443300,30.09
2013-05-24,29.43,29.53,29.24,29.51,6447900,29.51
2013-05-23,29.43,29.82,29.30,29.64,4426700,29.64
2013-05-22,30.11,30.52,29.67,29.78,6735700,29.78
2013-05-21,30.41,30.60,30.04,30.09,5835500,30.09
2013-05-20,30.40,30.64,30.31,30.41,4487200,30.41
2013-05-17,29.93,30.56,29.93,30.44,4725400,30.44
2013-05-16,30.03,30.26,29.74,29.86,5211700,29.86
2013-05-15,29.90,30.30,29.71,30.21,5947200,30.21
2013-05-14,28.85,30.00,28.79,29.95,8576700,29.95
2013-05-13,28.22,28.97,28.15,28.82,6582400,28.82
2013-05-10,28.20,28.31,28.10,28.29,4998100,28.29
2013-05-09,28.39,28.47,28.17,28.18,4233000,28.18
2013-05-08,28.38,28.42,28.10,28.39,5380700,28.39
2013-05-07,28.31,28.47,28.08,28.41,3209100,28.41
2013-05-06,28.37,28.58,28.15,28.20,5561100,28.20
2013-05-03,28.28,28.50,28.23,28.38,4615000,28.38
2013-05-02,27.81,28.16,27.73,27.94,4498400,27.94
2013-05-01,28.13,28.22,27.62,27.70,5966200,27.70
2013-04-30,28.12,28.30,27.89,28.22,4418400,28.22
2013-04-29,27.79,28.15,27.79,28.08,4004600,28.08
2013-04-26,27.74,27.95,27.63,27.89,4628600,27.89
2013-04-25,27.83,28.07,27.69,27.78,5174000,27.78
2013-04-24,27.61,27.92,27.55,27.85,5652500,27.70
2013-04-23,27.37,27.59,27.16,27.54,7338200,27.39
2013-04-22,27.03,27.28,26.79,27.15,6208900,27.00
2013-04-19,26.87,27.01,26.64,26.99,9328800,26.84
2013-04-18,27.28,27.38,26.64,26.70,7224100,26.56
2013-04-17,27.09,27.45,26.76,27.19,9781300,27.04
2013-04-16,27.60,27.83,27.33,27.76,6656800,27.61
2013-04-15,28.35,28.36,27.32,27.33,6900700,27.18
2013-04-12,28.37,28.70,28.36,28.45,3960700,28.30
2013-04-11,28.66,29.02,28.43,28.65,5491000,28.50
2013-04-10,27.78,28.64,27.78,28.62,5887400,28.47
2013-04-09,27.58,27.88,27.45,27.71,3789200,27.56
2013-04-08,27.33,27.53,27.15,27.50,3902600,27.35
2013-04-05,27.02,27.41,26.85,27.36,4520200,27.21
2013-04-04,27.49,27.75,27.39,27.47,6988900,27.32
2013-04-03,28.19,28.19,27.38,27.43,6493500,27.28
2013-04-02,27.93,28.14,27.90,28.12,3906700,27.97
2013-04-01,27.91,28.23,27.69,27.87,4327000,27.72
2013-03-28,27.92,28.07,27.76,27.99,4983500,27.84
2013-03-27,28.12,28.12,27.77,27.90,5716400,27.75
2013-03-26,28.30,28.48,28.21,28.31,3729100,28.16
2013-03-25,28.32,28.48,28.08,28.19,4117900,28.04
2013-03-22,27.96,28.38,27.94,28.27,4370800,28.12
2013-03-21,28.10,28.23,27.81,27.85,3527500,27.70
2013-03-20,28.40,28.63,28.15,28.26,5977100,28.11
2013-03-19,28.47,28.62,28.07,28.21,5373800,28.06
2013-03-18,28.29,28.48,28.27,28.36,6457600,28.21
2013-03-15,28.86,29.07,28.52,28.85,11031400,28.69
2013-03-14,28.92,29.13,28.82,28.99,4715300,28.83
2013-03-13,28.63,28.97,28.57,28.87,4212000,28.71
2013-03-12,28.56,28.72,28.49,28.61,3928000,28.46
2013-03-11,28.40,28.71,28.18,28.63,3581200,28.48
2013-03-08,28.22,28.65,28.18,28.52,5928100,28.37
2013-03-07,27.82,28.08,27.77,28.01,5108800,27.86
2013-03-06,28.03,28.20,27.73,27.75,6376700,27.60
2013-03-05,27.82,28.01,27.74,27.84,4401100,27.69
2013-03-04,27.16,27.59,27.09,27.58,3701500,27.43
2013-03-01,26.99,27.35,26.74,27.20,5707500,27.05
2013-02-28,27.40,27.50,27.12,27.14,7027000,26.99
2013-02-27,27.03,27.46,26.90,27.40,4790900,27.25
2013-02-26,26.98,27.12,26.67,27.07,5813200,26.92
2013-02-25,27.80,27.88,26.82,26.82,5871000,26.68
2013-02-22,27.58,27.66,27.42,27.63,4116900,27.48
2013-02-21,27.84,27.86,27.20,27.32,4828300,27.17
2013-02-20,28.20,28.26,27.82,27.86,4998700,27.71
2013-02-19,28.10,28.26,27.96,28.24,5138000,28.09
2013-02-15,28.16,28.36,27.80,27.99,5952200,27.84
2013-02-14,28.10,28.21,28.03,28.10,4819000,27.95
2013-02-13,27.96,28.45,27.93,28.17,7482200,28.02
2013-02-12,27.76,28.00,27.65,27.90,5801700,27.75
2013-02-11,27.83,27.94,27.60,27.93,4296800,27.78
2013-02-08,27.80,28.00,27.76,27.90,6185900,27.75
2013-02-07,27.67,27.86,27.50,27.81,7343100,27.66
2013-02-06,27.21,27.65,27.10,27.65,5456300,27.50
2013-02-05,27.26,27.50,27.16,27.39,5645500,27.24
2013-02-04,27.06,27.35,27.00,27.19,6636200,27.04
2013-02-01,27.31,27.67,27.20,27.35,5355400,27.20
2013-01-31,27.20,27.33,27.08,27.16,5717700,27.01
2013-01-30,27.15,27.45,27.03,27.31,4757800,27.16
2013-01-29,26.92,27.28,26.89,27.28,5887800,27.13
2013-01-28,27.15,27.26,26.84,27.09,8052700,26.94
2013-01-25,27.07,27.19,26.85,27.08,5311600,26.93
2013-01-24,26.81,27.12,26.80,27.01,6878400,26.86
2013-01-23,26.81,27.00,26.76,26.93,7358000,26.66
2013-01-22,26.43,27.00,26.43,26.98,8868400,26.71
2013-01-18,26.40,26.57,26.11,26.53,9711600,26.26
