Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,41.18,41.54,41.13,41.49,461500,41.49
2013-07-11,40.98,41.22,40.79,41.20,504700,41.20
2013-07-10,40.13,40.55,39.84,40.53,813200,40.53
2013-07-09,40.25,40.60,40.23,40.57,696500,40.57
2013-07-08,39.35,40.12,39.35,40.06,702100,40.06
2013-07-05,39.39,39.80,39.29,39.71,394900,39.71
2013-07-03,39.35,39.42,39.05,39.22,414200,39.22
2013-07-02,39.42,39.85,39.36,39.50,498300,39.50
2013-07-01,39.42,39.91,39.26,39.46,498100,39.46
2013-06-28,38.85,39.23,38.67,39.14,1175700,39.14
2013-06-27,39.00,39.16,38.85,38.89,371400,38.89
2013-06-26,38.52,38.89,38.40,38.78,505400,38.78
2013-06-25,38.43,38.52,37.81,38.29,515900,38.29
2013-06-24,38.40,38.45,37.94,38.21,469600,38.21
2013-06-21,38.97,39.05,38.19,38.60,596600,38.60
2013-06-20,39.15,39.33,38.55,38.63,768100,38.63
2013-06-19,40.04,40.18,39.42,39.44,716800,39.44
2013-06-18,40.07,40.27,39.93,40.13,338300,40.13
2013-06-17,39.61,40.02,39.55,39.98,670900,39.98
2013-06-14,39.49,39.55,39.25,39.43,432600,39.43
2013-06-13,38.81,39.59,38.81,39.52,349200,39.52
2013-06-12,39.31,39.31,38.87,38.89,341300,38.89
2013-06-11,39.17,39.52,38.97,39.08,606700,39.08
2013-06-10,39.64,39.73,39.41,39.48,393200,39.48
2013-06-07,39.23,39.74,38.78,39.61,478700,39.61
2013-06-06,38.67,39.14,38.52,39.08,632100,39.08
2013-06-05,39.21,39.21,38.72,38.72,760200,38.72
2013-06-04,39.11,39.43,39.11,39.25,682100,39.25
2013-06-03,39.18,39.19,38.56,39.16,566800,39.16
2013-05-31,39.28,39.72,39.11,39.15,524500,39.15
2013-05-30,39.10,39.53,39.08,39.33,446300,39.33
2013-05-29,40.17,40.19,39.01,39.12,1962200,39.12
2013-05-28,40.55,40.91,40.28,40.37,526500,40.37
2013-05-24,40.12,40.23,39.75,40.14,424400,40.14
2013-05-23,40.13,40.39,40.01,40.17,467000,40.17
2013-05-22,40.62,41.04,40.34,40.42,898200,40.42
2013-05-21,40.68,40.82,40.39,40.64,649300,40.64
2013-05-20,40.61,40.94,40.60,40.64,455200,40.64
