Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,45.66,46.01,45.25,45.81,8591000,45.81
2013-07-11,45.50,46.14,45.38,46.03,8572800,46.03
2013-07-10,44.46,45.05,44.46,44.86,5258900,44.86
2013-07-09,44.28,44.69,44.14,44.54,6101000,44.54
2013-07-08,44.06,44.42,43.90,43.97,6756500,43.97
2013-07-05,43.74,44.25,43.41,44.18,5466800,44.18
2013-07-03,43.95,43.95,42.96,43.32,7264400,43.32
2013-07-02,44.42,44.90,43.87,43.99,10519200,43.99
2013-07-01,45.06,45.54,44.63,44.82,10018400,44.47
2013-06-28,46.01,46.53,44.68,44.69,16318900,44.34
2013-06-27,46.57,46.85,46.17,46.30,5895700,45.94
2013-06-26,45.56,46.72,45.23,46.47,9040900,46.11
2013-06-25,45.77,45.77,45.07,45.18,6949000,44.83
2013-06-24,45.32,45.96,44.89,45.47,8740100,45.11
2013-06-21,45.01,46.07,44.83,45.73,15314100,45.37
2013-06-20,45.81,45.87,44.32,44.58,12529600,44.23
2013-06-19,46.60,47.03,46.03,46.05,7826000,45.69
2013-06-18,46.60,47.00,46.46,46.85,7155500,46.48
2013-06-17,46.97,47.08,46.13,46.44,9537100,46.08
2013-06-14,47.25,47.49,46.77,46.80,7540700,46.43
2013-06-13,46.27,47.25,46.25,47.17,8511600,46.80
2013-06-12,47.59,47.93,46.56,46.57,8841600,46.21
2013-06-11,47.00,47.72,46.75,47.29,9303200,46.92
2013-06-10,47.60,47.82,47.11,47.31,7340400,46.94
2013-06-07,47.09,47.50,46.85,47.50,11199700,47.13
2013-06-06,46.38,47.29,45.92,47.00,12443300,46.63
2013-06-05,46.73,47.08,45.77,46.17,13964000,45.81
2013-06-04,47.03,48.18,46.40,46.83,21511100,46.46
2013-06-03,47.10,49.57,46.75,47.59,27384300,47.22
2013-05-31,46.82,47.44,46.00,46.01,12289600,45.65
2013-05-30,46.98,47.83,46.83,47.02,9857700,46.65
2013-05-29,47.15,47.29,46.21,46.71,9825100,46.35
2013-05-28,47.63,48.83,47.45,47.68,15042500,47.31
2013-05-24,46.56,47.55,45.81,47.40,12605100,47.03
2013-05-23,46.18,47.22,45.87,47.00,11956400,46.63
2013-05-22,44.84,47.48,44.84,46.40,25345900,46.04
2013-05-21,43.82,44.44,43.45,44.06,10156700,43.72
2013-05-20,43.36,44.14,43.35,43.76,9532500,43.42
2013-05-17,42.99,43.43,42.70,43.30,11128100,42.96
2013-05-16,43.69,44.54,42.63,42.77,26059700,42.44
2013-05-15,42.22,45.59,42.16,44.34,33357300,43.99
2013-05-14,41.00,42.32,40.95,42.21,16783000,41.88
2013-05-13,40.40,40.96,40.26,40.94,7298700,40.62
2013-05-10,40.06,40.49,39.94,40.49,7725500,40.17
2013-05-09,39.71,40.00,39.32,39.93,7654600,39.62
2013-05-08,40.06,40.19,39.56,39.68,7678900,39.37
2013-05-07,40.18,40.20,39.65,40.02,8143400,39.71
2013-05-06,40.12,40.16,39.85,40.02,5827200,39.71
2013-05-03,40.35,40.38,40.06,40.20,6184200,39.89
2013-05-02,39.89,40.03,39.67,40.01,8235800,39.70
2013-05-01,39.47,39.83,39.18,39.72,9958300,39.41
2013-04-30,39.83,39.83,39.18,39.72,11857100,39.41
2013-04-29,40.13,40.28,39.81,39.91,6717600,39.60
2013-04-26,40.13,40.41,39.72,40.28,10983900,39.97
2013-04-25,40.82,40.91,40.03,40.22,13873200,39.91
2013-04-24,42.26,42.28,41.39,41.45,6817200,41.13
2013-04-23,42.22,42.87,42.00,42.30,8816400,41.97
2013-04-22,41.17,42.00,40.95,41.93,10883200,41.60
2013-04-19,40.71,41.26,40.52,41.15,8233800,40.83
2013-04-18,40.72,40.83,40.31,40.55,8538800,40.23
2013-04-17,40.88,41.11,40.53,40.81,8612600,40.49
2013-04-16,41.08,41.10,40.56,41.06,9873700,40.74
2013-04-15,41.36,41.50,40.70,40.75,9015000,40.43
2013-04-12,41.03,41.50,41.02,41.42,7196300,41.10
2013-04-11,41.27,41.46,41.06,41.30,6937200,40.98
2013-04-10,40.84,41.22,40.68,41.19,7595900,40.87
2013-04-09,40.70,41.00,40.67,40.83,8696000,40.51
2013-04-08,40.52,40.74,40.14,40.73,7201600,40.41
2013-04-05,40.22,40.76,40.05,40.61,6491800,40.29
2013-04-04,40.96,41.21,40.66,40.78,8596200,40.46
2013-04-03,41.22,41.37,40.95,41.07,12053600,40.75
2013-04-02,41.18,41.79,41.17,41.68,9125800,41.01
2013-04-01,41.12,41.36,40.93,41.14,6612500,40.48
2013-03-28,40.95,41.25,40.81,41.19,10885800,40.53
2013-03-27,40.49,40.84,40.36,40.78,5791800,40.12
2013-03-26,40.30,40.74,40.15,40.68,6779100,40.02
2013-03-25,40.46,40.46,39.99,40.26,26233800,39.61
2013-03-22,39.94,40.48,39.80,40.39,25838700,39.74
2013-03-21,39.81,39.90,39.68,39.71,8730500,39.07
2013-03-20,39.49,39.96,39.38,39.87,12545500,39.23
2013-03-19,38.94,39.41,38.85,39.34,9687100,38.71
2013-03-18,38.44,39.13,38.41,38.88,9021500,38.25
2013-03-15,38.47,38.98,38.26,38.96,13210500,38.33
2013-03-14,38.50,38.61,38.13,38.48,12365700,37.86
2013-03-13,38.16,38.57,37.96,38.49,9563400,37.87
2013-03-12,37.53,38.22,37.53,38.22,10267000,37.60
2013-03-11,37.29,37.66,37.26,37.52,6714900,36.91
2013-03-08,37.55,37.65,37.30,37.40,10532000,36.80
2013-03-07,37.78,37.81,37.51,37.53,7642000,36.92
2013-03-06,37.61,37.85,37.49,37.76,7226200,37.15
2013-03-05,37.00,37.60,37.00,37.57,7663900,36.96
2013-03-04,36.43,36.95,36.43,36.94,7199800,36.34
2013-03-01,36.89,37.25,36.79,37.15,9749800,36.55
2013-02-28,37.07,37.15,36.75,36.97,9315100,36.37
2013-02-27,36.42,37.22,36.31,37.10,7366000,36.50
2013-02-26,36.54,36.78,36.32,36.39,6688600,35.80
2013-02-25,36.98,37.09,36.34,36.34,7779200,35.75
2013-02-22,36.71,36.97,36.71,36.90,5027800,36.30
2013-02-21,36.61,36.78,36.51,36.69,7056600,36.10
2013-02-20,36.85,36.99,36.67,36.69,5774300,36.10
2013-02-19,36.58,36.98,36.58,36.94,5517200,36.34
2013-02-15,36.69,36.83,36.48,36.58,7038900,35.99
2013-02-14,36.06,36.70,36.04,36.58,7408500,35.99
2013-02-13,36.49,36.53,36.03,36.12,11953600,35.54
2013-02-12,36.91,36.96,36.52,36.52,6692100,35.93
2013-02-11,36.85,37.08,36.80,36.93,5318800,36.33
2013-02-08,36.50,37.03,36.49,37.03,8462400,36.43
2013-02-07,36.58,36.77,36.28,36.49,8029900,35.90
2013-02-06,36.41,36.74,36.39,36.55,15233200,35.96
2013-02-05,36.67,37.09,36.50,36.51,10766000,35.92
2013-02-04,36.49,36.80,36.38,36.52,8562200,35.93
2013-02-01,36.42,36.97,36.34,36.91,11810800,36.31
2013-01-31,36.49,36.65,35.77,36.14,14268300,35.56
2013-01-30,36.52,36.67,36.35,36.62,10978900,36.03
2013-01-29,36.23,36.66,36.21,36.54,9501400,35.95
2013-01-28,36.18,36.56,36.04,36.41,13034300,35.82
2013-01-25,35.86,36.71,35.85,36.69,20038100,36.10
2013-01-24,34.94,35.97,34.90,35.81,21433100,35.23
2013-01-23,34.75,34.91,34.61,34.90,12752600,34.34
2013-01-22,34.37,34.86,34.32,34.85,9315000,34.29
2013-01-18,34.21,34.48,34.10,34.46,7424500,33.90
2013-01-17,34.42,34.46,34.18,34.27,6719900,33.72
2013-01-16,34.20,34.40,34.18,34.33,6278700,33.78
2013-01-15,34.03,34.37,34.02,34.30,8170000,33.75
2013-01-14,34.13,34.30,34.11,34.22,5599300,33.67
2013-01-11,34.01,34.23,33.95,34.13,7067300,33.58
2013-01-10,33.75,34.11,33.69,34.09,7943400,33.54
2013-01-09,33.50,33.69,33.39,33.68,11742200,33.14
2013-01-08,33.36,33.66,33.35,33.49,9651300,32.95
2013-01-07,33.27,33.54,33.21,33.40,6047800,32.86
2013-01-04,33.33,33.43,33.09,33.35,8631900,32.81
2013-01-03,32.73,33.28,32.62,33.24,10281400,32.70
2013-01-02,32.84,32.84,32.50,32.71,12153200,32.18
2012-12-31,32.34,32.73,32.17,32.59,12461800,31.72
2012-12-28,31.93,32.25,31.87,31.90,6481700,31.05
2012-12-27,32.28,32.35,31.85,32.14,6857400,31.28
2012-12-26,32.48,32.50,32.20,32.35,4105500,31.49
2012-12-24,32.42,32.55,32.32,32.46,2805800,31.59
2012-12-21,32.39,32.64,32.18,32.56,13793800,31.69
2012-12-20,32.53,32.63,32.34,32.57,7304400,31.70
2012-12-19,32.99,33.04,32.53,32.57,8865200,31.70
2012-12-18,32.82,33.10,32.67,33.02,16619000,32.14
2012-12-17,32.72,32.96,32.65,32.80,10174200,31.92
2012-12-14,32.59,32.89,32.56,32.73,7628000,31.86
2012-12-13,33.13,33.20,32.70,32.79,9106600,31.91
2012-12-12,33.38,33.55,33.08,33.21,11161900,32.32
2012-12-11,32.89,33.24,32.79,33.07,7486400,32.19
2012-12-10,32.50,32.86,32.46,32.81,6905400,31.93
2012-12-07,32.50,32.72,32.37,32.56,7278700,31.69
2012-12-06,32.76,32.88,32.54,32.72,5547500,31.85
2012-12-05,32.71,32.95,32.59,32.79,8381800,31.91
2012-12-04,32.74,32.83,32.43,32.70,7260400,31.83
2012-12-03,32.71,32.88,32.40,32.67,9350600,31.80
2012-11-30,32.78,32.80,32.54,32.63,8580300,31.76
2012-11-29,32.86,33.04,32.76,32.82,6014800,31.94
2012-11-28,32.48,32.78,32.10,32.73,6113900,31.86
2012-11-27,32.70,32.82,32.57,32.61,6876300,31.74
2012-11-26,32.51,32.73,32.39,32.73,6785100,31.86
2012-11-23,32.50,32.67,32.45,32.62,3453800,31.75
2012-11-21,32.25,32.43,32.04,32.41,5576100,31.54
2012-11-20,32.05,32.19,31.86,32.15,6498200,31.29
2012-11-19,31.91,32.05,31.78,32.03,8238100,31.17
2012-11-16,30.78,31.83,30.75,31.71,18815600,30.86
2012-11-15,31.38,31.38,30.64,30.81,23036600,29.99
2012-11-14,31.85,31.90,31.38,31.48,11417900,30.64
2012-11-13,31.81,32.20,31.75,31.87,6693800,31.02
2012-11-12,32.19,32.25,31.92,31.94,8011000,31.09
2012-11-09,32.03,32.44,31.99,32.23,6998300,31.37
2012-11-08,32.54,32.61,32.12,32.12,7168200,31.26
2012-11-07,33.05,33.11,32.33,32.62,9236800,31.75
2012-11-06,33.20,33.45,33.04,33.27,7544000,32.38
2012-11-05,33.10,33.21,32.97,33.09,7639500,32.21
2012-11-02,33.66,33.75,33.17,33.18,14852500,32.29
