Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,34.94,34.95,34.57,34.83,4303900,34.83
2013-07-11,34.50,34.90,34.32,34.83,5718500,34.83
2013-07-10,33.53,34.19,33.41,34.07,5944500,34.07
2013-07-09,33.60,33.77,33.38,33.70,4120200,33.70
2013-07-08,33.90,34.05,33.18,33.37,6591800,33.37
2013-07-05,33.46,33.78,33.00,33.77,3369300,33.77
2013-07-03,33.09,33.73,33.09,33.41,2188600,33.41
2013-07-02,33.21,33.56,33.07,33.35,4449300,33.35
2013-07-01,33.44,33.66,33.14,33.19,6387000,33.19
2013-06-28,33.43,34.12,33.43,33.79,7664800,33.79
2013-06-27,34.20,34.24,33.60,33.61,5845500,33.61
2013-06-26,34.19,34.25,33.44,33.87,6200300,33.87
2013-06-25,33.20,33.83,33.04,33.72,6811700,33.72
2013-06-24,33.10,33.22,32.70,32.92,6441200,32.92
2013-06-21,33.30,33.77,33.13,33.24,10016900,33.24
2013-06-20,33.80,34.11,33.43,33.43,8342700,33.43
2013-06-19,34.71,34.86,34.10,34.16,6341100,34.16
2013-06-18,34.25,34.63,34.18,34.62,6853000,34.62
2013-06-17,34.07,34.47,34.07,34.28,6624400,34.28
2013-06-14,33.76,34.24,33.37,33.79,10028700,33.79
2013-06-13,33.40,33.62,33.14,33.54,9270900,33.54
2013-06-12,34.45,34.48,33.23,33.30,9753300,33.30
2013-06-11,34.58,34.76,34.11,34.14,6461400,34.14
2013-06-10,35.40,35.40,34.81,34.89,9767500,34.89
2013-06-07,35.53,35.65,35.06,35.39,9598800,35.39
2013-06-06,35.31,35.31,34.56,34.96,6853400,34.96
2013-06-05,35.41,35.50,34.95,35.13,5820700,35.13
2013-06-04,35.94,36.20,35.43,35.63,5705300,35.63
2013-06-03,36.02,36.18,35.36,35.76,7087300,35.76
2013-05-31,36.01,36.38,35.91,35.91,5325600,35.91
2013-05-30,36.15,36.59,36.10,36.26,9743900,36.26
2013-05-29,35.90,36.17,35.62,36.01,6187500,36.01
2013-05-28,36.25,36.75,35.95,36.08,7660300,35.97
2013-05-24,36.44,36.91,36.17,36.59,4416800,36.48
2013-05-23,36.36,36.85,36.20,36.76,5471600,36.65
2013-05-22,37.38,37.48,36.44,36.70,7415600,36.59
2013-05-21,37.49,37.59,37.27,37.40,3952900,37.29
2013-05-20,37.32,37.85,37.24,37.40,5067100,37.29
2013-05-17,36.93,37.56,36.76,37.55,9991200,37.44
2013-05-16,36.79,37.21,36.50,36.57,7537500,36.46
2013-05-15,36.49,36.78,36.38,36.68,3859300,36.57
2013-05-14,36.12,36.63,36.10,36.57,5197700,36.46
2013-05-13,36.41,36.69,36.08,36.21,5226700,36.10
2013-05-10,36.65,36.74,36.50,36.62,3447500,36.51
2013-05-09,36.11,36.68,36.11,36.51,4840800,36.40
2013-05-08,36.06,36.53,36.06,36.41,5563000,36.30
2013-05-07,36.16,36.49,36.12,36.29,4647600,36.18
2013-05-06,36.00,36.53,35.90,36.17,4876600,36.06
2013-05-03,36.00,36.35,35.86,36.06,4916000,35.95
2013-05-02,35.70,35.94,35.53,35.78,4411000,35.67
2013-05-01,35.90,35.97,35.40,35.60,6053500,35.49
2013-04-30,35.38,36.01,35.18,36.00,10049600,35.89
2013-04-29,34.71,35.60,34.63,35.42,9338100,35.31
2013-04-26,34.36,34.76,34.05,34.54,6935000,34.43
2013-04-25,35.08,35.67,34.37,34.53,12860300,34.42
2013-04-24,34.75,35.49,34.43,35.09,16031800,34.98
2013-04-23,32.88,33.06,32.34,32.98,8650600,32.88
2013-04-22,32.05,32.70,31.61,32.60,5834000,32.50
2013-04-19,31.97,32.31,31.25,31.89,7730200,31.79
2013-04-18,32.77,33.10,31.77,32.03,9824900,31.93
2013-04-17,33.75,33.75,32.29,32.52,9884100,32.42
2013-04-16,33.50,34.02,33.31,33.97,4847800,33.87
2013-04-15,33.85,33.89,33.23,33.27,6053100,33.17
2013-04-12,33.81,34.11,33.52,33.87,4197700,33.77
2013-04-11,33.31,34.23,33.30,33.88,10046800,33.78
2013-04-10,33.81,34.47,33.75,34.32,4895700,34.22
2013-04-09,33.72,33.99,33.31,33.74,4117300,33.64
2013-04-08,33.15,33.59,32.82,33.56,5487100,33.46
2013-04-05,32.83,33.13,32.25,33.08,7054800,32.98
2013-04-04,33.22,33.54,33.08,33.40,4409000,33.30
2013-04-03,34.07,34.22,33.17,33.24,5740900,33.14
2013-04-02,34.44,34.45,33.80,34.03,5079800,33.93
2013-04-01,34.57,34.70,34.04,34.22,3785700,34.12
2013-03-28,34.15,34.75,34.12,34.68,4658400,34.57
2013-03-27,34.15,34.72,34.00,34.64,3374100,34.53
2013-03-26,34.23,34.63,34.14,34.46,3910900,34.35
2013-03-25,34.49,34.59,34.01,34.19,4263500,34.09
2013-03-22,34.66,34.80,34.13,34.42,6591200,34.32
2013-03-21,34.81,35.03,34.25,34.48,6677100,34.37
2013-03-20,34.91,35.32,34.76,35.18,5769800,35.07
2013-03-19,34.82,34.97,34.09,34.63,6469500,34.52
2013-03-18,34.32,35.06,34.17,34.75,6918500,34.64
2013-03-15,35.06,35.21,34.53,34.65,10228800,34.54
2013-03-14,35.10,35.27,34.94,35.20,6561700,35.09
2013-03-13,34.51,35.13,34.43,35.06,8277200,34.95
2013-03-12,33.67,34.82,33.65,34.77,12745500,34.66
2013-03-11,33.42,33.82,33.37,33.80,5773700,33.70
2013-03-08,33.94,33.97,33.34,33.50,5360100,33.40
2013-03-07,33.78,33.95,33.40,33.67,6867800,33.57
2013-03-06,33.39,33.81,33.10,33.64,11740900,33.54
2013-03-05,33.57,33.81,33.13,33.30,11362100,33.20
2013-03-04,33.80,33.88,33.33,33.45,6820300,33.35
2013-03-01,33.99,34.12,33.42,33.87,4636900,33.77
2013-02-28,34.27,34.50,33.93,34.09,4702700,33.99
2013-02-27,33.88,34.46,33.71,34.27,4827600,34.17
2013-02-26,33.91,34.00,33.42,33.94,6009600,33.84
2013-02-25,34.74,34.75,33.77,33.81,6286900,33.71
2013-02-22,34.17,34.57,33.96,34.53,8111300,34.42
2013-02-21,34.21,34.21,33.50,33.72,6766100,33.62
2013-02-20,35.00,35.07,34.29,34.34,9755700,34.24
2013-02-19,34.48,35.21,34.42,35.10,10080200,34.99
2013-02-15,34.56,34.81,34.19,34.44,7889500,34.33
2013-02-14,33.59,34.79,33.31,34.57,11765200,34.46
2013-02-13,33.86,34.11,33.47,33.72,9480600,33.62
2013-02-12,33.36,33.85,33.18,33.82,12973900,33.61
2013-02-11,33.11,33.50,33.07,33.40,5102400,33.19
2013-02-08,32.75,33.29,32.68,33.24,8961800,33.03
2013-02-07,32.46,32.60,32.15,32.58,7979600,32.38
2013-02-06,32.45,32.82,32.12,32.44,8586100,32.24
2013-02-05,32.70,32.84,32.40,32.61,8120700,32.40
2013-02-04,32.71,33.20,32.41,32.45,8186600,32.25
2013-02-01,32.99,33.24,32.54,33.09,12772100,32.88
2013-01-31,33.95,33.98,32.43,32.45,16784900,32.25
2013-01-30,33.86,34.42,33.70,33.87,12008700,33.66
2013-01-29,33.94,34.10,33.58,33.71,8162900,33.50
2013-01-28,34.35,34.37,33.84,34.06,6261000,33.85
2013-01-25,34.25,34.49,33.95,34.25,6095800,34.03
2013-01-24,33.90,34.60,33.84,34.21,10130000,33.99
2013-01-23,34.95,34.96,34.35,34.74,7436200,34.52
2013-01-22,34.80,34.90,34.31,34.63,6897900,34.41
2013-01-18,34.88,35.11,34.65,34.81,6998700,34.59
2013-01-17,34.98,35.50,34.95,35.14,5276000,34.92
2013-01-16,34.27,35.04,34.13,35.00,7801100,34.78
2013-01-15,34.42,34.45,33.88,34.19,5145900,33.97
2013-01-14,34.30,34.64,33.88,34.62,6701300,34.40
2013-01-11,35.02,35.05,34.57,34.82,3557100,34.60
2013-01-10,34.87,35.00,34.50,34.83,5464800,34.61
2013-01-09,34.13,34.63,34.12,34.52,4468700,34.30
2013-01-08,34.49,34.58,33.96,34.02,3779400,33.81
2013-01-07,34.29,34.74,34.02,34.41,4935500,34.19
2013-01-04,34.46,34.50,34.05,34.44,5413400,34.22
2013-01-03,34.37,35.00,34.21,34.63,6016800,34.41
2013-01-02,33.90,34.54,33.90,34.51,7038900,34.29
2012-12-31,32.51,33.30,32.30,33.21,5525500,33.00
2012-12-28,32.43,32.89,32.40,32.48,3262600,32.28
2012-12-27,32.75,32.87,32.14,32.70,4494200,32.49
2012-12-26,33.04,33.44,32.78,32.86,2581000,32.65
2012-12-24,33.07,33.15,32.86,33.11,1571900,32.90
2012-12-21,32.86,33.21,32.40,33.18,9484000,32.97
2012-12-20,33.29,33.62,33.01,33.47,4740400,33.26
2012-12-19,33.65,33.88,33.12,33.16,5693100,32.95
2012-12-18,32.83,33.72,32.75,33.47,8320600,33.26
2012-12-17,32.28,32.88,32.22,32.50,6987700,32.30
2012-12-14,32.63,32.64,31.71,32.06,14250400,31.86
2012-12-13,34.01,34.28,33.15,33.27,12392100,33.06
2012-12-12,34.51,34.79,34.23,34.34,8847500,34.12
2012-12-11,34.11,34.63,34.09,34.42,5910300,34.20
2012-12-10,34.21,34.30,33.80,33.99,5622700,33.78
2012-12-07,33.49,34.39,33.26,34.23,16053100,34.01
2012-12-06,32.80,33.38,32.62,33.36,12758800,33.15
2012-12-05,32.54,32.61,31.90,32.34,8400900,32.14
2012-12-04,32.27,32.60,31.77,32.45,7738500,32.25
2012-12-03,32.74,32.81,32.10,32.17,6202300,31.97
2012-11-30,32.41,32.50,32.18,32.38,5804800,32.18
2012-11-29,32.30,32.47,32.10,32.44,5451500,32.24
2012-11-28,31.83,32.17,31.33,32.16,5847400,31.96
2012-11-27,32.18,32.31,31.80,32.09,5217300,31.89
2012-11-26,31.72,32.30,31.60,32.17,9215300,31.97
2012-11-23,31.34,31.71,31.25,31.58,2198100,31.38
2012-11-21,31.15,31.45,30.99,31.19,3744100,30.99
2012-11-20,31.06,31.40,30.82,31.14,6004100,30.94
2012-11-19,30.79,31.43,30.61,31.25,7877300,30.95
2012-11-16,30.39,30.75,29.95,30.47,8866000,30.18
2012-11-15,30.64,30.90,30.11,30.29,8046200,30.00
2012-11-14,31.06,31.39,30.59,30.67,9528500,30.38
2012-11-13,30.54,30.89,30.42,30.44,6234800,30.15
2012-11-12,30.78,31.01,30.35,30.91,4836900,30.62
2012-11-09,30.55,30.93,30.45,30.61,6277900,30.32
2012-11-08,31.17,31.39,30.58,30.62,8149800,30.33
2012-11-07,31.16,31.33,30.78,30.95,10462000,30.66
2012-11-06,31.67,31.68,31.29,31.39,9770000,31.09
2012-11-05,31.45,31.70,31.26,31.58,7231800,31.28
2012-11-02,32.23,32.38,31.43,31.45,5553800,31.15
2012-11-01,31.45,32.10,31.44,32.04,10126500,31.74
2012-10-31,31.96,32.06,31.49,31.54,6051900,31.24
2012-10-26,31.80,32.49,31.64,31.76,7244900,31.46
2012-10-25,32.47,32.54,31.29,31.62,13047300,31.32
2012-10-24,34.16,34.30,32.03,32.27,16161100,31.96
2012-10-23,32.93,33.50,32.60,33.36,9760600,33.04
2012-10-22,33.43,33.91,33.10,33.42,5988700,33.10
2012-10-19,34.50,34.58,33.29,33.33,9274300,33.01
2012-10-18,34.47,34.89,34.25,34.57,5984900,34.24
2012-10-17,34.10,34.73,33.91,34.59,4998200,34.26
2012-10-16,33.66,34.29,33.00,34.25,5164100,33.93
2012-10-15,33.02,33.19,32.54,33.12,4050500,32.81
2012-10-12,32.95,33.07,32.71,32.90,4495700,32.59
2012-10-11,33.31,33.49,32.86,32.87,5441200,32.56
2012-10-10,33.26,33.30,32.65,32.92,6744300,32.61
2012-10-09,33.92,33.98,32.96,33.18,6519500,32.87
2012-10-08,34.02,34.23,33.78,34.01,3484200,33.69
2012-10-05,34.46,34.97,34.16,34.28,4763900,33.96
2012-10-04,34.10,34.27,33.72,34.22,4307700,33.90
2012-10-03,34.24,34.37,33.79,33.98,6725900,33.66
2012-10-02,34.29,34.56,33.78,34.06,8048900,33.74
2012-10-01,34.69,35.00,34.01,34.11,6656100,33.79
2012-09-28,35.16,35.21,34.53,34.57,6609300,34.24
2012-09-27,34.28,35.29,34.16,35.18,7914400,34.85
2012-09-26,34.57,34.65,33.80,34.10,9012900,33.78
2012-09-25,35.72,35.87,34.55,34.57,8799200,34.24
2012-09-24,35.98,36.09,35.57,35.64,5982300,35.30
2012-09-21,36.55,36.75,36.18,36.24,11272200,35.90
2012-09-20,36.30,36.63,35.84,36.11,6684500,35.77
2012-09-19,36.63,36.86,36.35,36.57,7461900,36.22
2012-09-18,36.51,36.92,36.29,36.92,9615300,36.57
2012-09-17,36.75,36.75,35.74,36.09,6289600,35.75
2012-09-14,36.26,37.00,36.07,36.23,9881500,35.89
2012-09-13,36.04,36.39,35.55,36.17,6908300,35.83
2012-09-12,35.85,36.40,35.83,36.08,6593300,35.74
2012-09-11,35.61,35.85,35.46,35.59,5341900,35.25
2012-09-10,36.10,36.43,35.55,35.59,5586800,35.25
2012-09-07,36.05,36.19,35.70,36.11,5630800,35.77
2012-09-06,35.31,36.18,35.29,36.12,6105600,35.78
2012-09-05,35.25,35.40,34.85,34.93,6013400,34.60
2012-09-04,35.34,35.53,34.65,35.34,7290400,35.01
2012-08-31,35.35,35.80,34.80,35.53,4905300,35.19
2012-08-30,35.36,35.52,34.83,34.99,3353300,34.66
2012-08-29,35.27,35.75,35.16,35.66,4997000,35.32
2012-08-28,35.34,35.70,35.20,35.39,4398300,34.96
2012-08-27,35.28,35.49,35.11,35.42,4798500,34.99
2012-08-24,35.11,35.50,34.93,35.35,5897300,34.92
2012-08-23,35.02,35.47,34.97,35.21,4208400,34.78
2012-08-22,35.31,35.50,35.00,35.17,5008100,34.74
2012-08-21,35.73,36.21,35.25,35.39,6120700,34.96
2012-08-20,35.80,36.00,35.40,35.72,5252800,35.28
2012-08-17,35.78,36.15,35.66,35.83,8859500,35.39
2012-08-16,34.84,36.07,34.73,36.02,11586000,35.58
2012-08-15,34.27,34.85,34.27,34.71,3885900,34.28
2012-08-14,35.42,35.45,34.29,34.41,5331300,33.99
2012-08-13,35.10,35.37,34.76,35.11,5622600,34.68
2012-08-10,35.00,35.43,34.82,35.35,11263000,34.92
2012-08-09,33.88,34.33,33.74,34.33,7782800,33.91
2012-08-08,34.10,34.40,33.79,33.90,4875000,33.48
2012-08-07,34.10,34.83,34.03,34.23,7040800,33.81
2012-08-06,33.99,34.10,33.65,33.90,8246200,33.48
2012-08-03,34.00,34.48,33.88,34.01,10247000,33.59
2012-08-02,33.42,34.38,33.35,33.45,8095400,33.04
2012-08-01,34.09,34.30,33.58,33.85,5591100,33.43
2012-07-31,33.93,34.63,33.74,33.88,9203900,33.46
2012-07-30,33.88,34.16,33.25,33.79,7554400,33.38
2012-07-27,33.33,33.89,32.79,33.72,7411400,33.31
2012-07-26,33.50,33.89,32.63,33.08,9847200,32.67
2012-07-25,32.64,33.88,32.63,32.98,17892600,32.58
2012-07-24,31.40,31.44,30.50,30.77,7383000,30.39
2012-07-23,30.90,31.10,30.40,30.98,7435600,30.60
2012-07-20,31.95,32.16,31.61,31.62,9618200,31.23
2012-07-19,31.60,32.49,31.53,32.45,15017200,32.05
2012-07-18,29.52,30.85,29.40,30.65,8841800,30.27
2012-07-17,30.14,30.15,28.60,29.60,26541100,29.24
2012-07-16,31.10,31.18,30.63,30.81,5545600,30.43
2012-07-13,30.87,31.18,30.78,31.02,5375500,30.64
2012-07-12,30.97,31.10,30.60,30.86,7589800,30.48
2012-07-11,31.46,31.86,31.08,31.19,5920200,30.81
2012-07-10,31.65,32.10,31.29,31.53,7252300,31.14
2012-07-09,32.57,32.62,31.59,31.64,8752200,31.25
