Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,9.43,9.70,9.38,9.61,15067800,9.61
2013-07-11,9.35,9.50,9.19,9.46,14516900,9.46
2013-07-10,9.13,9.27,9.10,9.23,18375600,9.23
2013-07-09,9.32,9.37,9.15,9.15,18793500,9.15
2013-07-08,9.19,9.37,9.16,9.37,16081300,9.37
2013-07-05,9.19,9.31,9.17,9.30,6418700,9.30
2013-07-03,9.15,9.21,9.05,9.15,11119300,9.15
2013-07-02,9.34,9.40,9.14,9.17,25582800,9.17
2013-07-01,9.32,9.42,9.19,9.37,21847800,9.37
2013-06-28,9.21,9.40,9.21,9.27,20589600,9.27
2013-06-27,9.40,9.45,9.19,9.22,14998800,9.22
2013-06-26,9.13,9.36,9.11,9.25,27822100,9.25
2013-06-25,9.31,9.41,9.02,9.03,28868600,9.03
2013-06-24,9.07,9.23,8.95,9.21,18266600,9.21
2013-06-21,9.21,9.29,9.01,9.14,16961700,9.14
2013-06-20,9.34,9.42,9.07,9.11,16457400,9.11
2013-06-19,9.57,9.63,9.35,9.40,14413300,9.40
2013-06-18,9.64,9.68,9.51,9.54,12205400,9.54
2013-06-17,9.54,9.75,9.54,9.64,9841500,9.64
2013-06-14,9.55,9.64,9.47,9.51,6549600,9.51
2013-06-13,9.39,9.60,9.33,9.58,9989600,9.58
2013-06-12,9.53,9.55,9.38,9.42,9231600,9.42
2013-06-11,9.33,9.61,9.27,9.44,14084500,9.44
2013-06-10,9.33,9.48,9.26,9.45,12655200,9.45
2013-06-07,9.25,9.40,9.20,9.30,12822000,9.30
2013-06-06,9.00,9.20,8.93,9.18,27854500,9.18
2013-06-05,9.14,9.20,8.97,9.00,20455300,9.00
2013-06-04,9.37,9.39,9.15,9.15,21661400,9.15
2013-06-03,9.25,9.43,9.16,9.41,17482400,9.41
2013-05-31,9.23,9.50,9.22,9.24,26375600,9.24
2013-05-30,9.18,9.29,9.13,9.27,13489300,9.27
2013-05-29,9.17,9.24,9.08,9.16,12454900,9.16
2013-05-28,9.19,9.32,9.15,9.22,15846700,9.22
2013-05-24,9.08,9.17,9.04,9.08,18912200,9.08
2013-05-23,9.03,9.20,8.92,9.16,23811400,9.16
2013-05-22,9.25,9.34,9.10,9.13,32703400,9.13
2013-05-21,9.27,9.39,9.18,9.23,31314800,9.23
2013-05-20,9.15,9.38,9.12,9.25,20048700,9.25
2013-05-17,8.98,9.14,8.97,9.10,23478100,9.10
2013-05-16,9.17,9.18,8.96,9.04,36964000,9.04
2013-05-15,8.70,9.13,8.70,9.10,28149100,9.10
2013-05-14,8.67,8.74,8.55,8.70,28730700,8.70
2013-05-13,8.40,8.84,8.39,8.65,29685200,8.65
2013-05-10,8.49,8.59,8.36,8.45,29974600,8.45
2013-05-09,7.87,8.32,7.87,8.30,32390500,8.30
2013-05-08,7.69,7.86,7.67,7.85,13150000,7.85
2013-05-07,7.74,7.76,7.63,7.69,8469600,7.69
2013-05-06,7.69,7.78,7.52,7.74,8083900,7.74
2013-05-03,7.70,7.76,7.65,7.69,10444500,7.69
2013-05-02,7.52,7.68,7.48,7.61,12569000,7.61
2013-05-01,7.47,7.61,7.45,7.49,12945600,7.49
2013-04-30,7.44,7.53,7.41,7.49,16287400,7.49
2013-04-29,7.45,7.53,7.44,7.49,6824800,7.49
2013-04-26,7.60,7.66,7.38,7.45,17130800,7.45
2013-04-25,7.35,7.58,7.29,7.54,44506100,7.54
2013-04-24,7.35,7.43,7.30,7.36,15120200,7.36
2013-04-23,7.29,7.42,7.28,7.35,10811300,7.35
2013-04-22,7.26,7.32,7.19,7.27,9739000,7.27
2013-04-19,7.18,7.31,7.13,7.27,17330500,7.27
2013-04-18,7.27,7.29,7.07,7.09,17823100,7.09
2013-04-17,7.36,7.40,7.18,7.28,18504600,7.28
2013-04-16,7.50,7.54,7.28,7.43,20330800,7.43
2013-04-15,7.63,7.69,7.46,7.47,14095800,7.47
2013-04-12,7.68,7.76,7.61,7.66,29404000,7.66
2013-04-11,7.82,7.91,7.65,7.67,22500500,7.67
2013-04-10,7.83,7.87,7.78,7.79,13607000,7.79
2013-04-09,7.84,7.88,7.79,7.82,13054300,7.82
2013-04-08,7.83,7.87,7.74,7.81,20338600,7.81
2013-04-05,7.82,7.91,7.77,7.86,15631000,7.86
2013-04-04,7.77,7.94,7.72,7.92,19237100,7.92
2013-04-03,7.79,7.85,7.69,7.75,19796800,7.75
2013-04-02,7.83,7.95,7.80,7.89,14036700,7.89
2013-04-01,7.83,7.86,7.72,7.80,29655600,7.80
2013-03-28,7.65,7.85,7.60,7.81,49193600,7.81
2013-03-27,7.38,7.72,7.31,7.65,43986800,7.65
2013-03-26,7.32,7.46,7.28,7.44,14321900,7.44
2013-03-25,7.42,7.43,7.29,7.32,11806300,7.32
2013-03-22,7.38,7.48,7.35,7.40,10343400,7.40
2013-03-21,7.41,7.49,7.35,7.37,15274100,7.37
2013-03-20,7.31,7.52,7.30,7.45,14122300,7.45
2013-03-19,7.35,7.43,7.24,7.27,11274200,7.27
2013-03-18,7.30,7.39,7.30,7.32,9509900,7.32
2013-03-15,7.48,7.49,7.36,7.39,13345300,7.39
2013-03-14,7.58,7.58,7.48,7.52,8533700,7.52
2013-03-13,7.58,7.58,7.45,7.53,7493500,7.53
2013-03-12,7.48,7.65,7.46,7.59,19515100,7.59
2013-03-11,7.47,7.52,7.33,7.50,13266900,7.50
2013-03-08,7.45,7.57,7.41,7.49,11780900,7.49
2013-03-07,7.53,7.60,7.42,7.43,11564600,7.43
2013-03-06,7.43,7.62,7.35,7.52,25952900,7.52
2013-03-05,7.40,7.44,7.28,7.38,15437500,7.38
2013-03-04,7.37,7.40,7.24,7.36,16031400,7.36
2013-03-01,7.35,7.43,7.26,7.37,15922900,7.37
2013-02-28,7.31,7.45,7.29,7.39,16258300,7.39
2013-02-27,7.27,7.40,7.17,7.33,18302500,7.33
2013-02-26,7.24,7.34,7.18,7.31,19867900,7.31
2013-02-25,7.40,7.47,7.22,7.23,14461200,7.23
2013-02-22,7.27,7.40,7.22,7.37,16170300,7.37
2013-02-21,7.26,7.35,7.17,7.26,21821100,7.26
2013-02-20,7.48,7.54,7.28,7.29,23769300,7.29
2013-02-19,7.49,7.53,7.36,7.50,20657400,7.50
2013-02-15,7.51,7.56,7.44,7.54,17838800,7.54
2013-02-14,7.40,7.62,7.36,7.53,24557500,7.53
2013-02-13,7.60,7.62,7.31,7.45,34767800,7.45
2013-02-12,7.67,7.73,7.53,7.59,29098700,7.59
2013-02-11,7.70,7.72,7.59,7.63,25170900,7.63
2013-02-08,7.64,7.73,7.58,7.70,16664100,7.70
2013-02-07,7.67,7.71,7.59,7.64,22255200,7.64
2013-02-06,7.65,7.69,7.53,7.66,30719000,7.66
2013-02-05,7.51,7.72,7.49,7.67,31186800,7.67
2013-02-04,7.59,7.59,7.43,7.45,27813000,7.45
2013-02-01,7.51,7.68,7.48,7.64,34982600,7.64
2013-01-31,7.33,7.53,7.27,7.47,35790200,7.47
2013-01-30,7.12,7.38,7.10,7.31,44079300,7.31
2013-01-29,7.25,7.43,7.05,7.10,70430400,7.10
2013-01-28,6.86,6.92,6.79,6.86,23663700,6.86
2013-01-25,6.88,6.91,6.79,6.86,21277100,6.86
2013-01-24,6.84,6.93,6.72,6.84,30283600,6.84
2013-01-23,6.86,6.89,6.73,6.86,23513000,6.86
2013-01-22,6.70,6.88,6.65,6.86,23912600,6.86
2013-01-18,6.63,6.71,6.56,6.70,25675800,6.70
2013-01-17,6.47,6.66,6.46,6.61,21646200,6.61
2013-01-16,6.50,6.51,6.40,6.45,15030500,6.45
2013-01-15,6.38,6.57,6.36,6.51,34951500,6.51
2013-01-14,6.33,6.44,6.28,6.32,10774700,6.32
2013-01-11,6.32,6.38,6.25,6.36,10968200,6.36
2013-01-10,6.34,6.34,6.17,6.30,17988500,6.30
2013-01-09,6.15,6.32,6.06,6.28,24853100,6.28
2013-01-08,6.00,6.20,5.99,6.12,27219300,6.12
2013-01-07,5.92,6.07,5.92,5.98,24078600,5.98
2013-01-04,5.95,6.01,5.86,5.92,15409900,5.92
2013-01-03,5.92,5.99,5.81,5.95,12251000,5.95
2013-01-02,5.86,5.90,5.76,5.89,12050300,5.89
2012-12-31,5.57,5.76,5.53,5.73,10146300,5.73
2012-12-28,5.66,5.68,5.56,5.58,5937800,5.58
2012-12-27,5.69,5.73,5.57,5.70,8082300,5.70
2012-12-26,5.78,5.78,5.66,5.70,7938400,5.70
2012-12-24,5.80,5.81,5.73,5.78,4115300,5.78
2012-12-21,5.77,5.82,5.70,5.82,16953100,5.82
2012-12-20,5.76,5.84,5.73,5.81,8219500,5.81
2012-12-19,5.79,5.80,5.72,5.74,7773800,5.74
2012-12-18,5.76,5.80,5.71,5.79,10967100,5.79
2012-12-17,5.67,5.75,5.63,5.74,10216900,5.74
2012-12-14,5.75,5.77,5.60,5.67,10160700,5.67
2012-12-13,5.69,5.72,5.61,5.63,11732800,5.63
2012-12-12,5.78,5.78,5.66,5.67,10507400,5.67
2012-12-11,5.72,5.74,5.64,5.74,11048800,5.74
2012-12-10,5.56,5.73,5.53,5.71,15155600,5.71
2012-12-07,5.62,5.63,5.46,5.60,18709900,5.60
2012-12-06,5.59,5.63,5.55,5.59,16045000,5.59
2012-12-05,5.56,5.62,5.54,5.57,14839100,5.57
2012-12-04,5.60,5.61,5.51,5.55,15791900,5.55
2012-12-03,5.67,5.68,5.52,5.52,16004700,5.52
2012-11-30,5.68,5.70,5.52,5.54,19755500,5.54
2012-11-29,5.70,5.77,5.59,5.63,13557800,5.63
2012-11-28,5.60,5.72,5.57,5.69,15199900,5.69
2012-11-27,5.61,5.74,5.50,5.63,22242500,5.63
2012-11-26,5.65,5.86,5.59,5.66,40267900,5.66
2012-11-23,5.51,5.64,5.46,5.59,14303500,5.59
2012-11-21,5.22,5.53,5.18,5.50,52526500,5.50
2012-11-20,5.25,5.34,5.18,5.23,23745000,5.23
2012-11-19,5.21,5.24,5.17,5.21,8160800,5.21
2012-11-16,5.12,5.20,5.10,5.14,10518000,5.14
2012-11-15,5.12,5.17,5.09,5.11,8762400,5.11
2012-11-14,5.22,5.28,5.11,5.12,10508500,5.12
2012-11-13,5.20,5.33,5.18,5.19,15141000,5.19
2012-11-12,5.17,5.22,5.15,5.21,7816100,5.21
2012-11-09,5.08,5.24,5.08,5.15,13507300,5.15
2012-11-08,5.16,5.21,5.08,5.08,12358200,5.08
2012-11-07,5.31,5.32,5.13,5.16,10789700,5.16
2012-11-06,5.33,5.45,5.31,5.35,11915000,5.35
2012-11-05,5.20,5.35,5.17,5.34,14723800,5.34
2012-11-02,5.23,5.26,5.17,5.20,8792200,5.20
2012-11-01,5.10,5.24,5.10,5.24,9272800,5.24
2012-10-31,5.15,5.17,5.07,5.14,5820600,5.14
2012-10-26,5.05,5.20,5.04,5.17,15638500,5.17
2012-10-25,5.15,5.19,5.07,5.12,10309500,5.12
2012-10-24,5.17,5.22,5.07,5.07,15351600,5.07
2012-10-23,5.15,5.26,5.10,5.10,24070100,5.10
2012-10-22,5.23,5.33,5.19,5.23,18844700,5.23
2012-10-19,5.36,5.40,5.18,5.22,18667500,5.22
2012-10-18,5.50,5.54,5.35,5.40,31549400,5.40
2012-10-17,5.64,5.69,5.52,5.62,12931000,5.62
2012-10-16,5.66,5.72,5.62,5.66,5922000,5.66
2012-10-15,5.60,5.63,5.54,5.63,6332800,5.63
2012-10-12,5.58,5.68,5.50,5.57,13269800,5.57
2012-10-11,5.62,5.74,5.57,5.58,13178300,5.58
2012-10-10,5.59,5.62,5.51,5.57,6152600,5.57
2012-10-09,5.73,5.75,5.59,5.60,6842300,5.60
2012-10-08,5.76,5.78,5.71,5.75,4429000,5.75
2012-10-05,5.85,5.90,5.73,5.76,12382500,5.76
2012-10-04,5.74,5.84,5.69,5.81,7262900,5.81
2012-10-03,5.67,5.72,5.63,5.69,10898100,5.69
2012-10-02,5.69,5.70,5.59,5.66,8640900,5.66
2012-10-01,5.76,5.78,5.63,5.69,14230900,5.69
2012-09-28,5.63,5.75,5.58,5.74,9907800,5.74
2012-09-27,5.64,5.71,5.60,5.66,8741300,5.66
2012-09-26,5.63,5.66,5.55,5.61,6393400,5.61
2012-09-25,5.68,5.75,5.62,5.63,19246500,5.63
2012-09-24,5.77,5.79,5.64,5.64,20050200,5.64
2012-09-21,5.81,5.84,5.77,5.79,7772000,5.79
2012-09-20,5.73,5.82,5.71,5.79,8050300,5.79
2012-09-19,5.78,5.89,5.72,5.76,14800500,5.76
2012-09-18,5.59,5.79,5.55,5.75,15843700,5.75
2012-09-17,5.80,5.83,5.73,5.78,7124400,5.78
2012-09-14,5.75,5.88,5.74,5.82,9107400,5.82
2012-09-13,5.64,5.80,5.59,5.78,8768000,5.78
2012-09-12,5.59,5.69,5.58,5.64,8906800,5.64
2012-09-11,5.59,5.67,5.54,5.58,8394600,5.58
2012-09-10,5.63,5.67,5.58,5.60,7706200,5.60
2012-09-07,5.57,5.64,5.51,5.63,16101500,5.63
2012-09-06,5.55,5.62,5.51,5.55,13140700,5.55
2012-09-05,5.43,5.54,5.34,5.52,15260600,5.52
2012-09-04,5.38,5.44,5.37,5.41,11650900,5.41
2012-08-31,5.46,5.51,5.39,5.40,8957800,5.40
2012-08-30,5.51,5.53,5.42,5.43,6443600,5.43
2012-08-29,5.47,5.58,5.46,5.55,10490200,5.55
2012-08-28,5.42,5.50,5.42,5.48,6260200,5.48
2012-08-27,5.46,5.53,5.42,5.43,9969800,5.43
2012-08-24,5.39,5.53,5.38,5.50,9515100,5.50
