Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,16.23,16.27,15.73,15.99,5103100,15.99
2013-07-11,15.81,16.31,15.69,16.28,7698800,16.28
2013-07-10,15.83,15.95,15.23,15.39,5678700,15.39
2013-07-09,15.53,15.92,15.49,15.70,8211000,15.70
2013-07-08,14.74,15.60,14.66,15.37,11252700,15.37
2013-07-05,14.69,14.72,14.34,14.65,5652300,14.65
2013-07-03,14.73,14.74,14.40,14.65,3524200,14.65
2013-07-02,14.72,15.07,14.63,14.86,6869000,14.86
2013-07-01,14.72,15.07,14.44,14.71,7179300,14.71
2013-06-28,14.70,14.82,14.52,14.64,5993800,14.64
2013-06-27,14.64,14.78,14.50,14.64,6657700,14.64
2013-06-26,15.05,15.18,14.35,14.54,10052600,14.54
2013-06-25,15.04,15.19,14.40,15.03,11470000,15.03
2013-06-24,15.70,15.80,14.37,14.85,11562100,14.85
2013-06-21,16.17,16.36,15.82,16.00,7240500,16.00
2013-06-20,16.18,16.49,15.89,16.02,8119800,16.02
2013-06-19,16.51,16.80,16.37,16.48,7222600,16.48
2013-06-18,16.76,17.12,16.63,16.82,9549100,16.82
2013-06-17,17.03,17.14,16.54,16.80,5575000,16.80
2013-06-14,17.30,17.38,16.43,16.78,10948700,16.78
2013-06-13,17.06,17.55,17.00,17.37,9872800,17.37
2013-06-12,17.83,17.85,16.81,17.05,9502700,17.05
2013-06-11,18.13,18.14,17.50,17.64,11425600,17.64
2013-06-10,18.73,18.77,18.32,18.44,5941800,18.44
2013-06-07,18.67,18.79,18.44,18.74,6477600,18.74
2013-06-06,19.01,19.18,18.76,18.91,8808400,18.91
2013-06-05,19.37,19.52,18.95,18.98,7114800,18.98
2013-06-04,19.48,19.76,19.23,19.54,5677700,19.54
2013-06-03,19.77,20.01,19.37,19.55,7542400,19.55
2013-05-31,20.04,20.08,19.65,19.67,6367700,19.67
2013-05-30,19.99,21.29,19.56,20.16,21398200,20.16
2013-05-29,20.37,20.73,19.91,19.98,5941300,19.98
2013-05-28,20.75,20.83,20.41,20.51,3807300,20.51
2013-05-24,20.35,20.79,20.28,20.44,4481900,20.44
2013-05-23,20.48,20.82,20.28,20.63,6179000,20.63
2013-05-22,21.27,21.81,20.64,20.94,8444200,20.94
2013-05-21,21.22,21.85,20.86,21.17,10318000,21.17
2013-05-20,20.24,21.09,20.15,21.09,10281300,21.09
2013-05-17,20.21,20.41,20.04,20.21,6628700,20.21
2013-05-16,19.94,20.72,19.80,20.14,9702600,20.14
