Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,29.89,29.97,29.74,29.92,2596100,29.92
2013-07-11,29.38,29.80,29.10,29.76,2877100,29.76
2013-07-10,29.10,29.28,29.02,29.24,2973400,29.24
2013-07-09,29.00,29.17,28.73,29.07,2178500,29.07
2013-07-08,28.60,28.84,28.49,28.74,3078300,28.74
2013-07-05,28.27,28.28,28.02,28.26,2263000,28.26
2013-07-03,27.75,28.21,27.75,28.05,1295100,28.05
2013-07-02,28.17,28.42,27.76,27.98,2864100,27.98
2013-07-01,29.00,29.00,28.19,28.23,3584500,28.23
2013-06-28,28.56,28.76,28.39,28.62,8120200,28.62
2013-06-27,27.69,28.92,27.62,28.80,5844200,28.80
2013-06-26,27.39,27.69,27.39,27.53,2660800,27.53
2013-06-25,27.56,27.57,27.14,27.29,3602100,27.29
2013-06-24,27.38,27.64,27.21,27.24,4943200,27.24
2013-06-21,27.74,27.77,27.24,27.52,5625100,27.52
2013-06-20,27.98,28.05,27.61,27.63,3301400,27.63
2013-06-19,28.69,28.69,28.17,28.21,3358300,28.21
2013-06-18,28.57,28.71,28.37,28.64,2405600,28.64
2013-06-17,28.39,28.73,28.35,28.59,3121000,28.59
2013-06-14,28.47,28.65,28.15,28.26,2067900,28.26
2013-06-13,28.30,28.70,28.13,28.53,4684800,28.53
2013-06-12,28.89,28.91,28.20,28.25,4231100,28.25
2013-06-11,28.97,29.18,28.59,28.61,3722100,28.61
2013-06-10,29.25,29.32,29.09,29.23,4798000,29.23
2013-06-07,28.15,29.83,28.13,29.14,9362500,29.14
2013-06-06,27.27,28.00,27.10,27.99,5265100,27.99
2013-06-05,27.63,27.63,27.15,27.28,4545300,27.28
2013-06-04,27.41,27.69,27.25,27.61,5085900,27.61
2013-06-03,27.30,27.35,27.09,27.34,2945400,27.34
2013-05-31,27.53,27.69,27.31,27.32,3813700,27.32
2013-05-30,27.20,27.69,27.19,27.56,3555300,27.56
2013-05-29,27.56,27.69,27.08,27.19,4845300,27.19
2013-05-28,27.65,27.96,27.43,27.65,3260500,27.65
2013-05-24,27.21,27.43,26.92,27.40,2851400,27.40
2013-05-23,27.19,27.51,27.19,27.35,4202400,27.35
2013-05-22,27.81,27.81,27.25,27.37,4544200,27.37
2013-05-21,27.53,27.78,27.38,27.65,3190200,27.65
2013-05-20,27.61,27.85,27.60,27.71,2884500,27.46
2013-05-17,27.51,27.69,27.26,27.69,3647900,27.44
2013-05-16,27.40,27.60,27.23,27.30,3975700,27.05
2013-05-15,26.96,27.47,26.95,27.41,3473700,27.16
2013-05-14,26.94,27.32,26.94,27.14,4090400,26.90
2013-05-13,26.80,27.25,26.79,26.98,3901000,26.74
2013-05-10,27.00,27.37,26.90,27.22,4042500,26.97
2013-05-09,26.97,27.17,26.77,26.81,5806100,26.57
2013-05-08,25.79,27.25,25.77,27.11,8496900,26.87
2013-05-07,27.63,27.89,27.54,27.77,4514900,27.52
2013-05-06,27.82,27.89,27.59,27.67,4371100,27.42
2013-05-03,27.38,27.94,27.38,27.73,5013400,27.48
2013-05-02,26.78,27.25,26.70,27.23,3090200,26.98
2013-05-01,26.97,27.13,26.55,26.80,3473900,26.56
2013-04-30,26.54,26.99,26.52,26.97,3786400,26.73
2013-04-29,26.03,26.68,25.99,26.63,2834100,26.39
