Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,64.41,64.88,64.03,64.70,1099400,64.70
2013-07-11,65.62,65.85,63.96,64.41,1610300,64.41
2013-07-10,65.09,65.25,64.36,64.79,1156500,64.79
2013-07-09,64.31,65.16,64.14,64.99,1626400,64.99
2013-07-08,63.62,64.51,63.49,63.65,1168000,63.65
2013-07-05,62.93,63.48,62.41,63.16,1186600,63.16
2013-07-03,61.70,62.93,61.52,62.59,1039700,62.59
2013-07-02,60.73,62.66,60.68,62.06,1573200,62.06
2013-07-01,61.70,62.14,60.93,61.03,2672600,61.03
2013-06-28,61.50,62.15,61.11,61.16,2936700,61.16
2013-06-27,62.20,62.49,61.64,61.74,1408000,61.74
2013-06-26,61.73,62.19,61.12,61.85,1420700,61.85
2013-06-25,61.50,61.95,60.71,61.24,2639800,61.24
2013-06-24,60.70,61.50,59.33,60.98,2163300,60.98
2013-06-21,62.28,62.37,60.21,61.53,2541800,61.53
2013-06-20,62.71,62.96,61.53,61.87,1874900,61.87
2013-06-19,64.20,65.09,63.89,64.09,2065300,64.09
2013-06-18,63.69,64.89,63.69,63.96,1919600,63.96
2013-06-17,62.84,63.96,62.75,63.65,1700600,63.65
2013-06-14,62.51,63.10,61.88,62.10,1544000,62.10
2013-06-13,60.89,62.48,60.73,62.38,1162500,62.38
2013-06-12,61.82,61.90,60.81,60.81,1006800,60.81
2013-06-11,61.22,61.78,60.94,61.11,1094200,61.11
2013-06-10,62.74,62.81,61.89,62.29,1174100,62.29
2013-06-07,62.31,62.62,61.91,62.55,1341700,62.55
2013-06-06,59.97,61.70,59.86,61.59,2608400,61.59
2013-06-05,59.81,60.62,59.73,59.95,1939400,59.95
2013-06-04,60.50,60.94,59.50,60.02,2461300,60.02
2013-06-03,61.11,61.34,59.94,60.42,2713000,60.42
2013-05-31,62.50,62.50,60.86,60.87,1605300,60.87
2013-05-30,62.96,63.18,62.21,62.88,1183200,62.88
2013-05-29,63.13,63.73,62.79,63.17,1218700,63.17
2013-05-28,63.61,63.99,63.09,63.61,1425500,63.61
2013-05-24,62.66,62.86,61.90,62.65,1111900,62.65
2013-05-23,62.54,63.37,61.87,63.25,1181700,63.25
2013-05-22,64.87,65.38,63.11,63.62,2078100,63.62
2013-05-21,64.77,65.51,64.04,65.14,1994300,65.14
2013-05-20,64.41,64.95,64.25,64.74,1678400,64.74
2013-05-17,64.29,64.83,63.82,64.47,1589600,64.47
2013-05-16,63.30,63.73,63.12,63.23,1731500,63.23
2013-05-15,63.28,64.09,62.77,63.26,2688400,63.26
2013-05-14,63.47,63.87,63.10,63.46,2235600,63.46
2013-05-13,63.26,63.78,62.80,63.43,1172800,63.43
2013-05-10,63.54,63.74,62.71,63.36,1710800,63.36
2013-05-09,64.10,64.62,63.42,63.83,1413400,63.83
2013-05-08,64.68,64.94,63.61,64.37,1840900,64.37
2013-05-07,63.82,65.32,63.82,64.62,2355400,64.62
2013-05-06,63.11,63.70,62.89,63.08,1511300,63.08
2013-05-03,62.44,63.62,62.39,63.21,1875800,63.21
2013-05-02,60.82,62.21,60.59,61.73,1451700,61.73
2013-05-01,61.11,61.24,60.38,60.56,1522000,60.56
2013-04-30,61.41,61.79,60.73,61.55,2051800,61.55
2013-04-29,60.70,61.70,60.23,61.53,2098500,61.53
2013-04-26,61.02,61.23,59.79,60.40,2646200,60.40
2013-04-25,60.95,61.81,59.31,60.38,5705700,60.38
2013-04-24,61.34,63.09,61.26,62.47,2510500,62.47
2013-04-23,60.38,61.12,59.85,61.09,1823100,61.09
2013-04-22,59.69,60.38,58.72,60.05,1574600,60.05
2013-04-19,59.31,60.07,58.45,59.19,2201800,59.19
2013-04-18,58.82,59.30,57.72,58.68,2874500,58.68
2013-04-17,60.17,60.23,58.26,58.43,3989700,58.43
2013-04-16,59.89,60.86,59.15,60.82,2826600,60.82
2013-04-15,61.92,62.00,59.06,59.06,3972600,59.06
2013-04-12,64.30,64.38,62.05,62.64,2543300,62.64
2013-04-11,64.10,64.87,63.65,64.80,2402200,64.80
2013-04-10,62.79,63.67,62.38,63.61,1639900,63.61
2013-04-09,62.41,62.96,62.08,62.66,2146200,62.66
2013-04-08,61.38,62.44,61.36,62.42,1890300,62.42
2013-04-05,60.32,61.67,59.94,61.46,2368600,61.46
2013-04-04,62.01,62.19,60.93,61.27,3281500,61.27
2013-04-03,64.65,64.67,61.62,62.00,4600400,62.00
2013-04-02,63.98,65.39,63.91,64.82,2021900,64.82
2013-04-01,65.02,65.20,63.21,63.70,2618200,63.70
2013-03-28,64.96,65.41,64.68,65.20,1890900,65.20
2013-03-27,63.98,64.78,63.88,64.76,1735400,64.76
2013-03-26,64.07,64.87,64.00,64.64,1220900,64.64
2013-03-25,63.83,64.11,63.33,63.79,2140000,63.79
2013-03-22,63.28,63.89,62.86,63.19,2118900,63.19
2013-03-21,63.75,64.62,62.80,62.89,2564400,62.89
2013-03-20,64.17,64.42,63.55,63.96,2374800,63.96
2013-03-19,65.29,65.48,62.63,63.50,2873200,63.50
