Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,86.63,87.27,86.54,87.17,4876100,87.17
2013-07-11,86.46,86.89,86.10,86.70,5434500,86.70
2013-07-10,85.42,85.77,84.79,84.96,4216800,84.96
2013-07-09,84.07,86.25,83.72,85.33,7882100,85.33
2013-07-08,82.40,83.20,82.25,83.20,4879100,83.20
2013-07-05,82.53,82.63,81.40,82.14,4819500,82.14
2013-07-03,82.15,82.50,81.56,81.85,2928200,81.85
2013-07-02,82.77,83.59,82.04,82.48,3659900,82.48
2013-07-01,83.04,83.25,82.27,82.72,4676300,82.72
2013-06-28,82.76,83.19,82.31,82.49,8448800,82.49
2013-06-27,82.55,83.17,82.55,82.96,4658000,82.96
2013-06-26,82.92,83.43,81.70,82.10,6950600,82.10
2013-06-25,82.34,82.68,81.97,82.33,6249000,82.33
2013-06-24,82.06,82.25,80.86,81.52,7525600,81.52
2013-06-21,84.02,84.02,81.93,83.12,9736500,83.12
2013-06-20,83.19,83.68,82.35,83.20,7628100,83.20
2013-06-19,84.50,85.29,84.25,84.25,4711700,84.25
2013-06-18,84.09,84.87,83.96,84.55,3723900,84.55
2013-06-17,83.55,84.43,83.42,83.92,4389500,83.92
2013-06-14,85.01,85.14,83.40,83.87,5147500,83.87
2013-06-13,83.32,85.28,83.19,85.14,6352100,85.14
2013-06-12,84.17,84.38,83.01,83.21,4748100,83.21
2013-06-11,83.03,83.97,82.63,83.52,5275900,83.52
2013-06-10,84.71,84.77,83.63,83.80,4965200,83.80
2013-06-07,84.65,85.37,83.64,84.65,5474100,84.65
2013-06-06,84.30,84.31,83.30,84.00,7009400,84.00
2013-06-05,85.47,85.73,84.23,84.42,7359000,84.42
2013-06-04,85.95,86.47,85.44,85.92,5105500,85.92
2013-06-03,85.91,86.30,85.74,86.13,6092700,86.13
2013-05-31,86.23,86.95,85.80,85.80,5522300,85.80
2013-05-30,86.47,87.00,85.99,86.41,3568000,86.41
2013-05-29,85.73,86.66,85.33,86.49,5110500,86.49
2013-05-28,87.04,87.39,85.90,86.19,5800400,86.19
2013-05-24,86.26,86.72,85.77,86.21,4637400,86.21
2013-05-23,86.03,87.38,85.78,86.95,6026800,86.95
2013-05-22,88.09,89.09,87.15,87.70,6479100,87.70
2013-05-21,88.65,88.98,87.73,88.10,4730000,88.10
2013-05-20,87.57,88.75,87.27,88.33,5603200,88.33
2013-05-17,87.39,87.86,87.10,87.67,6690800,87.67
2013-05-16,86.55,87.65,86.10,86.78,8192200,86.78
2013-05-15,86.97,87.18,86.44,87.00,6925400,87.00
2013-05-14,87.82,88.00,86.86,87.55,6856900,87.55
2013-05-13,88.19,88.49,87.75,88.07,5483600,88.07
2013-05-10,89.96,90.25,87.90,88.62,6967500,88.62
2013-05-09,89.98,90.69,89.55,89.95,5166100,89.95
2013-05-08,89.76,90.40,89.18,90.31,7431000,90.31
2013-05-07,88.11,89.81,87.91,89.79,10406900,89.79
2013-05-06,87.13,87.95,86.88,87.59,6381000,87.59
2013-05-03,85.59,87.48,85.48,86.98,11890000,86.98
2013-05-02,83.34,84.56,83.10,84.26,5798600,84.26
2013-05-01,84.07,84.35,82.66,83.08,11607000,83.08
2013-04-30,84.81,85.38,83.36,84.67,6954300,84.67
2013-04-29,85.11,85.50,84.07,84.80,6065100,84.80
2013-04-26,84.35,85.08,84.25,84.68,6160700,84.68
2013-04-25,84.70,85.02,84.02,84.51,6556100,84.51
2013-04-24,84.28,84.65,83.29,83.78,7022000,83.78
2013-04-23,83.91,84.72,82.74,84.10,12932500,84.10
2013-04-22,81.24,83.13,79.49,82.71,18449600,82.71
2013-04-19,80.95,81.16,80.01,80.43,7009500,80.43
2013-04-18,81.34,81.34,80.05,80.46,6886900,80.46
2013-04-17,81.54,81.62,80.62,81.47,9405300,80.95
2013-04-16,83.63,83.73,82.12,82.61,6566500,82.08
2013-04-15,84.24,84.33,81.91,82.27,10345400,81.74
2013-04-12,84.99,85.33,84.30,85.05,4934500,84.51
2013-04-11,86.89,87.00,85.30,85.70,6920000,85.15
2013-04-10,86.38,86.88,85.90,86.57,6258700,86.02
2013-04-09,84.38,86.65,84.05,85.90,10533700,85.35
2013-04-08,84.69,85.35,83.71,84.19,6722000,83.65
2013-04-05,83.41,85.36,83.05,84.60,8985600,84.06
2013-04-04,84.17,84.73,83.84,84.63,7646200,84.09
2013-04-03,83.91,84.62,83.60,84.12,9222400,83.58
2013-04-02,86.02,86.02,84.47,84.88,6514300,84.34
2013-04-01,86.86,86.94,85.41,85.64,5666900,85.09
2013-03-28,87.05,87.98,86.65,86.97,6213400,86.41
2013-03-27,86.43,87.16,85.80,86.90,4838700,86.35
2013-03-26,87.06,87.39,86.66,87.00,4173000,86.44
2013-03-25,87.93,87.96,86.05,86.64,6685300,86.09
2013-03-22,87.01,87.63,86.97,87.48,5115500,86.92
2013-03-21,86.43,87.32,86.43,86.83,5449600,86.28
2013-03-20,87.61,87.88,86.42,86.94,9389000,86.39
2013-03-19,89.40,89.40,87.44,88.27,7509300,87.71
2013-03-18,87.89,90.02,87.67,89.36,7159800,88.79
2013-03-15,88.61,89.25,88.11,88.83,7379400,88.26
2013-03-14,89.47,89.55,88.17,88.70,7328500,88.13
2013-03-13,89.80,89.91,89.13,89.28,5836100,88.71
2013-03-12,91.16,91.16,89.40,89.74,6593300,89.17
2013-03-11,90.49,91.52,90.10,91.18,4846300,90.60
2013-03-08,90.43,90.72,90.01,90.51,5084900,89.93
2013-03-07,89.90,90.40,89.27,89.65,4738200,89.08
2013-03-06,90.97,91.05,89.41,89.64,7135900,89.07
2013-03-05,90.49,91.28,89.99,90.21,5352500,89.63
2013-03-04,90.61,90.75,89.19,89.75,6350500,89.18
2013-03-01,91.54,91.96,90.13,91.36,4924400,90.78
2013-02-28,92.49,93.16,92.23,92.37,5446500,91.78
2013-02-27,90.06,92.36,90.06,92.25,6147300,91.66
2013-02-26,89.59,90.20,88.50,89.95,7114200,89.38
2013-02-25,91.81,92.22,89.08,89.16,7540300,88.59
2013-02-22,91.99,92.49,91.05,91.54,5851800,90.96
2013-02-21,92.76,92.79,90.57,91.53,7193400,90.95
2013-02-20,95.00,95.10,93.05,93.22,8570800,92.63
2013-02-19,95.74,96.37,95.13,95.60,4368800,94.99
2013-02-15,96.26,96.42,95.29,95.61,4377200,95.00
2013-02-14,96.06,96.68,95.68,96.07,3586300,95.46
2013-02-13,97.09,97.50,96.02,96.38,3718500,95.76
2013-02-12,96.67,97.41,96.67,97.22,4149000,96.60
2013-02-11,96.96,96.99,96.30,96.60,2739200,95.98
2013-02-08,96.10,97.50,96.10,96.85,3934200,96.23
2013-02-07,97.42,98.16,95.21,96.11,6210100,95.50
2013-02-06,97.87,98.75,97.36,97.70,4489600,97.08
2013-02-05,98.58,99.10,98.32,98.44,4178000,97.81
2013-02-04,98.76,98.87,97.91,98.26,5765000,97.63
2013-02-01,99.00,99.70,98.95,99.49,6138500,98.85
2013-01-31,97.99,98.71,97.90,98.39,7154500,97.76
2013-01-30,98.83,98.96,98.25,98.65,5681000,98.02
2013-01-29,97.92,99.20,97.72,98.60,6961900,97.97
2013-01-28,98.06,98.74,96.43,97.45,15997500,96.83
2013-01-25,95.92,96.28,94.66,95.58,8902700,94.97
2013-01-24,96.00,97.74,96.00,96.60,5816300,95.98
2013-01-23,97.48,97.72,96.60,96.85,4971000,96.23
2013-01-22,96.39,97.73,96.05,97.72,8330100,97.10
2013-01-18,96.43,97.62,96.09,97.62,8330900,97.00
2013-01-17,95.71,96.29,95.09,95.70,4824100,95.09
2013-01-16,95.10,95.67,94.83,95.19,3809700,94.58
2013-01-15,94.21,95.83,94.18,95.67,4789800,95.06
2013-01-14,95.32,95.48,94.15,94.63,3685800,94.03
2013-01-11,94.56,95.39,94.12,95.19,4288500,94.58
2013-01-10,95.11,95.19,94.23,95.08,4596400,94.47
2013-01-09,94.10,94.77,94.10,94.44,3546100,93.84
2013-01-08,94.67,95.19,93.57,94.00,5616100,93.40
2013-01-07,94.57,95.67,94.40,95.21,5368800,94.60
2013-01-04,94.57,94.92,94.04,94.92,5658600,94.31
2013-01-03,93.22,94.99,92.89,94.40,9329000,93.80
2013-01-02,92.95,94.44,92.95,93.50,11590000,92.90
2012-12-31,86.81,89.80,86.67,89.61,7213000,89.04
2012-12-28,87.09,87.60,86.69,86.81,3309200,86.26
2012-12-27,87.87,88.41,86.55,87.66,3953800,87.10
2012-12-26,87.67,88.68,87.57,87.67,3236100,87.11
2012-12-24,87.51,87.83,87.16,87.48,2326700,86.92
2012-12-21,87.50,88.18,86.48,87.90,10727800,87.34
2012-12-20,89.90,90.13,88.64,89.50,6893600,88.93
2012-12-19,90.91,91.83,90.74,90.79,7065800,89.69
2012-12-18,89.67,91.09,89.67,90.77,6653300,89.67
2012-12-17,89.25,89.69,88.90,89.64,6092800,88.56
2012-12-14,88.35,89.50,88.32,89.00,5866400,87.93
2012-12-13,87.85,89.31,87.82,88.36,6100000,87.29
2012-12-12,87.89,88.77,87.46,87.95,7093300,86.89
2012-12-11,87.60,88.16,87.04,87.33,5371600,86.28
2012-12-10,86.81,87.45,86.38,87.23,4336600,86.18
2012-12-07,86.70,87.55,86.52,86.99,7337200,85.94
2012-12-06,85.83,86.33,85.08,85.95,4132300,84.91
2012-12-05,84.62,86.57,84.57,86.05,8604400,85.01
2012-12-04,84.05,84.96,83.75,84.16,4468400,83.14
2012-12-03,85.92,85.92,84.43,84.49,4714100,83.47
2012-11-30,86.33,86.35,85.03,85.24,5663400,84.21
2012-11-29,85.55,86.48,85.48,86.25,7846300,85.21
2012-11-28,83.63,85.09,83.00,84.94,4884700,83.91
2012-11-27,84.50,85.12,83.90,84.01,4195600,83.00
2012-11-26,83.81,84.81,83.81,84.65,4240800,83.63
2012-11-23,83.62,84.19,83.25,84.16,2663700,83.14
2012-11-21,82.95,83.74,82.65,83.05,4517100,82.05
2012-11-20,83.70,83.77,82.59,83.33,5535900,82.32
2012-11-19,83.37,83.84,83.15,83.62,5674800,82.61
2012-11-16,81.37,82.21,80.16,81.93,8050900,80.94
2012-11-15,81.35,82.57,80.50,81.30,7794600,80.32
2012-11-14,83.90,83.90,80.88,81.10,8497000,80.12
2012-11-13,84.72,85.18,83.17,83.26,7695300,82.25
2012-11-12,84.44,85.57,84.23,85.18,5800500,84.15
2012-11-09,83.00,85.29,82.90,84.95,7282200,83.92
2012-11-08,85.16,85.24,83.52,83.66,6240600,82.65
2012-11-07,86.73,87.23,84.84,85.02,8209200,83.99
2012-11-06,87.35,88.60,87.30,88.08,7048900,87.02
2012-11-05,85.85,86.78,85.59,86.77,4044600,85.72
2012-11-02,88.49,88.50,85.70,85.79,6982000,84.75
2012-11-01,85.22,87.86,85.00,87.65,8550000,86.59
2012-10-31,85.53,85.92,84.45,84.81,5914600,83.79
2012-10-26,83.48,84.32,83.24,84.25,7165300,83.23
2012-10-25,83.39,83.54,82.36,83.53,5983300,82.52
2012-10-24,84.07,84.14,82.52,82.73,5509000,81.73
2012-10-23,83.90,84.14,82.98,83.58,7496100,82.57
2012-10-22,82.94,86.04,82.29,85.08,17158300,84.05
2012-10-19,85.33,85.48,83.49,83.86,9874300,82.85
2012-10-18,86.38,87.53,85.83,86.62,6813600,85.57
2012-10-17,85.62,86.77,85.21,86.63,7339000,85.07
2012-10-16,83.59,85.04,83.21,84.96,6943000,83.43
2012-10-15,82.91,83.20,82.10,82.81,6357300,81.32
2012-10-12,83.00,84.10,82.46,82.82,6012400,81.33
2012-10-11,83.39,83.70,82.25,82.85,7643800,81.36
2012-10-10,83.89,84.37,82.60,83.16,10634900,81.66
2012-10-09,85.72,86.15,84.50,84.75,5810600,83.22
2012-10-08,84.94,85.81,84.43,85.44,4532600,83.90
2012-10-05,86.85,87.34,85.01,85.43,6547700,83.89
2012-10-04,85.52,86.50,85.20,85.96,5076900,84.41
2012-10-03,85.51,85.64,84.55,85.28,5584500,83.74
2012-10-02,85.63,85.93,84.35,85.47,8819000,83.93
2012-10-01,86.72,87.15,85.24,85.47,7385000,83.93
2012-09-28,86.36,86.59,85.43,86.04,7519300,84.49
2012-09-27,87.84,87.95,86.75,86.92,7585300,85.36
2012-09-26,86.90,87.93,85.80,86.95,8864800,85.38
2012-09-25,88.66,89.55,87.00,87.01,13936300,85.44
2012-09-24,90.45,91.78,90.45,90.87,8604700,89.23
2012-09-21,93.42,93.42,91.37,91.72,10786300,90.07
2012-09-20,92.99,92.99,91.25,92.54,7094100,90.87
2012-09-19,93.30,94.23,92.81,93.94,6785200,92.25
2012-09-18,91.77,93.07,91.77,93.07,6596500,91.39
2012-09-17,92.94,93.50,91.73,91.99,7996500,90.33
2012-09-14,92.21,94.28,91.98,93.17,11375700,91.49
2012-09-13,88.63,90.97,88.30,90.68,7836600,89.05
2012-09-12,89.49,90.24,88.66,89.12,6016400,87.52
2012-09-11,87.70,89.12,87.41,88.60,5877800,87.00
2012-09-10,87.94,88.63,87.08,87.10,5591600,85.53
2012-09-07,87.26,88.44,86.75,88.10,10698000,86.51
2012-09-06,83.55,84.93,83.35,84.79,6982600,83.26
2012-09-05,82.60,83.08,81.78,82.75,6234700,81.26
2012-09-04,85.03,85.13,82.21,82.66,11287600,81.17
2012-08-31,85.18,85.94,84.25,85.33,5481300,83.79
2012-08-30,85.56,85.82,84.46,84.47,5170100,82.95
2012-08-29,85.58,86.33,84.45,86.09,8731900,84.54
2012-08-28,86.37,86.99,85.88,86.01,4697200,84.46
2012-08-27,87.65,88.00,86.54,86.63,4273400,85.07
2012-08-24,86.92,87.75,86.40,87.47,4979000,85.90
2012-08-23,88.64,88.72,87.14,87.63,5469400,86.05
2012-08-22,90.04,90.28,87.63,88.72,8843500,87.12
2012-08-21,91.00,92.08,89.95,90.29,7159700,88.66
2012-08-20,89.74,90.48,89.23,90.44,5296000,88.81
2012-08-17,89.86,90.10,89.10,90.01,7848500,88.39
2012-08-16,87.74,88.83,87.23,88.59,4979200,87.00
2012-08-15,87.25,87.73,86.16,87.61,6345200,86.03
2012-08-14,89.49,89.65,87.76,87.87,5485600,86.29
2012-08-13,88.84,89.27,87.60,88.61,5403400,87.01
2012-08-10,88.26,88.96,87.64,88.94,5500300,87.34
2012-08-09,87.41,88.79,87.25,88.40,6700600,86.81
2012-08-08,86.49,87.88,86.35,87.22,6139600,85.65
2012-08-07,87.00,88.32,86.75,87.22,6049800,85.65
2012-08-06,85.73,87.00,85.48,86.35,6384800,84.80
2012-08-03,84.53,86.00,84.07,85.02,6941300,83.49
2012-08-02,82.46,84.30,82.10,83.12,8097300,81.62
2012-08-01,85.00,85.07,82.50,82.65,9366200,81.16
2012-07-31,85.77,86.36,84.14,84.21,9192500,82.69
2012-07-30,86.62,86.97,85.00,85.69,6504600,84.15
2012-07-27,83.18,86.60,82.03,86.16,11229000,84.61
2012-07-26,83.84,84.65,82.10,83.30,10138200,81.80
2012-07-25,85.13,85.45,80.29,82.60,19877300,81.11
2012-07-24,82.75,83.30,80.27,81.43,8780500,79.96
2012-07-23,79.66,82.60,78.79,81.58,7567700,80.11
2012-07-20,81.93,82.57,80.66,80.95,5897000,79.49
2012-07-19,82.96,83.40,82.05,82.63,5616100,81.14
2012-07-18,80.53,83.35,80.09,82.52,7457800,81.03
2012-07-17,81.89,82.29,79.95,81.91,6462700,79.92
2012-07-16,81.85,81.85,80.20,81.15,4989800,79.18
2012-07-13,79.95,82.14,79.55,82.07,7619500,80.08
2012-07-12,78.98,80.33,78.25,79.64,8743600,77.71
2012-07-11,80.52,80.74,79.25,79.74,8184100,77.81
2012-07-10,83.56,84.30,79.12,80.27,15154700,78.32
2012-07-09,83.94,84.35,82.96,83.14,6291200,81.12
