Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,23.94,24.16,23.71,24.07,2082000,24.07
2013-07-11,23.82,23.98,23.53,23.95,1753700,23.95
2013-07-10,23.47,23.60,23.24,23.43,1357200,23.43
2013-07-09,23.36,23.79,23.32,23.51,1418100,23.51
2013-07-08,23.53,23.62,23.24,23.29,2198800,23.29
2013-07-05,23.53,23.65,23.08,23.43,1781800,23.43
2013-07-03,23.05,23.41,22.91,23.34,787600,23.34
2013-07-02,23.29,23.62,23.03,23.20,2075200,23.20
2013-07-01,23.55,23.57,23.04,23.30,3799100,23.30
2013-06-28,23.09,23.45,22.92,23.36,5077200,23.36
2013-06-27,22.78,23.27,22.72,23.22,3038000,23.22
2013-06-26,22.23,22.89,22.18,22.58,3656700,22.58
2013-06-25,21.72,22.11,21.50,21.99,2411600,21.99
2013-06-24,21.24,21.94,20.59,21.45,5147500,21.45
2013-06-21,21.85,21.86,21.02,21.50,5297000,21.50
2013-06-20,22.03,22.03,21.34,21.61,5795700,21.61
2013-06-19,23.05,23.11,22.07,22.28,4801900,22.28
2013-06-18,22.89,23.27,22.64,23.05,2783800,23.05
2013-06-17,22.87,22.97,22.63,22.81,2042300,22.81
2013-06-14,22.90,23.31,22.61,22.67,1768800,22.67
2013-06-13,22.51,22.98,22.42,22.92,2982800,22.92
2013-06-12,23.08,23.12,22.47,22.56,2971200,22.56
2013-06-11,22.88,23.11,22.65,22.90,1691500,22.90
2013-06-10,23.50,23.56,23.08,23.20,1646600,23.20
2013-06-07,23.37,23.49,23.08,23.44,1765400,23.44
2013-06-06,22.48,23.18,22.34,23.17,3334500,23.17
2013-06-05,22.96,23.19,22.41,22.51,3208900,22.51
2013-06-04,23.20,23.38,22.86,23.05,2695500,23.05
2013-06-03,23.24,23.43,22.71,23.21,3234700,23.21
2013-05-31,23.32,23.60,23.18,23.18,2962800,23.18
2013-05-30,23.44,23.66,23.27,23.41,1574300,23.41
2013-05-29,23.49,23.60,22.97,23.39,2719400,23.39
2013-05-28,23.82,24.07,23.45,23.74,3497300,23.74
2013-05-24,23.74,23.75,23.29,23.39,2082700,23.39
2013-05-23,23.97,24.04,23.55,23.89,2684900,23.89
2013-05-22,25.08,25.37,24.06,24.23,3478100,24.23
2013-05-21,24.60,25.16,24.43,25.08,3335300,25.08
2013-05-20,24.71,24.94,24.60,24.61,2274800,24.61
2013-05-17,24.79,24.95,24.52,24.78,1869500,24.78
2013-05-16,25.08,25.20,24.65,24.72,2630100,24.72
2013-05-15,24.51,25.21,24.40,25.18,3426700,25.18
2013-05-14,24.08,24.56,24.05,24.51,2554700,24.51
2013-05-13,24.05,24.16,23.85,24.03,2908100,24.03
2013-05-10,24.38,24.44,24.05,24.10,2320400,24.10
2013-05-09,24.56,24.63,24.23,24.31,1720100,24.31
2013-05-08,24.38,24.65,24.15,24.57,1945100,24.57
2013-05-07,24.36,24.63,24.30,24.44,3347600,24.44
2013-05-06,24.16,24.43,24.03,24.22,2059400,24.22
2013-05-03,24.36,24.62,24.05,24.15,1759700,24.15
2013-05-02,24.19,24.27,23.95,24.02,1936400,24.02
2013-05-01,24.10,24.33,23.99,24.04,2423300,24.04
2013-04-30,24.33,24.40,23.93,24.22,2608400,24.22
2013-04-29,24.28,24.70,24.22,24.35,1396300,24.35
2013-04-26,24.45,24.51,23.78,24.18,2866600,24.18
2013-04-25,24.69,24.98,24.48,24.75,2970500,24.75
2013-04-24,24.21,24.62,24.09,24.61,1723600,24.61
2013-04-23,23.93,24.28,23.79,24.17,2140600,24.17
2013-04-22,23.88,23.96,23.34,23.71,2204100,23.71
2013-04-19,23.51,23.84,23.17,23.83,2868100,23.83
2013-04-18,23.75,23.97,23.30,23.50,1722800,23.50
2013-04-17,24.07,24.09,23.31,23.70,3425700,23.70
2013-04-16,24.33,24.58,24.15,24.31,2374900,24.31
2013-04-15,25.16,25.16,24.10,24.12,2025600,24.12
2013-04-12,25.36,25.46,25.10,25.29,1856400,25.29
2013-04-11,25.51,25.69,25.39,25.50,1908000,25.50
2013-04-10,25.08,25.51,24.97,25.51,2375700,25.51
2013-04-09,25.00,25.22,24.78,25.01,2038100,25.01
2013-04-08,24.30,24.95,24.29,24.93,1453600,24.93
2013-04-05,23.79,24.23,23.66,24.22,1405100,24.22
2013-04-04,23.93,24.30,23.71,24.28,3223700,24.28
2013-04-03,24.48,24.53,23.88,23.93,4060100,23.93
2013-04-02,24.61,24.76,24.28,24.40,1669000,24.40
2013-04-01,25.28,25.28,24.30,24.44,2863500,24.44
2013-03-28,25.13,25.30,24.88,25.25,2429600,25.25
2013-03-27,24.80,25.13,24.69,25.11,1890900,25.11
2013-03-26,24.77,25.12,24.71,25.02,1960200,25.02
2013-03-25,24.87,25.20,24.61,24.68,2875000,24.68
2013-03-22,24.65,25.02,24.50,24.71,1939400,24.71
2013-03-21,24.62,24.79,24.28,24.51,2230200,24.51
2013-03-20,24.69,25.07,24.64,24.83,2284300,24.83
2013-03-19,25.27,25.30,24.39,24.46,2530100,24.46
2013-03-18,24.55,25.21,24.50,25.18,2937200,25.18
2013-03-15,25.10,25.12,24.65,24.93,3220300,24.93
2013-03-14,25.39,25.45,25.09,25.20,2313800,25.20
2013-03-13,25.29,25.38,24.98,25.36,2037500,25.36
2013-03-12,25.13,25.45,25.02,25.31,2834400,25.31
2013-03-11,24.64,25.26,24.64,25.22,3733500,25.22
2013-03-08,24.69,24.80,24.29,24.64,2614000,24.64
2013-03-07,24.48,24.66,24.40,24.53,2240400,24.53
2013-03-06,24.86,24.94,24.45,24.48,2528700,24.48
2013-03-05,24.73,24.99,24.62,24.74,2937100,24.74
2013-03-04,24.30,24.71,24.15,24.58,1945300,24.58
2013-03-01,23.87,24.61,23.85,24.36,3512100,24.36
2013-02-28,23.86,24.53,23.80,24.17,3520600,24.17
2013-02-27,23.34,24.11,23.18,23.89,2843100,23.89
2013-02-26,23.43,23.56,23.17,23.42,2453200,23.42
2013-02-25,24.00,24.39,23.24,23.24,3664900,23.24
2013-02-22,23.77,23.97,23.50,23.91,2175500,23.91
2013-02-21,23.87,24.00,23.32,23.57,4993300,23.57
2013-02-20,24.44,24.47,23.69,23.84,5024600,23.84
2013-02-19,24.36,24.50,24.15,24.50,1960700,24.50
2013-02-15,24.58,24.62,23.97,24.28,4357100,24.28
2013-02-14,24.35,24.86,24.35,24.70,3224800,24.70
2013-02-13,24.39,24.85,24.33,24.50,3805300,24.50
2013-02-12,24.17,24.46,24.13,24.26,1903400,24.26
2013-02-11,24.20,24.47,23.88,24.13,3285800,24.13
2013-02-08,23.87,24.31,23.60,24.19,3552400,24.19
2013-02-07,23.55,24.33,23.32,23.81,12135800,23.81
2013-02-06,21.74,22.00,21.60,21.85,3453600,21.85
2013-02-05,21.88,22.02,21.74,21.91,3083700,21.91
2013-02-04,21.66,21.89,21.59,21.69,1759700,21.69
2013-02-01,21.76,21.91,21.72,21.87,1933900,21.87
2013-01-31,21.43,21.66,21.39,21.58,1964500,21.58
2013-01-30,21.77,21.77,21.32,21.46,3163400,21.46
2013-01-29,21.91,22.00,21.73,21.78,3426000,21.78
2013-01-28,21.91,22.08,21.64,21.89,2921100,21.89
2013-01-25,21.27,22.29,21.17,21.84,5517000,21.84
2013-01-24,20.92,21.30,20.92,21.19,2751400,21.19
2013-01-23,20.60,20.92,20.57,20.89,1964100,20.89
2013-01-22,20.57,20.65,20.41,20.55,2210000,20.55
2013-01-18,20.70,20.82,20.33,20.55,2847000,20.55
2013-01-17,20.69,20.84,20.43,20.63,2919300,20.63
2013-01-16,20.78,20.81,20.44,20.56,2349300,20.56
2013-01-15,20.46,20.89,20.45,20.84,1685700,20.84
2013-01-14,20.51,20.71,20.47,20.65,1333400,20.65
2013-01-11,20.57,20.73,20.45,20.51,2037000,20.51
2013-01-10,20.69,20.81,20.52,20.55,2701800,20.55
2013-01-09,20.83,21.09,20.54,20.57,3179800,20.57
2013-01-08,20.73,20.85,20.59,20.78,2519700,20.78
2013-01-07,20.54,20.99,20.54,20.80,2595300,20.80
2013-01-04,20.22,20.72,20.08,20.72,2578000,20.72
2013-01-03,20.37,20.49,20.12,20.16,1926100,20.16
2013-01-02,20.34,20.41,19.78,20.36,3273300,20.36
2012-12-31,19.36,19.96,19.30,19.90,1779000,19.90
2012-12-28,19.42,19.58,19.33,19.39,1464400,19.39
2012-12-27,19.66,19.75,19.25,19.59,1597500,19.59
2012-12-26,19.68,19.76,19.58,19.66,1636200,19.66
2012-12-24,19.63,19.74,19.46,19.60,966000,19.60
2012-12-21,19.71,19.99,19.40,19.64,3942200,19.64
2012-12-20,19.95,20.14,19.93,20.00,2153300,20.00
2012-12-19,20.43,20.55,19.96,19.96,2911500,19.96
2012-12-18,19.86,20.42,19.79,20.41,3026200,20.41
2012-12-17,19.32,19.78,19.30,19.78,2073700,19.78
2012-12-14,19.05,19.23,18.89,19.20,2066200,19.20
2012-12-13,19.64,19.66,19.06,19.10,2403800,19.10
2012-12-12,19.64,19.93,19.59,19.69,2684000,19.69
2012-12-11,19.48,19.72,19.45,19.56,2548100,19.56
2012-12-10,19.02,19.37,18.92,19.34,1987700,19.34
2012-12-07,18.75,19.02,18.70,18.99,1430500,18.99
2012-12-06,18.71,18.81,18.54,18.73,1830600,18.73
2012-12-05,18.58,18.78,18.33,18.75,2268100,18.75
2012-12-04,18.73,18.80,18.49,18.57,2370100,18.57
2012-12-03,18.93,19.23,18.69,18.76,3562600,18.76
2012-11-30,18.68,19.05,18.59,18.93,3709800,18.93
2012-11-29,18.33,18.72,18.30,18.63,2892300,18.63
2012-11-28,17.79,18.27,17.64,18.25,1807300,18.25
2012-11-27,18.09,18.10,17.81,17.91,2557100,17.91
2012-11-26,17.68,18.28,17.68,18.16,2564300,18.16
2012-11-23,17.83,17.98,17.65,17.87,994400,17.87
2012-11-21,17.67,17.79,17.61,17.69,1715300,17.69
2012-11-20,17.78,17.82,17.45,17.64,2545100,17.64
2012-11-19,17.80,18.05,17.67,17.79,4703000,17.79
2012-11-16,17.40,17.67,17.16,17.50,2637100,17.50
2012-11-15,17.35,17.56,17.24,17.34,2378800,17.34
2012-11-14,17.71,17.77,17.25,17.35,3392200,17.35
2012-11-13,17.33,17.83,17.25,17.65,2315200,17.65
2012-11-12,17.55,17.57,17.36,17.47,1516900,17.47
2012-11-09,17.30,17.61,17.25,17.50,3466900,17.50
2012-11-08,17.56,17.60,17.32,17.47,3227800,17.47
2012-11-07,17.87,18.00,17.52,17.53,4422300,17.53
2012-11-06,17.81,18.21,17.70,18.14,2893300,18.14
2012-11-05,17.55,17.77,17.41,17.72,1576300,17.72
2012-11-02,17.83,18.02,17.52,17.55,3344300,17.55
2012-11-01,17.94,18.06,17.54,17.63,4545900,17.63
2012-10-31,18.08,18.12,16.86,18.02,8084100,18.02
2012-10-26,18.27,18.32,17.91,18.25,2011700,18.25
2012-10-25,18.78,18.80,18.06,18.24,3012800,18.24
2012-10-24,18.94,19.00,18.34,18.49,3812500,18.49
2012-10-23,18.97,19.21,18.53,18.88,2873900,18.88
2012-10-22,19.09,19.42,19.09,19.42,1933100,19.42
2012-10-19,19.53,19.55,18.82,19.11,2656900,19.11
2012-10-18,19.25,19.58,19.16,19.58,2799800,19.58
2012-10-17,18.91,19.31,18.81,19.31,2089300,19.31
2012-10-16,19.00,19.21,18.85,18.95,1844600,18.95
2012-10-15,18.90,19.00,18.74,18.91,1325000,18.91
2012-10-12,19.02,19.16,18.70,18.82,1644200,18.82
2012-10-11,18.66,19.10,18.64,19.05,3783900,19.05
2012-10-10,18.92,18.92,18.40,18.45,3657600,18.45
2012-10-09,19.39,19.43,18.92,18.93,2834900,18.93
2012-10-08,19.44,19.56,19.24,19.44,2584400,19.44
2012-10-05,19.49,19.74,19.36,19.61,3936800,19.61
2012-10-04,19.39,19.49,19.10,19.22,3018300,19.22
2012-10-03,19.01,19.43,18.88,19.27,3428800,19.27
2012-10-02,18.75,19.11,18.72,18.98,3801800,18.98
2012-10-01,18.52,19.01,18.41,18.65,3769400,18.65
2012-09-28,18.48,18.60,18.32,18.41,3476800,18.41
2012-09-27,18.70,18.81,18.50,18.62,3245900,18.62
2012-09-26,18.56,18.89,18.33,18.55,3387100,18.55
2012-09-25,19.29,19.34,18.53,18.54,4810300,18.54
2012-09-24,19.20,19.36,19.06,19.25,3930000,19.25
2012-09-21,19.71,19.77,19.28,19.36,6383700,19.36
2012-09-20,19.28,19.49,19.04,19.40,4132400,19.40
2012-09-19,19.42,19.77,19.37,19.50,3498700,19.50
2012-09-18,19.80,20.12,19.02,19.29,6858300,19.29
2012-09-17,20.28,20.28,19.53,19.80,5064500,19.80
2012-09-14,19.68,20.89,19.67,20.36,7579800,20.36
2012-09-13,18.38,19.61,18.18,19.60,7069400,19.60
2012-09-12,17.78,18.42,17.74,18.35,5089500,18.35
2012-09-11,17.23,17.69,17.23,17.65,4248800,17.65
2012-09-10,17.75,17.78,17.14,17.28,4791000,17.28
2012-09-07,17.54,17.75,17.54,17.70,3208300,17.70
2012-09-06,17.16,17.62,17.14,17.48,3919300,17.48
2012-09-05,17.22,17.32,16.73,17.01,2668000,17.01
2012-09-04,17.31,17.39,17.00,17.22,1731400,17.22
2012-08-31,17.32,17.51,17.14,17.31,1978200,17.31
2012-08-30,17.30,17.32,17.00,17.20,1874800,17.20
2012-08-29,17.31,17.50,17.16,17.41,2169400,17.41
2012-08-28,17.38,17.65,17.27,17.41,2176900,17.41
2012-08-27,17.69,17.69,17.31,17.44,1395000,17.44
2012-08-24,17.61,17.79,17.24,17.58,1904900,17.58
2012-08-23,17.80,17.92,17.57,17.65,1399300,17.65
2012-08-22,18.05,18.18,17.59,17.89,1613500,17.89
2012-08-21,18.10,18.45,18.01,18.14,2522900,18.14
2012-08-20,17.94,18.07,17.59,18.06,2432000,18.06
2012-08-17,17.91,18.14,17.71,18.04,1960700,18.04
2012-08-16,17.62,17.96,17.58,17.90,1737200,17.90
2012-08-15,17.52,17.67,17.39,17.56,1286900,17.56
2012-08-14,17.73,17.84,17.43,17.52,1382400,17.52
2012-08-13,17.71,17.82,17.46,17.60,1538400,17.60
2012-08-10,17.72,17.86,17.60,17.77,2171800,17.77
2012-08-09,17.81,18.00,17.74,17.80,1972300,17.80
2012-08-08,18.07,18.13,17.78,17.80,2873200,17.80
2012-08-07,17.76,18.29,17.67,18.07,3508900,18.07
2012-08-06,17.16,17.73,17.05,17.73,4029500,17.73
2012-08-03,16.87,17.40,16.87,17.08,3752400,17.08
2012-08-02,16.53,16.87,16.32,16.56,2713800,16.56
2012-08-01,16.04,17.38,15.77,16.67,7355100,16.67
2012-07-31,16.20,16.38,15.36,15.58,5358800,15.58
2012-07-30,16.31,16.37,16.00,16.24,3546200,16.24
2012-07-27,15.52,16.46,15.48,16.33,4479100,16.33
2012-07-26,15.42,15.72,15.22,15.37,4075700,15.37
2012-07-25,15.39,15.45,14.97,15.10,3398000,15.10
2012-07-24,15.75,15.85,15.13,15.31,2785800,15.31
2012-07-23,15.75,15.91,15.51,15.78,2738800,15.78
2012-07-20,16.11,16.33,16.03,16.14,2562600,16.14
2012-07-19,16.01,16.41,15.99,16.32,1960300,16.32
2012-07-18,15.87,16.08,15.77,15.99,2144300,15.99
