Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,134.71,136.36,132.66,134.56,4012900,134.56
2013-07-11,133.10,136.36,131.67,134.92,6022500,134.92
2013-07-10,124.67,125.28,123.20,125.08,1864700,125.08
2013-07-09,123.18,124.88,121.55,124.65,2192900,124.65
2013-07-08,123.00,124.68,121.30,121.94,1994000,121.94
2013-07-05,121.61,122.77,121.00,122.48,1353100,122.48
2013-07-03,119.49,121.99,119.05,120.93,1231000,120.93
2013-07-02,119.00,121.13,118.93,120.26,2373600,120.26
2013-07-01,119.30,120.75,118.15,118.91,2327400,118.91
2013-06-28,117.46,119.47,116.71,116.98,2718700,116.98
2013-06-27,119.42,119.90,117.63,118.40,2064900,118.40
2013-06-26,115.83,118.88,115.00,118.13,2663900,118.13
2013-06-25,114.40,115.00,113.10,114.55,2106500,114.55
2013-06-24,112.52,114.84,110.53,113.00,3335000,113.00
2013-06-21,114.22,115.80,111.71,113.89,5116700,113.89
2013-06-20,115.86,116.31,113.07,113.51,3219600,113.51
2013-06-19,120.00,120.24,116.83,116.89,1796000,116.89
2013-06-18,118.28,120.45,117.72,120.24,1828000,120.24
2013-06-17,120.43,121.27,117.35,117.70,2220100,117.70
2013-06-14,120.19,121.31,118.47,119.36,1850100,119.36
2013-06-13,118.98,120.53,117.08,120.26,2305400,120.26
2013-06-12,122.80,123.45,118.00,118.11,3798100,118.11
2013-06-11,116.51,119.89,116.02,118.75,2330300,118.75
2013-06-10,120.91,121.00,117.71,117.83,2396200,117.83
2013-06-07,116.93,120.58,116.92,120.41,3549500,120.41
2013-06-06,112.01,115.66,111.50,115.56,4221300,115.56
2013-06-05,117.03,118.15,111.78,112.20,5320200,112.20
2013-06-04,120.92,121.44,116.76,117.77,3691200,117.77
2013-06-03,124.12,124.72,117.07,120.89,4715200,120.89
2013-05-31,124.51,127.24,123.53,123.65,5239500,123.65
2013-05-30,122.88,125.42,122.65,124.55,2550500,124.55
2013-05-29,123.60,124.28,121.57,123.09,2146700,123.09
2013-05-28,124.52,126.15,123.86,124.59,2427500,124.59
2013-05-24,122.61,123.71,121.66,122.58,2286600,122.58
2013-05-23,121.50,124.97,120.55,123.64,2368300,123.64
2013-05-22,124.11,128.35,122.56,123.44,4199900,123.44
2013-05-21,123.24,124.37,122.41,123.50,2401900,123.50
2013-05-20,124.60,125.17,122.55,123.12,2243400,123.12
2013-05-17,124.56,125.05,120.35,124.91,4122300,124.91
2013-05-16,128.29,128.83,122.61,123.48,4953700,123.48
2013-05-15,129.44,131.41,128.35,129.63,2432400,129.63
2013-05-14,129.66,131.82,129.33,130.17,3787600,130.17
