Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,49.31,49.76,48.95,49.56,2177300,49.56
2013-07-11,48.00,49.27,48.00,49.10,1958200,49.10
2013-07-10,48.00,48.11,47.34,47.59,1638400,47.59
2013-07-09,49.02,49.09,47.35,47.53,2414300,47.53
2013-07-08,49.99,50.10,48.90,48.93,1271700,48.93
2013-07-05,49.46,49.87,49.13,49.84,866600,49.84
2013-07-03,48.37,48.86,48.25,48.56,851500,48.56
2013-07-02,48.85,48.92,48.31,48.62,1464600,48.62
2013-07-01,48.50,49.29,48.05,48.75,1553100,48.75
2013-06-28,96.24,97.30,96.00,96.09,2979200,48.04
2013-06-27,97.18,97.66,96.28,96.79,946600,48.40
2013-06-26,96.10,96.55,95.21,96.36,1091600,48.18
2013-06-25,95.47,95.97,94.17,94.95,1218200,47.47
2013-06-24,94.10,95.53,93.02,94.64,1936800,47.32
2013-06-21,94.94,95.81,94.10,94.59,3594000,47.29
2013-06-20,96.46,96.77,94.05,94.53,2033800,47.26
2013-06-19,99.08,99.21,96.87,97.12,918800,48.56
2013-06-18,98.08,99.19,98.08,99.01,833400,49.51
2013-06-17,98.82,99.26,97.86,98.22,1310000,49.11
2013-06-14,98.52,99.04,97.85,98.22,1294000,49.11
2013-06-13,97.24,98.99,96.41,98.90,834000,49.45
2013-06-12,98.74,99.20,96.82,97.10,958600,48.55
2013-06-11,97.78,99.16,97.26,98.14,995400,49.07
2013-06-10,99.19,99.48,98.40,98.45,1424600,49.22
2013-06-07,99.19,100.00,98.36,99.35,1727800,49.67
2013-06-06,96.98,99.31,96.70,99.26,2151600,49.63
2013-06-05,98.85,99.08,96.55,96.78,2117200,48.39
2013-06-04,99.31,99.61,98.37,99.04,2044800,49.52
2013-06-03,98.38,99.28,97.34,98.86,1918000,49.43
2013-05-31,97.24,98.89,97.11,98.16,2397400,49.08
2013-05-30,97.68,98.53,97.01,97.92,1291800,48.96
2013-05-29,95.38,97.76,95.00,97.15,2347200,48.58
2013-05-28,97.21,97.41,95.01,95.45,1201200,47.72
2013-05-24,95.49,96.64,94.26,96.09,967600,48.04
2013-05-23,95.79,97.10,95.03,96.41,1189000,48.21
2013-05-22,97.73,98.54,95.55,96.25,1433600,48.12
2013-05-21,97.26,98.46,96.79,97.63,1010800,48.81
2013-05-20,98.44,98.79,96.59,97.02,1130600,48.51
2013-05-17,96.90,98.88,96.77,98.83,2103600,49.42
2013-05-16,96.34,96.88,95.71,96.38,1119000,48.19
2013-05-15,95.59,96.95,95.12,96.92,1122400,48.46
2013-05-14,95.07,95.88,94.85,95.69,1232000,47.85
2013-05-13,94.60,95.47,94.36,95.05,1162600,47.53
2013-05-10,94.51,95.08,93.77,95.08,1175000,47.54
2013-05-09,94.48,94.48,93.49,94.05,1294400,47.03
2013-05-08,94.46,95.08,93.94,94.21,1511800,47.10
2013-05-07,95.87,95.99,94.65,94.96,1517800,47.48
2013-05-06,96.32,96.70,95.18,95.59,1210200,47.79
2013-05-03,97.77,98.22,96.39,96.67,2005000,48.33
2013-05-02,95.67,97.27,95.50,96.84,1550600,48.42
2013-05-01,96.05,96.97,95.09,95.67,1530600,47.83
2013-04-30,94.19,96.89,94.19,96.77,2416400,48.38
2013-04-29,94.37,95.53,94.11,94.79,1734800,47.40
2013-04-26,95.00,97.52,94.37,95.88,3977800,47.94
2013-04-25,92.53,92.72,90.80,91.66,2991000,45.83
2013-04-24,93.14,93.57,92.06,92.14,1347200,46.07
2013-04-23,92.19,93.01,91.41,92.93,1586600,46.47
2013-04-22,91.69,92.27,90.84,91.54,1133000,45.77
2013-04-19,90.81,92.64,90.54,91.80,1540200,45.90
2013-04-18,92.71,92.98,90.77,91.20,1160600,45.60
2013-04-17,93.29,93.38,91.38,92.33,1427000,46.17
2013-04-16,92.06,94.54,91.87,94.03,1669000,47.01
2013-04-15,94.50,94.59,91.53,91.56,1781600,45.78
2013-04-12,95.94,95.94,94.45,94.68,1794800,47.34
2013-04-11,95.26,96.24,95.03,95.54,1636400,47.77
2013-04-10,93.63,95.28,93.18,95.27,1546400,47.63
2013-04-09,93.37,93.77,91.88,93.13,817400,46.56
2013-04-08,92.05,93.43,91.43,93.42,1274800,46.71
2013-04-05,91.35,92.55,91.25,92.13,1358600,46.06
2013-04-04,92.80,93.04,91.99,92.17,1226600,46.08
2013-04-03,94.69,94.77,92.70,92.84,1516000,46.42
2013-04-02,94.44,95.13,94.39,94.82,1285000,47.41
2013-04-01,94.97,94.97,93.14,94.23,1612400,47.12
2013-03-28,92.78,94.92,92.39,94.74,1848200,47.37
2013-03-27,92.70,92.88,91.95,92.68,880200,46.34
