Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,181.97,187.45,181.97,184.14,840400,184.14
2013-07-11,183.66,187.60,183.00,187.55,1209800,187.55
2013-07-10,181.35,182.46,178.81,180.84,705600,180.84
2013-07-09,178.13,182.23,177.92,181.20,988300,181.20
2013-07-08,176.51,178.13,175.98,176.88,579100,176.88
2013-07-05,176.02,176.26,172.25,175.45,798100,175.45
2013-07-03,171.92,175.16,171.92,175.02,561900,175.02
2013-07-02,170.89,173.85,169.33,171.84,1288500,171.84
2013-07-01,173.22,174.22,170.18,170.28,1571000,170.28
2013-06-28,174.89,176.71,171.50,171.50,2068600,171.50
2013-06-27,178.00,178.00,174.30,175.38,1245300,175.38
2013-06-26,175.70,178.95,174.02,176.88,881800,176.88
2013-06-25,177.49,177.85,174.68,174.86,1119400,174.86
2013-06-24,180.19,180.19,174.61,176.33,1157400,176.33
2013-06-21,185.16,185.44,181.00,182.67,1578600,182.67
2013-06-20,186.23,187.08,183.15,184.42,1331300,184.42
2013-06-19,189.45,191.52,187.96,189.77,1210000,189.77
2013-06-18,184.72,189.30,184.72,188.63,791200,188.63
2013-06-17,185.35,185.88,183.50,184.88,882400,184.88
2013-06-14,185.01,186.37,183.10,184.56,932700,184.56
2013-06-13,181.72,185.83,181.68,185.64,758500,185.64
2013-06-12,188.89,189.89,182.93,183.50,1097000,183.50
2013-06-11,191.86,191.86,187.59,187.76,743700,187.76
2013-06-10,195.28,196.25,192.53,193.78,618700,193.78
2013-06-07,193.10,194.90,192.27,194.42,644400,194.42
2013-06-06,190.90,193.18,189.20,192.88,826600,192.88
2013-06-05,193.16,195.76,191.52,191.81,1224200,191.81
2013-06-04,193.16,195.34,191.91,194.02,795900,194.02
2013-06-03,191.59,193.73,190.78,193.56,728900,193.56
2013-05-31,193.65,194.25,190.92,190.96,666400,190.96
2013-05-30,194.66,195.45,192.58,194.68,769300,194.68
2013-05-29,188.39,195.24,187.60,194.00,948800,194.00
2013-05-28,189.43,190.62,188.04,188.88,581000,188.88
2013-05-24,187.64,187.65,184.85,186.73,565000,186.73
2013-05-23,186.39,190.11,185.28,188.88,769600,188.88
2013-05-22,188.57,192.68,187.35,188.92,1023700,188.92
2013-05-21,191.10,194.11,188.43,188.53,910400,188.53
2013-05-20,189.65,191.75,188.41,191.48,615300,191.48
2013-05-17,191.22,191.93,189.09,190.52,979200,190.52
2013-05-16,190.40,193.41,188.62,190.75,697300,190.75
2013-05-15,190.89,192.86,188.80,190.12,1197500,190.12
2013-05-14,191.58,193.00,190.30,192.82,654400,192.42
2013-05-13,193.66,194.36,190.65,191.67,815200,191.27
2013-05-10,196.45,196.71,190.14,194.97,1021100,194.57
2013-05-09,191.12,197.38,191.00,194.99,1310400,194.59
2013-05-08,186.11,191.32,185.00,190.71,1265000,190.31
2013-05-07,186.23,189.00,185.62,187.19,1237800,186.80
2013-05-06,184.53,186.52,183.63,186.12,603600,185.73
2013-05-03,185.69,186.39,183.39,184.00,1013500,183.62
2013-05-02,184.24,184.99,181.42,183.96,706000,183.58
2013-05-01,185.76,185.76,182.69,183.44,816800,183.06
2013-04-30,188.83,188.92,185.54,186.51,1031600,186.12
2013-04-29,187.75,188.80,185.69,188.80,866200,188.41
2013-04-26,190.24,190.42,185.22,185.75,725900,185.36
2013-04-25,188.03,193.67,188.00,191.19,1293900,190.79
2013-04-24,180.02,187.50,179.88,187.09,1115900,186.70
2013-04-23,179.04,179.94,175.60,179.42,1416400,179.05
2013-04-22,178.83,179.78,176.03,178.14,777100,177.77
2013-04-19,178.72,180.37,177.02,179.15,960500,178.78
2013-04-18,173.61,179.76,173.61,178.06,1520100,177.69
2013-04-17,175.62,175.62,170.53,172.83,1369300,172.47
2013-04-16,176.81,178.23,175.03,176.99,1204900,176.62
2013-04-15,180.53,181.17,175.40,175.49,1268500,175.13
2013-04-12,187.79,187.79,180.92,182.24,2306000,181.86
2013-04-11,191.14,191.14,188.05,188.49,872600,188.10
2013-04-10,191.50,192.17,188.70,191.14,958900,190.74
2013-04-09,190.48,193.50,190.17,190.98,815600,190.58
2013-04-08,189.82,190.28,188.00,189.69,412000,189.30
2013-04-05,186.90,190.29,186.84,189.97,835000,189.58
2013-04-04,187.01,190.48,186.96,190.07,1025600,189.68
2013-04-03,187.06,187.96,184.29,187.42,1619500,187.03
2013-04-02,190.70,191.34,184.94,186.12,1777200,185.73
2013-04-01,189.79,190.29,188.56,190.02,1062200,189.63
2013-03-28,191.79,193.94,189.74,190.37,1035300,189.98
2013-03-27,191.24,193.32,190.12,191.76,1040400,191.36
2013-03-26,192.48,193.50,190.29,193.33,973900,192.93
2013-03-25,193.98,194.33,190.11,191.51,1128900,191.11
2013-03-22,194.15,194.85,192.31,193.25,757400,192.85
2013-03-21,195.50,195.94,193.75,193.86,820800,193.46
2013-03-20,197.88,198.00,195.46,196.50,975200,196.09
2013-03-19,202.21,202.67,195.25,196.41,1385000,196.00
2013-03-18,200.99,202.98,199.00,202.07,1544200,201.65
2013-03-15,202.10,205.42,201.69,203.89,1644600,203.47
2013-03-14,204.71,204.86,201.78,203.51,1088400,203.09
2013-03-13,206.85,207.97,203.14,203.91,1103600,203.49
2013-03-12,207.71,207.98,205.50,206.72,976700,206.29
2013-03-11,206.94,208.60,205.35,208.15,1121300,207.72
2013-03-08,204.01,207.60,201.87,207.14,1326300,206.71
2013-03-07,202.11,203.61,200.55,202.76,1015700,202.34
2013-03-06,202.85,204.41,201.24,202.02,1143800,201.60
2013-03-05,201.39,203.35,200.33,201.53,951600,201.11
2013-03-04,201.00,201.18,198.57,200.42,1616200,200.00
2013-03-01,199.55,201.98,198.11,201.50,1361100,201.08
2013-02-28,198.35,202.35,197.64,200.83,1293300,200.41
2013-02-27,195.06,200.13,194.56,198.87,1251300,198.46
2013-02-26,198.05,198.69,189.82,195.23,3099600,194.82
2013-02-25,202.61,203.24,197.22,197.26,1481200,196.85
2013-02-22,203.71,203.90,199.02,201.52,1495300,201.10
2013-02-21,203.18,205.19,199.60,203.93,1993200,203.51
2013-02-20,216.94,216.94,206.30,207.07,2661800,206.64
2013-02-19,217.40,219.90,216.58,218.53,1056700,218.08
2013-02-15,217.55,217.91,214.47,216.67,1155600,216.22
2013-02-14,218.72,219.16,216.11,217.86,696600,217.41
2013-02-13,220.71,221.92,216.11,217.89,1132800,217.04
2013-02-12,226.72,226.72,220.11,220.34,1076400,219.48
2013-02-11,226.21,227.33,224.30,225.62,336000,224.74
2013-02-08,225.40,227.03,224.00,226.16,467100,225.28
2013-02-07,227.31,228.43,224.18,225.33,608100,224.45
2013-02-06,225.90,227.93,225.30,225.92,498600,225.04
2013-02-05,229.93,230.77,227.25,227.52,655900,226.63
2013-02-04,229.38,230.12,228.21,228.91,909200,228.02
2013-02-01,231.78,231.78,229.23,229.96,811800,229.06
2013-01-31,228.92,231.33,227.42,229.17,757000,228.27
2013-01-30,228.85,233.43,228.56,230.49,769000,229.59
2013-01-29,228.20,229.80,227.98,229.08,477200,228.19
2013-01-28,230.66,230.66,226.84,228.19,772200,227.30
2013-01-25,230.01,231.50,226.74,230.28,1061400,229.38
2013-01-24,224.23,228.07,223.84,226.47,1172700,225.59
2013-01-23,223.68,225.26,222.92,223.78,781900,222.91
2013-01-22,220.10,224.40,219.59,223.68,1069700,222.81
2013-01-18,218.49,220.58,216.35,219.06,923000,218.20
2013-01-17,218.90,218.90,216.81,217.40,670600,216.55
2013-01-16,216.36,219.22,215.34,217.85,643100,217.00
2013-01-15,218.59,218.82,216.00,217.01,756100,216.16
2013-01-14,218.23,219.54,217.00,218.69,719700,217.84
2013-01-11,217.62,219.78,215.78,218.17,1976900,217.32
2013-01-10,216.03,218.21,213.21,217.47,1993500,216.62
2013-01-09,207.00,215.85,207.00,214.25,1645300,213.41
2013-01-08,209.43,209.43,206.23,207.01,1012600,206.20
2013-01-07,210.07,210.70,206.91,210.09,720800,209.27
2013-01-04,207.42,211.81,207.42,210.88,906800,210.06
2013-01-03,207.06,209.30,205.49,206.26,805100,205.45
2013-01-02,208.94,209.72,205.02,207.24,1009700,206.43
2012-12-31,198.87,203.98,198.48,203.16,825900,202.37
2012-12-28,199.89,201.49,199.23,199.64,459400,198.86
2012-12-27,202.56,203.62,199.00,201.41,644600,200.62
2012-12-26,201.85,203.90,200.76,202.17,357400,201.38
2012-12-24,199.58,201.86,198.40,201.21,342700,200.42
2012-12-21,200.50,202.93,199.60,199.80,1107500,199.02
2012-12-20,205.00,205.26,200.68,204.28,1044000,203.48
2012-12-19,205.78,208.38,205.54,205.66,724400,204.86
2012-12-18,205.90,207.38,203.10,205.48,1057100,204.68
2012-12-17,206.73,206.76,201.90,205.26,1086700,204.46
2012-12-14,201.04,206.95,201.04,205.99,863500,205.19
2012-12-13,209.34,209.92,201.22,202.51,1735800,201.72
2012-12-12,215.92,216.86,208.77,209.69,1441600,208.87
2012-12-11,214.48,218.50,213.85,217.22,780700,216.37
2012-12-10,212.17,214.39,211.84,213.69,491000,212.86
2012-12-07,213.88,213.88,211.30,212.31,438800,211.48
2012-12-06,211.89,213.50,209.21,211.71,530600,210.88
2012-12-05,213.15,213.40,210.45,211.74,747500,210.91
2012-12-04,208.90,213.24,208.59,212.52,1011600,211.69
2012-12-03,213.43,215.00,209.00,209.28,1006500,208.46
2012-11-30,213.39,214.56,212.11,214.03,925700,213.19
2012-11-29,210.11,214.75,209.97,213.30,1212200,212.47
2012-11-28,206.00,208.92,204.22,208.54,693100,207.73
2012-11-27,208.67,210.41,207.76,208.29,670100,207.48
2012-11-26,209.73,209.79,205.08,208.38,589000,207.57
2012-11-23,208.81,210.17,208.26,210.12,395200,209.30
2012-11-21,204.71,207.64,204.20,207.25,618400,206.44
2012-11-20,202.80,207.20,201.79,205.82,855500,205.02
2012-11-19,198.99,203.91,197.67,203.65,1107900,202.85
2012-11-16,195.93,197.52,194.35,195.58,1007600,194.82
2012-11-15,195.88,198.34,193.08,194.80,1029100,194.04
2012-11-14,194.97,199.62,194.63,195.24,851200,194.48
2012-11-13,196.22,199.94,195.56,197.27,983700,196.10
2012-11-12,196.88,198.68,195.55,197.20,712200,196.03
2012-11-09,193.92,199.68,192.82,196.04,877400,194.88
2012-11-08,202.54,202.70,191.90,195.75,1628300,194.59
2012-11-07,202.90,204.00,200.13,201.99,965000,200.79
2012-11-06,207.99,208.80,205.00,206.33,1357000,205.11
2012-11-05,198.12,206.48,198.12,205.48,1248300,204.26
2012-11-02,206.00,210.28,198.57,199.03,2289100,197.85
2012-11-01,205.63,211.00,204.92,210.88,804300,209.63
2012-10-31,205.11,207.16,203.77,205.19,581600,203.97
2012-10-26,204.16,206.02,202.05,204.82,586000,203.61
2012-10-25,205.59,205.59,201.57,203.61,830900,202.40
2012-10-24,207.05,207.70,204.41,205.00,862900,203.79
2012-10-23,205.75,206.53,200.87,205.55,1214900,204.33
2012-10-22,205.40,209.89,205.40,209.82,836900,208.58
2012-10-19,210.36,211.17,205.56,206.68,1388900,205.46
2012-10-18,214.83,215.30,210.80,211.60,804300,210.35
2012-10-17,212.75,216.88,211.95,215.96,645400,214.68
2012-10-16,210.93,215.31,210.21,213.26,969400,212.00
2012-10-15,207.00,210.09,206.55,209.77,758400,208.53
2012-10-12,215.41,215.53,210.05,210.51,911500,209.26
2012-10-11,215.75,219.93,214.63,214.78,1188100,213.51
2012-10-10,217.19,218.47,213.17,213.65,1069800,212.38
2012-10-09,217.48,220.52,216.54,218.17,784200,216.88
2012-10-08,220.77,221.15,217.30,218.17,753900,216.88
2012-10-05,225.16,225.55,220.66,221.92,717300,220.60
2012-10-04,220.77,223.65,220.12,223.60,768400,222.27
2012-10-03,220.54,221.90,218.31,219.98,1027600,218.68
2012-10-02,223.13,224.44,219.83,222.02,1097100,220.70
2012-10-01,223.04,226.50,222.90,224.51,978000,223.18
2012-09-28,220.35,222.94,220.10,222.24,1268800,220.92
2012-09-27,217.88,220.67,216.59,220.12,746200,218.82
2012-09-26,214.35,217.11,213.10,215.90,793500,214.62
2012-09-25,217.22,218.75,213.99,214.14,855500,212.87
2012-09-24,216.11,218.50,216.11,216.78,567900,215.50
2012-09-21,221.63,222.00,218.25,218.70,971200,217.40
2012-09-20,221.46,221.77,216.11,219.93,1342900,218.63
2012-09-19,220.01,224.07,220.01,222.82,1087100,221.50
2012-09-18,220.53,223.00,217.41,219.81,783800,218.51
2012-09-17,221.85,221.85,218.34,220.41,894600,219.10
2012-09-14,225.10,227.99,221.82,223.69,1474900,222.36
2012-09-13,214.99,221.76,213.08,220.45,1230000,219.14
2012-09-12,209.09,217.10,209.09,214.59,1432100,213.32
2012-09-11,212.00,214.88,211.12,211.29,845600,210.04
2012-09-10,216.51,216.51,212.15,212.15,765600,210.89
2012-09-07,213.22,216.33,213.22,214.97,832900,213.70
2012-09-06,210.01,213.35,209.04,212.88,915300,211.62
2012-09-05,206.94,208.96,203.16,208.26,971900,207.03
2012-09-04,206.83,209.14,202.57,204.75,960700,203.54
2012-08-31,205.40,208.27,203.13,207.01,691200,205.78
2012-08-30,207.19,207.19,202.45,203.56,565900,202.35
2012-08-29,207.68,207.99,204.81,207.50,830500,206.27
2012-08-28,205.00,207.62,204.38,206.80,759800,205.57
2012-08-27,207.62,207.62,205.28,205.94,544800,204.72
2012-08-24,207.08,208.89,205.66,207.59,908300,206.36
2012-08-23,212.55,213.01,206.28,206.73,1002200,205.50
2012-08-22,211.27,213.80,209.06,213.80,716800,212.53
2012-08-21,215.04,216.80,210.50,211.40,931800,210.15
2012-08-20,216.50,218.25,212.95,215.58,1010100,214.30
2012-08-17,216.36,217.48,215.42,216.63,825300,215.35
2012-08-16,211.49,216.85,210.58,216.09,1303500,214.81
2012-08-15,208.68,211.68,207.72,211.52,950500,210.27
2012-08-14,210.20,211.20,207.63,208.11,896800,206.88
2012-08-13,209.77,210.28,206.68,208.72,1107100,207.48
2012-08-10,212.02,212.60,206.62,207.95,1739600,206.72
2012-08-09,206.41,215.18,206.10,212.86,1715200,211.20
2012-08-08,205.75,211.25,204.88,207.43,1514400,205.81
2012-08-07,202.71,207.66,199.96,206.07,2404200,204.46
2012-08-06,203.71,204.49,198.61,203.46,1489500,201.87
2012-08-03,200.64,205.11,200.03,202.02,1871900,200.45
2012-08-02,192.31,196.60,190.88,194.39,1125700,192.87
2012-08-01,197.29,198.37,194.50,194.62,881100,193.10
2012-07-31,198.22,198.81,194.93,195.76,1156300,194.23
2012-07-30,200.74,200.88,196.74,197.50,894000,195.96
2012-07-27,196.73,201.20,194.98,200.29,1277700,198.73
2012-07-26,197.10,198.60,192.20,194.62,1250900,193.10
2012-07-25,195.70,196.70,191.17,195.59,1225400,194.07
2012-07-24,198.70,200.00,191.37,193.97,1697000,192.46
2012-07-23,198.13,201.03,196.18,197.94,1251500,196.40
2012-07-20,201.49,204.74,199.00,202.77,1295400,201.19
2012-07-19,205.97,206.11,202.25,203.65,1064400,202.06
2012-07-18,205.68,208.43,204.35,206.22,1626700,204.61
2012-07-17,199.88,205.11,199.88,203.64,1972000,202.05
2012-07-16,194.33,200.35,193.00,198.65,1406800,197.10
2012-07-13,194.17,196.50,192.55,195.20,1008900,193.68
2012-07-12,193.11,194.81,190.16,193.49,1322800,191.98
2012-07-11,196.00,197.52,191.54,194.69,1972400,193.17
2012-07-10,196.33,196.84,190.10,190.97,1063500,189.48
2012-07-09,198.00,199.26,194.77,195.65,1037100,194.13
