Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,38.49,38.97,38.38,38.56,2015500,38.56
2013-07-11,38.15,38.64,37.81,38.52,1889000,38.52
2013-07-10,37.23,38.05,37.23,37.89,1459200,37.89
2013-07-09,38.24,38.33,37.13,37.31,2606300,37.31
2013-07-08,37.70,38.39,37.59,38.24,1999600,38.24
2013-07-05,37.61,37.79,37.18,37.58,1192400,37.58
2013-07-03,37.10,37.54,36.92,37.39,852600,37.39
2013-07-02,37.26,37.49,37.00,37.27,3377400,37.27
2013-07-01,36.97,37.50,36.86,37.35,1126200,37.35
2013-06-28,37.08,37.36,36.83,36.85,2179700,36.85
2013-06-27,36.58,37.48,36.56,37.12,1886800,37.12
2013-06-26,37.10,37.16,36.32,36.36,2083900,36.36
2013-06-25,36.82,36.99,36.46,36.81,1243200,36.81
2013-06-24,36.59,36.83,36.33,36.50,1738400,36.50
2013-06-21,36.45,37.17,36.45,37.01,2709400,37.01
2013-06-20,37.30,37.39,36.03,36.14,2076300,36.14
2013-06-19,38.02,38.23,37.53,37.53,1384400,37.53
2013-06-18,37.98,38.31,37.68,38.07,1327600,38.07
2013-06-17,38.07,38.34,37.61,37.95,1878100,37.95
2013-06-14,38.03,38.13,37.65,37.80,1179700,37.80
2013-06-13,37.39,38.13,36.85,38.02,1513700,38.02
2013-06-12,38.15,38.40,37.49,37.50,1550500,37.50
2013-06-11,37.64,38.49,37.47,37.98,1391700,37.98
2013-06-10,38.23,38.48,37.69,37.90,3100300,37.90
2013-06-07,37.70,38.37,37.37,38.17,2970700,38.17
2013-06-06,37.50,37.67,37.15,37.54,2400700,37.54
2013-06-05,37.58,38.39,37.44,37.46,4577600,37.46
2013-06-04,37.27,37.98,37.12,37.70,4604800,37.70
2013-06-03,36.83,37.30,36.41,37.28,3763100,37.28
2013-05-31,36.73,38.09,36.57,36.75,5522000,36.75
2013-05-30,34.77,37.33,34.75,36.75,6824800,36.75
2013-05-29,34.74,35.04,34.37,34.82,2101500,34.82
2013-05-28,34.74,35.36,34.67,34.90,1804500,34.90
2013-05-24,34.22,34.59,34.02,34.41,1312100,34.41
2013-05-23,33.73,34.65,33.70,34.41,2628900,34.41
2013-05-22,34.10,35.05,34.01,34.17,3620100,34.17
2013-05-21,34.13,34.35,34.08,34.13,1353100,34.13
2013-05-20,34.29,34.39,34.09,34.10,814600,34.10
2013-05-17,33.89,34.42,33.75,34.36,2282900,34.36
2013-05-16,33.61,33.80,33.29,33.69,1899500,33.69
2013-05-15,33.81,33.89,33.59,33.70,1740900,33.70
2013-05-14,33.83,34.05,33.63,33.83,2025400,33.83
2013-05-13,33.43,33.88,33.38,33.77,1689000,33.77
2013-05-10,33.91,33.91,32.48,33.59,5061000,33.59
2013-05-09,34.67,34.99,34.49,34.65,1576900,34.65
2013-05-08,34.30,34.67,34.27,34.62,1417900,34.62
2013-05-07,34.33,34.41,34.16,34.30,1566700,34.30
2013-05-06,34.12,34.32,34.00,34.30,2518700,34.30
2013-05-03,33.91,34.39,33.85,34.14,2242100,34.14
2013-05-02,33.39,33.78,33.28,33.60,2320900,33.60
2013-05-01,33.26,33.82,32.96,33.21,2661800,33.21
2013-04-30,33.75,33.77,33.25,33.44,3656100,33.44
2013-04-29,33.87,33.98,33.63,33.78,1696100,33.78
2013-04-26,34.40,34.44,33.56,33.76,1874300,33.76
2013-04-25,34.47,34.74,34.39,34.46,1593400,34.46
2013-04-24,34.39,34.48,34.20,34.26,1217700,34.26
2013-04-23,34.22,34.50,33.96,34.28,1861400,34.28
2013-04-22,34.59,34.64,33.79,34.01,1994600,34.01
2013-04-19,34.37,34.59,34.15,34.55,926800,34.55
2013-04-18,34.56,34.57,34.01,34.20,1075200,34.20
2013-04-17,34.76,34.83,34.42,34.52,1570400,34.52
2013-04-16,34.61,34.93,34.29,34.92,1063400,34.92
