Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,76.70,76.77,75.65,76.03,1334600,76.03
2013-07-11,75.71,76.47,75.27,76.14,1986200,76.14
2013-07-10,74.66,75.45,74.59,74.88,1525200,74.88
2013-07-09,74.08,74.99,73.84,74.65,1784200,74.65
2013-07-08,74.21,74.65,73.59,73.83,1808300,73.83
2013-07-05,72.96,73.95,72.70,73.94,1263800,73.94
2013-07-03,71.55,72.94,71.12,72.92,1086400,72.92
2013-07-02,72.61,72.82,71.90,72.12,1765900,72.12
2013-07-01,73.17,73.59,72.54,72.81,1753800,72.81
2013-06-28,72.41,73.13,72.29,72.49,1865400,72.49
2013-06-27,71.67,72.81,71.64,72.56,1850700,72.56
2013-06-26,71.29,71.70,70.70,71.37,1829600,71.37
2013-06-25,71.24,71.34,70.36,70.67,2426000,70.67
2013-06-24,70.63,71.90,70.29,70.84,4413700,70.84
2013-06-21,69.94,71.40,69.79,71.04,3838900,71.04
2013-06-20,68.46,70.03,68.02,69.24,3013800,69.24
2013-06-19,69.75,69.93,68.93,68.93,1561500,68.93
2013-06-18,68.21,69.78,68.05,69.66,1636000,69.66
2013-06-17,68.62,69.03,67.87,68.28,1777000,68.28
2013-06-14,68.94,69.50,68.14,68.16,1772700,68.16
2013-06-13,69.29,69.53,68.07,69.43,2100900,69.43
2013-06-12,70.14,70.38,69.42,69.44,1337900,69.44
2013-06-11,69.10,70.45,68.40,69.95,2952700,69.95
2013-06-10,68.54,69.19,68.53,69.00,1134200,69.00
2013-06-07,67.50,68.89,67.41,68.45,1404900,68.45
2013-06-06,65.97,66.97,65.54,66.96,1050900,66.96
2013-06-05,67.30,67.65,65.77,65.97,1726500,65.97
2013-06-04,66.91,67.65,66.75,67.52,1731300,67.52
2013-06-03,68.02,68.08,66.31,66.94,2010700,66.94
2013-05-31,69.45,69.65,67.90,67.90,1279700,67.90
2013-05-30,68.91,69.87,68.60,69.75,924200,69.75
2013-05-29,68.64,69.03,68.20,68.85,1240600,68.85
2013-05-28,67.92,69.56,67.92,69.07,1974500,69.07
2013-05-24,67.53,67.70,66.83,67.23,2344600,67.23
2013-05-23,67.52,68.17,66.88,67.92,1822400,67.92
2013-05-22,67.88,69.20,67.49,67.96,3136600,67.96
2013-05-21,66.89,67.92,66.89,67.60,2138700,67.60
2013-05-20,67.78,67.85,66.81,66.92,1368200,66.92
2013-05-17,67.44,68.05,67.44,67.90,1543900,67.90
2013-05-16,67.93,68.24,67.29,67.36,1359200,67.36
2013-05-15,67.93,68.32,67.31,68.10,1546600,68.10
2013-05-14,68.36,68.36,67.60,67.88,2412600,67.88
2013-05-13,68.65,69.06,68.14,69.03,1300300,69.03
2013-05-10,68.14,68.82,67.78,68.82,1108000,68.82
2013-05-09,68.33,68.50,67.61,68.03,1373100,68.03
2013-05-08,66.93,68.38,66.93,68.38,1604500,68.38
2013-05-07,67.05,67.49,66.70,66.93,1760200,66.93
2013-05-06,67.14,67.88,67.00,67.09,1499200,67.09
2013-05-03,68.43,68.49,66.92,67.13,2479000,67.13
2013-05-02,66.36,68.87,66.32,68.07,2982700,68.07
2013-05-01,66.20,66.92,65.33,65.38,1844300,65.38
2013-04-30,66.00,66.49,65.18,66.17,1648900,66.17
2013-04-29,65.83,66.14,65.69,66.07,1323700,66.07
2013-04-26,65.86,66.24,65.44,65.81,1147400,65.81
2013-04-25,65.58,66.18,65.54,65.72,1069400,65.72
2013-04-24,65.78,66.48,65.10,65.22,1783800,65.22
2013-04-23,65.38,65.96,64.83,65.64,1961500,65.64
2013-04-22,65.24,65.35,64.33,65.04,1150400,65.04
2013-04-19,64.38,65.20,64.04,65.15,1582800,65.15
2013-04-18,64.34,64.34,63.03,64.01,2424800,64.01
2013-04-17,66.03,66.09,64.52,64.87,2711500,64.87
2013-04-16,65.71,66.46,65.24,66.40,1583900,66.40
2013-04-15,66.48,66.94,65.17,65.17,2317400,65.17
2013-04-12,65.70,66.75,65.68,66.72,2020200,66.72
2013-04-11,65.39,65.91,65.28,65.90,1379400,65.90
2013-04-10,65.11,65.53,64.73,65.27,1129300,65.27
2013-04-09,65.47,65.50,64.84,64.93,1968600,64.93
2013-04-08,64.20,65.24,63.63,65.24,2109500,65.24
2013-04-05,63.41,64.60,63.41,64.54,2152800,64.54
2013-04-04,63.71,64.57,63.58,64.08,2822400,64.08
2013-04-03,64.33,65.19,63.39,63.61,2409500,63.61
2013-04-02,64.91,66.67,64.26,64.75,4447400,64.75
2013-04-01,62.31,63.42,61.88,62.91,2555500,62.91
2013-03-28,62.52,62.80,62.21,62.37,1641800,62.37
2013-03-27,62.03,62.64,61.87,62.52,1339800,62.52
2013-03-26,61.83,62.47,61.80,62.24,1243400,62.24
2013-03-25,61.91,62.47,61.47,61.61,1817100,61.61
2013-03-22,61.90,62.11,61.31,61.75,1376900,61.75
2013-03-21,61.90,62.14,61.51,61.74,2211800,61.74
2013-03-20,62.74,63.19,61.90,62.15,2225500,62.15
2013-03-19,62.40,62.66,61.85,62.21,1558700,62.21
2013-03-18,62.14,62.54,61.80,62.11,1877100,62.11
2013-03-15,62.03,62.77,61.54,62.63,2465600,62.63
2013-03-14,62.12,62.29,61.59,62.26,1533300,62.26
2013-03-13,61.41,62.11,61.33,62.05,1792800,62.05
2013-03-12,60.34,61.65,60.31,61.55,2606300,61.55
2013-03-11,59.86,60.67,59.65,60.57,1790800,60.57
2013-03-08,59.23,59.74,58.93,59.66,1268400,59.66
2013-03-07,59.50,59.75,58.89,58.94,1809400,58.90
2013-03-06,59.38,59.50,59.00,59.50,2258900,59.46
2013-03-05,58.30,59.44,58.02,59.39,3014800,59.35
2013-03-04,57.95,58.52,57.80,58.17,1645500,58.13
2013-03-01,58.26,58.60,57.53,58.26,1880200,58.22
2013-02-28,58.92,59.03,58.18,58.46,1616400,58.42
2013-02-27,57.74,59.07,57.74,58.98,1329800,58.94
2013-02-26,57.81,58.07,57.11,57.88,2299800,57.84
2013-02-25,58.81,59.21,57.63,57.64,2079600,57.60
2013-02-22,59.28,59.63,58.62,58.71,1283300,58.67
2013-02-21,59.18,59.79,58.69,59.17,1926400,59.13
2013-02-20,60.57,60.58,59.22,59.27,1876800,59.23
2013-02-19,56.98,60.67,55.97,60.43,4416300,60.39
2013-02-15,61.45,61.98,60.97,61.08,1584200,61.04
2013-02-14,61.75,61.90,61.31,61.45,1915000,61.41
2013-02-13,62.12,62.14,61.47,61.89,1729700,61.85
2013-02-12,61.87,62.15,61.68,61.98,1910100,61.94
2013-02-11,61.91,61.94,61.18,61.83,1486600,61.79
2013-02-08,61.70,62.22,61.01,61.93,1638500,61.89
2013-02-07,59.90,61.38,59.60,61.35,4577400,61.31
2013-02-06,60.00,60.33,59.32,59.67,2354100,59.63
2013-02-05,60.33,60.89,60.01,60.38,2955300,60.34
2013-02-04,58.59,59.08,58.28,58.35,1494200,58.31
2013-02-01,58.64,58.96,58.33,58.88,1300100,58.84
2013-01-31,58.61,58.76,58.22,58.34,1918800,58.30
2013-01-30,58.61,59.00,58.38,58.80,1600700,58.76
2013-01-29,58.27,59.14,58.19,58.77,1220900,58.73
2013-01-28,58.73,59.14,58.10,58.46,1990100,58.42
2013-01-25,58.20,58.48,57.81,58.48,2618500,58.44
2013-01-24,57.41,58.24,57.35,58.15,1309400,58.11
2013-01-23,57.00,57.38,56.61,57.38,1396300,57.34
2013-01-22,56.26,57.27,56.07,57.14,2155700,57.10
2013-01-18,56.71,56.71,56.17,56.33,1540000,56.29
2013-01-17,55.77,56.65,55.66,56.56,1899400,56.52
2013-01-16,55.73,55.73,55.28,55.53,1991700,55.49
2013-01-15,55.37,55.99,55.21,55.87,1781200,55.83
2013-01-14,55.64,55.74,55.32,55.68,977700,55.64
2013-01-11,55.72,55.75,55.24,55.60,2167700,55.56
2013-01-10,54.82,55.75,54.72,55.62,1488300,55.58
2013-01-09,54.44,54.71,54.25,54.63,2473700,54.59
2013-01-08,54.71,55.09,54.04,54.42,1820000,54.38
2013-01-07,54.56,55.14,54.50,54.94,2159300,54.90
2013-01-04,54.46,54.76,53.92,54.75,2127900,54.71
2013-01-03,54.99,55.00,54.22,54.35,2949400,54.31
2013-01-02,54.10,55.24,53.91,55.16,3763100,55.12
2012-12-31,52.84,53.50,52.53,53.46,1717000,53.42
2012-12-28,53.30,53.59,52.83,52.85,997600,52.81
2012-12-27,53.54,53.78,53.07,53.66,1685800,53.62
2012-12-26,53.79,54.31,53.44,53.60,1123400,53.56
2012-12-24,53.55,53.98,53.34,53.79,515900,53.75
2012-12-21,53.78,53.92,53.39,53.79,2129200,53.75
2012-12-20,53.78,54.18,53.64,54.17,1456000,54.13
2012-12-19,54.43,54.52,53.66,53.67,1194600,53.63
2012-12-18,53.84,54.53,53.53,54.49,3414400,54.45
2012-12-17,53.24,53.92,53.05,53.76,1267200,53.72
2012-12-14,53.43,53.58,52.88,53.02,1766400,52.98
2012-12-13,54.01,54.28,53.45,53.70,1443500,53.66
2012-12-12,53.25,54.31,53.19,53.96,2736500,53.92
2012-12-11,52.93,53.25,52.62,53.11,1727300,53.07
2012-12-10,52.37,53.11,52.09,52.93,2045000,52.89
2012-12-07,52.69,53.03,52.54,52.90,1218100,52.86
2012-12-06,51.95,52.54,51.86,52.50,1672600,52.46
2012-12-05,51.83,52.19,51.34,51.92,2407800,51.88
2012-12-04,52.19,52.51,51.65,51.66,2124100,51.62
2012-12-03,52.42,52.58,51.93,52.09,1359900,52.05
2012-11-30,52.19,52.46,51.76,52.27,3187500,52.23
2012-11-29,52.24,52.89,51.72,52.08,2076500,52.04
2012-11-28,52.07,52.16,51.70,51.97,1843700,51.93
2012-11-27,52.19,52.71,52.17,52.42,1808200,52.38
2012-11-26,52.35,52.81,51.70,52.24,1027700,52.20
2012-11-23,52.06,52.78,52.06,52.76,450800,52.72
2012-11-21,51.83,52.29,51.63,52.01,1188600,51.97
2012-11-20,51.73,51.89,51.24,51.85,1887200,51.81
2012-11-19,50.83,51.92,50.71,51.90,3004300,51.86
2012-11-16,50.85,50.85,49.34,50.47,6316200,50.44
2012-11-15,49.72,50.94,49.46,50.87,4742500,50.84
2012-11-14,51.13,51.26,49.44,49.63,2691600,49.60
2012-11-13,50.69,51.77,50.69,51.05,2083400,51.02
2012-11-12,51.83,51.96,50.94,51.08,3039900,51.05
2012-11-09,52.74,52.94,51.62,51.65,3046700,51.61
2012-11-08,52.99,53.42,51.97,52.24,2447800,52.20
2012-11-07,52.62,53.23,51.97,52.96,4168700,52.92
2012-11-06,52.94,53.49,52.05,53.31,2513700,53.27
2012-11-05,53.10,53.55,52.64,53.30,2345000,53.26
2012-11-02,53.71,53.75,52.91,53.09,2929000,53.05
2012-11-01,51.55,53.31,51.55,53.27,4255400,53.23
2012-10-31,49.70,51.00,49.56,51.00,3834200,50.97
2012-10-26,50.35,50.40,49.37,49.70,1805000,49.67
2012-10-25,50.41,50.67,49.99,50.37,2098000,50.34
2012-10-24,50.07,50.29,49.97,50.14,1594600,50.11
2012-10-23,49.79,50.00,49.00,49.84,1626100,49.81
2012-10-22,49.34,50.38,49.28,50.33,2165700,50.30
2012-10-19,50.05,50.05,49.35,49.66,1418300,49.63
2012-10-18,49.57,50.43,49.40,50.14,2302000,50.11
2012-10-17,50.38,50.60,49.51,49.69,2481500,49.66
2012-10-16,49.28,50.41,49.25,50.34,3395600,50.31
2012-10-15,49.75,50.07,49.56,49.98,1842700,49.95
2012-10-12,50.18,50.49,49.65,49.71,2242400,49.68
2012-10-11,49.05,50.42,49.02,50.14,2620500,50.11
2012-10-10,49.07,49.20,48.68,48.77,2478000,48.74
2012-10-09,48.87,49.25,48.80,49.18,1835900,49.15
2012-10-08,48.88,49.28,48.83,48.95,1414600,48.92
2012-10-05,49.33,49.40,48.72,48.85,2333800,48.82
2012-10-04,49.17,49.78,49.01,49.18,2779300,49.15
2012-10-03,48.75,49.00,48.63,48.86,1693000,48.83
2012-10-02,48.12,48.95,48.11,48.63,3658300,48.60
2012-10-01,47.35,48.46,47.29,48.09,2683900,48.06
2012-09-28,46.86,47.38,46.67,47.17,2210400,47.14
