Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,48.67,49.22,48.62,49.18,646500,49.18
2013-07-11,49.08,49.13,48.70,48.83,741700,48.83
2013-07-10,48.12,48.55,47.93,48.51,1270600,48.51
2013-07-09,47.84,48.17,47.47,48.10,631000,48.10
2013-07-08,46.90,47.47,46.46,47.40,877400,47.40
2013-07-05,46.66,46.74,46.28,46.64,730100,46.64
2013-07-03,45.47,46.40,45.47,46.32,218700,46.32
2013-07-02,46.50,46.76,46.22,46.33,640000,46.33
2013-07-01,46.24,46.61,46.04,46.54,850700,46.54
2013-06-28,46.11,46.34,45.78,45.92,1704100,45.92
2013-06-27,45.74,46.38,45.74,46.26,339200,46.26
2013-06-26,45.36,45.93,45.33,45.64,590700,45.64
2013-06-25,45.22,45.31,44.79,45.05,798600,45.05
2013-06-24,45.14,45.16,44.53,44.77,895700,44.77
2013-06-21,45.65,45.76,45.09,45.40,955200,45.40
2013-06-20,45.78,46.17,45.22,45.29,864000,45.29
2013-06-19,46.94,47.08,46.26,46.27,655300,46.27
2013-06-18,46.79,47.14,46.64,47.10,575200,47.10
2013-06-17,46.18,46.92,46.03,46.83,778300,46.83
2013-06-14,46.48,46.68,46.15,46.18,760000,45.77
2013-06-13,45.54,46.44,45.38,46.44,480900,46.03
2013-06-12,45.85,46.32,45.63,45.64,725800,45.24
2013-06-11,46.10,46.26,45.43,45.51,1091500,45.11
2013-06-10,46.58,46.58,46.17,46.49,677400,46.08
2013-06-07,46.37,46.61,45.99,46.46,777400,46.05
2013-06-06,45.60,45.96,45.17,45.95,816300,45.55
2013-06-05,46.11,46.23,45.56,45.59,982500,45.19
2013-06-04,47.26,47.26,46.14,46.19,1388100,45.78
2013-06-03,47.47,47.47,46.68,47.14,1002200,46.72
2013-05-31,47.80,48.12,47.34,47.34,710400,46.92
2013-05-30,47.66,48.14,47.54,48.01,503500,47.59
2013-05-29,47.87,47.90,47.34,47.54,745900,47.12
2013-05-28,48.11,48.68,47.96,48.09,610200,47.67
2013-05-24,47.48,47.94,47.13,47.93,597500,47.51
2013-05-23,47.66,47.80,47.18,47.75,719700,47.33
2013-05-22,48.48,49.00,47.68,47.90,1393900,47.48
2013-05-21,49.31,49.47,48.29,48.40,1349900,47.97
2013-05-20,49.64,49.72,49.12,49.20,547200,48.77
2013-05-17,49.41,49.84,49.41,49.66,687800,49.22
2013-05-16,50.38,50.49,49.31,49.34,1363800,48.91
2013-05-15,49.98,50.41,49.98,50.35,632100,49.91
2013-05-14,49.61,50.60,49.50,50.22,1147200,49.78
2013-05-13,49.13,49.60,48.90,49.50,374300,49.06
2013-05-10,49.14,49.31,48.97,49.31,373500,48.88
2013-05-09,49.40,49.53,48.94,49.11,383700,48.68
2013-05-08,49.22,49.47,49.17,49.47,539100,49.03
2013-05-07,49.38,49.47,49.22,49.31,570300,48.88
2013-05-06,49.39,49.72,49.13,49.40,524500,48.96
2013-05-03,49.21,49.38,49.06,49.26,650200,48.83
2013-05-02,48.47,48.74,48.31,48.72,381400,48.29
2013-05-01,48.66,49.04,48.30,48.35,464500,47.92
2013-04-30,48.13,48.96,48.09,48.91,708100,48.48
2013-04-29,48.15,48.40,47.96,48.29,553300,47.86
2013-04-26,49.02,49.14,47.88,48.10,698800,47.68
