Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,58.98,59.23,58.67,59.14,2651200,59.14
2013-07-11,59.24,59.36,58.63,58.95,4292100,58.95
2013-07-10,58.99,59.27,58.49,58.62,2434900,58.62
2013-07-09,59.03,59.24,58.82,58.98,2916100,58.98
2013-07-08,57.98,58.64,57.98,58.58,2492100,58.58
2013-07-05,58.00,58.22,57.11,57.86,2501300,57.86
2013-07-03,57.54,57.94,57.19,57.82,2443200,57.82
2013-07-02,57.94,58.20,57.50,57.72,3355700,57.72
2013-07-01,57.60,58.66,57.58,57.95,3727600,57.95
2013-06-28,57.10,57.67,56.80,57.29,5508900,57.29
2013-06-27,57.51,57.83,57.14,57.39,2983100,57.39
2013-06-26,56.78,57.20,56.42,57.00,4130400,57.00
2013-06-25,56.49,56.66,55.86,56.22,4152100,56.22
2013-06-24,56.28,56.74,55.47,56.15,4418700,56.15
2013-06-21,56.39,57.09,56.01,56.81,6013600,56.81
2013-06-20,57.60,57.72,55.69,55.87,7546900,55.87
2013-06-19,59.67,59.80,57.98,58.00,4256400,58.00
2013-06-18,59.70,59.92,59.48,59.70,3156100,59.70
2013-06-17,59.10,59.92,59.03,59.64,3724200,59.64
2013-06-14,58.51,59.01,58.21,58.82,3099100,58.82
2013-06-13,58.12,58.65,57.19,58.46,2516500,58.46
2013-06-12,58.99,59.50,58.15,58.16,2344900,58.16
2013-06-11,58.45,59.24,58.06,58.62,2338900,58.62
2013-06-10,59.28,59.35,58.65,58.82,2710200,58.82
2013-06-07,58.51,59.14,58.42,59.10,2980200,59.10
2013-06-06,57.80,58.22,57.07,58.04,3861600,58.04
2013-06-05,58.73,58.77,57.90,57.90,2584900,57.90
2013-06-04,58.80,59.22,58.24,58.87,3066800,58.87
2013-06-03,57.91,58.67,57.52,58.60,4101400,58.60
2013-05-31,59.42,59.47,57.83,57.84,4731300,57.84
2013-05-30,59.75,60.10,59.33,59.63,2961000,59.63
2013-05-29,61.09,61.18,59.40,59.58,4483400,59.58
2013-05-28,61.86,62.25,61.39,61.63,2717100,61.63
2013-05-24,60.87,61.31,60.48,61.17,1756700,61.17
2013-05-23,61.07,61.33,60.87,60.97,3159600,60.97
2013-05-22,61.50,62.13,61.22,61.41,3059500,61.41
2013-05-21,61.60,62.08,61.19,61.58,2895900,61.58
2013-05-20,62.04,62.05,61.42,61.55,2321300,61.55
2013-05-17,62.14,62.40,61.78,62.04,4148300,62.04
2013-05-16,62.31,62.70,61.33,62.38,3077800,62.38
2013-05-15,122.84,124.74,122.66,124.55,7490600,62.28
2013-05-14,121.00,123.35,121.00,123.35,3101000,61.67
2013-05-13,120.80,121.20,120.32,120.91,1837600,60.46
2013-05-10,120.50,120.98,120.11,120.72,2484000,60.36
2013-05-09,120.34,120.71,119.79,120.19,3025200,60.10
2013-05-08,120.15,120.70,119.84,120.52,2090800,60.26
2013-05-07,120.37,120.50,119.83,120.33,2657800,60.17
2013-05-06,121.15,121.27,120.01,120.20,1797200,60.10
2013-05-03,121.27,121.56,120.10,121.15,2120800,60.58
2013-05-02,119.16,121.10,118.76,120.73,2341200,60.37
2013-05-01,119.44,120.46,118.88,119.14,2393600,59.57
2013-04-30,119.06,119.78,118.32,119.41,3388000,59.71
2013-04-29,119.25,119.93,119.06,119.37,2610600,59.69
2013-04-26,119.88,120.93,118.52,118.99,3885600,59.49
2013-04-25,120.60,122.40,119.32,119.42,5879800,59.71
2013-04-24,121.05,121.05,117.69,117.90,4436200,58.95
2013-04-23,120.56,121.44,119.66,121.43,3784800,60.72
2013-04-22,119.64,121.09,119.33,120.41,3267200,60.21
2013-04-19,118.66,119.89,118.58,119.72,2951600,59.86
2013-04-18,118.05,119.18,118.00,118.57,2743400,58.95
2013-04-17,119.01,119.17,117.26,117.85,3133000,58.59
2013-04-16,117.46,119.48,117.07,119.33,3551800,59.32
2013-04-15,118.00,118.64,116.87,116.87,3040400,58.10
2013-04-12,118.58,119.24,118.00,118.37,2151000,58.85
2013-04-11,118.29,119.19,118.21,118.84,2118400,59.08
2013-04-10,117.46,118.53,117.30,118.27,2460600,58.80
2013-04-09,118.00,118.08,116.63,117.25,2649400,58.29
2013-04-08,117.10,117.72,116.15,117.72,1488200,58.52
2013-04-05,116.40,116.91,116.02,116.72,1962000,58.03
2013-04-04,117.54,117.73,116.74,117.08,2603000,58.20
2013-04-03,119.00,119.12,117.04,117.31,3354000,58.32
2013-04-02,118.05,118.97,117.97,118.90,2619800,59.11
2013-04-01,117.87,118.14,117.28,117.71,1855600,58.52
2013-03-28,117.11,118.45,116.28,118.03,3380000,58.68
2013-03-27,116.50,116.96,116.07,116.72,2134800,58.03
2013-03-26,114.80,117.36,114.80,117.32,3123400,58.32
2013-03-25,114.77,115.09,114.10,114.40,3294600,56.87
2013-03-22,113.75,115.00,113.35,114.41,4500400,56.88
2013-03-21,114.11,114.58,113.70,113.71,2341800,56.53
2013-03-20,112.86,114.80,112.86,114.60,3447800,56.97
2013-03-19,112.11,112.68,111.97,112.54,4108000,55.95
2013-03-18,111.64,112.45,111.32,112.26,3896800,55.81
2013-03-15,112.94,113.11,112.08,112.08,8422800,55.72
2013-03-14,114.95,114.98,113.71,113.84,4585400,56.59
2013-03-13,115.06,115.16,114.62,114.90,2309000,57.12
