Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,17.28,17.66,16.80,16.86,7874000,16.86
2013-07-11,17.08,17.60,16.86,17.47,8280900,17.47
2013-07-10,17.19,17.45,16.26,16.68,12104300,16.68
2013-07-09,16.31,16.87,16.15,16.39,6766700,16.39
2013-07-08,15.71,16.30,15.62,15.96,6491100,15.96
2013-07-05,16.26,16.27,15.41,15.68,8102500,15.68
2013-07-03,16.49,16.53,15.84,16.08,5741900,16.08
2013-07-02,16.38,16.88,16.17,16.60,6533400,16.60
2013-07-01,16.46,16.83,16.09,16.42,6076100,16.42
2013-06-28,16.22,16.57,16.05,16.25,5863100,16.25
2013-06-27,15.89,16.38,15.74,16.25,7412000,16.25
2013-06-26,16.34,16.37,15.50,15.70,9317600,15.70
2013-06-25,16.16,16.30,15.85,16.20,7068800,16.20
2013-06-24,16.80,16.83,15.50,15.88,14909000,15.88
2013-06-21,17.72,17.90,16.88,17.19,12336100,17.19
2013-06-20,17.73,18.05,17.40,17.55,12393600,17.55
2013-06-19,18.09,19.00,18.06,18.45,13311500,18.45
2013-06-18,17.67,18.74,17.53,18.59,12974900,18.59
2013-06-17,17.94,18.16,17.43,17.69,9073900,17.69
2013-06-14,19.10,19.50,17.44,17.74,18083800,17.74
2013-06-13,17.52,18.79,17.50,18.70,12252500,18.70
2013-06-12,17.64,18.15,17.20,17.37,8689600,17.37
2013-06-11,17.50,17.80,17.30,17.50,6695200,17.50
2013-06-10,17.83,18.17,17.54,17.83,7492600,17.83
2013-06-07,18.47,18.50,17.91,17.94,9771700,17.94
2013-06-06,18.16,18.67,18.13,18.55,6932700,18.55
2013-06-05,18.88,19.16,18.21,18.23,9329100,18.23
2013-06-04,18.39,19.31,18.38,19.19,14892400,19.19
2013-06-03,18.14,18.65,17.88,18.09,10492400,18.09
2013-05-31,18.60,18.84,18.04,18.04,16491800,18.04
2013-05-30,18.90,19.20,18.55,18.73,10249000,18.73
2013-05-29,19.70,19.77,18.50,18.92,16918100,18.92
2013-05-28,20.60,20.65,20.08,20.08,9076800,20.08
2013-05-24,20.41,21.16,20.34,20.37,6850800,20.37
2013-05-23,20.49,20.99,20.26,20.62,10954300,20.62
2013-05-22,21.34,21.96,20.73,21.40,15553200,21.40
2013-05-21,21.36,21.76,21.15,21.25,7488800,21.25
