Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,85.28,85.90,85.05,85.84,2346400,85.84
2013-07-11,85.53,85.83,85.00,85.34,811000,85.34
2013-07-10,84.89,85.16,84.03,84.70,651600,84.70
2013-07-09,84.71,85.45,84.61,85.13,672400,85.13
2013-07-08,84.23,84.66,83.59,84.31,840800,84.31
2013-07-05,83.77,83.85,82.55,83.82,467700,83.82
2013-07-03,83.10,83.56,82.53,83.23,460500,83.23
2013-07-02,83.68,84.05,83.07,83.25,765400,83.25
2013-07-01,83.53,84.17,83.15,83.80,743000,83.80
2013-06-28,83.75,84.00,83.14,83.14,1740200,83.14
2013-06-27,83.92,84.50,83.30,83.91,716900,83.91
2013-06-26,82.78,83.63,82.78,83.26,697300,83.26
2013-06-25,82.42,82.58,81.53,82.28,709200,82.28
2013-06-24,81.83,82.75,81.30,81.91,976500,81.91
2013-06-21,82.30,82.95,81.77,82.58,1119800,82.58
2013-06-20,83.54,83.95,81.12,81.69,1296500,81.69
2013-06-19,85.79,85.90,84.05,84.11,890100,84.11
2013-06-18,86.11,86.15,85.64,85.85,692200,85.85
2013-06-17,85.77,86.61,85.60,86.14,663600,86.14
2013-06-14,85.17,85.64,84.95,85.39,461700,85.39
2013-06-13,84.30,85.53,84.16,85.35,622200,85.35
2013-06-12,84.89,85.24,84.37,84.38,469200,84.38
2013-06-11,84.04,85.35,83.73,84.47,433700,84.47
2013-06-10,84.59,84.72,83.97,84.57,561400,84.57
2013-06-07,84.35,84.85,83.86,84.47,505500,84.47
2013-06-06,83.10,83.91,82.60,83.89,734900,83.89
2013-06-05,84.01,84.12,83.07,83.10,914600,83.10
2013-06-04,83.18,84.51,83.10,84.22,1256600,84.22
2013-06-03,83.15,83.61,82.10,83.18,1360600,83.18
2013-05-31,84.56,84.68,83.08,83.08,1360900,83.08
2013-05-30,84.85,85.65,84.75,84.79,673400,84.79
2013-05-29,86.70,86.87,84.58,84.84,960400,84.84
2013-05-28,87.28,87.68,86.75,87.10,568300,87.10
2013-05-24,85.96,86.77,85.77,86.61,600000,86.61
2013-05-23,85.66,86.34,85.36,85.98,579000,85.98
2013-05-22,86.10,87.21,85.88,86.10,730700,86.10
2013-05-21,86.68,86.80,85.50,86.20,908300,86.20
2013-05-20,87.37,87.40,86.50,86.58,609200,86.58
2013-05-17,87.55,87.85,86.60,87.37,951600,87.37
2013-05-16,87.82,87.97,87.20,87.57,633400,87.57
2013-05-15,87.59,88.25,87.12,88.05,1197100,88.05
2013-05-14,86.48,88.23,86.48,88.11,998500,88.11
2013-05-13,86.05,86.77,85.64,86.22,712700,86.22
2013-05-10,86.21,86.40,85.61,86.15,742000,86.15
2013-05-09,85.94,86.04,85.42,85.73,937800,85.73
2013-05-08,86.00,86.06,85.41,85.96,770600,85.96
2013-05-07,85.50,86.35,85.38,85.96,950300,85.96
2013-05-06,86.19,86.47,85.15,85.33,788400,85.33
2013-05-03,86.37,86.79,85.34,86.19,1122800,86.19
2013-05-02,85.03,85.91,84.75,85.84,1023600,85.84
2013-05-01,85.10,87.51,84.70,85.00,1900700,85.00
2013-04-30,86.25,86.77,85.37,86.25,1556800,86.25
2013-04-29,87.24,87.59,86.19,86.26,1082600,86.26
2013-04-26,87.18,87.50,86.38,86.67,951600,86.67
2013-04-25,87.68,87.99,86.81,87.06,1189100,87.06
2013-04-24,89.03,89.24,87.28,87.42,1206200,87.42
2013-04-23,89.49,89.98,88.54,89.48,668900,89.48
2013-04-22,89.06,89.55,88.48,89.25,677500,89.25
2013-04-19,88.78,90.10,88.77,89.53,1707600,88.89
2013-04-18,88.86,89.11,88.54,88.84,681300,88.20
2013-04-17,89.32,89.32,87.84,88.51,626600,87.88
2013-04-16,88.16,89.66,87.82,89.53,753900,88.89
2013-04-15,88.41,88.81,87.61,87.61,815500,86.98
2013-04-12,88.45,89.14,88.10,88.76,682200,88.13
2013-04-11,87.69,88.93,87.51,88.69,933500,88.06
2013-04-10,86.94,87.89,86.83,87.73,547200,87.10
2013-04-09,87.30,87.44,86.11,86.90,687700,86.28
2013-04-08,86.73,87.37,86.20,87.36,629900,86.74
2013-04-05,86.81,86.99,86.22,86.61,1040200,85.99
2013-04-04,87.10,87.61,86.45,87.08,1042400,86.46
2013-04-03,89.29,89.29,86.83,87.00,1233900,86.38
2013-04-02,88.55,89.33,88.28,89.17,837500,88.53
2013-04-01,88.53,88.55,88.00,88.13,553700,87.50
2013-03-28,87.38,88.63,87.15,88.53,706400,87.90
2013-03-27,87.19,87.37,86.84,87.32,483300,86.70
2013-03-26,86.50,87.59,86.46,87.54,556600,86.91
2013-03-25,86.70,86.89,85.95,86.38,566300,85.76
2013-03-22,85.63,86.49,85.49,86.46,627700,85.84
2013-03-21,85.37,85.71,85.06,85.36,537900,84.75
2013-03-20,84.69,85.54,84.66,85.46,718600,84.85
2013-03-19,83.91,84.60,83.87,84.48,574600,83.88
