Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,41.04,41.81,40.87,41.69,2264700,41.69
2013-07-11,42.06,42.17,40.44,40.94,2821700,40.94
2013-07-10,42.46,42.55,41.19,41.63,3577500,41.63
2013-07-09,42.68,42.82,41.98,42.54,2544000,42.54
2013-07-08,42.71,43.00,42.09,42.45,2533100,42.45
2013-07-05,41.30,42.57,41.13,42.57,2419200,42.57
2013-07-03,40.93,41.12,40.49,40.93,1493400,40.93
2013-07-02,40.17,40.94,40.14,40.73,2338500,40.73
2013-07-01,40.04,40.60,39.98,40.23,1739700,40.23
2013-06-28,39.98,39.98,39.29,39.83,2393900,39.83
2013-06-27,40.05,40.20,39.71,40.03,2011100,40.03
2013-06-26,40.00,40.28,39.38,39.82,2367700,39.82
2013-06-25,38.86,39.84,38.50,39.67,3167500,39.67
2013-06-24,38.22,38.65,37.74,38.44,2475100,38.44
2013-06-21,37.68,38.84,37.51,38.64,4855300,38.64
2013-06-20,37.12,38.00,37.00,37.46,4263100,37.46
2013-06-19,37.69,37.89,37.33,37.42,2131900,37.42
2013-06-18,37.31,37.84,37.31,37.76,1776200,37.76
2013-06-17,37.67,37.77,37.34,37.59,1582900,37.59
2013-06-14,37.94,38.02,37.18,37.35,1455800,37.35
2013-06-13,37.61,38.03,37.45,37.93,1648900,37.93
2013-06-12,38.37,38.49,37.49,37.58,1462200,37.58
2013-06-11,38.47,38.83,38.12,38.12,1830600,37.95
2013-06-10,38.78,39.12,38.46,38.86,2009700,38.69
2013-06-07,38.52,38.97,38.29,38.86,2125800,38.69
2013-06-06,37.99,38.44,37.78,38.25,2049600,38.08
2013-06-05,38.56,38.76,37.93,37.97,1770000,37.80
2013-06-04,38.90,39.33,38.40,38.61,1604900,38.44
2013-06-03,39.56,39.78,38.36,38.86,2964100,38.69
2013-05-31,39.99,40.20,39.48,39.49,1851900,39.31
2013-05-30,39.70,40.43,39.59,40.15,2281400,39.97
2013-05-29,39.14,39.80,39.10,39.60,2202900,39.42
2013-05-28,39.50,39.87,39.44,39.53,2048100,39.35
2013-05-24,38.52,39.00,38.42,38.96,1455900,38.79
2013-05-23,38.03,38.87,38.02,38.71,2227800,38.54
2013-05-22,39.21,39.99,38.57,38.69,3537800,38.52
2013-05-21,39.43,39.99,39.43,39.65,2478500,39.47
2013-05-20,39.79,40.44,39.74,39.75,2629700,39.57
2013-05-17,39.80,40.02,39.68,39.88,1671100,39.70
2013-05-16,39.33,39.88,39.31,39.50,1753400,39.32
2013-05-15,39.06,39.55,38.88,39.48,1508300,39.30
2013-05-14,38.38,39.08,38.35,39.04,2134500,38.87
2013-05-13,37.90,38.71,37.86,38.31,1770600,38.14
2013-05-10,37.84,37.96,37.56,37.95,1059000,37.78
2013-05-09,37.98,38.12,37.67,37.75,963500,37.58
2013-05-08,37.41,38.02,37.26,38.00,1955100,37.83
2013-05-07,37.67,37.95,37.33,37.86,1498700,37.69
2013-05-06,36.72,37.47,36.62,37.47,2324300,37.30
2013-05-03,36.59,37.10,36.42,37.07,2916700,36.90
2013-05-02,35.87,36.33,35.81,36.25,1201800,36.09
2013-05-01,36.24,36.34,35.72,35.78,1550100,35.62
2013-04-30,36.22,36.29,35.96,36.25,1542700,36.09
2013-04-29,36.03,36.28,35.95,36.23,1464800,36.07
2013-04-26,36.15,36.31,35.67,35.91,1455100,35.75
2013-04-25,35.95,36.45,35.88,36.22,2535200,36.06
2013-04-24,35.14,35.93,35.04,35.87,1607700,35.71
2013-04-23,34.94,35.27,34.80,35.10,2351600,34.94
2013-04-22,34.90,34.90,34.32,34.70,1327600,34.55
2013-04-19,34.50,35.02,34.36,34.86,1665000,34.70
2013-04-18,34.44,34.57,33.90,34.30,2554800,34.15
2013-04-17,34.58,34.77,34.07,34.42,2322200,34.27
2013-04-16,34.06,34.85,33.93,34.78,2405400,34.62
2013-04-15,34.83,35.09,34.13,34.13,2245800,33.98
2013-04-12,35.20,35.45,34.90,35.05,1075600,34.89
2013-04-11,35.49,35.73,35.13,35.45,1590900,35.29
2013-04-10,35.01,35.49,35.00,35.46,1198800,35.30
2013-04-09,34.71,35.12,34.58,34.95,1525600,34.79
2013-04-08,34.54,34.65,34.08,34.65,1690600,34.50
2013-04-05,33.75,34.58,33.55,34.51,2718400,34.36
2013-04-04,34.28,34.51,33.93,34.24,4539800,34.09
2013-04-03,35.16,35.25,34.13,34.19,3277200,34.04
2013-04-02,35.55,35.59,35.05,35.15,1539000,34.99
2013-04-01,35.95,35.95,35.11,35.28,1651300,35.12
2013-03-28,35.71,35.98,35.47,35.95,1764100,35.79
2013-03-27,35.85,35.85,35.44,35.70,1405300,35.54
2013-03-26,36.18,36.29,35.99,36.09,1090100,35.93
2013-03-25,36.40,36.43,35.82,36.00,1175500,35.84
2013-03-22,36.11,36.27,35.93,36.25,2008900,36.09
2013-03-21,35.94,36.12,35.72,35.99,2683200,35.83
2013-03-20,36.24,36.35,36.07,36.11,1195600,35.95
2013-03-19,36.28,36.34,35.78,35.92,2010600,35.76
2013-03-18,36.03,36.46,35.98,36.17,2384700,36.01
2013-03-15,36.57,36.92,36.36,36.77,2900400,36.61
2013-03-14,36.66,36.82,36.55,36.78,1838400,36.62
2013-03-13,36.27,36.52,36.05,36.45,1037300,36.29
2013-03-12,36.66,36.74,36.23,36.32,1697900,35.99
2013-03-11,36.28,36.99,36.26,36.70,2624800,36.37
2013-03-08,35.63,36.35,35.60,36.29,2695900,35.96
2013-03-07,35.34,35.89,35.17,35.32,3125300,35.00
2013-03-06,35.09,35.42,34.96,35.29,2102700,34.97
2013-03-05,35.31,35.46,34.72,34.83,3173800,34.51
2013-03-04,34.34,35.19,34.31,35.16,2376000,34.84
2013-03-01,34.17,34.56,33.79,34.48,2101000,34.17
2013-02-28,33.83,34.68,33.83,34.38,2528300,34.07
2013-02-27,33.59,33.92,33.50,33.86,2152000,33.55
2013-02-26,33.68,33.77,33.29,33.56,1577600,33.25
2013-02-25,34.52,34.61,33.43,33.52,2132100,33.21
2013-02-22,33.88,34.35,33.84,34.30,1782800,33.99
2013-02-21,34.52,34.62,33.56,33.60,4882700,33.29
2013-02-20,35.37,35.43,34.68,34.71,3539400,34.39
2013-02-19,35.01,35.56,34.81,35.40,2730400,35.08
2013-02-15,34.91,35.20,34.73,34.83,2634500,34.51
2013-02-14,35.00,35.40,34.95,35.32,2133300,35.00
2013-02-13,35.19,35.40,34.94,35.10,1822000,34.78
2013-02-12,35.15,35.22,34.93,35.00,2152000,34.68
2013-02-11,34.72,35.25,34.71,35.06,2061500,34.74
2013-02-08,35.19,35.40,35.00,35.37,1480600,35.05
2013-02-07,35.19,35.28,34.86,35.09,1641800,34.77
2013-02-06,34.61,35.18,34.47,35.14,2213000,34.82
2013-02-05,34.48,34.95,34.48,34.83,2115500,34.51
2013-02-04,34.69,34.73,34.23,34.31,2099800,34.00
2013-02-01,34.55,35.21,34.50,35.06,3369600,34.74
2013-01-31,33.86,34.45,33.60,34.36,4051900,34.05
2013-01-30,33.77,34.35,33.77,34.30,3159500,33.99
2013-01-29,33.79,34.02,33.65,33.89,2425400,33.58
2013-01-28,33.65,33.96,33.55,33.86,1724300,33.55
2013-01-25,33.68,33.74,33.46,33.71,1327100,33.40
2013-01-24,33.51,33.82,33.43,33.56,1370400,33.25
2013-01-23,33.67,33.70,33.43,33.49,2396900,33.18
2013-01-22,33.55,33.83,33.53,33.79,2060700,33.48
2013-01-18,33.63,33.85,33.15,33.66,2724100,33.35
2013-01-17,33.17,33.91,33.17,33.51,5570800,33.20
2013-01-16,31.97,33.20,31.27,33.05,4462900,32.75
2013-01-15,31.47,31.93,31.47,31.87,2334000,31.58
2013-01-14,31.81,31.88,31.50,31.72,1805700,31.43
2013-01-11,32.03,32.04,31.46,31.83,1622900,31.54
2013-01-10,31.87,32.17,31.58,32.10,2740200,31.81
2013-01-09,31.69,32.06,31.48,31.60,2510100,31.31
2013-01-08,32.29,32.30,31.83,31.93,2046800,31.64
2013-01-07,32.38,32.56,32.01,32.34,2842200,32.05
2013-01-04,31.78,32.62,31.63,32.59,4584100,32.29
2013-01-03,31.38,31.83,31.03,31.72,3715200,31.43
2013-01-02,30.98,31.32,30.73,31.32,2220200,31.03
2012-12-31,30.01,30.34,29.95,30.34,1898300,30.06
2012-12-28,29.95,30.30,29.84,30.13,1603100,29.86
2012-12-27,30.25,30.34,29.73,30.17,1515000,29.89
2012-12-26,30.10,30.37,29.93,30.27,1371400,29.99
2012-12-24,30.03,30.20,29.80,30.01,623400,29.74
2012-12-21,29.70,30.33,29.70,30.18,2495400,29.90
2012-12-20,30.21,30.49,30.14,30.41,1226600,30.13
2012-12-19,30.49,30.54,30.14,30.16,1774500,29.88
2012-12-18,29.39,30.45,29.39,30.42,3114200,30.14
2012-12-17,28.78,29.38,28.71,29.36,1747900,29.09
2012-12-14,28.82,28.95,28.63,28.66,1234700,28.40
2012-12-13,28.99,29.13,28.80,28.87,2462900,28.61
2012-12-12,29.50,29.68,29.19,29.27,3158200,29.00
2012-12-11,29.32,29.49,29.27,29.42,1940600,29.00
2012-12-10,29.05,29.58,28.89,29.26,1498300,28.85
2012-12-07,29.01,29.15,28.96,29.13,1282600,28.72
2012-12-06,28.90,28.98,28.73,28.93,1723200,28.52
2012-12-05,28.91,29.19,28.81,28.91,2738600,28.50
2012-12-04,29.06,29.19,28.61,28.82,2584900,28.41
2012-12-03,29.73,29.80,29.07,29.12,2460800,28.71
2012-11-30,29.46,29.79,29.39,29.59,3532600,29.17
2012-11-29,29.84,29.95,29.31,29.42,2499800,29.00
2012-11-28,29.37,29.74,29.21,29.68,3690200,29.26
2012-11-27,29.67,30.15,29.51,29.59,5009900,29.17
2012-11-26,28.94,29.87,28.94,29.79,4253900,29.37
2012-11-23,28.85,29.19,28.77,29.19,429800,28.78
2012-11-21,28.83,28.91,28.57,28.67,1338400,28.26
2012-11-20,28.66,29.16,28.44,28.91,1813400,28.50
2012-11-19,28.46,28.72,28.43,28.66,2211500,28.25
2012-11-16,28.12,28.31,27.72,28.05,2480000,27.65
2012-11-15,27.86,28.19,27.73,28.02,2371800,27.62
2012-11-14,28.49,28.53,27.82,27.87,2446400,27.48
2012-11-13,28.37,28.81,28.32,28.38,2383400,27.98
2012-11-12,28.77,28.77,28.38,28.61,1401100,28.20
2012-11-09,28.39,28.77,28.35,28.44,2794100,28.04
2012-11-08,28.85,29.17,28.47,28.49,2509200,28.09
2012-11-07,29.81,29.89,28.69,28.81,3681900,28.40
2012-11-06,30.02,30.24,29.97,30.15,4671200,29.72
2012-11-05,30.11,30.26,29.89,29.99,2041600,29.56
2012-11-02,30.66,30.68,30.20,30.23,1644400,29.80
2012-11-01,29.82,30.52,29.59,30.52,2200300,30.09
2012-10-31,29.31,29.86,29.13,29.81,2219400,29.39
2012-10-26,29.55,29.65,29.21,29.22,2007500,28.81
2012-10-25,29.51,29.63,29.35,29.57,2036500,29.15
2012-10-24,29.44,29.62,29.06,29.16,2779700,28.75
2012-10-23,29.10,29.50,28.87,29.34,2806200,28.92
2012-10-22,29.34,29.78,29.21,29.57,2479800,29.15
2012-10-19,29.69,29.91,29.37,29.43,3590300,29.01
2012-10-18,30.03,30.09,29.60,29.65,4915500,29.23
2012-10-17,30.86,30.86,30.01,30.30,5529800,29.87
2012-10-16,31.02,31.15,30.78,31.04,2926200,30.60
2012-10-15,30.96,31.16,30.79,30.88,1825200,30.44
2012-10-12,31.22,31.23,30.51,30.89,2116400,30.45
2012-10-11,31.63,31.80,31.48,31.57,1553900,31.12
2012-10-10,31.39,31.55,31.11,31.25,1699900,30.81
2012-10-09,31.60,31.76,31.28,31.44,1557200,30.99
2012-10-08,31.65,31.73,31.51,31.58,1166200,31.13
2012-10-05,31.89,32.14,31.62,31.80,2132700,31.35
2012-10-04,31.47,31.74,31.27,31.69,1890300,31.24
2012-10-03,30.94,31.39,30.78,31.23,2080700,30.79
2012-10-02,31.14,31.24,30.55,30.83,2199800,30.39
2012-10-01,31.13,31.54,30.97,31.04,1878700,30.60
2012-09-28,30.88,31.21,30.76,31.05,1599200,30.61
2012-09-27,31.00,31.25,30.61,31.10,1766800,30.66
2012-09-26,30.70,30.90,30.58,30.73,2121800,30.29
2012-09-25,31.58,31.71,30.76,30.77,2241400,30.33
2012-09-24,31.25,31.69,31.06,31.55,2129600,31.10
2012-09-21,32.20,32.20,31.25,31.27,2143700,30.83
2012-09-20,31.74,31.74,31.29,31.68,1801700,31.23
2012-09-19,32.08,32.40,31.91,31.97,1468600,31.52
2012-09-18,32.38,32.38,32.03,32.09,1275400,31.64
2012-09-17,32.99,32.99,32.27,32.41,3338600,31.95
2012-09-14,32.73,33.38,32.55,33.03,3277400,32.56
2012-09-13,32.15,33.19,32.09,33.10,3113400,32.63
2012-09-12,31.78,32.37,31.66,32.17,1858600,31.71
2012-09-11,31.71,31.93,31.53,31.71,1921000,31.11
2012-09-10,32.18,32.27,31.64,31.70,2333900,31.10
2012-09-07,31.86,32.49,31.76,32.23,2298500,31.62
2012-09-06,30.68,31.72,30.68,31.68,2920600,31.08
2012-09-05,30.66,30.71,30.46,30.51,2349600,29.94
2012-09-04,30.68,30.92,30.48,30.72,2976700,30.14
2012-08-31,31.24,31.26,30.64,30.71,2917100,30.13
2012-08-30,31.01,31.15,30.74,31.00,1364000,30.42
2012-08-29,31.09,31.35,31.03,31.25,1370900,30.66
2012-08-28,30.58,31.16,30.58,31.03,1660400,30.45
2012-08-27,30.92,30.95,30.62,30.69,1119600,30.11
2012-08-24,30.40,30.83,30.40,30.75,1857000,30.17
2012-08-23,30.90,30.96,30.48,30.54,1257800,29.96
2012-08-22,30.97,31.19,30.86,30.93,1627200,30.35
2012-08-21,31.19,31.53,30.88,30.98,2163900,30.40
2012-08-20,31.39,31.53,31.09,31.16,1350900,30.57
2012-08-17,30.98,31.59,30.91,31.50,1899800,30.91
2012-08-16,31.02,31.22,30.83,30.88,1830700,30.30
2012-08-15,30.69,31.12,30.62,31.03,1025200,30.45
2012-08-14,30.89,31.03,30.60,30.67,993000,30.09
2012-08-13,30.67,30.89,30.40,30.80,947100,30.22
2012-08-10,30.51,30.88,30.33,30.81,1156800,30.23
2012-08-09,30.50,30.67,30.33,30.64,1226600,30.06
2012-08-08,30.38,30.65,30.16,30.59,1182200,30.01
2012-08-07,30.43,30.77,30.39,30.48,1633700,29.91
2012-08-06,30.87,31.03,30.35,30.38,1354700,29.81
2012-08-03,30.28,30.89,30.11,30.66,2115000,30.08
2012-08-02,29.89,30.13,29.32,29.78,1988400,29.22
2012-08-01,30.35,30.57,29.99,30.18,1458600,29.61
2012-07-31,30.42,30.52,30.12,30.21,1746700,29.64
2012-07-30,30.75,30.79,30.38,30.47,929600,29.90
2012-07-27,30.70,31.02,30.32,30.82,1879200,30.24
2012-07-26,30.34,30.53,30.10,30.49,2059600,29.92
2012-07-25,30.07,30.16,29.75,29.84,1803200,29.28
2012-07-24,30.10,30.28,29.51,29.85,2669000,29.29
2012-07-23,30.05,30.40,29.85,30.11,2289000,29.54
2012-07-20,30.89,31.03,30.60,30.66,2987000,30.08
2012-07-19,31.65,31.70,30.88,31.20,2716700,30.61
2012-07-18,31.89,31.95,31.35,31.62,2378400,31.02
2012-07-17,31.86,32.11,30.67,31.99,6242100,31.39
2012-07-16,30.66,30.97,30.44,30.81,2000500,30.23
2012-07-13,29.95,30.84,29.95,30.69,1727600,30.11
2012-07-12,29.97,30.21,29.89,29.90,1929500,29.34
2012-07-11,29.87,30.45,29.87,30.32,1393500,29.75
2012-07-10,30.50,30.71,29.81,30.00,1535400,29.43
2012-07-09,30.48,30.66,30.12,30.37,949200,29.80
