Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,77.04,77.45,76.05,77.34,3042700,77.34
2013-07-11,77.48,77.48,76.12,76.75,2828100,76.75
2013-07-10,76.29,76.75,75.93,76.45,1103400,76.45
2013-07-09,77.70,77.92,76.49,76.70,2002100,76.70
2013-07-08,78.12,78.12,77.12,77.29,1199200,77.29
2013-07-05,76.25,77.63,76.14,77.61,1592200,77.61
2013-07-03,74.73,76.18,74.60,75.71,1288900,75.71
2013-07-02,75.43,76.35,74.95,75.20,2108500,75.20
2013-07-01,76.01,77.15,75.86,76.51,1727400,76.51
2013-06-28,76.66,76.77,75.91,75.95,3248100,75.95
2013-06-27,76.60,77.05,76.18,76.52,1955500,76.52
2013-06-26,76.55,77.37,75.25,76.31,3090700,76.31
2013-06-25,77.50,77.88,75.90,76.38,2461000,76.38
2013-06-24,77.15,77.15,75.76,76.06,3469900,76.06
2013-06-21,77.69,77.76,75.15,76.79,4624400,76.79
2013-06-20,75.20,79.45,75.14,77.09,4894100,77.09
2013-06-19,77.25,77.28,75.54,75.96,3626400,75.96
2013-06-18,76.50,77.71,76.05,77.28,2798400,77.28
2013-06-17,74.77,76.68,74.46,76.39,3260200,76.39
2013-06-14,74.38,74.77,73.97,74.29,2456800,74.29
2013-06-13,72.37,74.31,72.05,74.14,2050900,74.14
2013-06-12,72.65,72.97,72.07,72.28,1617200,72.28
2013-06-11,72.50,72.89,71.52,72.39,2177300,72.39
2013-06-10,72.39,73.97,72.07,73.01,3508800,73.01
2013-06-07,69.36,72.13,69.36,72.00,2655200,72.00
2013-06-06,68.64,69.37,68.15,68.92,1889700,68.92
2013-06-05,69.08,69.41,68.35,69.27,2788600,68.82
2013-06-04,69.81,69.86,68.39,69.17,3554600,68.72
2013-06-03,67.97,68.78,66.58,68.77,2349500,68.32
2013-05-31,70.38,70.40,67.50,67.93,2604200,67.49
2013-05-30,67.47,70.06,67.47,69.78,4974900,69.33
2013-05-29,65.00,67.98,64.74,67.62,3247900,67.18
2013-05-28,65.19,66.09,65.02,65.49,1745800,65.06
2013-05-24,63.99,64.62,63.10,64.54,1497400,64.12
2013-05-23,62.77,64.37,62.44,64.13,2638300,63.71
2013-05-22,64.19,64.58,62.81,63.07,2451100,62.66
2013-05-21,64.95,65.20,64.25,64.32,1758200,63.90
2013-05-20,64.78,65.74,64.75,65.26,1354200,64.84
2013-05-17,64.22,65.33,64.11,65.17,1685400,64.75
2013-05-16,63.73,64.67,63.59,64.23,1578100,63.81
2013-05-15,63.67,64.44,63.08,64.04,1637400,63.62
2013-05-14,62.78,63.74,62.18,63.71,1763200,63.30
2013-05-13,62.52,63.33,62.28,62.87,1218300,62.46
2013-05-10,60.77,62.66,60.46,62.52,1875400,62.11
2013-05-09,60.53,61.20,60.50,60.76,855700,60.37
2013-05-08,60.14,60.95,59.68,60.70,1492900,60.31
2013-05-07,61.04,61.24,60.42,60.48,1180300,60.09
2013-05-06,60.60,61.21,60.56,60.96,1144300,60.56
2013-05-03,60.67,61.26,60.32,60.64,1808700,60.25
2013-05-02,60.07,60.45,58.62,60.40,1947500,60.01
2013-05-01,60.84,60.98,60.08,60.13,1508600,59.74
2013-04-30,60.80,61.10,60.56,60.86,1064800,60.46
2013-04-29,61.01,61.25,60.67,60.84,1174700,60.44
2013-04-26,60.94,61.25,60.76,60.77,891600,60.38
2013-04-25,60.30,61.22,60.26,61.03,1327800,60.63
2013-04-24,60.02,60.51,59.79,60.17,737200,59.78
2013-04-23,60.51,60.58,59.54,59.86,2036300,59.47
2013-04-22,59.09,60.55,58.93,60.28,1859400,59.89
2013-04-19,58.93,59.15,58.51,59.01,1693100,58.63
2013-04-18,58.95,59.35,58.36,58.53,1123600,58.15
2013-04-17,59.00,59.29,58.64,58.73,1270900,58.35
2013-04-16,59.23,59.65,58.93,59.45,1529600,59.06
2013-04-15,60.32,60.75,58.81,58.84,1638100,58.46
2013-04-12,60.68,60.99,60.28,60.48,955600,60.09
2013-04-11,60.29,60.99,60.11,60.79,1664800,60.40
2013-04-10,59.91,60.33,59.91,60.22,1181100,59.83
2013-04-09,60.27,60.41,59.76,59.96,1129600,59.57
2013-04-08,59.29,60.25,59.15,60.25,1056000,59.86
2013-04-05,59.37,60.62,58.51,59.44,2146100,59.05
2013-04-04,60.26,60.40,59.85,60.01,1145000,59.62
2013-04-03,60.42,60.56,59.97,60.04,1745700,59.65
2013-04-02,60.00,61.10,59.91,60.60,2278900,60.21
2013-04-01,61.99,61.99,60.66,60.93,1018400,60.53
2013-03-28,61.46,61.58,60.78,61.41,1301900,61.01
2013-03-27,61.03,61.39,60.67,61.36,1321300,60.96
2013-03-26,61.37,61.72,61.17,61.56,1128100,61.16
2013-03-25,61.92,61.99,61.00,61.29,1230400,60.89
2013-03-22,61.15,61.63,60.59,61.62,1434300,61.22
2013-03-21,61.84,62.10,60.90,60.93,1923600,60.53
2013-03-20,61.60,62.20,61.06,62.03,2458600,61.63
2013-03-19,62.66,62.66,61.04,61.14,2815700,60.74
2013-03-18,62.64,62.93,62.41,62.58,1420900,62.17
2013-03-15,63.63,63.63,62.80,63.14,3074400,62.73
2013-03-14,62.53,63.33,62.50,63.08,2156400,62.67
2013-03-13,62.61,62.84,62.49,62.52,1315600,62.11
2013-03-12,62.69,62.92,62.12,62.50,1934500,62.09
2013-03-11,62.17,62.76,62.17,62.59,1956300,62.18
2013-03-08,62.12,62.81,61.79,62.34,1527400,61.94
2013-03-07,62.32,62.37,61.26,61.73,1392000,61.33
2013-03-06,61.32,62.33,61.29,62.01,2167600,61.61
2013-03-05,61.07,61.85,60.91,61.63,2488200,60.78
2013-03-04,59.98,61.03,59.62,60.88,3092200,60.04
2013-03-01,59.82,59.99,59.11,59.92,2452900,59.10
2013-02-28,59.92,60.10,59.30,59.67,3366200,58.85
2013-02-27,58.76,60.06,58.55,60.02,2786100,59.19
2013-02-26,57.72,58.99,57.55,58.98,2874400,58.17
2013-02-25,58.56,59.25,57.49,57.78,2423700,56.99
2013-02-22,57.72,58.46,57.52,58.31,1290700,57.51
2013-02-21,57.96,58.12,57.51,57.62,1310200,56.83
2013-02-20,59.10,59.12,57.86,58.02,2175400,57.22
2013-02-19,58.72,59.19,58.58,58.95,1734200,58.14
2013-02-15,58.32,58.80,57.98,58.52,2145400,57.72
2013-02-14,57.21,58.46,57.06,58.44,1966300,57.64
2013-02-13,57.11,57.27,56.60,57.26,2192600,56.47
2013-02-12,56.83,57.37,56.69,57.20,1411900,56.41
2013-02-11,57.36,57.73,56.61,56.93,1936600,56.15
2013-02-08,57.07,57.36,56.63,57.27,1461900,56.48
2013-02-07,56.87,57.14,56.41,56.90,2214800,56.12
2013-02-06,56.94,57.81,56.39,56.73,5042100,55.95
2013-02-05,58.43,59.26,58.20,59.18,2287700,58.37
2013-02-04,58.88,58.91,58.14,58.28,2009100,57.48
2013-02-01,58.16,59.21,57.54,59.04,2829900,58.23
2013-01-31,58.06,58.26,57.61,57.84,2157800,57.04
2013-01-30,58.06,58.34,57.92,58.12,2250700,57.32
2013-01-29,57.70,58.10,57.38,57.92,1906000,57.12
2013-01-28,57.75,58.08,57.32,57.66,1647500,56.87
2013-01-25,57.35,57.71,57.02,57.70,1705200,56.91
2013-01-24,56.97,57.50,56.72,57.28,2480500,56.49
2013-01-23,56.45,57.04,56.38,56.85,2550200,56.07
2013-01-22,55.59,56.61,55.37,56.61,2310300,55.83
2013-01-18,55.49,55.76,55.22,55.50,1684800,54.74
2013-01-17,54.83,55.63,54.76,55.48,1302700,54.72
2013-01-16,54.61,54.96,54.26,54.79,1482700,54.04
2013-01-15,54.15,54.83,54.15,54.74,1643800,53.99
2013-01-14,54.07,54.75,54.05,54.33,1769000,53.58
2013-01-11,53.35,54.14,53.35,54.02,1598800,53.28
2013-01-10,52.92,53.50,52.69,53.32,1019800,52.59
2013-01-09,53.09,53.40,52.67,52.86,1169800,52.13
2013-01-08,53.50,53.50,52.50,52.90,1725400,52.17
2013-01-07,53.59,53.96,53.10,53.49,2655100,52.75
2013-01-04,51.68,54.17,51.36,53.77,3770200,53.03
2013-01-03,51.39,51.67,51.04,51.56,2130700,50.85
2013-01-02,51.30,51.73,51.00,51.34,1923900,50.63
2012-12-31,50.28,50.73,50.04,50.67,2026400,49.97
2012-12-28,50.02,50.67,50.02,50.12,1701500,49.43
2012-12-27,50.49,50.72,49.79,50.35,1677900,49.66
2012-12-26,50.95,51.40,50.62,50.75,1427500,50.05
2012-12-24,50.60,50.90,50.48,50.83,691500,50.13
2012-12-21,51.24,51.24,50.31,50.74,3568400,50.04
2012-12-20,53.33,53.45,50.87,51.40,4693700,50.69
2012-12-19,52.69,52.94,52.36,52.63,2515800,51.91
2012-12-18,51.58,52.66,51.50,52.41,4041400,51.69
2012-12-17,51.45,51.70,51.05,51.61,2399900,50.90
2012-12-14,50.81,51.38,50.46,51.23,2844500,50.53
2012-12-13,51.70,52.10,50.81,51.21,3724700,50.51
2012-12-12,53.18,53.58,52.75,52.80,2850000,52.07
2012-12-11,54.25,54.37,52.48,52.93,6543400,52.20
2012-12-10,53.83,54.56,53.65,54.06,2608600,53.32
2012-12-07,55.06,55.22,54.55,54.96,1640600,54.20
2012-12-06,54.02,55.30,53.99,55.03,2126800,54.27
2012-12-05,54.63,55.11,54.00,54.72,1537100,53.52
2012-12-04,55.46,55.67,54.10,54.65,2065100,53.46
2012-12-03,55.56,55.82,55.30,55.57,1200500,54.36
2012-11-30,55.15,55.69,54.88,55.27,1528300,54.06
2012-11-29,55.29,55.39,54.77,55.15,1133000,53.94
2012-11-28,54.03,55.08,53.76,54.90,2112500,53.70
2012-11-27,55.19,55.35,54.20,54.29,1489300,53.10
2012-11-26,54.53,55.32,54.53,55.27,1059800,54.06
2012-11-23,54.50,54.95,54.19,54.64,745700,53.45
2012-11-21,54.71,54.75,54.08,54.43,786700,53.24
2012-11-20,54.42,54.88,54.27,54.60,1141300,53.41
2012-11-19,54.50,54.94,54.20,54.45,1137600,53.26
2012-11-16,54.03,54.44,53.73,54.24,1324000,53.05
2012-11-15,53.78,54.55,53.73,54.08,1261200,52.90
2012-11-14,53.95,54.12,53.43,53.56,1492700,52.39
2012-11-13,54.02,54.89,53.94,53.96,1298300,52.78
2012-11-12,54.34,54.56,53.87,54.34,941800,53.15
2012-11-09,54.91,55.20,54.25,54.31,1192600,53.12
2012-11-08,55.69,56.17,54.71,54.73,1226000,53.53
2012-11-07,55.94,56.12,55.23,55.57,2866700,54.36
2012-11-06,56.40,56.82,56.07,56.37,1366700,55.14
2012-11-05,55.33,56.37,55.24,56.14,1046300,54.91
2012-11-02,57.48,57.48,55.60,55.71,1413200,54.49
2012-11-01,56.18,56.66,55.58,56.47,1184700,55.24
2012-10-31,55.36,55.96,55.03,55.93,1968500,54.71
2012-10-26,55.41,55.84,54.68,55.42,1978700,54.21
2012-10-25,56.30,56.67,54.16,55.00,4054700,53.80
2012-10-24,56.69,56.95,55.90,56.55,1602700,55.31
2012-10-23,56.18,56.79,55.68,56.48,1571900,55.25
2012-10-22,56.21,56.67,55.82,56.64,1129300,55.40
2012-10-19,57.60,57.63,55.92,56.50,2130500,55.26
2012-10-18,57.65,57.80,57.28,57.66,1226000,56.40
2012-10-17,57.72,58.00,57.00,57.89,1147100,56.62
2012-10-16,56.82,57.69,56.69,57.49,877100,56.23
2012-10-15,56.63,56.90,56.15,56.86,830800,55.62
2012-10-12,56.50,56.80,56.11,56.37,1494900,55.14
2012-10-11,57.03,57.22,56.48,56.58,1350600,55.34
2012-10-10,56.86,57.08,56.29,56.92,1288800,55.68
2012-10-09,57.56,57.69,56.78,56.97,1488900,55.72
2012-10-08,56.75,57.99,56.70,57.51,1069400,56.25
2012-10-05,57.82,57.95,57.25,57.52,1481400,56.26
2012-10-04,57.27,57.78,56.92,57.53,1128400,56.27
2012-10-03,57.28,57.74,56.39,57.07,1940100,55.82
2012-10-02,57.42,57.75,56.91,57.11,2260300,55.86
2012-10-01,57.88,57.99,56.54,57.10,2311500,55.85
2012-09-28,57.31,57.51,56.62,57.29,2287300,56.04
2012-09-27,57.10,57.62,56.82,57.40,1541900,56.15
2012-09-26,57.18,57.32,56.48,57.28,2059600,56.03
2012-09-25,57.43,58.20,56.92,57.12,1721400,55.87
2012-09-24,57.91,58.10,57.35,57.88,1249600,56.61
2012-09-21,58.38,58.50,57.73,57.99,5782100,56.72
2012-09-20,57.43,58.08,57.31,58.04,1389800,56.77
2012-09-19,58.64,58.78,57.61,57.72,1996800,56.46
2012-09-18,58.76,58.87,58.14,58.40,2365800,57.12
2012-09-17,58.73,59.24,58.56,58.72,2167000,57.44
2012-09-14,58.56,60.00,58.01,58.89,3908100,57.60
2012-09-13,58.65,59.52,58.36,59.35,2399600,58.05
