Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,384.21,387.49,383.29,386.27,340400,386.27
2013-07-11,382.50,386.50,380.50,383.13,282300,383.13
2013-07-10,385.74,385.74,379.88,382.03,378500,382.03
2013-07-09,387.85,389.84,385.67,386.33,294900,386.33
2013-07-08,387.39,388.21,383.92,386.03,345400,386.03
2013-07-05,386.00,386.78,383.01,386.33,379000,386.33
2013-07-03,374.99,386.81,374.75,384.47,692000,384.47
2013-07-02,364.67,371.77,364.67,371.53,444400,371.53
2013-07-01,366.45,369.24,362.30,363.74,355000,363.74
2013-06-28,363.16,368.39,360.99,364.35,460300,364.35
2013-06-27,364.95,366.96,361.19,364.15,336600,364.15
2013-06-26,364.00,365.69,362.27,363.67,346400,363.67
2013-06-25,361.06,363.98,357.06,358.96,294800,358.96
2013-06-24,357.72,360.75,352.27,358.16,452500,358.16
2013-06-21,363.26,363.26,355.92,361.64,691200,361.64
2013-06-20,363.62,368.14,360.07,360.86,438000,360.86
2013-06-19,371.79,372.50,366.00,366.87,282500,366.87
2013-06-18,369.02,372.66,368.79,372.66,266600,372.66
2013-06-17,370.50,372.11,365.00,367.68,257200,367.68
2013-06-14,369.44,372.54,365.25,368.12,304500,368.12
2013-06-13,369.50,372.56,365.44,371.43,309600,371.43
2013-06-12,368.61,368.61,362.34,364.19,388400,364.19
2013-06-11,361.46,367.70,361.46,364.75,248800,364.75
2013-06-10,366.45,369.11,363.54,364.57,355500,364.57
2013-06-07,361.00,365.80,354.25,365.80,560400,365.80
2013-06-06,354.42,359.44,351.68,359.03,230000,359.03
2013-06-05,358.64,359.45,350.66,353.03,288100,353.03
2013-06-04,356.05,363.35,355.05,358.42,426000,358.42
2013-06-03,361.01,363.28,354.53,358.84,472100,358.84
2013-05-31,366.21,370.76,361.00,361.00,322100,361.00
2013-05-30,370.93,373.42,369.22,369.85,195500,369.85
2013-05-29,368.99,371.48,366.23,369.79,201900,369.79
2013-05-28,371.58,374.00,370.12,370.61,400600,370.61
2013-05-24,366.64,369.27,363.55,368.27,270900,368.27
2013-05-23,367.53,370.23,362.80,368.45,378300,368.45
2013-05-22,377.33,379.15,369.70,371.05,349000,371.05
2013-05-21,376.51,378.76,373.78,377.43,281900,377.43
2013-05-20,374.80,379.14,374.46,376.87,302100,376.87
2013-05-17,371.92,375.50,371.92,375.16,288400,375.16
2013-05-16,374.93,375.76,370.65,372.08,384500,372.08
2013-05-15,375.27,378.40,372.81,374.97,485300,374.97
2013-05-14,368.00,376.19,367.99,375.65,496400,375.65
2013-05-13,369.88,370.60,366.12,367.51,241900,367.51
2013-05-10,366.93,371.27,366.04,370.01,326500,370.01
2013-05-09,363.95,372.98,363.65,367.45,834300,367.45
2013-05-08,361.81,366.50,359.09,366.33,525600,366.33
2013-05-07,372.57,374.15,359.00,361.09,1009800,361.09
2013-05-06,367.45,376.27,367.45,373.98,496900,373.98
2013-05-03,368.25,369.50,365.65,367.35,233900,367.35
2013-05-02,361.68,369.32,361.62,365.20,363100,365.20
2013-05-01,360.95,364.83,358.50,362.18,277900,362.18
2013-04-30,365.49,365.51,360.71,363.19,373700,363.19
2013-04-29,362.18,367.00,359.52,363.59,276200,363.59
2013-04-26,362.01,364.22,359.46,361.73,339800,361.73
2013-04-25,363.30,365.86,361.14,362.85,302300,362.85
2013-04-24,358.71,365.65,358.71,362.79,419200,362.79
2013-04-23,363.63,365.75,358.14,361.27,713700,361.27
2013-04-22,367.00,372.99,362.66,362.83,989000,362.83
2013-04-19,344.91,366.73,343.31,366.25,2747400,366.25
2013-04-18,341.50,341.50,328.36,328.36,1012900,328.36
2013-04-17,339.59,343.78,337.43,339.94,340200,339.94
2013-04-16,341.03,343.89,337.67,342.17,447900,342.17
2013-04-15,349.00,349.88,337.03,337.17,892200,337.17
2013-04-12,329.77,342.00,327.28,341.91,782400,341.91
2013-04-11,340.00,344.24,330.50,331.33,1458400,331.33
2013-04-10,334.18,350.00,334.18,343.55,947700,343.55
2013-04-09,337.18,337.22,330.55,332.67,521400,332.67
2013-04-08,327.01,337.92,326.80,337.50,730200,337.50
2013-04-05,318.11,328.78,316.87,328.00,470000,328.00
2013-04-04,323.63,326.34,321.86,323.16,415500,323.16
2013-04-03,327.05,330.00,321.87,323.79,413000,323.79
2013-04-02,321.91,323.60,321.64,323.09,240800,323.09
2013-04-01,327.42,328.47,320.00,321.06,421700,321.06
2013-03-28,320.17,325.93,319.02,325.87,387400,325.87
2013-03-27,318.49,320.85,316.34,320.59,215200,320.59
2013-03-26,318.64,320.29,316.35,318.50,313800,318.50
2013-03-25,318.70,321.70,316.04,316.77,315500,316.77
2013-03-22,320.28,320.68,317.44,318.23,283500,318.23
2013-03-21,321.99,322.52,318.33,319.42,425500,319.42
2013-03-20,319.75,323.70,318.25,322.42,298900,322.42
2013-03-19,320.10,324.53,315.50,317.23,408300,317.23
2013-03-18,317.36,321.85,317.25,320.15,184800,320.15
2013-03-15,320.95,323.98,318.54,321.35,311000,321.35
2013-03-14,321.61,324.21,319.53,322.66,298700,322.66
2013-03-13,319.41,322.38,319.33,322.38,358500,322.38
2013-03-12,322.42,323.98,317.00,318.45,306400,318.45
2013-03-11,320.08,327.12,319.39,322.42,363800,322.42
2013-03-08,328.27,328.88,320.63,321.84,477800,321.84
2013-03-07,331.38,331.38,325.08,327.50,330600,327.50
2013-03-06,331.38,334.89,328.10,329.00,341500,329.00
2013-03-05,323.30,332.49,322.50,329.24,520300,329.24
2013-03-04,318.68,322.43,317.55,321.76,307300,321.76
2013-03-01,316.75,319.82,314.50,319.74,300800,319.74
2013-02-28,315.29,319.88,313.60,316.79,306400,316.79
2013-02-27,312.48,318.71,311.96,316.21,330600,316.21
2013-02-26,312.72,316.66,309.02,311.81,415200,311.81
2013-02-25,316.51,318.32,311.18,311.21,512800,311.21
2013-02-22,310.77,315.71,310.50,315.51,600300,315.51
2013-02-21,307.17,313.73,307.17,308.13,639200,308.13
2013-02-20,312.81,315.09,308.00,309.49,588200,309.49
2013-02-19,314.40,317.58,311.32,313.05,530600,313.05
2013-02-15,319.03,319.03,310.78,314.19,678300,314.19
2013-02-14,316.28,319.08,314.44,317.72,483900,317.72
2013-02-13,321.63,322.48,316.16,317.01,605700,317.01
2013-02-12,322.39,326.99,322.05,322.51,353600,322.51
2013-02-11,320.97,325.64,320.11,323.56,453300,323.56
2013-02-08,316.77,321.49,316.73,320.72,403300,320.72
2013-02-07,321.46,322.79,314.44,318.45,793400,318.45
2013-02-06,305.00,324.72,304.00,322.46,1938600,322.46
2013-02-05,309.47,311.80,303.50,305.01,1280400,305.01
2013-02-04,311.07,313.54,309.55,310.19,628500,310.19
2013-02-01,308.50,313.92,308.10,312.71,535900,312.71
2013-01-31,307.78,309.00,302.50,307.01,448300,307.01
2013-01-30,311.06,311.78,307.18,308.36,381500,308.36
2013-01-29,312.60,312.97,307.27,310.01,406100,310.01
2013-01-28,309.50,314.99,307.61,311.69,680300,311.69
2013-01-25,299.98,305.99,298.95,303.48,797900,303.48
2013-01-24,293.49,300.50,292.87,299.62,389800,299.62
2013-01-23,292.79,297.12,291.04,293.74,398400,293.74
2013-01-22,294.59,296.53,290.65,294.23,720100,294.23
2013-01-18,290.48,296.34,290.01,295.02,785700,295.02
2013-01-17,281.68,293.82,281.68,290.33,1930500,290.33
2013-01-16,267.14,283.37,266.02,280.94,3028800,280.94
2013-01-15,292.20,298.80,290.61,297.32,219300,297.32
2013-01-14,299.97,301.99,294.53,295.97,288600,295.97
2013-01-11,298.96,302.19,296.00,300.00,471300,300.00
2013-01-10,296.00,298.41,291.70,298.41,438100,298.41
2013-01-09,298.45,299.57,292.18,294.03,442400,294.03
2013-01-08,300.35,301.50,295.43,297.76,368900,297.76
2013-01-07,299.96,301.00,295.35,299.59,385900,299.59
2013-01-04,301.44,304.28,300.13,300.18,368100,300.18
2013-01-03,297.00,305.08,295.13,300.95,473000,300.95
2013-01-02,304.26,306.73,298.31,301.06,491400,301.06
2012-12-31,289.51,298.20,289.31,297.46,499700,297.46
2012-12-28,293.02,294.88,289.46,290.53,450500,290.53
2012-12-27,289.63,296.27,289.63,295.32,546500,295.32
2012-12-26,294.08,294.98,287.24,289.03,415000,289.03
2012-12-24,292.03,294.99,290.22,294.08,232400,294.08
2012-12-21,285.64,293.18,280.55,292.52,783700,292.52
2012-12-20,287.01,289.86,284.62,288.79,402100,288.79
2012-12-19,293.94,296.87,287.76,288.89,533200,288.89
2012-12-18,287.95,295.33,287.58,293.46,824800,293.46
2012-12-17,278.40,287.21,278.12,286.68,671200,286.68
2012-12-14,275.91,280.33,274.41,277.25,316700,277.25
2012-12-13,275.84,281.00,274.01,277.65,714300,277.65
2012-12-12,275.56,278.31,274.36,275.51,694200,275.51
2012-12-11,273.63,277.74,273.01,274.05,526100,274.05
2012-12-10,271.10,274.20,266.97,272.92,454700,272.92
2012-12-07,268.20,272.98,267.08,268.61,342700,268.61
2012-12-06,264.75,270.19,263.09,266.51,419600,266.51
2012-12-05,271.20,271.84,263.97,264.97,570200,264.97
2012-12-04,261.84,271.54,260.01,271.51,890500,271.51
2012-12-03,265.05,267.00,261.73,263.75,375700,263.75
2012-11-30,264.08,267.73,260.14,263.78,523100,263.78
2012-11-29,267.60,268.47,263.82,266.80,477600,266.80
2012-11-28,260.31,268.42,257.24,266.51,774300,266.51
2012-11-27,270.13,274.10,261.34,261.59,1090400,261.59
2012-11-26,273.72,274.17,266.61,270.67,600200,270.67
2012-11-23,277.18,278.10,273.77,274.34,206300,274.34
2012-11-21,272.30,278.00,271.68,275.46,637600,275.46
2012-11-20,270.18,275.26,266.69,268.46,699200,268.46
2012-11-19,266.31,270.86,265.14,270.26,589000,270.26
2012-11-16,259.15,264.44,257.86,262.76,675600,262.76
2012-11-15,255.56,260.89,253.39,260.30,620400,260.30
2012-11-14,263.89,264.72,255.63,256.54,590100,256.54
2012-11-13,262.07,266.32,261.59,262.13,534600,262.13
2012-11-12,260.85,264.97,258.85,263.56,611900,263.56
2012-11-09,260.00,264.90,258.00,259.52,903400,259.52
