Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,115.28,115.86,114.18,115.40,1421300,115.40
2013-07-11,116.01,117.33,114.99,115.28,1892200,115.28
2013-07-10,112.94,114.96,112.90,113.70,1312500,113.70
2013-07-09,111.39,113.17,111.33,112.62,1357600,112.62
2013-07-08,111.16,111.54,110.50,110.83,1215200,110.83
2013-07-05,109.92,110.84,108.74,110.79,908600,110.79
2013-07-03,108.69,109.30,107.51,108.90,1552600,108.90
2013-07-02,110.01,111.72,109.85,110.20,1496600,110.20
2013-07-01,109.25,110.94,108.72,110.33,1605300,110.33
2013-06-28,108.27,109.73,107.80,108.46,2775000,108.46
2013-06-27,108.29,108.98,107.91,108.51,1868900,108.51
2013-06-26,108.81,109.40,107.03,107.36,2177000,107.36
2013-06-25,107.23,109.03,106.75,107.44,2532900,107.44
2013-06-24,109.11,109.26,105.55,105.94,4270800,105.94
2013-06-21,113.00,113.36,110.84,111.12,2635100,111.12
2013-06-20,114.56,115.03,111.86,112.42,2850600,112.42
2013-06-19,117.37,117.61,115.59,115.60,1255200,115.60
2013-06-18,116.36,117.65,115.71,117.37,865200,117.37
2013-06-17,116.61,117.37,115.30,116.06,1446100,116.06
2013-06-14,117.12,118.69,115.93,116.13,1111300,116.13
2013-06-13,115.11,118.45,114.91,118.27,1557200,118.27
2013-06-12,118.56,118.63,115.57,115.74,1643300,115.74
2013-06-11,117.11,119.50,116.38,117.43,1756000,117.43
2013-06-10,119.13,119.13,117.82,118.65,897500,118.65
2013-06-07,118.25,119.63,117.35,118.54,1105000,118.54
2013-06-06,116.01,118.33,115.74,117.34,1764600,117.34
2013-06-05,117.65,117.83,115.71,116.00,1628800,116.00
2013-06-04,118.24,119.33,116.92,118.21,1522800,118.21
2013-06-03,119.75,120.71,116.72,118.44,2251700,118.44
2013-05-31,117.33,122.32,116.80,119.63,2956300,119.63
2013-05-30,117.86,118.88,117.01,117.69,1781400,117.69
2013-05-29,115.95,118.20,115.76,117.72,1277800,117.72
2013-05-28,118.01,119.11,116.91,117.27,1276100,117.27
2013-05-24,115.90,116.65,115.26,116.31,1670000,116.31
2013-05-23,115.47,118.18,115.33,116.94,1637300,116.94
2013-05-22,118.55,119.50,117.09,117.50,1869200,117.50
2013-05-21,118.14,119.51,117.72,118.83,1660300,118.33
2013-05-20,116.04,119.44,115.73,118.15,1716000,117.65
2013-05-17,115.06,116.66,114.69,116.43,1051400,115.94
2013-05-16,114.16,116.16,113.90,114.33,1318000,113.85
2013-05-15,113.98,115.14,113.07,114.68,1505300,114.20
2013-05-14,113.65,115.19,112.95,114.80,1543500,114.32
2013-05-13,114.23,114.39,113.05,113.40,1514200,112.92
2013-05-10,114.08,114.96,113.54,114.38,1853700,113.90
2013-05-09,114.71,114.95,113.64,114.24,1837400,113.76
2013-05-08,113.05,115.22,112.44,115.01,1782100,114.53
2013-05-07,111.14,113.09,111.14,112.98,1524100,112.50
2013-05-06,111.06,112.06,109.93,110.85,1977600,110.38
2013-05-03,108.45,111.85,107.80,110.60,2748400,110.13
2013-05-02,104.14,106.58,104.14,106.41,2358500,105.96
2013-05-01,105.25,106.20,103.41,103.66,4185000,103.22
2013-04-30,110.44,110.63,105.95,106.39,5944700,105.94
2013-04-29,112.15,113.77,111.51,113.25,1805100,112.77
2013-04-26,112.30,112.36,110.77,111.20,1272400,110.73
2013-04-25,110.76,114.04,110.52,112.16,1551400,111.69
2013-04-24,108.17,110.62,108.06,110.08,1602200,109.62
2013-04-23,108.57,109.37,107.00,107.49,1635800,107.04
2013-04-22,107.17,108.55,106.16,107.67,1352000,107.22
2013-04-19,106.11,107.60,106.02,107.06,2069400,106.61
2013-04-18,108.39,109.04,105.86,106.02,2250700,105.57
2013-04-17,110.00,110.50,107.52,108.01,2099200,107.56
2013-04-16,111.27,112.25,110.07,111.32,1547400,110.85
2013-04-15,116.10,116.13,109.72,109.75,3633900,109.29
2013-04-12,117.62,117.93,116.39,117.11,1281600,116.62
2013-04-11,118.28,118.69,116.95,118.18,1972200,117.68
2013-04-10,115.58,118.35,115.13,118.10,2080400,117.60
2013-04-09,113.11,115.32,113.02,114.98,1276000,114.50
2013-04-08,113.00,113.21,111.70,112.83,1072200,112.36
2013-04-05,111.85,113.21,110.25,112.94,1907600,112.46
2013-04-04,112.71,114.25,112.54,114.07,1630700,113.59
2013-04-03,111.86,112.92,111.30,112.54,2030900,112.07
2013-04-02,113.08,113.54,111.33,111.84,1346000,111.37
2013-04-01,115.81,115.97,112.38,112.71,1385100,112.24
2013-03-28,114.14,116.00,113.82,115.81,1773400,115.32
2013-03-27,112.36,114.77,111.88,113.92,2564100,113.44
2013-03-26,112.40,113.30,112.25,113.15,1911400,112.67
2013-03-25,113.91,114.12,111.58,112.31,2336800,111.84
2013-03-22,114.23,114.53,113.02,113.50,1730700,113.02
2013-03-21,115.74,116.01,113.85,114.01,1455900,113.53
2013-03-20,116.95,117.66,115.73,116.25,1851900,115.76
2013-03-19,116.41,116.82,114.00,115.08,1552300,114.60
2013-03-18,115.97,118.05,115.34,116.31,1652100,115.82
2013-03-15,116.77,117.84,116.46,117.36,1365000,116.87
2013-03-14,118.30,118.31,116.58,117.28,1759700,116.79
2013-03-13,118.29,118.49,117.30,117.77,1089700,117.27
2013-03-12,119.60,119.62,117.53,118.63,1022300,118.13
2013-03-11,119.11,119.77,118.51,119.62,934200,119.12
2013-03-08,118.35,119.73,118.24,119.63,1905700,119.13
2013-03-07,117.01,118.39,116.41,117.28,1297600,116.79
2013-03-06,117.07,117.79,115.55,116.87,1246000,116.38
2013-03-05,115.48,118.43,115.39,116.45,1702500,115.96
2013-03-04,114.30,114.64,112.33,114.13,1557500,113.65
2013-03-01,114.96,116.00,113.02,115.05,1453500,114.57
2013-02-28,115.87,117.34,115.52,115.87,1411600,115.38
2013-02-27,113.12,116.65,112.45,115.77,1635800,115.28
2013-02-26,111.88,113.76,110.87,113.38,1923700,112.90
2013-02-25,115.76,116.26,111.22,111.25,1963200,110.78
2013-02-22,113.44,114.00,112.44,112.79,1715700,112.32
2013-02-21,114.07,114.15,111.46,112.53,2488300,112.06
2013-02-20,118.01,118.19,114.52,114.83,2122300,114.35
2013-02-19,119.23,119.41,118.01,118.87,1394500,117.87
2013-02-15,119.32,119.79,118.49,119.21,1343300,118.21
2013-02-14,118.54,119.34,117.89,118.73,1233000,117.73
2013-02-13,119.79,119.92,118.00,119.04,1438000,118.04
2013-02-12,119.42,119.93,118.94,119.19,1276000,118.19
2013-02-11,118.80,119.99,118.53,119.26,1055500,118.26
2013-02-08,118.47,120.00,118.12,119.47,963300,118.47
2013-02-07,119.85,120.48,117.41,118.96,1941100,117.96
2013-02-06,120.50,122.54,118.83,120.38,4058900,119.37
2013-02-05,117.19,117.98,116.27,117.39,1846900,116.40
2013-02-04,115.05,117.70,115.00,116.42,1907400,115.44
2013-02-01,115.56,116.91,113.79,116.34,1608100,115.36
2013-01-31,114.97,115.95,113.81,114.83,1410700,113.87
2013-01-30,116.13,116.36,114.83,115.52,1582100,114.55
2013-01-29,115.78,116.34,115.00,116.05,1495100,115.08
2013-01-28,117.39,117.95,114.75,115.91,1261200,114.94
2013-01-25,115.57,117.24,115.28,116.98,1248400,116.00
2013-01-24,113.52,117.61,112.61,115.46,2411600,114.49
2013-01-23,115.52,115.76,114.39,115.27,1124100,114.30
2013-01-22,115.22,115.79,114.50,115.75,959800,114.78
2013-01-18,114.08,115.81,113.35,115.59,1878700,114.62
2013-01-17,112.56,114.50,111.72,114.20,1465100,113.24
2013-01-16,111.53,112.23,111.03,112.06,996000,111.12
2013-01-15,110.83,112.08,110.83,111.82,869900,110.88
2013-01-14,110.17,111.64,110.17,111.55,1385100,110.61
2013-01-11,110.93,111.47,109.19,110.59,1870200,109.66
2013-01-10,113.97,114.09,111.22,112.44,1969000,111.50
2013-01-09,111.25,114.24,110.54,113.12,1880600,112.17
2013-01-08,111.91,112.39,110.70,111.16,1396300,110.23
2013-01-07,113.26,113.63,111.56,112.53,1654900,111.59
2013-01-04,114.82,115.00,113.25,113.86,1741300,112.90
2013-01-03,113.16,114.93,112.78,114.17,2160300,113.21
2013-01-02,111.50,113.82,111.30,113.37,2674100,112.42
2012-12-31,105.37,108.54,105.24,108.35,1680500,107.44
2012-12-28,106.08,106.63,105.51,105.82,890500,104.93
2012-12-27,107.55,107.74,104.68,106.80,1093200,105.90
