Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,27.73,27.94,27.62,27.92,3237400,27.92
2013-07-11,27.87,27.92,27.68,27.78,4010300,27.78
2013-07-10,27.41,27.72,27.28,27.54,3521800,27.54
2013-07-09,27.24,27.46,27.12,27.45,2280600,27.45
2013-07-08,26.79,27.24,26.75,27.16,2451900,27.16
2013-07-05,26.66,26.72,26.29,26.70,1761300,26.70
2013-07-03,26.53,26.77,26.47,26.61,1287400,26.61
2013-07-02,26.56,26.94,26.54,26.69,2899800,26.69
2013-07-01,26.96,27.46,26.56,26.63,4383300,26.63
2013-06-28,26.43,27.46,26.25,27.17,9299600,27.17
2013-06-27,27.50,27.72,27.45,27.52,2085500,27.52
2013-06-26,27.19,27.50,27.04,27.43,1962200,27.43
2013-06-25,26.74,27.11,26.52,27.00,2415400,27.00
2013-06-24,26.14,26.76,25.81,26.60,3354400,26.60
2013-06-21,26.10,26.48,25.76,26.40,2888000,26.40
2013-06-20,26.69,26.74,25.88,25.95,3000100,25.95
2013-06-19,27.53,27.60,26.85,26.85,1584700,26.85
2013-06-18,27.47,27.60,27.28,27.57,1734800,27.57
2013-06-17,27.56,27.71,27.28,27.40,2012200,27.40
2013-06-14,27.19,27.46,27.16,27.40,2088800,27.40
2013-06-13,26.51,27.23,26.46,27.20,2666200,27.20
2013-06-12,27.12,27.13,26.52,26.52,2220100,26.52
2013-06-11,26.91,27.13,26.86,26.96,2194700,26.96
2013-06-10,27.15,27.25,26.82,27.15,2309400,27.15
2013-06-07,26.99,27.18,26.75,27.04,1545900,27.04
2013-06-06,26.37,26.93,26.31,26.93,2964900,26.93
2013-06-05,26.55,26.58,26.29,26.34,2361200,26.34
2013-06-04,26.93,27.02,26.48,26.63,3502000,26.63
2013-06-03,26.97,27.20,26.62,26.98,3240400,26.98
2013-05-31,27.12,27.50,26.95,26.95,2240000,26.95
2013-05-30,27.36,27.69,27.18,27.19,1982200,27.19
2013-05-29,27.36,27.39,26.79,27.09,2649100,27.09
2013-05-28,27.69,27.95,27.34,27.52,2444000,27.52
2013-05-24,27.86,27.91,27.42,27.53,2122800,27.53
2013-05-23,27.96,28.19,27.58,27.95,2750100,27.95
2013-05-22,28.77,29.17,28.22,28.33,2114500,28.33
2013-05-21,28.93,29.04,28.56,28.81,2133300,28.81
2013-05-20,29.10,29.18,28.89,28.96,1550600,28.96
2013-05-17,28.73,29.14,28.70,29.10,1724600,29.10
2013-05-16,28.89,28.92,28.59,28.66,1809300,28.66
2013-05-15,28.60,29.24,28.53,28.95,1763700,28.95
2013-05-14,28.36,28.63,28.13,28.61,1646400,28.61
2013-05-13,28.33,28.46,28.16,28.36,1974000,28.36
2013-05-10,28.36,28.46,28.14,28.42,1565100,28.42
2013-05-09,28.96,29.08,28.27,28.37,2118800,28.37
2013-05-08,29.25,29.36,28.90,28.98,1352300,28.98
2013-05-07,28.99,29.29,28.96,29.28,2124000,29.28
2013-05-06,29.39,29.48,28.92,28.97,2510700,28.97
2013-05-03,29.45,29.68,29.36,29.39,1834600,29.39
2013-05-02,29.45,29.51,29.17,29.33,2235200,29.33
2013-05-01,29.98,29.98,29.41,29.45,1834100,29.45
2013-04-30,29.79,29.94,29.60,29.94,2431500,29.69
2013-04-29,29.50,29.83,29.37,29.75,5344600,29.50
2013-04-26,29.28,29.61,29.28,29.43,5431000,29.18
2013-04-25,29.39,29.51,29.15,29.24,5797100,28.99
2013-04-24,29.00,29.34,28.84,29.18,1978800,28.93
2013-04-23,29.13,29.14,28.72,29.00,2291800,28.75
2013-04-22,29.08,29.18,28.88,29.06,1051500,28.81
2013-04-19,28.76,29.09,28.62,29.09,1413600,28.84
2013-04-18,28.60,28.80,28.53,28.66,2032600,28.42
2013-04-17,28.61,28.66,28.33,28.53,1579300,28.29
2013-04-16,28.38,28.70,28.10,28.69,1651100,28.45
2013-04-15,28.64,28.77,28.28,28.29,1758800,28.05
2013-04-12,28.39,28.76,28.37,28.73,1459600,28.49
2013-04-11,28.47,28.52,28.34,28.45,2026500,28.21
2013-04-10,28.25,28.47,28.25,28.47,1334100,28.23
2013-04-09,28.50,28.50,28.21,28.25,1377800,28.01
2013-04-08,28.16,28.41,28.07,28.41,1899800,28.17
2013-04-05,27.96,28.26,27.89,28.21,1410700,27.97
2013-04-04,27.83,28.15,27.81,28.14,1969600,27.90
2013-04-03,27.94,27.99,27.67,27.79,1988200,27.55
2013-04-02,27.92,28.01,27.73,27.85,1971000,27.61
2013-04-01,27.94,27.96,27.67,27.80,2258300,27.56
2013-03-28,27.46,27.95,27.39,27.94,2240100,27.70
2013-03-27,27.25,27.50,27.24,27.45,1658100,27.22
2013-03-26,27.29,27.42,27.22,27.35,2250100,27.12
2013-03-25,27.43,27.57,27.08,27.21,2816400,26.98
2013-03-22,27.15,27.38,27.06,27.33,1861600,27.10
2013-03-21,27.20,27.25,27.08,27.13,1985900,26.90
2013-03-20,27.19,27.32,27.14,27.27,2353900,27.04
2013-03-19,27.20,27.32,26.94,27.09,2574500,26.86
2013-03-18,27.29,27.37,27.16,27.20,2402200,26.97
2013-03-15,27.24,27.55,27.19,27.44,5559600,27.21
2013-03-14,27.15,27.36,27.06,27.35,2010700,27.12
2013-03-13,26.95,27.15,26.90,27.11,1223200,26.88
2013-03-12,27.22,27.23,26.86,26.97,2719800,26.74
2013-03-11,27.01,27.21,27.00,27.18,2501400,26.95
2013-03-08,26.89,27.13,26.71,27.08,2657000,26.85
2013-03-07,26.95,27.05,26.83,26.85,1380400,26.62
2013-03-06,27.08,27.15,26.83,26.89,2381600,26.66
2013-03-05,26.97,27.07,26.89,27.00,2156500,26.77
2013-03-04,26.44,26.93,26.39,26.88,3597900,26.65
2013-03-01,26.61,26.74,25.99,26.45,7626600,26.22
2013-02-28,26.41,26.75,26.33,26.61,1983600,26.38
2013-02-27,26.22,26.42,26.16,26.38,2292100,26.16
2013-02-26,26.28,26.49,26.14,26.18,3035500,25.96
2013-02-25,26.51,26.79,26.13,26.13,2551300,25.91
2013-02-22,26.19,26.40,26.06,26.40,1885100,26.18
2013-02-21,25.96,26.15,25.84,26.12,2150200,25.90
2013-02-20,26.08,26.26,26.00,26.05,1628100,25.83
2013-02-19,25.84,26.09,25.84,26.09,2086600,25.87
2013-02-15,25.74,25.91,25.72,25.77,2345100,25.55
2013-02-14,25.83,25.92,25.68,25.75,2744200,25.53
2013-02-13,25.84,25.98,25.72,25.86,1457300,25.64
2013-02-12,25.58,25.86,25.51,25.84,1627000,25.62
2013-02-11,25.65,25.71,25.62,25.67,1859400,25.45
2013-02-08,25.69,25.76,25.54,25.66,927300,25.44
2013-02-07,25.65,25.79,25.53,25.65,1552000,25.43
2013-02-06,25.58,25.68,25.43,25.67,1619000,25.45
2013-02-05,25.85,25.97,25.82,25.87,1933300,25.40
2013-02-04,25.68,25.82,25.66,25.76,2002700,25.29
2013-02-01,25.79,25.93,25.72,25.83,2616700,25.36
2013-01-31,25.62,25.74,25.54,25.70,1936000,25.23
2013-01-30,25.51,25.72,25.46,25.66,2386500,25.19
2013-01-29,25.32,25.56,25.28,25.55,1643600,25.08
2013-01-28,25.27,25.31,25.09,25.26,1653600,24.80
2013-01-25,25.28,25.35,25.12,25.23,3408200,24.77
2013-01-24,25.22,25.47,25.18,25.28,1288700,24.82
2013-01-23,25.33,25.33,25.06,25.18,2156600,24.72
2013-01-22,25.09,25.43,25.05,25.39,1627100,24.93
2013-01-18,24.94,25.09,24.88,25.09,2274000,24.63
2013-01-17,24.85,24.98,24.80,24.91,1962000,24.45
2013-01-16,24.86,24.95,24.75,24.77,1833700,24.32
2013-01-15,24.92,24.94,24.80,24.94,1977600,24.48
2013-01-14,24.93,24.95,24.82,24.92,2211500,24.46
2013-01-11,24.93,25.01,24.84,24.89,1955200,24.43
