Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,24.32,24.42,24.13,24.40,947600,24.40
2013-07-11,24.30,24.35,24.01,24.31,1451500,24.31
2013-07-10,23.80,24.07,23.72,24.04,1583300,24.04
2013-07-09,23.79,23.87,23.66,23.86,1837500,23.86
2013-07-08,23.45,23.80,23.40,23.68,1770700,23.68
2013-07-05,23.42,23.42,23.08,23.34,1646600,23.34
2013-07-03,23.30,23.46,23.23,23.36,785500,23.36
2013-07-02,23.25,23.58,23.23,23.45,3049400,23.45
2013-07-01,23.78,23.78,23.20,23.27,2749400,23.27
2013-06-28,23.46,23.75,23.31,23.49,3130800,23.49
2013-06-27,23.38,23.63,23.31,23.49,1907200,23.49
2013-06-26,23.20,23.41,23.04,23.30,2217800,23.30
2013-06-25,22.81,23.16,22.68,23.07,3109700,23.07
2013-06-24,22.58,22.81,22.36,22.62,2138000,22.62
2013-06-21,22.65,22.92,22.22,22.76,3039800,22.76
2013-06-20,22.94,22.99,22.41,22.49,2897100,22.49
2013-06-19,23.67,23.73,23.09,23.09,2206200,23.09
2013-06-18,23.60,23.81,23.52,23.67,2153000,23.67
2013-06-17,23.85,23.90,23.43,23.54,2597700,23.54
2013-06-14,23.57,23.81,23.50,23.71,2203000,23.71
2013-06-13,23.03,23.68,22.95,23.62,2950700,23.62
2013-06-12,23.24,23.41,22.91,23.07,3651800,23.07
2013-06-11,23.19,23.26,23.01,23.12,3635000,23.12
2013-06-10,23.41,23.55,23.19,23.33,2435500,23.33
2013-06-07,23.21,23.41,23.02,23.39,1981000,23.39
2013-06-06,22.84,23.16,22.65,23.15,3955200,23.15
2013-06-05,23.03,23.23,22.71,22.85,5134900,22.85
2013-06-04,23.15,23.49,22.98,23.11,4100500,23.11
2013-06-03,23.19,23.42,22.97,23.20,3309900,23.20
2013-05-31,23.15,23.72,23.09,23.18,4218900,23.18
2013-05-30,23.14,23.60,23.06,23.20,2396200,23.20
2013-05-29,23.26,23.34,22.81,23.04,2358000,23.04
2013-05-28,23.63,23.87,23.31,23.43,2122200,23.43
2013-05-24,23.65,23.79,23.44,23.56,2005600,23.56
2013-05-23,23.57,23.94,23.45,23.86,3264600,23.86
2013-05-22,24.34,24.48,23.68,23.74,2620300,23.74
2013-05-21,24.29,24.52,24.19,24.37,1703500,24.37
2013-05-20,24.21,24.39,24.15,24.27,2061800,24.27
2013-05-17,24.16,24.37,24.08,24.30,2542500,24.30
2013-05-16,24.33,24.41,24.07,24.10,2381500,24.10
2013-05-15,24.10,24.53,24.06,24.41,2756100,24.41
2013-05-14,23.83,24.30,23.76,24.13,3969800,24.13
2013-05-13,24.10,24.19,24.00,24.08,3067400,23.87
2013-05-10,24.10,24.23,24.03,24.21,2137500,24.00
2013-05-09,23.97,24.30,23.95,24.09,3433800,23.88
2013-05-08,24.33,24.47,24.12,24.22,1998500,24.01
2013-05-07,24.25,24.42,24.19,24.38,3903800,24.17
2013-05-06,24.30,24.32,24.12,24.18,3518800,23.97
2013-05-03,24.17,24.59,23.96,24.34,5153200,24.13
2013-05-02,24.10,24.40,23.93,24.14,3701600,23.93
2013-05-01,24.68,24.73,24.27,24.34,3023000,24.13
2013-04-30,24.56,24.69,24.37,24.68,2899100,24.47
2013-04-29,24.36,24.70,24.26,24.52,2232400,24.31
2013-04-26,24.30,24.43,24.25,24.26,1515300,24.05
2013-04-25,24.34,24.44,24.22,24.32,1679500,24.11
2013-04-24,24.28,24.34,24.12,24.19,1915700,23.98
2013-04-23,24.11,24.20,23.91,24.19,1756700,23.98
2013-04-22,24.11,24.19,23.86,24.02,1734800,23.81
2013-04-19,23.84,24.16,23.75,24.14,1787500,23.93
2013-04-18,23.58,23.88,23.56,23.74,2736900,23.54
2013-04-17,23.74,23.84,23.42,23.57,3483200,23.37
2013-04-16,23.67,23.86,23.54,23.85,3585500,23.64
2013-04-15,24.00,24.04,23.51,23.51,3865900,23.31
2013-04-12,24.18,24.24,24.02,24.02,2731800,23.81
2013-04-11,24.18,24.26,24.11,24.23,1973800,24.02
2013-04-10,24.00,24.15,23.96,24.10,2946400,23.89
2013-04-09,24.15,24.20,23.92,23.94,4057700,23.73
2013-04-08,23.85,24.08,23.82,24.07,2957800,23.86
2013-04-05,23.64,23.93,23.52,23.87,3275800,23.66
2013-04-04,23.78,24.02,23.75,23.94,3438100,23.73
2013-04-03,23.98,24.04,23.66,23.73,2647100,23.53
2013-04-02,23.86,24.08,23.84,23.96,2891200,23.75
2013-04-01,23.89,23.99,23.70,23.80,2002900,23.60
2013-03-28,23.71,24.05,23.64,23.96,3165200,23.75
2013-03-27,23.60,23.80,23.56,23.67,2384900,23.47
2013-03-26,23.55,23.76,23.49,23.75,2971200,23.55
2013-03-25,23.50,23.65,23.20,23.41,3283400,23.21
2013-03-22,23.40,23.65,23.36,23.43,3480000,23.23
2013-03-21,23.00,23.47,22.95,23.44,5159800,23.24
2013-03-20,23.04,23.22,22.99,23.12,2810000,22.92
2013-03-19,23.21,23.27,22.84,22.97,3221900,22.77
2013-03-18,23.04,23.52,22.96,23.11,7814300,22.91
2013-03-15,23.84,24.01,22.83,23.41,24499700,23.21
2013-03-14,21.86,21.90,21.74,21.84,2409600,21.65
2013-03-13,21.82,21.88,21.74,21.87,1769300,21.68
2013-03-12,21.88,21.94,21.74,21.77,1797700,21.58
2013-03-11,21.80,21.92,21.76,21.85,1452900,21.66
2013-03-08,21.72,21.87,21.63,21.82,2884400,21.63
2013-03-07,21.70,21.78,21.60,21.63,2092500,21.44
2013-03-06,21.89,21.90,21.61,21.71,2227000,21.52
2013-03-05,21.71,21.95,21.68,21.86,3465500,21.67
2013-03-04,21.48,21.67,21.43,21.65,2023500,21.46
2013-03-01,21.48,21.56,21.27,21.53,3290200,21.34
2013-02-28,21.28,21.52,21.16,21.43,4961900,21.25
2013-02-27,20.75,21.53,20.75,21.23,9133900,21.05
2013-02-26,20.63,20.90,20.50,20.70,4635700,20.52
2013-02-25,20.94,21.17,20.52,20.52,3592100,20.34
2013-02-22,20.71,20.92,20.68,20.90,3329500,20.72
2013-02-21,20.64,20.79,20.54,20.67,2942700,20.49
2013-02-20,20.48,20.83,20.48,20.70,3801500,20.52
2013-02-19,20.50,20.80,20.43,20.51,5022600,20.33
2013-02-15,20.43,20.57,20.32,20.41,6050500,20.23
2013-02-14,20.76,20.86,20.39,20.43,6194000,20.25
2013-02-13,20.87,21.01,20.66,20.78,3448400,20.60
2013-02-12,20.88,21.06,20.83,21.05,3336800,20.66
2013-02-11,20.91,20.97,20.80,20.92,3130100,20.54
2013-02-08,20.85,20.91,20.75,20.91,2246000,20.53
2013-02-07,20.84,20.87,20.64,20.87,3014000,20.49
2013-02-06,20.59,20.81,20.45,20.78,4258100,20.40
2013-02-05,20.57,20.74,20.57,20.67,3362000,20.29
2013-02-04,20.51,20.59,20.48,20.53,1791500,20.15
2013-02-01,20.53,20.62,20.49,20.56,2774500,20.18
2013-01-31,20.49,20.53,20.38,20.44,2409700,20.07
2013-01-30,20.51,20.61,20.43,20.51,2146000,20.13
