Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,28.07,28.38,27.34,27.67,1595400,27.67
2013-07-11,27.86,28.50,27.86,28.23,2188900,28.23
2013-07-10,27.91,28.15,27.16,27.34,2035400,27.34
2013-07-09,27.82,28.09,27.61,27.83,1997200,27.83
2013-07-08,26.67,27.77,26.60,27.56,2743500,27.56
2013-07-05,26.61,26.72,26.25,26.51,1423400,26.51
2013-07-03,26.94,26.94,26.31,26.56,2220400,26.56
2013-07-02,27.46,27.93,26.81,27.12,3247700,27.12
2013-07-01,27.19,27.90,27.01,27.51,2462000,27.51
2013-06-28,27.25,27.59,26.84,27.10,2433600,27.10
2013-06-27,27.39,27.86,27.12,27.35,3318600,27.35
2013-06-26,28.04,28.16,27.02,27.10,4001500,27.10
2013-06-25,28.38,28.46,26.96,27.93,5387700,27.93
2013-06-24,29.49,29.56,27.28,28.05,5613800,28.05
2013-06-21,30.36,30.45,29.75,29.79,3386900,29.79
2013-06-20,30.74,30.83,29.98,30.14,3091800,30.14
2013-06-19,31.83,32.08,31.08,31.14,1773300,31.14
2013-06-18,31.98,32.55,31.67,31.94,2432000,31.94
2013-06-17,32.15,32.49,31.65,31.96,1835500,31.96
2013-06-14,32.52,32.55,31.30,31.95,1653300,31.95
2013-06-13,31.73,32.56,31.56,32.44,1273900,32.44
2013-06-12,32.63,32.66,31.59,31.81,2829900,31.81
2013-06-11,33.08,33.08,32.26,32.35,2224400,32.35
2013-06-10,33.64,33.76,33.07,33.49,1249900,33.49
2013-06-07,33.52,33.73,33.10,33.63,1628400,33.63
2013-06-06,33.72,33.86,33.11,33.49,1285000,33.49
2013-06-05,34.10,34.24,33.63,33.70,1640600,33.70
2013-06-04,34.67,35.20,33.83,34.28,1385600,34.28
2013-06-03,34.91,35.35,34.21,34.74,1713600,34.74
2013-05-31,35.15,35.37,34.68,34.68,2246200,34.68
2013-05-30,35.25,35.62,34.40,35.44,2882900,35.44
2013-05-29,35.39,35.96,34.84,35.19,1965900,35.19
2013-05-28,35.93,36.14,35.26,35.58,1652500,35.58
2013-05-24,35.34,35.97,35.33,35.46,1566000,35.46
2013-05-23,34.63,35.78,34.37,35.68,2427600,35.68
2013-05-22,35.60,36.31,34.98,35.26,2167500,35.26
2013-05-21,35.27,36.22,34.98,35.44,2298900,35.44
2013-05-20,34.08,35.50,34.01,35.06,1973700,35.06
2013-05-17,33.75,34.20,33.55,33.97,1519500,33.97
2013-05-16,33.72,34.59,33.52,33.64,1900800,33.64
2013-05-15,33.70,34.33,33.41,33.96,1585000,33.96
2013-05-14,33.88,34.20,33.53,33.95,2262500,33.95
2013-05-13,34.71,34.75,33.87,34.05,2648600,34.05
2013-05-10,34.99,35.31,34.17,34.85,1839200,34.85
2013-05-09,35.55,35.77,34.77,35.11,2637800,35.11
2013-05-08,34.85,35.86,34.67,35.79,2896500,35.79
2013-05-07,35.43,35.64,34.76,34.87,1822900,34.74
2013-05-06,35.55,35.75,35.21,35.39,2044500,35.26
2013-05-03,35.20,35.85,35.01,35.58,2518800,35.45
2013-05-02,34.46,35.17,34.08,34.89,4138200,34.76
2013-05-01,33.32,33.92,32.73,33.49,2178200,33.37
2013-04-30,33.21,33.84,32.56,33.64,2658900,33.52
2013-04-29,32.72,33.40,32.40,33.26,2197400,33.14
2013-04-26,32.99,33.21,31.92,32.52,2173300,32.40
2013-04-25,33.35,34.03,32.13,32.99,3561200,32.87
2013-04-24,32.36,33.76,32.27,33.36,2541700,33.24
2013-04-23,32.68,33.04,31.93,32.16,2765100,32.04
2013-04-22,32.52,32.72,31.75,32.61,1542800,32.49
2013-04-19,33.38,33.65,31.80,32.28,2201200,32.16
2013-04-18,31.58,33.73,31.12,33.18,4029900,33.06
2013-04-17,31.89,32.08,30.79,31.33,2619500,31.22
2013-04-16,32.68,32.93,31.62,32.32,1986000,32.20
2013-04-15,33.09,33.48,32.10,32.23,2687100,32.11
2013-04-12,34.41,34.50,32.72,33.57,2314800,33.45
2013-04-11,33.73,33.91,33.31,33.87,1940600,33.75
2013-04-10,33.61,34.03,33.26,33.78,1540900,33.66
2013-04-09,33.27,34.11,33.13,33.57,1613300,33.45
2013-04-08,32.87,33.35,32.66,33.23,1301700,33.11
2013-04-05,31.50,33.23,31.50,32.99,2678900,32.87
2013-04-04,32.37,32.69,31.65,32.00,1838200,31.89
2013-04-03,32.54,33.11,32.04,32.42,2129600,32.30
2013-04-02,32.65,32.67,32.08,32.46,2101100,32.34
2013-04-01,33.73,33.81,32.41,32.53,2886800,32.41
2013-03-28,34.40,34.40,33.55,33.65,2541200,33.53
2013-03-27,33.11,34.55,32.81,34.44,3409800,34.32
2013-03-26,33.92,34.09,32.87,33.45,1950700,33.33
2013-03-25,33.77,33.89,33.37,33.66,1284800,33.54
2013-03-22,33.99,34.22,33.29,33.66,1586900,33.54
2013-03-21,34.07,34.79,33.77,33.77,1669200,33.65
2013-03-20,34.23,34.38,33.49,34.28,1707000,34.16
2013-03-19,34.79,34.96,33.44,34.09,3740600,33.97
2013-03-18,33.35,35.24,33.28,34.79,4330000,34.67
2013-03-15,33.65,34.33,33.47,33.91,3000200,33.79
2013-03-14,32.46,33.72,32.06,33.71,2956300,33.59
2013-03-13,32.61,32.98,32.20,32.44,1503400,32.32
2013-03-12,32.66,32.96,32.30,32.57,1756800,32.45
2013-03-11,32.51,32.99,32.13,32.73,3164500,32.61
2013-03-08,31.62,32.36,31.12,32.12,2774700,32.00
2013-03-07,30.30,31.46,30.08,31.38,4359400,31.27
2013-03-06,30.31,30.52,30.00,30.37,2563700,30.26
2013-03-05,30.29,30.74,29.78,30.21,3091600,30.10
2013-03-04,30.12,30.72,29.59,30.00,3380700,29.89
2013-03-01,31.96,31.97,30.38,30.64,3316800,30.53
2013-02-28,32.10,32.61,31.74,32.15,1723100,32.03
2013-02-27,31.25,32.33,31.24,32.17,1536000,32.05
2013-02-26,31.33,31.50,30.65,31.41,1443200,31.30
