Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,70.91,71.06,70.12,70.83,1827800,70.83
2013-07-11,72.41,72.92,69.82,70.94,3050700,70.94
2013-07-10,71.99,72.36,70.73,71.22,1395300,71.22
2013-07-09,72.02,72.44,71.38,71.77,1460500,71.77
2013-07-08,71.45,72.28,71.20,71.56,1181300,71.56
2013-07-05,72.18,72.40,69.93,71.45,1650100,71.45
2013-07-03,71.08,72.13,70.35,71.69,1422800,71.69
2013-07-02,70.80,72.33,70.53,71.13,1938300,71.13
2013-07-01,71.68,72.09,70.34,70.62,2320200,70.62
2013-06-28,70.36,71.59,69.34,71.02,3183300,71.02
2013-06-27,71.77,72.12,70.59,70.80,1719700,70.80
2013-06-26,71.04,72.14,69.86,71.77,1654500,71.77
2013-06-25,69.93,70.66,68.89,70.35,1537500,70.35
2013-06-24,67.29,69.68,65.68,69.07,2052700,69.07
2013-06-21,69.37,69.38,67.04,68.00,2886500,68.00
2013-06-20,70.21,70.42,68.67,68.94,1761800,68.94
2013-06-19,72.23,72.73,71.43,71.47,1121000,71.47
2013-06-18,71.40,72.85,71.02,72.17,1326500,72.17
2013-06-17,70.47,71.52,70.31,71.31,1575200,71.31
2013-06-14,70.69,70.92,69.06,69.54,1422700,69.54
2013-06-13,69.31,70.70,68.84,70.57,2070700,70.57
2013-06-12,71.02,71.27,69.13,69.45,1578700,69.45
2013-06-11,70.52,71.38,69.90,70.52,1587800,70.52
2013-06-10,72.62,72.95,71.14,71.64,1646100,71.64
2013-06-07,71.05,72.62,70.78,72.31,1516700,72.31
2013-06-06,69.81,70.92,69.17,70.58,1638600,70.58
2013-06-05,70.24,70.66,69.49,70.24,1361200,70.24
2013-06-04,70.73,71.58,69.64,70.42,1531900,70.42
2013-06-03,70.50,71.67,70.25,70.94,1778500,70.94
2013-05-31,71.68,72.37,70.35,70.36,1706800,70.36
2013-05-30,72.20,72.70,71.30,72.17,1777100,72.17
2013-05-29,72.00,73.15,71.78,72.19,1470700,72.19
2013-05-28,72.71,74.23,71.85,72.49,1736300,72.49
2013-05-24,71.62,72.16,70.45,70.96,1753400,70.96
2013-05-23,69.81,72.61,68.70,72.30,2158200,72.30
2013-05-22,71.24,72.52,69.80,70.57,2369500,70.57
2013-05-21,72.43,72.80,70.14,71.11,2232700,71.11
2013-05-20,70.31,72.59,70.30,72.28,2800300,72.28
2013-05-17,67.98,70.48,67.89,70.28,2230100,70.28
2013-05-16,68.53,69.42,67.51,67.73,1999800,67.73
2013-05-15,68.24,68.97,67.48,68.53,1959900,68.53
2013-05-14,66.83,68.60,66.63,68.50,1962800,68.50
2013-05-13,66.69,67.40,66.49,66.66,1216800,66.64
2013-05-10,67.48,67.48,66.03,66.84,1447500,66.82
2013-05-09,67.82,68.66,66.88,67.66,1550200,67.64
2013-05-08,67.97,68.54,67.21,68.12,1374100,68.10
2013-05-07,68.11,68.99,67.79,67.82,1674600,67.80
2013-05-06,67.31,69.23,67.19,68.07,1608200,68.05
2013-05-03,66.84,68.01,66.34,67.31,1772100,67.29
2013-05-02,66.52,67.81,66.00,66.17,2133300,66.15
2013-05-01,67.57,67.57,65.91,66.19,1752000,66.17
2013-04-30,68.12,68.90,67.44,68.05,2208600,68.03
2013-04-29,67.93,68.75,67.60,68.18,1915500,68.16
2013-04-26,68.49,68.85,66.27,67.33,2168800,67.31
2013-04-25,67.42,70.49,67.16,68.20,2729700,68.18
2013-04-24,66.25,67.62,66.07,66.92,2502500,66.90
2013-04-23,65.81,66.01,64.90,65.90,1655300,65.88
2013-04-22,64.65,66.18,64.05,65.80,1979200,65.78
2013-04-19,65.79,66.19,63.76,64.60,2450800,64.58
2013-04-18,64.62,65.81,63.99,65.72,4365300,65.70
2013-04-17,64.45,64.58,63.26,63.96,2749600,63.94
2013-04-16,64.56,65.25,63.53,64.79,3825100,64.77
2013-04-15,67.05,67.21,63.51,63.53,4315800,63.51
2013-04-12,69.36,69.54,67.69,67.70,2615900,67.68
2013-04-11,70.73,71.39,69.65,69.80,1896600,69.78
2013-04-10,70.75,70.90,69.44,69.55,2442500,69.53
2013-04-09,68.68,71.06,68.28,70.33,2631400,70.31
2013-04-08,68.43,69.96,68.04,68.64,2649800,68.62
2013-04-05,64.24,67.97,63.95,67.96,2705100,67.94
2013-04-04,64.95,65.43,63.81,64.64,1684800,64.62
2013-04-03,66.53,66.98,64.06,64.75,1868200,64.73
2013-04-02,67.44,67.44,66.49,66.65,1481800,66.63
