Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,58.99,59.32,58.29,59.00,1667200,59.00
2013-07-11,59.25,59.36,58.83,59.05,1626200,59.05
2013-07-10,58.81,58.83,58.09,58.60,2128800,58.60
2013-07-09,58.05,58.29,57.69,58.01,2270400,58.01
2013-07-08,57.72,57.99,57.34,57.75,2064500,57.75
2013-07-05,56.90,57.73,56.61,57.45,1708100,57.45
2013-07-03,56.10,56.91,55.84,56.46,1096600,56.46
2013-07-02,56.96,57.32,56.20,56.60,2141100,56.60
2013-07-01,57.35,57.72,56.91,57.02,2054800,57.02
2013-06-28,56.27,57.69,56.24,57.09,4641800,57.09
2013-06-27,56.51,56.68,56.09,56.38,1837900,56.38
2013-06-26,55.79,56.43,55.59,55.99,2636500,55.99
2013-06-25,55.40,55.97,54.94,55.14,3051900,55.14
2013-06-24,55.76,55.81,53.79,55.27,5269200,55.27
2013-06-21,57.78,57.89,56.10,56.54,3980200,56.54
2013-06-20,57.75,57.94,57.09,57.29,3298500,57.29
2013-06-19,58.50,59.00,58.08,58.19,2263900,58.19
2013-06-18,58.08,58.49,57.64,58.48,2105500,58.48
2013-06-17,58.80,59.49,57.78,58.13,4015700,58.13
2013-06-14,58.59,58.81,58.21,58.52,3712100,58.52
2013-06-13,57.82,58.93,57.45,58.70,3576300,58.70
2013-06-12,58.76,58.76,57.05,57.72,5045500,57.72
2013-06-11,57.95,58.80,57.81,58.45,3011500,58.45
2013-06-10,58.80,59.04,58.21,58.69,1993000,58.69
2013-06-07,58.00,59.00,57.84,58.75,3348900,58.75
2013-06-06,57.41,57.53,57.00,57.52,3735800,57.52
2013-06-05,58.21,58.26,57.29,57.57,4128700,57.57
2013-06-04,58.07,58.88,58.00,58.57,3704000,58.23
2013-06-03,58.58,58.99,58.11,58.54,3504300,58.20
2013-05-31,58.30,59.17,58.02,58.26,3015000,57.92
2013-05-30,58.16,58.83,58.08,58.37,2162000,58.03
2013-05-29,58.30,58.63,57.97,58.23,2164200,57.89
2013-05-28,58.88,59.54,58.19,58.58,3482600,58.24
2013-05-24,58.25,58.31,57.00,57.76,3474400,57.43
2013-05-23,58.35,58.61,57.82,58.59,3061000,58.25
2013-05-22,59.59,60.12,58.79,59.05,4217500,58.71
2013-05-21,58.94,59.61,58.85,59.60,3992600,59.26
2013-05-20,59.25,59.83,58.96,59.53,3662500,59.19
2013-05-17,58.51,59.23,58.37,59.23,4440700,58.89
2013-05-16,58.88,59.45,58.16,58.38,2926500,58.04
2013-05-15,59.07,59.47,58.47,58.85,3240400,58.51
2013-05-14,59.20,59.45,58.77,59.10,3080000,58.76
2013-05-13,59.14,59.78,59.10,59.18,2933100,58.84
2013-05-10,58.41,59.83,58.32,59.50,4640200,59.16
2013-05-09,58.84,58.98,58.27,58.53,2979700,58.19
2013-05-08,58.12,58.82,57.78,58.74,3464700,58.40
2013-05-07,56.65,58.32,56.50,58.28,6214800,57.94
2013-05-06,58.26,58.34,57.28,57.33,3827400,57.00
2013-05-03,58.56,58.96,58.20,58.25,3417500,57.91
2013-05-02,58.20,58.99,57.92,58.18,3960500,57.84
2013-05-01,58.80,58.90,58.10,58.24,4145300,57.90
2013-04-30,58.33,58.95,57.96,58.86,4099700,58.52
2013-04-29,57.76,58.95,57.25,58.27,5024100,57.93
2013-04-26,57.48,57.74,57.03,57.42,3534700,57.09
2013-04-25,56.20,57.98,56.08,57.53,5640800,57.20
2013-04-24,55.22,56.51,55.22,56.28,7099800,55.96
2013-04-23,55.89,56.74,54.97,55.55,20600500,55.23
2013-04-22,51.22,51.45,50.28,50.59,7837700,50.30
2013-04-19,50.63,51.79,50.40,51.20,5689000,50.90
2013-04-18,50.97,52.56,50.44,51.38,8466900,51.08
2013-04-17,51.04,51.11,50.44,50.85,4729800,50.56
2013-04-16,51.62,51.74,50.76,51.71,4122700,51.41
2013-04-15,52.06,52.14,51.21,51.44,5684700,51.14
2013-04-12,52.05,52.47,51.84,52.37,4361200,52.07
2013-04-11,51.30,52.75,51.25,52.33,6856200,52.03
2013-04-10,50.10,51.45,50.10,51.21,6185300,50.91
2013-04-09,49.90,50.09,49.25,49.93,4760200,49.64
2013-04-08,50.15,50.48,49.41,50.00,2940400,49.71
2013-04-05,49.70,50.18,48.76,50.10,4872300,49.81
2013-04-04,50.48,50.82,50.06,50.33,4282400,50.04
2013-04-03,50.50,50.98,50.10,50.55,5055700,50.26
2013-04-02,50.13,50.87,50.09,50.39,4580200,50.10
2013-04-01,49.78,50.33,49.45,49.99,4267300,49.70
2013-03-28,49.47,50.07,49.01,49.99,5568600,49.70
2013-03-27,49.34,49.90,48.64,49.61,4025800,49.32
2013-03-26,49.83,49.88,48.83,49.50,3824700,49.21
2013-03-25,50.44,50.55,49.35,49.72,4373000,49.43
2013-03-22,50.10,50.65,50.02,50.27,4801200,49.98
2013-03-21,49.10,50.40,49.10,49.81,7365000,49.52
2013-03-20,48.80,49.42,48.52,49.29,4121200,49.01
2013-03-19,49.52,49.69,47.81,48.47,7702500,48.19
2013-03-18,49.88,50.18,49.13,49.27,6971300,48.99
2013-03-15,50.25,50.73,50.01,50.41,7035000,50.12
2013-03-14,49.88,50.40,49.52,49.99,5533500,49.70
2013-03-13,50.04,50.10,48.91,49.67,7492000,49.38
2013-03-12,49.69,49.89,48.61,48.81,5777500,48.53
2013-03-11,49.05,49.81,48.53,49.50,7457900,49.21
2013-03-08,48.94,49.24,48.38,48.93,12464900,48.65
2013-03-07,50.10,50.19,48.12,48.54,9074000,48.26
2013-03-06,50.25,50.42,49.54,49.93,7395300,49.64
2013-03-05,49.59,50.89,49.54,50.10,5968900,49.51
2013-03-04,48.24,49.54,48.18,49.28,5047400,48.70
2013-03-01,48.02,48.52,47.87,48.22,4096100,47.65
2013-02-28,47.93,48.64,47.55,48.33,5352400,47.76
2013-02-27,48.22,49.00,47.75,47.82,14252500,47.26
2013-02-26,46.95,47.14,45.87,46.50,6765800,45.95
2013-02-25,47.27,47.53,46.71,46.77,5978300,46.22
2013-02-22,47.87,47.97,46.47,46.79,5929800,46.24
2013-02-21,48.09,48.46,47.11,47.62,6382700,47.06
2013-02-20,49.02,49.46,47.96,48.13,4446200,47.57
2013-02-19,48.85,49.11,48.06,49.02,4666700,48.45
2013-02-15,48.36,48.67,48.05,48.40,4971800,47.83
2013-02-14,48.45,48.68,48.10,48.20,5002600,47.63
2013-02-13,48.94,49.31,48.70,48.77,3729800,48.20
2013-02-12,48.77,49.59,48.77,49.01,4732900,48.44
2013-02-11,48.92,49.14,48.58,48.93,3390000,48.36
2013-02-08,48.69,49.09,48.38,48.93,4458100,48.36
2013-02-07,49.28,49.74,48.51,48.61,5844500,48.04
2013-02-06,48.93,49.25,48.65,49.10,6452700,48.52
2013-02-05,48.73,49.25,48.66,48.81,4709200,48.24
2013-02-04,49.86,50.13,48.52,48.67,7616100,48.10
2013-02-01,51.38,51.39,49.54,49.87,9586200,49.29
2013-01-31,51.73,52.03,50.84,51.00,5768200,50.40
2013-01-30,52.27,52.35,51.35,51.55,7867600,50.95
2013-01-29,51.77,52.35,51.48,52.22,7132900,51.61
2013-01-28,51.39,51.59,50.83,51.52,5973500,50.92
2013-01-25,51.47,51.70,50.68,51.21,11299900,50.61
2013-01-24,51.36,51.46,50.75,50.90,14510500,50.30
2013-01-23,50.98,52.44,50.47,50.75,50973600,50.15
2013-01-22,61.60,61.60,59.86,60.68,6182200,59.97
2013-01-18,61.49,61.94,60.87,61.80,3454500,61.08
2013-01-17,61.13,61.84,60.59,61.57,2916100,60.85
2013-01-16,60.82,61.41,60.40,61.00,2243500,60.28
2013-01-15,60.81,61.43,60.12,61.41,3693800,60.69
