Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,24.31,24.79,24.28,24.36,5777800,24.36
2013-07-11,24.44,24.51,24.11,24.39,5648400,24.39
2013-07-10,24.05,24.10,23.75,23.91,6564100,23.91
2013-07-09,23.50,24.15,23.46,24.06,10029900,24.06
2013-07-08,23.38,23.40,23.09,23.27,4922200,23.27
2013-07-05,23.19,23.35,23.02,23.26,5362500,23.26
2013-07-03,23.02,23.10,22.89,23.03,2798000,23.03
2013-07-02,23.15,23.39,22.95,23.11,8764900,23.11
2013-07-01,23.33,23.50,23.09,23.22,6105300,23.22
2013-06-28,23.43,23.55,23.17,23.19,8782300,23.19
2013-06-27,23.36,23.57,23.23,23.46,6067300,23.46
2013-06-26,23.39,23.56,22.98,23.23,9296700,23.23
2013-06-25,22.90,23.23,22.79,23.14,9244300,23.14
2013-06-24,23.23,23.24,22.40,22.65,13780300,22.65
2013-06-21,24.12,24.12,23.34,23.47,15667800,23.47
2013-06-20,24.28,24.28,23.80,23.96,12476500,23.96
2013-06-19,25.27,25.34,24.60,24.60,7453100,24.60
2013-06-18,24.87,25.29,24.79,25.29,4558900,25.29
2013-06-17,25.07,25.11,24.62,24.84,8150600,24.84
2013-06-14,25.12,25.44,24.92,24.94,7345500,24.94
2013-06-13,24.80,25.11,24.76,25.06,6833300,25.06
2013-06-12,25.04,25.11,24.77,24.85,7237700,24.85
2013-06-11,24.86,25.20,24.73,24.77,6526900,24.77
2013-06-10,25.16,25.31,25.03,25.08,6823500,25.08
2013-06-07,24.96,25.34,24.84,25.02,7539100,25.02
2013-06-06,24.23,24.75,24.12,24.73,9287100,24.73
2013-06-05,24.63,24.66,24.20,24.22,8778200,24.22
2013-06-04,25.16,25.44,24.73,24.74,9815400,24.74
2013-06-03,25.30,25.41,24.86,25.18,5727000,25.18
2013-05-31,25.32,25.82,25.20,25.21,6715200,25.21
2013-05-30,25.30,25.66,25.25,25.46,4258900,25.46
2013-05-29,25.05,25.54,24.85,25.19,8679900,25.19
2013-05-28,25.82,25.99,25.20,25.30,10423000,25.15
2013-05-24,25.22,25.55,25.11,25.50,4221900,25.35
2013-05-23,25.36,25.42,25.13,25.35,7205100,25.20
2013-05-22,26.16,26.31,25.67,25.76,5790500,25.61
2013-05-21,26.22,26.36,26.10,26.14,4090100,25.99
2013-05-20,25.88,26.20,25.88,26.12,4314900,25.97
2013-05-17,25.77,26.00,25.66,25.92,5560100,25.77
2013-05-16,25.85,25.94,25.58,25.70,5021000,25.55
2013-05-15,25.64,26.00,25.57,25.90,5145500,25.75
2013-05-14,25.35,25.80,25.29,25.76,6520600,25.61
2013-05-13,25.33,25.43,25.07,25.31,4835900,25.16
2013-05-10,25.47,25.54,25.22,25.43,6223900,25.28
2013-05-09,25.62,25.74,25.36,25.43,7946100,25.28
2013-05-08,25.28,25.65,25.11,25.63,6135800,25.48
2013-05-07,25.27,25.33,25.10,25.33,4930400,25.18
2013-05-06,24.82,25.26,24.81,25.23,6723600,25.08
2013-05-03,24.59,24.98,24.59,24.81,5641400,24.66
2013-05-02,24.12,24.54,24.11,24.31,3948100,24.17
2013-05-01,24.55,24.59,24.03,24.07,6127800,23.93
2013-04-30,24.57,24.61,24.35,24.59,5072200,24.44
2013-04-29,24.49,24.69,24.29,24.61,4925000,24.46
2013-04-26,24.39,24.45,24.18,24.37,4879000,24.23
2013-04-25,24.13,24.42,24.01,24.30,6614900,24.16
2013-04-24,23.85,24.02,23.61,23.99,5594900,23.85
2013-04-23,23.97,24.03,23.66,23.80,6026600,23.66
2013-04-22,23.80,23.91,23.50,23.80,5500800,23.66
2013-04-19,23.83,23.85,23.51,23.70,7674100,23.56
2013-04-18,23.63,23.96,23.55,23.76,10623300,23.62
2013-04-17,23.88,24.06,23.30,23.51,12484600,23.37
2013-04-16,23.73,24.42,23.65,24.14,12122100,24.00
2013-04-15,24.36,24.39,23.45,23.47,8411300,23.33
2013-04-12,24.32,24.65,24.26,24.51,7435000,24.36
2013-04-11,24.32,24.40,24.17,24.28,5827300,24.14
2013-04-10,23.97,24.27,23.92,24.24,4513200,24.10
2013-04-09,23.93,24.09,23.59,23.90,7585800,23.76
2013-04-08,23.67,24.00,23.67,23.95,5870800,23.81
2013-04-05,23.42,23.92,23.26,23.84,6547600,23.70
2013-04-04,23.95,23.97,23.55,23.77,7002900,23.63
2013-04-03,24.10,24.29,23.82,23.95,8407900,23.81
2013-04-02,24.30,24.53,24.13,24.19,7408000,24.05
2013-04-01,24.64,24.69,24.09,24.20,5690700,24.06
2013-03-28,24.44,24.67,24.32,24.63,6115000,24.48
2013-03-27,24.06,24.41,23.90,24.35,7740000,24.21
2013-03-26,23.93,24.19,23.93,24.14,5902300,24.00
2013-03-25,24.15,24.27,23.84,23.89,5021500,23.75
2013-03-22,24.05,24.14,23.94,24.03,4110800,23.89
2013-03-21,24.21,24.21,23.79,23.92,7793600,23.78
2013-03-20,24.08,24.33,23.90,24.30,8668500,24.16
2013-03-19,24.00,24.09,23.63,23.95,7157800,23.81
2013-03-18,23.78,24.30,23.75,23.94,7161400,23.80
2013-03-15,23.78,24.27,23.75,24.02,11987800,23.88
2013-03-14,23.63,23.89,23.56,23.86,8198600,23.72
2013-03-13,23.38,23.59,23.22,23.58,7190300,23.44
2013-03-12,23.31,23.48,23.17,23.38,8864600,23.24
2013-03-11,23.02,23.48,23.02,23.34,8541800,23.20
2013-03-08,22.89,23.15,22.74,22.99,12026700,22.85
2013-03-07,23.20,23.32,22.62,22.71,13216600,22.58
2013-03-06,23.71,23.80,23.11,23.20,9809900,23.06
2013-03-05,23.27,23.72,23.21,23.58,8298200,23.44
2013-03-04,22.86,23.20,22.81,23.15,8354500,23.01
2013-03-01,22.86,23.05,22.70,22.97,6913000,22.83
2013-02-28,22.85,23.08,22.68,22.94,7707700,22.80
2013-02-27,22.12,22.91,22.11,22.80,9588600,22.66
2013-02-26,22.25,22.31,21.84,22.14,9624300,22.01
2013-02-25,22.97,23.05,22.22,22.22,8295300,21.95
2013-02-22,22.63,22.96,22.51,22.86,6063400,22.58
2013-02-21,22.75,22.76,22.44,22.55,6583200,22.28
2013-02-20,23.08,23.10,22.75,22.82,8114000,22.54
2013-02-19,22.83,23.08,22.75,23.08,7816600,22.80
2013-02-15,23.00,23.00,22.70,22.79,7451600,22.51
2013-02-14,22.83,22.94,22.78,22.93,5413800,22.65
2013-02-13,22.74,22.94,22.69,22.87,6711800,22.59
2013-02-12,22.70,22.71,22.45,22.64,8003500,22.36
2013-02-11,22.35,22.74,22.26,22.65,15488400,22.37
2013-02-08,21.72,21.97,21.66,21.97,7616500,21.70
2013-02-07,21.56,21.73,21.45,21.72,6031900,21.46
2013-02-06,21.60,21.76,21.51,21.57,8448600,21.31
2013-02-05,21.75,21.77,21.61,21.64,6421000,21.38
2013-02-04,21.78,21.95,21.61,21.65,7620300,21.39
2013-02-01,22.24,22.24,21.73,21.92,9525000,21.65
2013-01-31,22.04,22.22,21.85,22.03,7404100,21.76
2013-01-30,22.47,22.56,22.08,22.13,9396500,21.86
2013-01-29,22.39,22.67,22.23,22.52,9370400,22.25
2013-01-28,22.36,22.42,22.15,22.32,8012900,22.05
2013-01-25,22.18,22.45,21.90,22.24,11655600,21.97
2013-01-24,21.81,22.24,21.81,22.09,14906300,21.82
2013-01-23,21.25,21.83,21.06,21.68,18305400,21.42
2013-01-22,20.92,21.00,20.57,20.81,12721900,20.56
2013-01-18,20.68,21.17,20.61,20.91,15325900,20.66
2013-01-17,20.92,20.97,20.65,20.89,7997300,20.64
2013-01-16,20.73,20.90,20.71,20.82,4814300,20.57
2013-01-15,20.59,20.81,20.59,20.78,5428500,20.53
2013-01-14,20.52,20.78,20.45,20.65,6574700,20.40
2013-01-11,20.64,20.67,20.29,20.54,6853200,20.29
2013-01-10,20.42,20.58,20.01,20.54,20697700,20.29
2013-01-09,20.57,20.76,20.47,20.54,8186400,20.29
2013-01-08,20.46,20.53,20.30,20.51,8459200,20.26
2013-01-07,20.81,20.83,20.42,20.46,10994000,20.21
2013-01-04,20.50,21.04,20.40,20.94,9247400,20.68
2013-01-03,20.12,20.67,20.11,20.36,7604200,20.11
2013-01-02,20.11,20.41,20.05,20.17,12526900,19.92
2012-12-31,19.40,19.74,19.36,19.73,6392000,19.49
2012-12-28,19.50,19.65,19.42,19.43,4528100,19.19
2012-12-27,19.73,19.74,19.44,19.62,8546400,19.38
2012-12-26,19.89,19.95,19.64,19.70,5212300,19.46
2012-12-24,19.91,19.96,19.78,19.85,3304900,19.61
2012-12-21,19.77,20.03,19.76,19.95,12707500,19.71
2012-12-20,20.07,20.19,20.00,20.10,10894300,19.85
2012-12-19,20.23,20.25,19.95,20.01,10116200,19.77
2012-12-18,19.96,20.27,19.88,20.24,8935900,19.99
2012-12-17,19.85,20.00,19.72,19.91,6042600,19.67
2012-12-14,19.80,20.04,19.70,19.77,8598300,19.53
2012-12-13,19.66,19.91,19.60,19.74,8148900,19.50
2012-12-12,19.66,19.73,19.42,19.64,16431400,19.40
2012-12-11,20.07,20.07,19.58,19.59,10703400,19.35
2012-12-10,19.82,20.05,19.78,19.93,9476800,19.69
2012-12-07,20.20,20.25,19.81,19.91,13871600,19.67
2012-12-06,20.27,20.31,19.97,20.25,9160800,20.00
2012-12-05,19.72,20.28,19.72,20.16,11812800,19.91
2012-12-04,19.50,19.77,19.50,19.64,7012700,19.40
2012-12-03,19.86,19.92,19.49,19.57,7141600,19.33
2012-11-30,19.82,19.94,19.65,19.76,9570100,19.52
2012-11-29,19.85,19.96,19.62,19.84,8447800,19.60
2012-11-28,19.85,19.88,19.57,19.78,10690500,19.54
2012-11-27,20.08,20.27,19.92,20.01,10447900,19.63
2012-11-26,19.63,20.02,19.60,20.01,9294100,19.63
2012-11-23,19.45,19.71,19.36,19.71,5461200,19.33
2012-11-21,19.56,19.56,19.31,19.37,5372100,19.00
2012-11-20,19.61,19.69,19.39,19.52,6146800,19.15
2012-11-19,19.21,19.68,19.18,19.68,8488900,19.30
2012-11-16,19.45,19.45,18.88,19.01,15469900,18.65
2012-11-15,19.55,19.67,19.20,19.37,8394700,19.00
2012-11-14,19.96,20.03,19.53,19.59,9632400,19.22
2012-11-13,19.85,20.20,19.85,19.90,6666500,19.52
2012-11-12,19.94,20.12,19.86,19.96,6069500,19.58
2012-11-09,20.02,20.10,19.84,19.88,18515400,19.50
2012-11-08,20.26,20.36,20.04,20.04,9822000,19.66
2012-11-07,20.29,20.55,20.15,20.23,13666200,19.84
2012-11-06,20.72,20.92,20.65,20.86,9045900,20.46
2012-11-05,20.57,20.78,20.55,20.71,7017700,20.31
2012-11-02,20.99,21.08,20.63,20.66,10012200,20.27
2012-11-01,20.49,20.84,20.47,20.83,15403800,20.43
2012-10-31,20.69,20.80,20.44,20.47,10486300,20.08
2012-10-26,20.58,20.76,20.46,20.55,11585500,20.16
2012-10-25,20.77,20.82,20.46,20.58,11923000,20.19
2012-10-24,21.40,21.42,20.50,20.59,15084900,20.20
2012-10-23,20.97,21.47,20.97,21.31,9128300,20.90
2012-10-22,21.08,21.42,21.04,21.29,7578900,20.88
2012-10-19,21.30,21.37,21.02,21.10,9718800,20.70
2012-10-18,21.07,21.45,21.01,21.36,15080600,20.95
2012-10-17,21.00,21.41,20.59,21.19,20866600,20.79
2012-10-16,21.55,21.76,21.45,21.63,9440400,21.22
2012-10-15,21.36,21.48,21.17,21.45,5290700,21.04
2012-10-12,21.24,21.45,21.07,21.31,5062800,20.90
2012-10-11,21.27,21.38,21.16,21.16,5341400,20.76
2012-10-10,21.28,21.35,20.92,21.09,7862700,20.69
2012-10-09,21.54,21.72,21.17,21.21,7733200,20.80
2012-10-08,21.35,21.72,21.30,21.61,5847600,21.20
2012-10-05,21.41,21.58,21.35,21.42,4697100,21.01
2012-10-04,21.34,21.47,21.22,21.29,5979900,20.88
2012-10-03,20.90,21.22,20.80,21.18,10172600,20.78
2012-10-02,20.92,21.02,20.65,20.70,9424500,20.30
2012-10-01,20.80,21.00,20.75,20.81,7058200,20.41
2012-09-28,21.00,21.00,20.65,20.75,10742400,20.35
2012-09-27,21.16,21.24,20.95,21.11,4491200,20.71
2012-09-26,21.07,21.15,20.93,21.00,6971300,20.60
2012-09-25,21.45,21.62,21.09,21.17,9739200,20.77
2012-09-24,21.00,21.47,20.88,21.36,11288500,20.95
2012-09-21,21.72,21.73,21.11,21.13,13694300,20.73
2012-09-20,21.73,22.20,21.37,21.49,26114800,21.08
2012-09-19,22.63,22.85,22.51,22.79,6833900,22.35
2012-09-18,23.13,23.15,22.80,23.01,5002000,22.57
