Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,60.76,61.25,60.66,60.95,3594700,60.95
2013-07-11,60.56,61.06,60.14,61.00,4215000,61.00
2013-07-10,60.05,60.33,59.81,59.88,4879200,59.88
2013-07-09,59.79,60.37,59.66,60.15,4102700,60.15
2013-07-08,58.98,59.53,58.72,59.53,3510700,59.53
2013-07-05,58.60,58.76,57.94,58.64,2726400,58.64
2013-07-03,58.21,58.34,57.47,58.30,3172000,58.30
2013-07-02,57.56,58.58,57.32,58.49,5512500,58.49
2013-07-01,57.72,58.57,57.41,57.59,4747200,57.59
2013-06-28,57.26,57.68,56.62,57.18,8936200,57.18
2013-06-27,57.65,57.96,57.19,57.26,4081000,57.26
2013-06-26,57.20,57.57,57.07,57.36,4043200,57.36
2013-06-25,56.42,56.89,55.66,56.62,6845800,56.62
2013-06-24,57.10,57.44,56.27,56.84,5058200,56.84
2013-06-21,57.50,58.14,57.17,57.57,7464400,57.57
2013-06-20,58.54,58.56,56.82,56.99,6733500,56.99
2013-06-19,59.90,60.34,59.09,59.09,4745100,59.09
2013-06-18,59.41,59.99,59.20,59.91,2704200,59.91
2013-06-17,59.45,59.86,58.87,59.27,3825200,59.27
2013-06-14,59.22,59.95,58.90,59.03,4224200,59.03
2013-06-13,58.45,59.37,58.34,59.27,4031800,59.27
2013-06-12,59.07,59.80,58.34,58.38,3198700,58.38
2013-06-11,58.31,59.17,58.05,58.67,5254900,58.67
2013-06-10,58.54,59.29,58.50,58.60,4952100,58.60
2013-06-07,58.49,58.63,57.92,58.49,3914100,58.49
2013-06-06,57.22,57.89,56.64,57.89,4634700,57.89
2013-06-05,57.41,57.78,56.97,57.23,4174000,57.23
2013-06-04,58.56,58.81,57.03,57.49,5104000,57.49
2013-06-03,57.76,58.70,56.59,58.65,6983100,58.65
2013-05-31,58.89,59.15,57.58,57.58,6990500,57.58
2013-05-30,59.44,59.44,58.79,58.79,3271100,58.79
2013-05-29,59.83,59.88,59.06,59.24,3809200,59.24
2013-05-28,59.71,60.70,59.71,60.21,6267400,60.21
2013-05-24,58.29,59.35,57.96,59.20,4245000,59.20
2013-05-23,58.34,58.70,57.80,58.33,4149800,58.33
2013-05-22,59.44,59.95,58.49,58.70,6008400,58.70
2013-05-21,58.97,59.67,58.96,59.51,4092100,59.51
2013-05-20,59.38,59.44,58.74,58.98,3747800,58.98
2013-05-17,59.33,59.64,59.04,59.44,4130000,59.44
2013-05-16,60.07,60.13,59.09,59.37,5505100,59.37
2013-05-15,59.99,60.66,59.58,60.35,5369100,60.35
2013-05-14,58.50,60.14,58.49,60.07,8427600,60.07
2013-05-13,57.99,58.89,57.85,58.55,6056400,58.55
2013-05-10,57.44,58.07,57.23,58.03,5089300,58.03
2013-05-09,58.31,58.40,57.20,57.49,5697200,57.49
2013-05-08,58.69,58.85,58.12,58.29,5131600,58.29
2013-05-07,57.96,58.60,57.62,58.54,4794800,58.54
2013-05-06,58.42,58.50,57.58,57.94,5150000,57.94
2013-05-03,59.33,59.37,58.50,58.64,4168700,58.64
2013-05-02,58.61,59.05,57.89,58.95,6579800,58.95
2013-05-01,58.97,59.25,58.54,58.75,8112900,58.75
2013-04-30,57.55,58.27,57.45,58.18,6759800,58.18
2013-04-29,57.94,58.00,57.37,57.44,4055800,57.44
2013-04-26,57.85,58.20,57.64,57.73,3997400,57.73
2013-04-25,57.85,58.33,57.68,57.94,6320600,57.94
2013-04-24,57.97,58.32,57.53,57.58,3631900,57.58
2013-04-23,58.23,58.50,57.58,58.02,4272300,58.02
2013-04-22,58.03,58.20,57.35,58.11,3663300,58.11
2013-04-19,57.30,58.13,56.83,58.00,6079600,58.00
2013-04-18,57.25,57.27,56.58,56.87,5519500,56.64
2013-04-17,57.44,57.78,56.99,57.21,7786300,56.98
2013-04-16,56.54,57.70,56.43,57.63,5366700,57.40
2013-04-15,57.33,57.53,56.30,56.31,6120900,56.09
2013-04-12,57.66,57.99,57.17,57.52,4613900,57.29
2013-04-11,57.07,58.29,57.05,57.76,6541300,57.53
2013-04-10,56.60,57.09,56.53,56.96,5629900,56.73
2013-04-09,56.55,57.00,56.13,56.58,5694200,56.36
2013-04-08,55.65,56.44,55.20,56.44,5237600,56.22
2013-04-05,54.83,55.66,54.77,55.64,5724600,55.42
2013-04-04,54.33,55.39,54.30,55.35,5982000,55.13
2013-04-03,55.13,55.20,53.94,54.13,6749200,53.92
2013-04-02,54.53,55.30,54.53,55.24,8002900,55.02
2013-04-01,54.75,54.97,54.33,54.53,5450800,54.31
2013-03-28,54.95,55.06,54.79,54.99,9400700,54.77
2013-03-27,55.05,55.23,54.76,54.99,8530200,54.77
2013-03-26,55.53,56.07,55.26,55.29,7631600,55.07
2013-03-25,55.27,55.64,55.13,55.30,6376600,55.08
2013-03-22,54.72,55.25,54.71,55.20,5230000,54.98
2013-03-21,54.85,55.18,54.61,54.65,7515700,54.43
2013-03-20,54.78,55.35,54.70,55.15,9136300,54.93
2013-03-19,54.00,54.49,53.95,54.38,8983200,54.16
2013-03-18,53.20,54.03,53.03,53.80,7208800,53.59
2013-03-15,53.33,53.61,53.18,53.58,8924700,53.37
2013-03-14,53.07,53.30,52.95,53.26,5796400,53.05
2013-03-13,52.22,52.93,52.17,52.90,4521600,52.69
2013-03-12,52.17,52.50,51.77,52.08,6388500,51.87
2013-03-11,52.27,52.63,52.20,52.63,4622100,52.42
2013-03-08,52.30,52.45,51.84,52.28,3979000,52.07
2013-03-07,52.22,52.22,51.70,52.09,3687800,51.88
2013-03-06,52.58,52.69,52.14,52.22,5022700,52.01
2013-03-05,52.01,52.43,51.87,52.30,5358600,52.09
2013-03-04,51.40,51.87,51.25,51.87,3132800,51.66
2013-03-01,51.07,51.64,50.88,51.56,4565000,51.36
2013-02-28,51.21,51.63,51.05,51.12,6018800,50.92
2013-02-27,50.71,51.26,50.51,51.16,3474600,50.96
2013-02-26,50.71,50.99,50.21,50.64,4128000,50.44
2013-02-25,51.69,51.97,50.53,50.53,4479000,50.33
2013-02-22,51.89,51.94,51.24,51.35,4220200,51.15
2013-02-21,51.72,51.92,51.52,51.86,5439700,51.65
2013-02-20,52.50,52.66,51.85,51.85,6350400,51.64
2013-02-19,51.38,52.77,51.38,52.66,7829300,52.45
2013-02-15,52.10,52.10,50.89,51.12,8490100,50.92
2013-02-14,50.92,52.06,50.92,51.89,5182900,51.68
2013-02-13,51.13,51.19,50.81,51.06,4838000,50.86
2013-02-12,51.26,51.31,51.13,51.17,4304000,50.97
2013-02-11,51.25,51.40,51.17,51.24,3992300,51.04
2013-02-08,51.12,51.39,51.03,51.20,3655900,51.00
2013-02-07,51.32,51.32,50.97,51.19,8371700,50.99
2013-02-06,52.09,52.20,50.97,51.24,7330000,51.04
2013-02-05,51.35,51.78,51.19,51.72,6791300,51.52
2013-02-04,51.42,51.58,50.92,51.00,5143300,50.80
2013-02-01,51.63,51.77,51.53,51.58,5694800,51.38
2013-01-31,51.57,51.69,51.19,51.20,5865600,51.00
2013-01-30,51.30,51.84,51.25,51.65,3961300,51.45
2013-01-29,51.27,51.62,51.13,51.34,6527100,51.14
2013-01-28,51.21,51.64,50.90,51.34,7026100,51.14
2013-01-25,52.32,52.42,51.56,51.86,8773200,51.65
2013-01-24,52.60,52.73,52.04,52.06,6314700,51.85
2013-01-23,51.92,52.63,51.92,52.61,4571400,52.40
2013-01-22,51.84,52.39,51.65,52.11,6231200,51.90
2013-01-18,52.33,52.35,51.89,52.11,5654300,51.68
2013-01-17,51.86,52.42,51.68,52.17,6376600,51.74
2013-01-16,51.61,51.95,51.57,51.76,4190100,51.33
2013-01-15,51.63,51.80,51.43,51.79,5472700,51.36
2013-01-14,51.41,51.94,51.15,51.89,5222300,51.46
2013-01-11,50.93,51.39,50.93,51.30,7209200,50.88
2013-01-10,50.45,51.24,50.45,51.23,6909500,50.81
2013-01-09,50.01,50.28,50.00,50.28,5895200,49.86
2013-01-08,49.94,50.16,49.68,49.85,4708000,49.44
2013-01-07,49.63,50.04,49.44,50.03,5178100,49.62
2013-01-04,49.85,50.10,49.66,49.99,5615700,49.58
2013-01-03,49.55,49.80,49.43,49.78,6082200,49.37
2013-01-02,49.02,49.69,49.00,49.68,8925500,49.27
2012-12-31,47.76,48.45,47.65,48.35,5069500,47.95
2012-12-28,48.12,48.42,47.90,47.92,3420100,47.52
2012-12-27,48.32,48.49,47.96,48.40,3980400,48.00
2012-12-26,48.63,48.88,48.22,48.30,2949000,47.90
2012-12-24,48.48,48.73,48.37,48.63,1516300,48.23
2012-12-21,48.76,49.12,48.16,48.67,11021400,48.27
2012-12-20,48.89,49.21,48.81,49.13,5907700,48.72
2012-12-19,49.26,49.35,48.74,48.75,5632100,48.35
2012-12-18,49.00,49.31,48.81,49.20,7721700,48.79
2012-12-17,49.32,49.41,48.89,49.04,9511400,48.64
2012-12-14,49.00,49.72,48.85,49.24,12003000,48.83
2012-12-13,49.30,49.80,48.17,48.50,16342900,48.10
2012-12-12,47.67,47.81,47.35,47.54,6023900,47.15
2012-12-11,47.36,47.81,47.36,47.55,6821100,47.16
2012-12-10,46.84,47.55,46.84,47.24,5332900,46.85
2012-12-07,46.74,46.90,46.59,46.84,4214500,46.45
2012-12-06,46.28,46.76,46.16,46.71,5960700,46.32
2012-12-05,46.03,46.35,45.81,46.18,5174500,45.80
2012-12-04,46.31,46.38,45.90,45.94,5833700,45.56
2012-12-03,46.53,46.67,46.19,46.28,5705200,45.90
2012-11-30,46.25,46.65,46.15,46.51,11184000,46.13
2012-11-29,46.00,46.39,45.91,46.34,5067100,45.96
2012-11-28,45.16,45.88,45.07,45.88,5896800,45.50
2012-11-27,45.39,45.99,45.22,45.25,5917000,44.88
2012-11-26,45.57,45.70,45.26,45.30,6223400,44.93
2012-11-23,45.78,45.86,45.48,45.83,2598000,45.45
2012-11-21,45.50,45.83,45.35,45.74,4140200,45.36
2012-11-20,45.12,45.57,44.95,45.57,6545200,45.19
2012-11-19,45.08,45.24,44.97,45.08,7706800,44.71
2012-11-16,44.79,45.04,44.33,44.80,9274300,44.43
2012-11-15,45.26,45.53,44.56,44.70,7837700,44.33
2012-11-14,46.26,46.40,45.39,45.41,9395800,45.04
2012-11-13,46.16,46.45,46.02,46.23,8726300,45.85
2012-11-12,46.60,46.93,46.16,46.25,4470200,45.87
2012-11-09,46.26,46.55,46.16,46.36,6476100,45.98
2012-11-08,46.58,46.87,46.28,46.43,6132900,46.05
2012-11-07,46.85,46.93,46.25,46.69,7369800,46.30
2012-11-06,47.66,47.78,45.93,46.88,15814400,46.49
2012-11-05,46.26,46.76,46.26,46.63,7648000,46.24
2012-11-02,46.77,46.91,46.42,46.56,6426800,46.18
2012-11-01,46.47,46.69,46.32,46.49,6273500,46.11
2012-10-31,46.30,46.71,46.04,46.40,7077500,46.02
2012-10-26,46.06,46.25,45.83,46.06,5377100,45.68
2012-10-25,46.30,46.45,45.78,46.11,4665800,45.73
2012-10-24,45.93,46.24,45.90,45.95,4916700,45.57
2012-10-23,45.88,46.10,45.59,45.88,5250100,45.50
2012-10-22,46.13,46.44,45.96,46.26,6876000,45.88
2012-10-19,46.56,46.68,46.06,46.20,7031400,45.82
2012-10-18,46.64,46.80,46.40,46.59,5397100,46.21
2012-10-17,47.12,47.33,46.46,46.65,8428000,46.10
2012-10-16,47.44,47.47,46.80,46.90,6646600,46.35
2012-10-15,47.23,47.23,46.92,47.07,4914000,46.52
2012-10-12,47.49,47.49,46.75,47.08,7482900,46.53
2012-10-11,48.38,48.49,47.55,47.60,6117100,47.04
2012-10-10,48.21,48.49,47.95,48.06,5309100,47.50
2012-10-09,48.51,48.76,47.95,48.02,6021800,47.46
2012-10-08,48.85,48.94,48.63,48.63,4170700,48.06
2012-10-05,49.04,49.23,48.67,48.86,5351600,48.29
2012-10-04,49.02,49.16,48.73,48.88,5251800,48.31
2012-10-03,48.69,48.98,48.31,48.86,5048200,48.29
2012-10-02,48.66,48.91,48.29,48.49,5437100,47.92
2012-10-01,48.51,48.94,48.32,48.67,6956400,48.10
