Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,123.52,124.15,123.04,124.06,5601300,124.06
2013-07-11,123.95,124.11,122.51,123.77,7235100,123.77
2013-07-10,123.45,124.54,122.71,122.90,5549600,122.90
2013-07-09,122.39,123.74,122.05,123.27,6252900,123.27
2013-07-08,121.29,122.31,120.98,121.24,4964400,121.24
2013-07-05,119.69,120.86,119.10,120.51,4386200,120.51
2013-07-03,119.24,119.30,118.61,119.08,3034800,119.08
2013-07-02,119.09,120.33,118.59,119.15,4912000,119.15
2013-07-01,118.35,120.01,118.00,119.08,5053000,119.08
2013-06-28,118.79,119.56,118.14,118.34,6504400,118.34
2013-06-27,118.52,119.54,118.49,118.71,4459400,118.71
2013-06-26,118.34,118.54,117.00,118.15,4820700,118.15
2013-06-25,117.75,117.87,116.92,117.45,5983100,117.45
2013-06-24,117.71,118.03,116.02,116.82,6785700,116.82
2013-06-21,119.24,119.54,117.26,118.93,10692100,118.93
2013-06-20,119.54,119.66,117.57,117.95,7624100,117.95
2013-06-19,121.80,122.38,120.41,120.50,4634300,120.50
2013-06-18,121.03,121.72,120.86,121.52,4544800,121.52
2013-06-17,120.45,121.78,120.28,121.22,4046900,121.22
2013-06-14,121.13,121.68,120.10,120.28,4415300,120.28
2013-06-13,119.90,121.83,119.81,121.66,4656700,121.66
2013-06-12,122.32,122.73,119.61,119.97,5489200,119.97
2013-06-11,121.87,122.76,121.26,121.45,4548000,121.45
2013-06-10,122.94,122.98,121.80,122.69,5585600,122.69
2013-06-07,121.22,121.97,120.14,121.70,6089800,121.70
2013-06-06,121.27,121.49,118.66,120.59,10141500,120.59
2013-06-05,122.34,123.10,121.31,121.57,7745600,121.57
2013-06-04,122.82,123.65,122.14,122.96,7675500,122.96
2013-06-03,122.35,124.12,122.35,124.09,7256900,124.09
2013-05-31,124.64,125.30,122.75,122.75,7905000,122.75
2013-05-30,125.23,125.97,124.51,125.11,4353400,125.11
2013-05-29,126.07,126.73,124.81,125.49,6422400,125.49
2013-05-28,126.39,127.40,125.86,126.43,6598500,126.43
2013-05-24,124.50,125.56,124.33,125.45,5593200,125.45
2013-05-23,124.21,125.83,124.21,125.40,8096100,125.40
2013-05-22,125.91,126.98,124.60,124.93,9350100,124.93
2013-05-21,124.84,126.20,124.75,125.94,6699300,125.94
2013-05-20,123.43,124.84,123.18,124.78,5298200,124.78
