Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,84.23,84.25,83.32,83.94,3067500,83.94
2013-07-11,83.94,84.56,83.10,84.25,2945600,84.25
2013-07-10,83.95,84.00,82.52,82.87,3156100,82.87
2013-07-09,81.94,84.36,81.41,83.91,5978500,83.91
2013-07-08,81.45,82.03,81.25,81.35,2091700,81.35
2013-07-05,81.71,81.84,80.57,81.44,1338200,81.44
2013-07-03,80.69,81.50,80.56,80.99,1195300,80.99
2013-07-02,81.35,81.97,80.51,80.90,2209200,80.90
2013-07-01,81.88,82.16,81.03,81.31,2984100,81.31
2013-06-28,82.64,83.50,81.24,81.25,5233000,81.25
2013-06-27,82.68,83.15,82.22,82.95,2564400,82.95
2013-06-26,82.57,82.64,81.85,82.15,2822200,82.15
2013-06-25,82.00,82.61,81.55,82.45,4159100,81.94
2013-06-24,80.83,81.40,79.50,81.00,5733800,80.50
2013-06-21,83.48,83.70,81.73,82.47,4798300,81.96
2013-06-20,84.28,84.36,82.63,82.89,4365200,82.38
2013-06-19,85.24,86.20,85.00,85.08,2881600,84.55
2013-06-18,84.59,85.28,84.52,85.00,2295200,84.47
2013-06-17,85.17,85.33,84.23,84.81,2674100,84.29
2013-06-14,85.44,85.53,84.49,84.88,1991900,84.35
2013-06-13,84.34,85.87,84.02,85.60,2160700,85.07
2013-06-12,85.88,86.02,83.86,84.32,3266600,83.80
2013-06-11,85.29,85.75,84.69,85.24,2463100,84.71
2013-06-10,87.25,87.31,85.91,86.20,2504100,85.67
2013-06-07,86.78,87.07,85.95,86.81,2983200,86.27
2013-06-06,85.73,86.10,85.12,86.09,2910300,85.56
2013-06-05,86.79,86.98,85.85,85.90,2442600,85.37
2013-06-04,88.18,88.79,86.48,87.15,3254200,86.61
2013-06-03,87.51,88.44,87.11,88.35,3371900,87.80
2013-05-31,87.42,88.47,87.11,87.11,2829900,86.57
2013-05-30,87.60,88.12,87.25,87.41,2024000,86.87
2013-05-29,85.99,87.63,85.96,87.35,3216500,86.81
2013-05-28,87.20,87.65,86.30,86.34,3096100,85.81
2013-05-24,86.78,86.78,85.82,86.29,2869700,85.76
2013-05-23,85.75,87.53,85.65,87.18,3682900,86.64
2013-05-22,87.83,87.89,86.10,86.83,6007900,86.29
2013-05-21,87.95,88.25,87.20,87.59,3446500,87.05
2013-05-20,86.98,88.42,86.75,88.04,4218900,87.50
2013-05-17,88.59,88.77,86.53,86.97,7289000,86.43
2013-05-16,89.26,90.33,89.06,89.39,4182600,88.84
2013-05-15,89.22,90.60,88.56,89.64,11631900,89.09
2013-05-14,92.49,93.88,92.29,93.77,3663100,93.19
2013-05-13,92.28,92.99,92.12,92.58,2764000,92.01
2013-05-10,92.35,92.77,91.15,92.30,2965200,91.73
2013-05-09,92.05,92.76,91.75,92.19,1960200,91.62
2013-05-08,91.80,92.63,91.36,92.35,2123300,91.78
2013-05-07,91.46,91.74,90.99,91.73,1856500,91.16
2013-05-06,90.16,91.46,89.81,91.13,1834700,90.57
2013-05-03,90.56,91.50,90.29,90.54,2696100,89.98
2013-05-02,88.01,89.84,87.87,89.54,2311300,88.99
2013-05-01,88.81,89.10,87.60,87.77,2279600,87.23
2013-04-30,89.26,90.00,88.87,89.30,3646300,88.75
2013-04-29,85.76,89.66,85.70,88.83,4463500,88.28
2013-04-26,85.93,86.29,85.41,85.49,1685800,84.96
2013-04-25,85.65,86.83,85.47,86.03,2048000,85.50
2013-04-24,85.00,85.82,84.71,85.12,2089700,84.59
2013-04-23,84.27,85.21,84.10,84.78,2491400,84.26
2013-04-22,83.60,84.14,82.36,83.82,2597000,83.30
2013-04-19,83.05,83.87,82.47,83.46,2236700,82.94
2013-04-18,82.56,83.10,81.99,82.57,2763300,82.06
2013-04-17,82.36,82.76,81.58,82.56,4601200,82.05
2013-04-16,83.75,84.68,83.04,83.18,2820900,82.67
2013-04-15,85.55,85.55,82.91,82.95,3073100,82.44
2013-04-12,87.19,87.48,85.63,86.14,1997300,85.61
2013-04-11,87.17,87.78,86.80,87.58,1777100,87.04
2013-04-10,86.91,87.37,86.40,87.10,2174600,86.56
2013-04-09,86.70,87.18,86.14,86.68,1835000,86.14
2013-04-08,85.79,86.71,85.72,86.48,2288400,85.95
2013-04-05,84.58,85.80,84.42,85.68,3044900,85.15
2013-04-04,84.91,86.05,84.75,85.69,3160400,85.16
2013-04-03,84.10,85.28,83.83,84.80,4029300,84.28
2013-04-02,85.28,85.41,83.70,84.04,3206300,83.52
2013-04-01,86.19,86.19,84.87,85.08,2254800,84.55
2013-03-28,87.63,87.82,85.15,85.98,5264200,85.45
2013-03-27,86.90,87.50,86.40,87.45,2009900,86.91
2013-03-26,86.64,87.31,86.26,87.26,2148300,86.72
2013-03-25,88.40,88.40,86.43,86.88,2928300,85.84
