Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,50.41,50.92,50.23,50.89,2496700,50.89
2013-07-11,50.40,50.50,50.11,50.35,2616600,50.35
2013-07-10,50.21,50.28,49.49,49.74,3922200,49.74
2013-07-09,50.63,50.73,50.13,50.28,2786700,50.28
2013-07-08,50.39,50.74,50.05,50.14,3660800,50.14
2013-07-05,48.72,50.03,48.59,49.99,3294000,49.99
2013-07-03,47.81,48.64,47.68,48.34,1633300,48.34
2013-07-02,48.52,49.05,47.70,48.03,3491200,48.03
2013-07-01,48.01,48.90,47.95,48.58,3793100,48.58
2013-06-28,47.35,48.00,46.93,47.64,3636100,47.64
2013-06-27,47.24,47.58,46.90,47.46,3228800,47.46
2013-06-26,46.61,47.05,46.32,46.89,2790400,46.89
2013-06-25,45.78,46.43,45.72,46.22,2938400,46.22
2013-06-24,45.73,45.85,45.08,45.33,3702800,45.33
2013-06-21,47.10,47.18,45.95,46.39,5142300,46.39
2013-06-20,47.43,47.67,46.68,46.76,4056300,46.76
2013-06-19,47.76,48.39,47.71,47.73,3950700,47.73
2013-06-18,47.34,48.06,47.34,47.89,2577500,47.89
2013-06-17,47.66,48.19,47.25,47.40,3620900,47.40
2013-06-14,48.02,48.13,46.97,47.34,3007900,47.34
2013-06-13,47.69,48.20,47.25,48.10,2267700,48.10
2013-06-12,48.61,48.86,47.37,47.47,2888300,47.47
2013-06-11,48.80,49.00,48.17,48.26,3204900,48.26
2013-06-10,48.87,49.38,48.47,49.14,4600400,49.14
2013-06-07,49.10,49.38,48.53,48.66,6219800,48.66
2013-06-06,47.50,48.70,47.35,48.67,4214200,48.67
2013-06-05,48.18,48.55,47.42,47.56,4160800,47.56
2013-06-04,48.32,48.77,47.80,48.31,4153500,48.31
2013-06-03,47.75,48.35,47.34,48.32,4072600,48.32
2013-05-31,47.98,48.26,47.41,47.41,4022100,47.41
2013-05-30,47.51,48.53,47.50,48.14,2552300,48.14
2013-05-29,47.34,47.77,47.05,47.49,4130700,47.49
2013-05-28,48.23,48.63,47.50,47.67,4103300,47.67
2013-05-24,47.28,47.88,47.09,47.68,2421500,47.68
2013-05-23,47.21,48.25,46.92,47.64,4732700,47.64
2013-05-22,48.97,49.71,47.76,47.91,6608600,47.91
2013-05-21,48.36,49.25,48.33,48.86,4989800,48.86
2013-05-20,47.74,48.90,47.70,48.19,4588000,48.19
2013-05-17,46.53,47.74,46.47,47.70,3242900,47.70
2013-05-16,47.13,47.24,46.41,46.48,3889700,46.48
2013-05-15,46.50,47.57,46.44,47.25,4046800,47.25
2013-05-14,45.27,46.62,45.27,46.58,4521700,46.58
2013-05-13,45.45,45.48,44.95,45.21,2957300,45.21
2013-05-10,45.59,45.78,45.35,45.59,2689600,45.59
2013-05-09,46.06,46.08,45.39,45.54,4157200,45.54
2013-05-08,45.98,46.11,45.67,46.06,3091300,46.06
2013-05-07,46.31,46.36,45.81,45.97,3379100,45.97
2013-05-06,45.96,46.37,45.70,46.31,4284000,46.11
2013-05-03,45.31,46.06,45.30,45.93,5457300,45.73
2013-05-02,43.97,44.97,43.73,44.92,4193700,44.73
2013-05-01,43.68,44.19,43.67,43.85,3768000,43.66
2013-04-30,43.94,44.15,43.71,43.74,4837300,43.55
2013-04-29,44.18,44.19,43.76,43.98,2798000,43.79
2013-04-26,44.29,44.50,43.65,43.92,3621200,43.73
2013-04-25,44.23,44.67,43.95,44.28,6605100,44.09
2013-04-24,44.13,44.47,43.84,44.15,5131500,43.96
2013-04-23,45.08,45.61,43.53,44.33,9149800,44.14
2013-04-22,43.37,43.68,42.74,43.61,5597100,43.42
2013-04-19,42.84,43.39,42.79,43.34,4769500,43.15
2013-04-18,42.57,43.03,42.16,42.55,4366900,42.37
2013-04-17,42.75,42.82,42.12,42.50,4823300,42.32
2013-04-16,42.56,43.09,42.51,43.01,5152700,42.82
2013-04-15,43.18,43.38,42.12,42.25,6380000,42.07
2013-04-12,42.66,43.40,42.58,43.31,8565900,43.12
2013-04-11,42.94,43.25,42.31,42.96,8510300,42.77
2013-04-10,43.29,43.88,42.71,42.97,6121500,42.78
2013-04-09,43.70,43.78,43.27,43.30,3872700,43.11
2013-04-08,43.01,43.71,42.84,43.71,3655100,43.52
2013-04-05,42.71,43.16,42.32,43.07,4452400,42.88
2013-04-04,43.46,43.76,42.83,43.24,4400200,43.05
2013-04-03,44.62,44.87,43.34,43.42,3981900,43.23
2013-04-02,44.19,44.80,44.10,44.68,4118800,44.49
2013-04-01,44.72,44.95,43.85,44.03,3514200,43.84
2013-03-28,45.10,45.15,44.59,44.84,3110900,44.65
2013-03-27,44.71,45.09,44.49,44.98,4334400,44.79
2013-03-26,45.23,45.26,44.74,45.02,4865300,44.83
2013-03-25,45.36,45.38,44.50,44.87,4418100,44.68
2013-03-22,44.52,45.13,44.50,45.00,3804600,44.81
2013-03-21,44.66,44.98,44.35,44.46,5722600,44.27
2013-03-20,44.45,45.00,44.35,44.96,5222500,44.77
2013-03-19,44.92,45.00,43.53,44.24,8245600,44.05
2013-03-18,43.75,44.43,43.57,44.24,5558400,44.05
2013-03-15,43.50,44.23,43.15,44.14,9849900,43.95
2013-03-14,43.31,43.33,42.75,42.85,6030700,42.66
2013-03-13,42.76,43.52,42.47,43.06,6228500,42.87
2013-03-12,41.76,42.50,41.71,42.13,6050300,41.95
2013-03-11,41.29,42.16,41.29,41.84,4911600,41.66
2013-03-08,41.77,41.80,40.77,41.37,3817400,41.19
2013-03-07,41.43,41.64,41.25,41.57,4349800,41.39
2013-03-06,41.12,41.63,41.12,41.29,6187000,41.11
2013-03-05,40.15,40.81,40.11,40.58,4996300,40.40
2013-03-04,38.93,39.78,38.89,39.76,3637000,39.59
2013-03-01,38.32,39.16,37.89,39.08,5413700,38.91
2013-02-28,38.34,38.82,38.23,38.53,6007200,38.36
2013-02-27,37.81,38.55,37.60,38.40,4723900,38.23
2013-02-26,38.08,38.17,37.24,37.80,6108300,37.64
2013-02-25,39.05,39.20,37.91,37.94,4481900,37.78
2013-02-22,38.57,38.96,38.45,38.89,2966400,38.72
2013-02-21,38.78,38.79,38.04,38.33,6532800,38.16
2013-02-20,39.42,39.57,38.89,38.93,3690200,38.76
2013-02-19,39.22,39.59,39.20,39.53,4758800,39.36
2013-02-15,39.63,39.82,38.97,39.15,3924100,38.98
2013-02-14,39.05,39.57,38.90,39.52,3935100,39.35
2013-02-13,39.46,39.68,39.11,39.22,3942400,39.05
2013-02-12,39.99,40.17,39.46,39.48,5216200,39.31
2013-02-11,39.78,40.29,39.68,40.03,3730000,39.86
2013-02-08,39.91,40.35,39.69,39.88,5287900,39.71
2013-02-07,39.48,39.73,38.72,39.35,3531200,39.18
2013-02-06,39.08,39.49,39.04,39.33,3411800,39.16
2013-02-05,38.73,39.42,38.64,39.28,4248000,39.11
2013-02-04,38.46,38.88,38.25,38.58,5836100,38.41
2013-02-01,38.66,39.16,38.43,38.80,7068600,38.63
2013-01-31,38.13,38.84,37.49,38.39,12109600,38.22
2013-01-30,38.11,38.22,37.62,38.08,7111100,37.92
2013-01-29,37.90,38.16,37.62,38.11,7534600,37.95
2013-01-28,39.07,39.08,38.03,38.06,7236500,37.90
2013-01-25,39.22,39.32,38.91,39.09,2882500,38.92
2013-01-24,38.85,39.25,38.73,39.14,4326000,38.97
2013-01-23,38.87,39.23,38.74,38.81,4785200,38.64
2013-01-22,38.49,38.91,38.00,38.89,6241900,38.72
2013-01-18,38.96,38.96,38.30,38.55,10339600,38.38
2013-01-17,39.35,39.54,39.00,39.29,3089300,39.12
2013-01-16,39.25,39.49,39.00,39.13,4576000,38.96
2013-01-15,39.40,39.66,39.05,39.34,6245400,39.17
2013-01-14,40.40,40.44,39.60,39.73,3516100,39.56
2013-01-11,40.32,40.63,40.24,40.39,2799800,40.22
2013-01-10,40.15,40.60,40.05,40.48,5816700,40.31
2013-01-09,40.12,40.35,39.73,39.85,3547100,39.68
2013-01-08,39.34,40.09,39.31,40.09,4370100,39.92
2013-01-07,39.80,39.91,39.23,39.42,4672400,39.25
2013-01-04,39.59,40.05,39.34,40.04,4004000,39.87
